max 3.08x + 8.51y + -8.4z
5.76x + -6.14y + -7.53z <= 161.28
4.79x + 4.2y + -6.92z <= 109.92
-3.93x + -9.95y + 6.9z <= 163.22
-0.44x + 2.72y + 8.64z <= 639.39
9.35x + 7.86y + -0.79z <= 833.24
0.17x + 8.33y + 5.32z <= 122.98
-7.09x + 0.39y + 3.62z <= 195.89
4.3x + -7.79y + -3.18z <= 506.61
-5.72x + -2.77y + 7.28z <= 808.01
-8.77x + 7.46y + -0.9z <= 290.65
8.38x + 9.23y + 9.76z <= 451.27
9.01x + 6.11y + -0.2z <= 863.23
2.29x + 4.88y + -9.79z <= 552.63
2.92x + -1.75y + -2.78z <= 515.89
-6.81x + -5.58y + 0.47z <= 918.97
-5.13x + 6.93y + 1.02z <= 494.1
3.52x + -6.02y + 2.72z <= 816.79
-2.63x + -1.03y + 9.09z <= 433.23
5.89x + 5.09y + 5.28z <= 966.61
-4.47x + 9.07y + 1.76z <= 150.3
2.57x + 6.73y + -9.7z <= 898.16
3.49x + 7.78y + -6.07z <= 260.57
5.41x + -0.42y + 2.65z <= 149.68
-5.62x + -8.06y + -5.78z <= 485.03
6.89x + 6.18y + 6.03z <= 737.42
-7.79x + -8.34y + -3.96z <= 382.74
3.11x + 9.57y + 4.0z <= 817.85
-3.46x + -3.27y + -6.42z <= 916.83
3.08x + 8.75y + 4.01z <= 734.38
-3.12x + 0.85y + 0.51z <= 123.03
-2.58x + -7.38y + -5.66z <= 749.7
-4.91x + -5.1y + -8.04z <= 155.34
1.35x + -5.63y + -4.89z <= 621.9
-8.86x + 9.99y + 4.66z <= 104.41
0.98x + -5.15y + -4.9z <= 527.27
5.11x + -9.39y + 4.96z <= 198.4
-1.09x + 8.53y + 0.3z <= 172.03
-5.04x + -7.05y + -0.41z <= 972.97
6.73x + -5.89y + 2.8z <= 785.34
-4.26x + -6.72y + 5.99z <= 603.81
-7.5x + 1.75y + -7.39z <= 314.42
7.94x + 2.37y + 5.64z <= 327.64
7.64x + -3.46y + 1.33z <= 354.29
9.05x + -1.27y + 1.86z <= 861.59
-5.07x + -7.72y + 3.25z <= 716.91
7.68x + -9.78y + 9.46z <= 706.95
-5.45x + 3.24y + 6.64z <= 165.78
-2.31x + -2.05y + -3.45z <= 502.76
0.11x + 3.86y + -8.23z <= 360.86
-4.53x + 2.55y + 4.88z <= 598.31
9.04x + -4.8y + -6.07z <= 974.29
9.69x + 3.77y + -8.69z <= 271.78
4.99x + 5.66y + -3.38z <= 732.14
3.12x + -8.11y + 9.14z <= 719.78
-1.33x + -7.13y + -4.83z <= 761.68
-1.86x + -9.2y + -9.64z <= 583.37
-3.56x + -5.46y + -5.54z <= 899.69
-7.26x + 3.06y + 1.18z <= 857.73
0.47x + 3.02y + 3.97z <= 279.26
6.65x + -3.32y + -2.83z <= 315.88
-2.21x + -2.05y + 6.78z <= 933.0
6.67x + -3.15y + -4.05z <= 321.03
9.61x + -8.06y + -6.89z <= 165.17
8.61x + -3.86y + 5.97z <= 327.39
9.77x + -3.87y + 5.97z <= 953.32
-6.95x + 5.09y + 2.89z <= 757.95
0.99x + -4.32y + -7.57z <= 457.66
-7.26x + -6.28y + -6.69z <= 540.13
0.35x + -5.22y + -0.62z <= 249.43
2.28x + -3.96y + 1.91z <= 482.88
-8.53x + -7.69y + 6.23z <= 945.69
-8.34x + 2.21y + 7.32z <= 265.16
-5.45x + -4.23y + -3.9z <= 400.09
8.62x + -2.53y + 3.93z <= 941.45
2.87x + 0.24y + -7.72z <= 692.59
-9.26x + -3.33y + -9.77z <= 314.55
-7.39x + 5.33y + -3.51z <= 739.31
-8.78x + -4.35y + 5.35z <= 594.97
8.53x + 0.82y + 8.65z <= 276.27
5.61x + 4.85y + 0.42z <= 469.15
1.52x + 7.53y + -1.58z <= 703.77
8.62x + 6.69y + 1.17z <= 156.86
-3.25x + -0.86y + 1.43z <= 804.66
2.74x + 6.44y + -4.18z <= 130.57
-0.45x + -0.18y + -2.05z <= 184.22
-1.52x + -8.7y + 5.27z <= 693.16
2.36x + 9.54y + 6.99z <= 793.4
-8.07x + -4.5y + -1.21z <= 737.58
6.11x + 7.15y + 2.58z <= 568.12
-1.28x + 3.18y + 5.37z <= 321.0
4.66x + -8.87y + -0.02z <= 437.52
-7.45x + 5.43y + -3.27z <= 916.32
-3.18x + 9.58y + -9.58z <= 814.02
-8.72x + 5.0y + 8.88z <= 819.3
-2.92x + -0.43y + -0.65z <= 342.66
0.04x + -0.53y + -1.77z <= 661.11
-6.03x + 1.03y + -1.08z <= 231.43
-6.72x + 3.43y + 6.42z <= 850.42
-3.67x + 6.97y + -7.22z <= 645.4
3.81x + 5.56y + -5.87z <= 575.94
6.73x + 6.93y + 3.3z <= 993.47
-6.56x + -5.66y + -0.47z <= 378.15
-2.09x + -2.63y + 4.54z <= 420.99
0.32x + 4.95y + -1.59z <= 904.82
3.39x + 3.7y + 0.89z <= 458.26
-7.65x + -0.72y + -6.49z <= 533.77
7.13x + 8.17y + -2.55z <= 487.51
2.75x + -5.78y + 7.15z <= 664.41
7.91x + 0.14y + -6.45z <= 491.47
-5.66x + -3.97y + 7.24z <= 475.93
6.41x + 5.38y + 0.59z <= 669.23
1.54x + -6.29y + 1.59z <= 374.57
-2.26x + -8.86y + 0.46z <= 284.94
-3.15x + -2.43y + 4.74z <= 567.74
8.7x + -5.52y + 7.27z <= 351.02
1.13x + -7.72y + -9.33z <= 365.4
0.65x + -9.69y + -3.37z <= 645.21
-9.05x + 9.91y + -5.74z <= 298.43
0.41x + -0.07y + 8.09z <= 400.73
9.49x + 2.47y + -0.87z <= 474.54
-9.06x + 8.44y + -6.83z <= 825.69
0.91x + 6.33y + 0.81z <= 432.68
1.83x + 3.39y + 6.97z <= 785.95
-6.45x + -8.5y + -4.05z <= 400.54
4.74x + 4.56y + 6.01z <= 742.82
-9.07x + 4.59y + 8.53z <= 548.02
-6.54x + 0.92y + -7.86z <= 490.03
2.2x + -8.31y + -8.5z <= 750.39
5.13x + 8.3y + -5.42z <= 204.96
-4.69x + 7.23y + -5.77z <= 678.76
-2.6x + 0.47y + -5.41z <= 765.58
-6.7x + 9.69y + 8.15z <= 323.06
-4.38x + 0.24y + 9.11z <= 516.28
-0.39x + -7.0y + 8.38z <= 358.53
0.84x + 0.01y + -5.83z <= 293.89
-4.32x + 7.82y + -7.93z <= 628.2
9.89x + 1.29y + 3.65z <= 347.49
-0.6x + 4.75y + 2.73z <= 656.4
-4.26x + 6.98y + -4.1z <= 637.94
5.9x + 5.09y + -1.57z <= 272.38
-8.28x + 2.97y + -2.97z <= 727.17
-6.9x + 2.85y + -8.59z <= 141.03
-3.8x + -2.71y + -0.95z <= 121.68
-9.34x + 4.96y + 9.46z <= 137.36
-4.55x + 4.11y + 3.7z <= 955.79
-8.85x + -7.98y + -4.91z <= 704.41
-1.93x + -7.61y + 8.73z <= 377.0
4.55x + -8.33y + 7.34z <= 346.04
-7.96x + -9.9y + 1.11z <= 399.16
-7.11x + -8.66y + 8.25z <= 840.23
-8.11x + 8.43y + -0.01z <= 210.57
-0.43x + 5.71y + 4.74z <= 768.98
4.27x + 1.07y + 5.02z <= 794.98
-2.78x + -7.2y + -0.41z <= 777.61
2.64x + -9.31y + -7.85z <= 760.76
7.41x + 8.48y + -6.65z <= 474.74
9.3x + 3.92y + 7.65z <= 462.21
5.97x + -1.76y + -4.97z <= 737.18
5.98x + 6.05y + -2.38z <= 387.9
-5.62x + 9.89y + 2.87z <= 643.04
8.74x + -4.4y + 8.77z <= 344.54
0.04x + -6.43y + -0.28z <= 501.54
1.33x + 8.17y + -0.13z <= 876.99
5.94x + -9.41y + 8.96z <= 993.64
-4.13x + -5.54y + -7.13z <= 800.03
6.03x + 9.03y + -8.23z <= 696.78
-6.41x + -1.34y + -7.85z <= 869.28
-7.46x + -3.61y + -4.67z <= 851.69
4.22x + -1.59y + 8.2z <= 667.46
-8.31x + 5.36y + -0.74z <= 897.05
-0.63x + -1.91y + 7.72z <= 851.19
-8.36x + -7.8y + 1.45z <= 967.36
8.56x + -0.57y + -5.44z <= 897.53
9.69x + -5.46y + -2.65z <= 141.77
-8.14x + 4.7y + 5.84z <= 371.34
-5.63x + 4.57y + 7.27z <= 697.21
0.21x + -2.31y + 9.72z <= 730.1
-4.32x + -7.38y + -5.53z <= 981.36
-7.11x + -1.21y + 3.91z <= 321.58
4.15x + 0.71y + 5.79z <= 723.47
-7.91x + -0.87y + -8.58z <= 941.13
4.68x + -4.4y + 8.78z <= 489.05
-4.07x + -0.84y + 9.21z <= 609.41
2.94x + -4.77y + -8.76z <= 728.78
4.47x + -2.68y + 3.69z <= 380.25
4.08x + -8.11y + -5.63z <= 481.75
2.75x + 4.34y + 6.07z <= 597.48
-0.61x + -7.13y + 7.24z <= 408.87
-3.37x + -3.69y + -8.5z <= 738.85
9.73x + -2.77y + -7.66z <= 671.53
-7.65x + -8.87y + -8.84z <= 885.48
4.64x + 7.45y + 8.56z <= 997.81
-6.24x + 8.64y + -8.5z <= 936.87
-1.83x + 2.17y + -9.75z <= 812.86
-4.55x + 5.74y + -1.68z <= 767.24
-6.86x + 0.53y + 8.46z <= 728.45
-4.65x + -0.78y + -6.31z <= 332.91
0.92x + 2.48y + 2.66z <= 611.05
6.21x + 5.12y + 7.94z <= 758.39
9.43x + 8.38y + -6.89z <= 227.02
-2.98x + -4.21y + -4.22z <= 392.73
8.95x + -6.65y + -3.84z <= 172.04
4.0x + 6.6y + -0.04z <= 354.04
-3.13x + -9.25y + 3.59z <= 898.76
5.59x + 6.99y + 4.93z <= 288.23
6.91x + -5.43y + 1.66z <= 913.94
-4.18x + -1.31y + 1.53z <= 420.74
1.08x + -1.44y + 6.23z <= 412.75
5.95x + -8.93y + -3.94z <= 115.22
7.34x + 0.49y + -1.49z <= 939.08
2.19x + -6.06y + 7.85z <= 817.08
-9.24x + 3.34y + -8.16z <= 900.04
-6.95x + 7.5y + 2.61z <= 211.33
8.8x + 8.2y + -2.36z <= 860.79
2.06x + -1.14y + 5.83z <= 109.7
1.76x + 5.32y + -5.74z <= 821.15
6.84x + 1.23y + 9.87z <= 774.22
-9.18x + -1.43y + 2.54z <= 518.56
-4.95x + -6.96y + -9.71z <= 507.34
-6.03x + 0.02y + 9.93z <= 477.44
4.96x + 5.1y + 1.85z <= 605.37
-1.2x + 9.85y + -6.21z <= 224.6
6.12x + 5.62y + -6.4z <= 161.72
1.86x + 7.11y + -7.39z <= 546.57
9.85x + -9.43y + 2.6z <= 386.78
2.67x + 3.23y + 6.11z <= 157.35
6.28x + 7.22y + 7.88z <= 146.2
-5.83x + 2.7y + 6.64z <= 648.67
-7.16x + -2.17y + 8.93z <= 176.25
-6.22x + -8.87y + -2.56z <= 800.45
4.33x + -0.44y + -4.92z <= 215.66
-0.85x + -6.74y + -4.13z <= 459.43
-8.7x + -5.98y + 5.01z <= 828.41
-4.43x + -6.45y + -6.81z <= 208.1
9.53x + -2.23y + -7.05z <= 330.86
-2.03x + 8.72y + -6.73z <= 270.83
-9.4x + 7.18y + 7.36z <= 746.81
-0.99x + -8.57y + 8.66z <= 395.26
-6.65x + -6.27y + 6.08z <= 654.09
5.83x + -9.48y + -0.51z <= 342.19
-0.15x + 7.45y + 2.72z <= 973.37
-8.5x + -9.29y + 7.54z <= 551.11
-8.12x + 8.14y + 2.91z <= 422.82
9.04x + 4.34y + -8.98z <= 762.47
-9.31x + -6.74y + -4.49z <= 437.58
9.98x + -3.25y + 9.51z <= 353.92
3.01x + -6.09y + -1.24z <= 989.22
3.41x + 7.2y + 6.17z <= 690.96
9.24x + 6.45y + 7.75z <= 156.5
8.61x + 3.43y + -4.87z <= 115.23
1.51x + 6.53y + -2.31z <= 365.77
-5.47x + -7.93y + -5.88z <= 143.2
-3.88x + 9.27y + -9.32z <= 441.66
-8.44x + -0.14y + 2.1z <= 623.78
-3.43x + -3.42y + -7.78z <= 108.91
-5.73x + -0.21y + 4.5z <= 957.4
3.07x + 6.56y + 5.77z <= 219.63
-4.86x + -8.9y + 6.99z <= 807.04
-6.33x + -5.26y + 2.33z <= 787.52
4.76x + 0.43y + -3.8z <= 547.94
9.36x + 1.46y + -7.72z <= 487.76
-8.0x + -1.8y + -2.43z <= 859.84
-9.52x + -4.62y + -6.87z <= 451.77
-4.38x + -4.0y + -8.6z <= 267.2
-0.51x + 8.92y + 8.84z <= 911.6
1.55x + -6.46y + 6.22z <= 528.22
6.38x + 7.14y + -7.1z <= 308.9
-7.7x + -9.99y + 8.83z <= 668.05
9.82x + -1.97y + 6.27z <= 202.39
-3.92x + -5.4y + 9.62z <= 264.31
-3.32x + -4.6y + 2.12z <= 895.72
-4.77x + 4.87y + 4.66z <= 352.27
3.03x + -7.0y + -8.95z <= 529.17
-0.34x + 0.08y + -9.66z <= 248.01
-1.21x + 7.23y + 5.77z <= 131.04
-1.05x + 7.75y + 6.41z <= 241.99
2.74x + 6.68y + -9.37z <= 809.76
9.98x + 3.8y + -1.87z <= 436.29
-1.28x + -0.98y + -6.85z <= 116.0
-9.43x + -0.54y + -3.58z <= 362.44
4.0x + 2.91y + 7.56z <= 584.54
-7.47x + 1.08y + -4.02z <= 766.36
-7.12x + 8.4y + 9.37z <= 212.18
-9.81x + -8.8y + 6.7z <= 499.7
8.07x + -3.56y + 6.57z <= 429.48
-1.84x + -5.95y + 6.81z <= 332.62
8.2x + -4.29y + 1.78z <= 464.84
-3.75x + -4.18y + -7.54z <= 146.21
-4.23x + -9.07y + 0.8z <= 673.7
-1.93x + 2.48y + 4.7z <= 667.44
-4.53x + -7.83y + 8.27z <= 822.71
8.18x + -4.02y + 7.13z <= 549.88
-4.2x + 4.59y + -0.91z <= 127.43
4.54x + 1.08y + -2.49z <= 211.18
-4.1x + -6.5y + -2.03z <= 575.33
-4.51x + -9.31y + 3.65z <= 108.42
5.41x + 8.48y + 2.44z <= 957.6
-0.93x + -2.99y + 7.49z <= 295.44
-4.16x + -4.94y + -9.48z <= 507.14
-3.44x + 2.83y + 5.18z <= 904.77
-0.28x + -1.52y + -4.32z <= 519.92
-1.75x + -3.87y + -2.56z <= 389.46
4.52x + 9.48y + -5.97z <= 922.88
-8.15x + -8.1y + 7.95z <= 145.15
-9.79x + 6.72y + 6.51z <= 380.4
4.15x + 1.19y + 4.13z <= 813.82
-2.28x + 8.95y + -7.97z <= 503.67
-4.37x + -5.78y + 1.21z <= 915.49
-8.35x + 7.49y + -6.18z <= 669.5
-9.92x + 8.68y + 5.83z <= 231.58
4.41x + -7.06y + -3.62z <= 934.06
-7.75x + -8.22y + -4.47z <= 367.78
3.8x + -1.83y + 2.54z <= 967.18
1.03x + -0.04y + 0.55z <= 142.91
-4.06x + 2.03y + -0.61z <= 114.58
-2.33x + 1.89y + -8.16z <= 982.95
-9.31x + 6.72y + 1.09z <= 540.61
7.28x + 0.96y + 3.11z <= 463.65
-8.94x + 3.82y + -4.09z <= 436.83
-6.0x + -2.67y + 7.73z <= 780.07
7.55x + 6.48y + 3.53z <= 551.5
0.53x + 8.63y + -5.66z <= 687.13
-0.58x + -5.88y + 8.94z <= 435.26
7.52x + 9.67y + -0.33z <= 821.83
1.43x + 4.77y + 1.94z <= 258.25
6.92x + -4.33y + 4.67z <= 475.31
-1.83x + -2.26y + -4.39z <= 970.51
-6.5x + -7.45y + 0.75z <= 136.2
3.46x + 3.73y + -4.88z <= 818.38
1.93x + -0.89y + -5.95z <= 370.18
-6.74x + -9.74y + 6.97z <= 970.98
-9.33x + 3.36y + -1.21z <= 833.91
-3.56x + 4.72y + 5.8z <= 767.1
-4.12x + 5.5y + 4.8z <= 910.57
-9.42x + -9.73y + 0.05z <= 341.55
-4.98x + 9.41y + -8.63z <= 768.55
5.46x + -0.15y + -7.72z <= 891.78
-0.44x + -1.16y + 4.5z <= 505.2
-2.52x + -9.07y + -6.29z <= 565.34
1.93x + -7.44y + -0.13z <= 698.8
0.99x + -4.46y + -4.93z <= 902.63
-9.3x + -1.0y + 3.56z <= 370.66
-7.34x + 4.96y + -3.05z <= 613.18
6.39x + -9.82y + -6.9z <= 956.51
-6.8x + -8.04y + -4.86z <= 251.02
-0.98x + 8.58y + 0.04z <= 396.89
3.9x + 5.52y + 3.13z <= 987.17
6.65x + -0.49y + -8.39z <= 496.97
-2.41x + -0.83y + 0.62z <= 453.83
-0.35x + 1.0y + 3.43z <= 741.4
-9.76x + 2.38y + 3.65z <= 832.78
-3.69x + -8.34y + 1.89z <= 799.78
1.2x + -1.11y + 4.95z <= 422.75
7.83x + 6.1y + -6.61z <= 605.58
-4.82x + 0.58y + 8.48z <= 973.77
-7.23x + 9.37y + 2.0z <= 393.8
7.81x + 4.43y + -6.02z <= 317.74
-9.88x + -1.41y + 0.24z <= 715.83
-6.08x + -7.28y + -0.76z <= 661.41
3.63x + -0.2y + -5.6z <= 113.44
-2.63x + -4.19y + -7.13z <= 985.2
-3.92x + -3.15y + 7.31z <= 720.2
-5.35x + -0.53y + 7.38z <= 343.82
3.4x + 8.2y + 8.32z <= 157.17
3.75x + 0.29y + 0.8z <= 739.74
9.66x + 7.95y + 3.32z <= 420.37
8.44x + 1.34y + 4.35z <= 445.02
8.93x + -9.13y + -1.59z <= 300.96
4.69x + -5.24y + -7.22z <= 706.56
0.14x + 6.48y + -2.83z <= 587.52
-1.3x + 0.84y + -4.39z <= 463.41
-3.57x + -6.43y + 4.42z <= 564.84
4.27x + 1.73y + -7.19z <= 165.19
-0.44x + 6.37y + -0.91z <= 780.19
-2.04x + -8.51y + -1.21z <= 964.14
6.67x + -9.37y + 6.31z <= 314.53
-0.35x + 1.03y + -1.2z <= 678.4
-4.42x + -2.38y + -4.61z <= 582.22
9.07x + -9.38y + -1.34z <= 863.84
6.76x + 5.97y + 7.58z <= 477.24
2.44x + -1.7y + -9.9z <= 815.55
1.1x + -5.79y + 4.07z <= 332.55
5.85x + 7.42y + -0.32z <= 525.14
0.27x + 8.15y + -5.75z <= 256.55
1.36x + -1.54y + -3.42z <= 860.44
1.32x + -0.9y + 1.63z <= 358.58
-7.5x + -5.41y + -6.5z <= 261.24
5.62x + -4.86y + 8.06z <= 496.18
-0.16x + 0.65y + 1.82z <= 995.3
-4.74x + 8.64y + 8.81z <= 453.47
3.55x + -1.93y + 9.24z <= 958.64
8.76x + 1.83y + 2.1z <= 323.58
6.56x + -3.92y + 4.51z <= 998.53
2.19x + -6.35y + -1.83z <= 124.34
-2.69x + 8.18y + -9.56z <= 716.51
-9.46x + -2.67y + 0.69z <= 561.6
8.53x + 6.65y + -4.9z <= 651.14
6.77x + -9.77y + -1.96z <= 726.28
1.73x + 8.62y + 8.3z <= 808.18
-6.18x + 1.27y + -0.85z <= 895.14
-6.95x + 5.86y + 3.24z <= 660.89
8.26x + 4.51y + 3.34z <= 723.89
-0.61x + -5.57y + 1.13z <= 665.41
6.28x + -6.11y + -9.44z <= 238.99
6.15x + -1.3y + 1.35z <= 755.17
-3.02x + -9.45y + -2.79z <= 443.42
-0.77x + -0.19y + -5.07z <= 304.18
4.34x + -5.2y + -3.66z <= 179.67
-9.91x + 9.7y + -7.92z <= 976.31
-3.84x + -1.6y + 0.25z <= 128.38
-5.26x + -4.96y + 4.2z <= 241.5
8.02x + -3.27y + -0.48z <= 528.09
-7.21x + 0.48y + -3.71z <= 923.16
-3.64x + 3.38y + -0.52z <= 745.56
2.69x + 6.34y + -8.76z <= 498.06
0.9x + 0.27y + -3.01z <= 353.29
-6.81x + -0.5y + -4.36z <= 531.57
7.89x + 3.79y + -3.71z <= 903.43
3.53x + 7.18y + 9.95z <= 437.22
6.86x + 6.19y + 2.87z <= 315.44
-7.1x + 4.88y + 4.79z <= 418.43
-1.34x + 7.57y + 4.99z <= 774.58
-7.4x + -2.93y + 6.46z <= 989.58
-6.56x + -2.27y + -3.66z <= 172.38
-7.05x + 4.96y + -3.41z <= 959.85
-6.01x + 5.75y + -3.2z <= 310.18
6.44x + 8.42y + -9.97z <= 596.61
-8.72x + -0.61y + 8.43z <= 879.04
4.84x + -8.52y + -8.25z <= 774.27
8.53x + 0.59y + 4.19z <= 249.33
-6.67x + 2.84y + -8.27z <= 435.5
2.29x + -7.84y + 1.74z <= 710.76
5.68x + -4.73y + -7.03z <= 621.02
-0.74x + -9.06y + 7.51z <= 252.74
2.43x + 6.31y + 8.73z <= 666.84
5.88x + -1.34y + 3.88z <= 767.1
7.79x + 1.01y + -8.87z <= 334.97
6.93x + 1.99y + 9.59z <= 458.19
-4.45x + 1.42y + 3.71z <= 339.58
-8.38x + -6.78y + -8.28z <= 774.96
5.66x + 0.36y + 6.86z <= 301.42
-0.02x + -9.16y + 3.82z <= 830.03
-0.86x + -6.97y + -0.6z <= 623.53
0.92x + -4.02y + -1.87z <= 407.5
3.7x + 5.02y + -3.0z <= 274.46
-3.74x + -3.17y + 4.73z <= 395.27
-6.55x + -8.94y + -1.05z <= 498.28
-9.64x + -9.76y + 9.39z <= 830.17
2.17x + 8.04y + 6.31z <= 952.38
-6.25x + -2.89y + -6.13z <= 954.47
-8.19x + 0.08y + 3.67z <= 239.25
1.31x + 8.75y + 8.28z <= 234.64
9.49x + -1.47y + -9.6z <= 217.01
-1.41x + 3.88y + 0.57z <= 734.31
0.71x + -3.65y + 3.11z <= 602.27
1.52x + -3.4y + 4.24z <= 541.64
-2.9x + 3.58y + -3.69z <= 305.05
-0.5x + 7.52y + -9.55z <= 878.12
-4.01x + 9.74y + 5.33z <= 905.24
-6.76x + -0.87y + -2.9z <= 223.73
-7.57x + 8.04y + 7.42z <= 960.56
1.7x + 0.54y + -5.47z <= 564.82
3.86x + -2.42y + 9.55z <= 787.68
5.11x + 0.72y + 8.11z <= 412.91
-7.31x + -3.37y + -9.52z <= 112.12
-6.74x + -1.54y + 2.61z <= 928.15
2.86x + 6.08y + 5.83z <= 591.29
5.24x + 7.88y + 9.68z <= 361.0
-8.52x + -5.03y + 0.31z <= 507.7
3.83x + 3.89y + 5.82z <= 622.2
-7.04x + 3.59y + -7.3z <= 805.04
-3.41x + 1.72y + 9.33z <= 679.03
-0.28x + -1.75y + 5.28z <= 830.73
-3.91x + -7.07y + -3.02z <= 877.78
0.06x + -4.16y + 5.56z <= 622.58
6.9x + -8.59y + 5.79z <= 631.16
3.18x + 0.81y + -7.76z <= 900.62
-6.18x + -1.6y + -0.49z <= 924.33
8.79x + 4.15y + -3.84z <= 370.37
5.92x + 2.34y + -9.73z <= 578.22
5.22x + 5.22y + -7.98z <= 285.19
-8.64x + 6.7y + -2.45z <= 852.54
-2.0x + -5.18y + 1.55z <= 887.8
4.6x + 3.67y + -4.38z <= 809.71
8.58x + 4.88y + -6.82z <= 299.67
7.79x + -3.27y + 6.73z <= 900.73
-6.06x + 8.16y + 9.68z <= 628.08
-8.74x + 7.75y + -6.0z <= 296.35
-1.31x + 4.08y + 4.1z <= 464.07
-7.48x + 6.91y + 5.97z <= 532.31
-0.96x + 7.78y + -9.41z <= 190.16
-0.1x + -8.23y + -1.26z <= 251.64
-2.13x + 2.36y + 8.77z <= 196.92
0.54x + 9.18y + 3.23z <= 520.76
-2.94x + 2.31y + -9.1z <= 414.91
1.89x + -4.85y + 9.42z <= 598.5
9.04x + -8.57y + 7.07z <= 260.49
7.31x + -8.86y + -7.56z <= 850.02
-1.89x + 7.12y + 2.13z <= 410.8
-2.32x + -4.38y + -8.94z <= 771.68
3.0x + 2.48y + -2.14z <= 986.76
2.99x + 8.39y + 2.87z <= 152.22
-3.95x + 3.48y + 4.23z <= 127.57
4.92x + -5.62y + -5.6z <= 361.67
-8.45x + 8.42y + 7.23z <= 143.43
-7.88x + 4.17y + 6.51z <= 414.91
0.41x + 2.94y + 9.69z <= 211.39
-9.22x + -2.79y + -8.56z <= 964.77
1.89x + 6.98y + 1.9z <= 845.97
-9.17x + 9.14y + -7.94z <= 280.0
7.27x + 2.76y + 1.25z <= 668.31
-9.31x + 7.18y + 3.76z <= 619.33
-9.59x + 8.56y + -5.07z <= 211.57
4.39x + 9.62y + -6.82z <= 526.74
-5.98x + -2.07y + -3.19z <= 993.21
9.05x + 6.7y + -9.67z <= 255.15
5.46x + 4.81y + 1.7z <= 311.44
6.41x + 4.78y + 6.84z <= 228.87
6.93x + 6.84y + -4.62z <= 535.18
7.51x + 0.4y + -9.53z <= 111.93
-6.24x + 5.37y + -4.19z <= 931.04
2.48x + -4.5y + -3.49z <= 524.86
-5.23x + -8.44y + 0.3z <= 883.45
-4.22x + 7.24y + -7.4z <= 424.85
-0.43x + 4.73y + 4.95z <= 209.04
-7.3x + 5.59y + -4.54z <= 615.35
8.37x + 2.86y + -3.87z <= 258.28
-6.86x + -8.15y + 7.64z <= 257.34
-0.47x + 1.33y + 9.17z <= 173.1
8.58x + 7.07y + -6.07z <= 947.06
-8.98x + 7.99y + 6.86z <= 717.17
-9.02x + 1.95y + -5.25z <= 910.44
-4.54x + 7.38y + -6.34z <= 590.57
3.62x + -5.61y + -6.46z <= 971.91
-6.8x + 0.66y + 8.86z <= 972.15
0.98x + 3.63y + 0.48z <= 871.92
0.33x + -3.73y + -5.57z <= 226.52
-9.86x + 0.07y + 8.88z <= 970.68
5.84x + -1.12y + -7.25z <= 804.05
-5.82x + 4.83y + 5.32z <= 289.98
-8.46x + 6.92y + 9.04z <= 295.18
-1.78x + 2.64y + -4.13z <= 433.69
-7.29x + 4.71y + 9.66z <= 536.37
-8.29x + 3.28y + -4.84z <= 458.04
0.51x + -4.34y + -7.92z <= 662.97
7.45x + -8.95y + -9.45z <= 774.18
8.0x + 8.75y + 2.45z <= 681.64
4.64x + -6.06y + -3.29z <= 293.14
8.93x + -3.46y + 3.5z <= 513.98
3.48x + -6.79y + -5.54z <= 502.33
6.84x + -7.55y + 6.94z <= 240.88
-3.03x + 4.24y + 6.31z <= 829.54
-0.89x + -3.17y + -0.32z <= 648.84
2.02x + 9.46y + -8.13z <= 144.69
-0.26x + 6.39y + -1.71z <= 947.81
-3.72x + -7.01y + -0.58z <= 741.38
-8.0x + -9.14y + -8.06z <= 824.19
5.58x + 2.63y + -8.31z <= 654.01
-2.67x + -8.45y + -5.05z <= 984.88
-6.18x + 1.11y + 2.45z <= 162.41
7.74x + 2.77y + 4.61z <= 373.03
8.9x + 7.91y + -2.16z <= 818.62
-0.89x + 6.5y + 1.78z <= 300.0
3.38x + -2.63y + -1.17z <= 325.09
4.22x + 4.53y + 0.37z <= 799.89
-9.74x + -7.83y + -9.59z <= 773.73
1.84x + -7.65y + -3.31z <= 160.06
-1.12x + 6.64y + 8.11z <= 178.71
-6.84x + -4.85y + 2.88z <= 936.37
-4.12x + 5.9y + 2.72z <= 916.57
-6.09x + 5.44y + -8.6z <= 510.11
-0.79x + 3.53y + -4.02z <= 253.66
-2.7x + -4.09y + 4.78z <= 864.07
6.19x + -5.61y + -8.6z <= 793.29
9.33x + -6.22y + 4.93z <= 467.61
2.95x + 5.77y + 5.01z <= 661.17
-6.69x + 9.31y + -7.48z <= 678.53
4.1x + -8.06y + 5.91z <= 916.55
-3.42x + 8.5y + 3.08z <= 738.32
-8.4x + -2.58y + 7.94z <= 828.18
5.78x + -1.3y + 5.05z <= 403.58
-9.27x + 2.48y + 7.08z <= 966.62
7.4x + 7.1y + -1.04z <= 901.18
4.23x + -6.67y + 6.48z <= 683.82
-9.92x + -7.51y + -1.3z <= 686.43
6.34x + -9.88y + 2.33z <= 649.75
8.98x + 7.94y + -6.62z <= 709.67
3.42x + 7.9y + -6.39z <= 149.78
-0.7x + 4.07y + 3.54z <= 282.58
-5.31x + -9.71y + -4.21z <= 793.19
-2.53x + -8.78y + 3.91z <= 158.05
4.7x + -5.49y + -7.04z <= 605.71
0.88x + 2.05y + -3.98z <= 673.02
4.29x + -3.44y + -7.47z <= 523.35
