max 7.81x + -1.37y + 3.03z
-8.61x + 7.13y + -5.47z <= 995.95
5.55x + -5.36y + -6.79z <= 362.53
6.21x + 4.85y + 3.65z <= 100.99
6.63x + 2.23y + 3.17z <= 385.39
0.52x + 5.76y + 8.34z <= 103.71
9.64x + -8.32y + -3.73z <= 676.38
-3.53x + -5.44y + -1.64z <= 934.05
4.86x + 5.91y + 7.15z <= 324.55
-7.16x + 7.46y + -3.26z <= 872.07
4.98x + -3.7y + 0.26z <= 535.48
-7.12x + -3.17y + 5.34z <= 563.7
7.56x + 3.2y + -7.51z <= 118.63
9.11x + -5.97y + 2.2z <= 522.95
-1.48x + 2.99y + -2.93z <= 458.61
7.16x + -9.53y + 7.11z <= 595.46
6.24x + -2.13y + 9.62z <= 983.2
6.67x + -2.6y + -4.47z <= 469.62
5.06x + 1.95y + 9.35z <= 469.8
-9.25x + 8.91y + 3.17z <= 311.48
-7.51x + 4.01y + -6.14z <= 139.46
5.43x + -4.45y + -1.38z <= 346.85
9.82x + 9.51y + 3.17z <= 909.48
-3.96x + 4.29y + 8.28z <= 196.99
-1.86x + -3.66y + -8.6z <= 660.43
-7.05x + -7.52y + 5.22z <= 498.56
-7.86x + -1.42y + -2.98z <= 480.99
-7.52x + 2.25y + -4.31z <= 576.46
1.43x + -3.19y + -2.4z <= 641.52
-2.79x + 6.22y + -4.28z <= 316.5
9.13x + 3.57y + 4.94z <= 863.61
0.78x + -0.71y + 6.92z <= 122.42
-8.17x + 6.38y + 9.43z <= 741.76
2.47x + -1.24y + 3.03z <= 536.3
-6.37x + 6.93y + -9.48z <= 667.39
-4.07x + -2.86y + -4.0z <= 256.88
-9.18x + 4.18y + -6.71z <= 206.98
-2.12x + -6.15y + 0.53z <= 247.85
3.93x + 3.73y + 4.52z <= 991.49
4.22x + -0.26y + 2.68z <= 688.23
5.27x + 4.6y + -3.5z <= 432.14
-2.77x + 2.57y + -9.44z <= 771.78
6.96x + 5.68y + -4.15z <= 749.45
3.71x + -8.29y + -5.97z <= 708.67
-6.89x + -0.77y + -0.41z <= 787.56
3.88x + 8.0y + 4.54z <= 967.95
-0.7x + -8.06y + 4.91z <= 784.09
-7.02x + -2.96y + -3.29z <= 959.84
-4.1x + -3.09y + -4.76z <= 812.45
8.37x + 8.43y + -3.61z <= 113.27
3.67x + -6.25y + -8.92z <= 216.14
-5.76x + 0.39y + 6.08z <= 456.08
9.59x + 4.9y + 9.58z <= 532.05
8.46x + 0.34y + -2.91z <= 228.17
7.01x + 5.52y + -8.95z <= 898.51
-8.38x + -9.45y + -4.04z <= 956.96
6.1x + -4.04y + 6.16z <= 803.1
-0.47x + 6.28y + -1.27z <= 817.42
-7.2x + -1.85y + 7.51z <= 878.68
-5.74x + 0.07y + -9.37z <= 874.64
5.56x + 3.88y + -8.32z <= 917.2
4.78x + -4.08y + 1.35z <= 521.19
-9.11x + 6.15y + -3.12z <= 697.86
-3.04x + -4.63y + -7.64z <= 454.65
4.29x + 0.7y + 6.48z <= 393.63
8.75x + 2.25y + 1.93z <= 112.62
-6.2x + -2.49y + 7.29z <= 866.96
-4.78x + -2.12y + -7.87z <= 108.99
-0.4x + -9.51y + -3.64z <= 568.39
8.58x + -0.5y + -0.7z <= 179.52
4.9x + -7.96y + 3.99z <= 888.62
-1.66x + 7.44y + -1.06z <= 308.45
4.55x + -3.49y + 7.14z <= 168.31
7.32x + -7.21y + -9.22z <= 335.83
-4.74x + -8.13y + -6.05z <= 901.57
4.97x + 7.92y + 2.77z <= 278.55
-0.53x + 8.1y + 4.3z <= 716.75
-9.33x + -2.29y + 2.37z <= 690.09
-0.45x + 3.38y + 8.42z <= 399.71
-2.67x + -7.02y + 3.13z <= 743.52
3.39x + 5.44y + -8.45z <= 673.92
-4.57x + -5.74y + -5.64z <= 624.34
9.31x + 1.02y + 9.39z <= 399.2
0.98x + 4.41y + 3.96z <= 581.7
0.81x + -3.67y + -2.38z <= 508.77
2.35x + -6.31y + 5.77z <= 690.93
8.29x + 7.83y + 5.88z <= 746.05
-7.56x + 6.56y + -2.36z <= 899.83
-5.17x + 1.29y + 7.57z <= 155.19
-2.4x + -1.42y + -7.13z <= 837.76
-8.93x + -9.27y + -8.45z <= 147.72
2.0x + 9.69y + 2.21z <= 723.0
-8.2x + -7.47y + 4.41z <= 270.29
-2.92x + -3.25y + -5.75z <= 176.47
-7.55x + 9.72y + -2.33z <= 738.54
-9.05x + 6.39y + 9.81z <= 817.23
-0.41x + -5.23y + 1.5z <= 305.79
-2.96x + -4.56y + -1.73z <= 996.6
-3.49x + 7.47y + 9.12z <= 895.21
-8.83x + 7.19y + -9.91z <= 690.58
5.45x + -3.87y + 3.27z <= 262.07
-4.73x + -6.51y + -5.96z <= 804.8
-4.78x + -0.58y + 7.39z <= 613.04
-2.56x + 3.06y + 5.98z <= 732.79
3.81x + -5.59y + 6.23z <= 108.19
5.55x + 4.43y + -7.92z <= 399.92
-5.84x + -4.17y + -8.62z <= 438.73
-5.36x + 1.87y + 0.34z <= 248.96
-4.83x + 1.98y + 3.86z <= 272.45
3.26x + -9.51y + 7.87z <= 311.91
-9.48x + -2.35y + 2.66z <= 833.52
-4.67x + -1.2y + -5.88z <= 497.17
9.23x + 4.13y + 8.1z <= 230.93
-2.11x + -0.21y + -9.21z <= 595.94
2.64x + -1.55y + -7.52z <= 478.5
-7.84x + -0.61y + 7.14z <= 993.35
-7.93x + 6.06y + 4.17z <= 331.0
-4.51x + 3.82y + 3.27z <= 202.37
9.21x + 5.17y + 1.52z <= 993.3
-0.34x + 7.11y + 3.12z <= 395.0
9.61x + -5.25y + 7.79z <= 262.33
-1.16x + 0.45y + 0.51z <= 571.29
-3.37x + 1.11y + 5.1z <= 816.29
4.25x + 5.7y + -4.71z <= 909.3
3.1x + 5.72y + -6.22z <= 193.4
-8.98x + -6.36y + 0.55z <= 590.37
2.37x + 2.21y + -2.69z <= 739.33
9.75x + -0.36y + 7.7z <= 358.0
-8.74x + -2.08y + 1.44z <= 813.37
-3.49x + -1.93y + -7.42z <= 184.49
7.7x + -5.69y + -1.29z <= 899.81
-7.61x + 5.78y + -8.13z <= 641.41
-8.17x + 7.21y + 6.45z <= 954.89
8.83x + -3.72y + 2.2z <= 648.17
5.26x + 1.79y + -2.67z <= 631.42
-9.77x + 9.42y + 2.4z <= 114.96
3.92x + 6.46y + -9.72z <= 205.96
5.48x + -3.39y + -7.42z <= 442.7
-0.68x + 6.3y + -6.28z <= 899.06
-6.01x + -8.28y + -2.42z <= 507.25
6.8x + 7.0y + -3.44z <= 709.97
-4.85x + -6.0y + 2.1z <= 138.41
-9.97x + -8.23y + -6.11z <= 432.23
7.59x + 9.39y + -6.1z <= 937.55
-1.56x + -8.36y + -8.37z <= 477.33
0.63x + 0.06y + -6.07z <= 838.88
-3.87x + -0.5y + -5.43z <= 669.16
2.43x + -9.52y + 5.9z <= 771.34
0.81x + 9.74y + 5.36z <= 533.03
5.76x + 0.13y + -1.49z <= 462.7
9.29x + -2.95y + 4.18z <= 316.08
-1.2x + -0.33y + -0.56z <= 911.75
-6.76x + 5.4y + -1.31z <= 639.37
4.1x + -6.45y + 2.33z <= 676.72
-6.97x + -6.64y + -3.45z <= 129.36
-2.97x + 6.36y + -1.6z <= 579.78
-7.53x + -2.46y + -5.59z <= 556.32
2.48x + 5.57y + 5.35z <= 594.27
3.63x + 4.36y + 3.97z <= 426.74
0.76x + -6.68y + -3.15z <= 446.17
9.01x + 0.59y + -5.45z <= 378.93
5.79x + 0.13y + -7.0z <= 931.93
2.85x + 0.38y + -2.75z <= 129.51
-1.64x + -7.59y + 1.78z <= 117.05
-6.49x + 2.06y + 5.15z <= 295.11
-9.9x + 9.11y + -1.33z <= 877.65
-6.24x + 7.25y + -1.26z <= 703.9
-6.24x + 2.93y + -5.81z <= 311.87
2.95x + 8.65y + -6.55z <= 883.21
3.23x + 4.96y + 4.52z <= 479.15
7.44x + -3.86y + -3.81z <= 820.1
-7.43x + -4.14y + -8.28z <= 178.74
8.67x + 1.91y + 0.78z <= 823.86
-3.54x + 6.12y + 1.01z <= 246.96
3.76x + 6.41y + -2.73z <= 461.39
9.09x + -8.42y + 9.42z <= 974.62
7.74x + 6.58y + -6.26z <= 939.33
-6.9x + -2.46y + 0.7z <= 397.34
-6.84x + -2.93y + 5.83z <= 758.13
4.15x + -1.45y + -2.31z <= 173.95
-4.51x + -9.49y + 2.79z <= 201.96
3.12x + -7.82y + 8.08z <= 151.98
-8.4x + -7.7y + -3.69z <= 701.58
-8.03x + -6.29y + -8.47z <= 289.17
-5.4x + 4.78y + -5.81z <= 914.52
-9.73x + 0.45y + -3.04z <= 106.66
-4.2x + 1.32y + -5.8z <= 617.76
-9.64x + 4.17y + -1.95z <= 892.63
8.3x + -7.17y + 7.84z <= 298.04
3.02x + -2.85y + 1.59z <= 368.74
1.4x + -9.5y + 3.26z <= 331.51
9.0x + 7.19y + -3.2z <= 229.51
4.63x + -9.65y + 4.62z <= 789.92
1.67x + -4.63y + -3.8z <= 812.38
5.39x + 5.95y + 4.41z <= 213.59
-9.61x + -2.24y + -4.8z <= 479.19
-7.97x + -0.41y + -8.36z <= 703.25
-4.1x + -1.52y + 0.1z <= 325.79
3.27x + 2.08y + -5.4z <= 141.07
-9.04x + -5.93y + -8.95z <= 120.63
-3.26x + 7.24y + 9.81z <= 588.39
2.6x + -5.0y + -4.94z <= 649.74
-6.68x + -9.94y + -5.9z <= 966.67
1.51x + 7.14y + -0.56z <= 498.35
-4.54x + -7.85y + -1.16z <= 865.66
0.94x + -6.36y + 9.63z <= 976.58
5.74x + -5.69y + -9.28z <= 290.77
-0.84x + -9.74y + 8.49z <= 654.17
-2.83x + -4.97y + -5.88z <= 976.23
1.28x + 8.96y + -7.66z <= 258.05
-4.06x + -6.84y + -7.21z <= 477.1
8.96x + 1.04y + -4.2z <= 498.38
8.58x + 9.72y + -0.37z <= 906.34
8.8x + 1.18y + 5.87z <= 266.39
8.28x + 8.07y + -4.45z <= 389.23
-9.02x + -2.47y + 4.23z <= 278.29
-7.54x + -6.87y + 8.08z <= 631.2
1.38x + -5.87y + 5.41z <= 851.41
-0.72x + 6.3y + -5.59z <= 522.53
0.14x + -4.56y + 5.34z <= 715.61
-9.46x + -8.9y + 2.23z <= 929.59
8.44x + -1.05y + 8.52z <= 815.22
-2.41x + 7.45y + -1.49z <= 226.81
4.16x + -1.29y + -8.52z <= 842.11
2.41x + 0.94y + 7.86z <= 101.13
7.93x + 2.3y + 7.25z <= 326.58
-9.84x + 4.33y + -9.27z <= 174.04
8.91x + -4.1y + -3.67z <= 473.19
9.93x + 2.38y + -4.69z <= 745.2
-0.08x + 1.81y + 4.29z <= 813.72
0.64x + -4.91y + -8.47z <= 431.32
9.28x + 3.15y + -8.11z <= 928.82
-7.22x + 0.34y + 6.07z <= 298.5
-5.2x + 8.65y + 5.5z <= 387.48
-5.04x + 2.39y + -7.06z <= 957.13
-8.68x + 3.3y + -0.49z <= 759.31
7.86x + 0.49y + -3.04z <= 747.34
-1.87x + -1.22y + -5.82z <= 378.1
0.29x + -2.14y + -1.15z <= 310.34
2.29x + -1.25y + 3.04z <= 949.63
2.51x + -2.39y + 9.84z <= 977.5
-1.13x + -5.18y + -7.12z <= 236.74
1.68x + 4.68y + -5.87z <= 603.69
-0.78x + -7.26y + -7.51z <= 496.59
9.09x + -7.79y + 4.41z <= 157.9
-1.58x + -4.75y + 1.3z <= 204.35
-4.9x + 6.34y + -6.5z <= 109.85
7.91x + 5.66y + 0.87z <= 389.85
8.39x + 6.44y + -1.85z <= 167.31
-6.29x + 3.6y + 4.35z <= 148.3
6.17x + -5.9y + -4.57z <= 521.82
4.2x + -6.19y + 9.29z <= 253.84
4.79x + 5.79y + 8.09z <= 417.73
-6.46x + -1.73y + 8.98z <= 812.32
6.6x + 5.55y + 8.07z <= 887.52
6.95x + -8.65y + -7.79z <= 134.08
-8.36x + -9.39y + -9.42z <= 144.56
-5.18x + -0.03y + -2.19z <= 267.66
-7.89x + -5.57y + 5.16z <= 366.27
4.73x + -1.81y + -5.96z <= 643.97
-5.2x + 1.42y + -0.27z <= 564.91
7.17x + 9.73y + 3.81z <= 438.06
1.47x + -1.13y + 0.24z <= 419.02
-2.17x + 5.61y + -8.17z <= 557.33
-6.12x + -9.23y + -5.87z <= 824.16
-6.66x + 1.32y + -9.27z <= 604.57
4.16x + -9.52y + 5.79z <= 235.98
3.11x + -8.08y + -7.75z <= 653.26
-1.49x + -6.47y + 8.89z <= 734.25
2.43x + 0.65y + -3.74z <= 310.93
-8.11x + -7.52y + -7.66z <= 306.7
-3.01x + -4.4y + 2.04z <= 389.43
-3.65x + 8.65y + 3.43z <= 444.78
-5.61x + -0.98y + -0.15z <= 517.97
5.07x + 5.64y + 8.72z <= 649.9
-1.08x + -8.12y + 7.78z <= 604.63
8.3x + 5.54y + 9.94z <= 148.29
-4.79x + -4.59y + -6.95z <= 335.14
-5.12x + -5.49y + -8.81z <= 100.38
7.25x + -1.72y + 7.58z <= 314.11
1.24x + 6.9y + 5.8z <= 216.63
4.86x + -9.21y + 1.23z <= 118.56
2.45x + -0.88y + -6.35z <= 105.57
-8.84x + 3.15y + -8.32z <= 658.83
7.32x + -1.37y + 2.83z <= 658.65
-1.19x + -6.37y + -8.83z <= 485.29
5.72x + -1.94y + 6.53z <= 936.18
-9.88x + -4.73y + -1.4z <= 909.16
-5.77x + 7.78y + 0.37z <= 922.24
3.05x + -0.17y + 1.79z <= 683.16
2.41x + -9.85y + 1.2z <= 630.49
7.0x + 7.05y + -3.58z <= 912.59
1.49x + 6.97y + -6.78z <= 730.41
-9.77x + -7.02y + 6.07z <= 599.04
1.95x + 2.48y + -1.43z <= 337.93
-6.81x + -6.48y + 9.67z <= 434.83
8.66x + -8.53y + 9.48z <= 363.66
8.69x + 9.27y + -2.11z <= 474.28
-9.97x + 4.55y + 2.29z <= 456.71
-2.7x + 6.89y + 9.37z <= 104.09
-4.09x + -8.46y + -9.12z <= 735.95
-5.46x + 5.08y + 8.53z <= 960.84
3.53x + -7.98y + -0.61z <= 739.81
-3.83x + 6.63y + 3.73z <= 701.08
8.54x + 3.65y + 3.28z <= 974.97
-1.94x + -9.58y + -8.52z <= 292.58
1.68x + 6.49y + -7.92z <= 166.47
9.57x + 5.36y + -0.36z <= 873.8
0.04x + -4.15y + -4.57z <= 963.68
3.72x + 9.17y + 8.07z <= 324.74
8.39x + 9.22y + -7.19z <= 590.91
3.41x + 6.24y + -3.2z <= 328.56
-1.74x + 4.7y + -9.7z <= 698.64
9.25x + -6.46y + 3.97z <= 113.84
7.23x + 6.98y + -7.66z <= 704.11
8.09x + -8.9y + 1.09z <= 860.45
-5.72x + -4.75y + -3.31z <= 558.17
-2.73x + 9.38y + -1.21z <= 559.73
-8.89x + 6.24y + 1.8z <= 896.68
8.68x + 6.14y + 7.45z <= 861.2
-9.7x + 4.91y + -0.98z <= 955.15
8.18x + -3.6y + -9.85z <= 443.62
8.36x + -0.77y + -2.3z <= 899.12
4.1x + 7.79y + -1.26z <= 643.02
-5.04x + -5.7y + -1.27z <= 522.96
3.39x + -0.1y + -7.94z <= 601.96
-5.92x + -3.82y + 8.72z <= 759.71
8.11x + -2.91y + -9.07z <= 319.44
4.16x + -2.27y + -4.64z <= 701.64
9.88x + -3.06y + -8.16z <= 531.1
-1.0x + -3.8y + -1.55z <= 784.55
-4.59x + -2.52y + 2.06z <= 134.27
0.47x + -1.37y + -4.97z <= 429.03
4.88x + -0.45y + 6.8z <= 794.84
-7.86x + 4.63y + 1.28z <= 761.32
5.65x + 9.99y + -7.87z <= 779.31
6.34x + 9.58y + -7.51z <= 437.4
7.14x + 6.82y + -4.26z <= 328.57
-3.86x + -6.31y + -9.07z <= 281.73
-1.92x + 2.68y + 6.01z <= 278.19
2.57x + -7.48y + 1.16z <= 535.19
7.86x + 2.26y + 8.9z <= 540.8
-0.6x + -3.55y + -2.4z <= 841.08
7.39x + 6.78y + 7.95z <= 101.13
7.47x + -3.16y + -6.87z <= 485.93
8.37x + -7.35y + 4.4z <= 775.25
-3.42x + 6.33y + 9.28z <= 515.07
-8.82x + 4.26y + -5.87z <= 750.1
4.75x + -9.39y + -6.4z <= 465.24
7.52x + -5.31y + 9.65z <= 552.08
2.02x + 5.38y + -3.77z <= 439.03
3.5x + -4.6y + 1.21z <= 765.76
1.77x + 0.2y + -6.51z <= 214.83
-3.79x + -1.69y + -2.21z <= 134.93
6.85x + 4.32y + 0.4z <= 480.01
-8.61x + -3.41y + 5.66z <= 528.27
0.6x + -4.79y + -3.11z <= 781.11
-8.26x + -8.34y + 5.28z <= 434.57
4.1x + -6.05y + -0.37z <= 800.34
-6.19x + -3.09y + 8.06z <= 562.53
-3.04x + -5.4y + -7.46z <= 997.31
8.32x + -9.86y + 4.39z <= 865.75
7.65x + -5.26y + -7.29z <= 253.66
-9.1x + -5.33y + -1.51z <= 204.93
-5.69x + -1.72y + -1.97z <= 225.44
0.39x + -4.5y + -5.25z <= 416.37
-5.32x + -2.22y + -7.44z <= 683.04
-0.3x + 3.12y + 4.35z <= 557.47
3.1x + -1.12y + -1.97z <= 165.57
-5.9x + 0.34y + 6.81z <= 636.85
-5.5x + 1.76y + 1.66z <= 744.7
5.25x + 7.46y + -6.05z <= 313.35
-4.69x + -7.15y + 7.37z <= 894.99
-8.21x + 7.2y + -3.09z <= 497.11
-1.85x + 4.51y + 8.57z <= 860.06
3.71x + -1.05y + 2.13z <= 870.64
-8.27x + -9.26y + -1.18z <= 840.99
6.95x + 8.25y + -6.75z <= 882.78
1.57x + 7.57y + -0.28z <= 358.59
-2.08x + -1.79y + -6.36z <= 504.03
9.73x + 0.02y + 1.91z <= 748.08
-8.48x + 7.35y + 8.09z <= 209.79
8.17x + 8.37y + 7.65z <= 407.19
-8.03x + -4.17y + -7.73z <= 104.26
3.12x + 1.23y + -1.83z <= 505.07
0.08x + 0.67y + -3.74z <= 921.0
-0.54x + -4.45y + -4.94z <= 736.03
0.56x + 2.05y + -5.4z <= 466.6
1.58x + 8.59y + 5.4z <= 842.65
9.36x + -2.44y + 4.46z <= 503.89
-6.66x + 8.33y + 6.49z <= 589.39
-6.74x + -1.12y + -6.82z <= 789.29
6.23x + 2.51y + -1.34z <= 267.75
-3.22x + 1.21y + -5.53z <= 557.84
-2.17x + 3.35y + 5.18z <= 223.56
9.87x + 4.26y + -5.88z <= 578.54
-0.16x + -4.51y + 5.97z <= 820.39
5.04x + 4.69y + -4.74z <= 665.91
-3.54x + -8.84y + 6.53z <= 220.2
3.21x + 7.51y + 2.0z <= 489.74
0.34x + -9.24y + -6.79z <= 862.11
7.19x + -1.03y + 8.28z <= 770.5
-1.21x + 1.79y + 6.64z <= 568.67
-5.21x + -6.11y + 4.09z <= 670.54
-9.44x + 8.7y + 9.6z <= 373.61
-4.9x + -2.17y + -5.84z <= 143.5
4.59x + -9.45y + -4.85z <= 448.41
2.26x + 0.63y + -2.58z <= 386.44
6.44x + 0.65y + 1.33z <= 663.66
-8.35x + -9.45y + -9.31z <= 413.99
-4.21x + -6.08y + -3.96z <= 585.78
5.45x + 6.75y + -6.69z <= 984.28
-7.83x + -5.0y + 5.5z <= 610.71
9.89x + -8.07y + 2.31z <= 728.1
1.74x + 4.72y + 9.31z <= 734.91
-2.98x + 3.04y + 5.15z <= 290.83
-4.94x + -0.51y + 9.9z <= 338.81
-6.25x + 7.05y + 5.89z <= 526.53
-1.96x + -2.13y + -3.5z <= 626.44
0.92x + 1.78y + -7.25z <= 972.35
-4.91x + -9.68y + -9.71z <= 120.72
4.14x + -9.95y + -1.66z <= 608.43
-1.16x + -0.97y + -9.47z <= 467.09
5.02x + -9.63y + -2.72z <= 674.32
2.76x + -7.21y + -6.67z <= 428.3
8.57x + 0.75y + 7.1z <= 863.08
6.44x + 2.11y + -9.76z <= 120.85
-8.29x + 3.63y + -8.76z <= 891.69
-4.45x + -5.62y + 2.02z <= 475.82
5.07x + 1.71y + 1.23z <= 802.22
0.97x + -2.5y + -4.94z <= 880.11
6.02x + -1.92y + -5.12z <= 387.2
-9.73x + 4.73y + 3.84z <= 960.04
-1.76x + 1.38y + 7.4z <= 794.51
-8.44x + -7.64y + 1.26z <= 447.89
-3.45x + -4.23y + -5.25z <= 951.01
-6.13x + 0.32y + 6.48z <= 265.95
-3.39x + 7.51y + -7.98z <= 330.67
-7.18x + 3.29y + 3.13z <= 800.81
0.62x + -2.11y + 2.93z <= 387.78
6.89x + 0.57y + 9.33z <= 398.24
-2.99x + 1.31y + -6.95z <= 659.95
5.21x + 5.71y + 2.9z <= 872.31
-1.39x + 1.86y + 4.22z <= 532.33
-1.03x + 7.97y + 8.3z <= 973.67
-1.51x + 0.19y + 6.56z <= 508.49
4.03x + 9.79y + -7.51z <= 752.2
-8.58x + -9.99y + -0.67z <= 210.27
4.62x + 9.57y + -5.06z <= 157.05
-8.3x + 3.97y + -5.0z <= 238.37
1.61x + 6.21y + -6.04z <= 899.52
-9.22x + -2.2y + -8.86z <= 557.52
-5.98x + -0.1y + -4.42z <= 142.85
-3.17x + 0.38y + 2.88z <= 399.41
-5.73x + -9.46y + 7.17z <= 365.38
5.65x + -6.64y + -7.99z <= 389.46
1.96x + 1.83y + -2.47z <= 205.45
6.06x + 4.74y + 1.12z <= 612.32
0.09x + 2.98y + -6.32z <= 564.65
0.24x + 8.08y + -3.31z <= 321.25
-6.74x + -8.34y + -2.01z <= 459.33
-5.74x + 6.84y + 8.79z <= 850.75
-3.42x + -6.05y + 9.58z <= 659.78
-4.85x + 1.51y + 3.21z <= 189.96
-6.58x + 5.0y + 5.46z <= 337.42
-6.08x + -4.54y + -4.64z <= 280.49
0.89x + -8.83y + 4.58z <= 799.48
-6.56x + -1.39y + 2.54z <= 756.4
5.95x + 2.07y + 5.52z <= 616.4
3.25x + -4.79y + -5.41z <= 996.75
-2.7x + -1.6y + 4.16z <= 872.53
-5.33x + -9.94y + -3.39z <= 481.15
-6.0x + 1.93y + 0.39z <= 324.45
-1.76x + 5.67y + -6.69z <= 733.79
4.04x + -8.27y + -0.6z <= 988.05
-8.59x + 8.21y + -5.47z <= 974.73
-8.32x + 8.85y + 1.73z <= 700.01
3.02x + 2.21y + -8.15z <= 634.15
-0.34x + 3.69y + 1.11z <= 866.91
7.87x + 3.64y + 2.09z <= 440.55
1.1x + -3.58y + 8.75z <= 227.68
4.98x + 6.77y + -2.3z <= 353.94
9.15x + 2.25y + 0.62z <= 536.43
-9.47x + 2.64y + 9.06z <= 607.68
5.39x + 3.85y + -2.31z <= 829.31
-1.08x + -7.81y + 0.69z <= 243.89
-2.68x + -2.69y + -4.84z <= 300.48
1.82x + -5.47y + 0.95z <= 441.53
-2.73x + -4.04y + -6.58z <= 573.35
-1.9x + 5.54y + 0.62z <= 982.94
4.14x + -6.59y + 9.44z <= 609.7
-1.61x + 0.64y + -8.37z <= 340.85
-6.09x + -4.49y + 3.35z <= 913.6
-9.94x + 3.51y + 6.43z <= 975.68
7.57x + 5.45y + -1.1z <= 249.4
-1.22x + 7.58y + -4.62z <= 775.52
3.99x + 2.35y + -5.48z <= 707.63
-4.94x + -3.94y + -6.16z <= 788.64
0.13x + 9.19y + -1.83z <= 526.17
1.2x + -2.16y + 9.42z <= 219.95
-1.54x + 0.49y + 5.34z <= 594.12
4.55x + -8.23y + -5.86z <= 257.31
9.74x + 9.46y + -0.73z <= 559.57
9.68x + -9.6y + 0.32z <= 145.54
-4.17x + 8.61y + -9.37z <= 244.09
-4.2x + 8.39y + 2.07z <= 601.94
-6.41x + 4.47y + -3.38z <= 676.0
7.88x + -5.91y + 1.34z <= 428.72
3.28x + -6.86y + 5.05z <= 972.0
-8.24x + 8.63y + 8.47z <= 181.88
-0.56x + 9.53y + -4.89z <= 723.58
6.06x + 6.23y + -4.99z <= 642.43
-3.91x + 8.02y + -2.78z <= 774.68
9.26x + 7.76y + -3.27z <= 488.93
8.22x + 9.57y + -4.01z <= 470.3
-8.4x + 8.2y + 6.84z <= 388.73
1.82x + -5.75y + 9.05z <= 780.49
-1.82x + -9.93y + -1.17z <= 821.7
-5.21x + 6.43y + 7.3z <= 674.69
7.88x + 6.71y + 0.1z <= 858.4
-9.41x + 2.69y + 0.35z <= 771.25
-3.9x + 0.59y + 7.23z <= 832.23
2.55x + 2.58y + 2.7z <= 659.88
7.04x + 6.54y + -1.12z <= 278.47
3.72x + 8.91y + -7.78z <= 883.22
-8.57x + -1.33y + 4.32z <= 996.71
4.5x + 8.09y + -1.83z <= 334.97
9.92x + -1.86y + 3.29z <= 704.47
1.49x + -0.53y + 3.06z <= 312.07
-0.84x + -0.44y + 2.34z <= 350.97
-5.49x + -1.05y + 1.57z <= 439.12
-1.24x + -6.99y + -6.41z <= 204.62
0.89x + 7.94y + 6.94z <= 412.52
-6.09x + 8.03y + -1.94z <= 838.57
-3.46x + -0.64y + -1.89z <= 175.56
2.42x + -7.84y + 7.13z <= 192.04
-6.57x + 4.92y + 9.79z <= 709.23
-7.44x + 1.61y + -2.14z <= 555.21
7.36x + -2.0y + -3.39z <= 762.61
-7.86x + 7.25y + -3.43z <= 301.67
9.4x + -1.25y + -1.03z <= 126.31
-2.95x + 7.75y + 4.29z <= 548.81
6.68x + -3.06y + -3.3z <= 369.7
-0.58x + 5.54y + -2.49z <= 700.23
-4.15x + -0.45y + -2.71z <= 166.36
-1.27x + 6.15y + -8.32z <= 391.76
-8.42x + 8.84y + -8.09z <= 976.34
-1.97x + -2.84y + 0.88z <= 646.2
-5.7x + -7.48y + -7.8z <= 787.41
-9.83x + -5.39y + -2.12z <= 679.92
2.31x + -5.59y + -2.74z <= 137.45
4.74x + 4.95y + -6.89z <= 138.37
-9.7x + -8.76y + -3.01z <= 569.22
8.78x + -0.11y + -8.44z <= 475.61
7.49x + -3.07y + -7.98z <= 271.72
-8.99x + 4.79y + 2.99z <= 994.14
0.87x + -9.46y + -8.66z <= 981.12
1.36x + -6.83y + -2.66z <= 328.7
4.02x + -2.86y + -3.07z <= 960.69
7.0x + 3.49y + 4.61z <= 514.45
-2.48x + 1.23y + 6.23z <= 892.59
-4.91x + -2.37y + 6.83z <= 268.01
0.12x + -7.56y + 5.99z <= 687.51
-3.12x + -1.86y + 4.47z <= 881.59
-0.08x + -0.85y + 3.07z <= 301.08
6.61x + 3.96y + -8.16z <= 209.02
-9.26x + 2.0y + -0.02z <= 133.54
-8.06x + 6.38y + -2.06z <= 998.56
-7.0x + 8.55y + -8.05z <= 944.27
5.57x + 5.6y + 3.94z <= 823.48
2.61x + -9.14y + 3.34z <= 339.29
-4.45x + -6.13y + 5.18z <= 149.4
9.34x + 1.17y + -5.32z <= 862.93
7.95x + -6.92y + 1.16z <= 820.59
7.15x + 7.0y + 6.41z <= 966.27
9.04x + -7.02y + -9.22z <= 283.79
7.88x + 9.09y + -0.78z <= 689.21
8.16x + 2.08y + -0.49z <= 885.31
4.39x + 1.52y + -1.82z <= 315.21
4.06x + -1.92y + -7.11z <= 359.89
-1.75x + -0.81y + 0.19z <= 547.32
-7.4x + 2.75y + -7.16z <= 372.74
-4.72x + 5.76y + 7.1z <= 967.87
9.57x + 1.04y + -6.04z <= 284.6
1.79x + -9.58y + -1.74z <= 414.06
5.11x + -3.66y + 8.47z <= 257.37
-2.18x + -2.04y + 9.4z <= 963.93
3.03x + -1.74y + -6.15z <= 892.9
1.46x + -5.66y + 7.14z <= 661.27
1.87x + -3.07y + -8.66z <= 818.82
8.06x + 3.22y + 4.01z <= 575.34
-0.36x + -2.81y + 0.78z <= 744.2
8.72x + -6.88y + 6.25z <= 331.18
3.58x + -7.19y + -1.85z <= 610.95
8.94x + -9.64y + -6.09z <= 320.54
5.4x + -7.73y + -9.84z <= 183.27
