max -1.05x + -2.26y + 0.11z
0.4x + -8.46y + 2.93z <= 398.31
-0.76x + 4.3y + -5.54z <= 326.73
-5.49x + -2.14y + 6.14z <= 196.83
-6.24x + -4.09y + -7.26z <= 553.34
-7.87x + -3.35y + 5.19z <= 795.92
8.48x + -3.93y + 3.08z <= 843.1
9.93x + -4.5y + -7.54z <= 907.73
-8.52x + -6.32y + 4.36z <= 708.3
4.17x + 3.45y + 9.11z <= 856.46
-4.47x + 5.34y + 5.07z <= 940.43
-7.99x + 0.32y + -8.36z <= 617.27
0.86x + -9.58y + 8.17z <= 561.39
1.64x + 2.89y + -3.61z <= 144.29
-7.43x + 4.85y + 2.67z <= 391.66
-2.58x + -3.96y + 8.43z <= 640.71
-2.25x + 5.97y + 0.88z <= 402.61
-3.93x + 1.52y + 9.35z <= 240.6
0.72x + -8.19y + 5.12z <= 775.11
0.51x + 4.51y + 6.04z <= 437.01
-2.6x + 9.57y + -9.74z <= 318.51
-3.24x + 2.59y + -3.69z <= 111.84
-6.46x + 8.45y + 0.6z <= 252.21
-3.07x + 6.4y + -9.51z <= 547.24
-0.83x + -8.73y + 2.14z <= 380.21
5.03x + -0.47y + -2.3z <= 254.87
9.02x + 5.87y + -3.04z <= 136.65
8.97x + 1.44y + 6.1z <= 800.28
4.42x + 3.44y + -0.06z <= 654.3
-7.85x + 4.83y + -8.57z <= 367.4
6.49x + 3.06y + -9.09z <= 365.72
1.79x + 6.4y + 4.35z <= 838.94
-4.37x + -4.95y + -2.81z <= 696.32
-5.07x + 7.12y + 4.17z <= 892.29
-1.84x + 2.92y + -1.82z <= 944.99
-3.7x + 4.01y + 0.16z <= 854.59
1.57x + -7.28y + 6.19z <= 328.49
-1.17x + -5.58y + 0.48z <= 807.29
6.93x + -3.3y + -8.88z <= 351.54
6.92x + -2.99y + 4.33z <= 176.58
1.17x + -8.7y + 9.58z <= 514.86
-7.73x + -4.44y + 4.13z <= 460.84
4.39x + -1.85y + 0.53z <= 562.71
-3.29x + -5.63y + -5.63z <= 924.45
4.51x + -6.81y + 7.46z <= 716.46
9.5x + -8.54y + -1.43z <= 917.95
-6.88x + 5.87y + -3.68z <= 572.38
5.98x + -2.07y + -8.8z <= 567.56
-2.85x + -1.0y + 8.13z <= 291.49
9.3x + -3.52y + 1.24z <= 837.62
-9.57x + 4.08y + 7.9z <= 591.01
8.4x + 1.05y + -4.17z <= 834.29
-6.24x + 0.01y + -1.87z <= 206.01
-6.09x + 1.12y + -5.92z <= 364.9
-2.1x + 1.99y + 1.61z <= 240.83
2.27x + -0.66y + 5.39z <= 285.83
9.27x + 1.69y + -6.43z <= 921.52
-6.03x + 7.15y + 6.22z <= 971.88
7.98x + 1.25y + -6.05z <= 919.16
-6.49x + -5.03y + 4.8z <= 838.66
-4.05x + 6.23y + 1.94z <= 271.79
0.67x + -2.04y + 1.54z <= 179.16
4.84x + -9.12y + -4.6z <= 187.32
-9.86x + -2.25y + 2.51z <= 906.19
2.33x + -3.89y + -7.5z <= 669.16
-9.31x + -5.7y + -2.73z <= 580.95
8.49x + -9.89y + 8.82z <= 441.31
-0.09x + -2.65y + -3.24z <= 696.14
-5.64x + 1.5y + 3.22z <= 792.27
0.25x + 3.64y + -2.51z <= 196.9
-2.68x + -2.27y + -9.27z <= 834.62
-8.54x + -4.3y + 6.04z <= 990.55
7.42x + -9.57y + -4.8z <= 532.44
-1.86x + 2.32y + 2.98z <= 341.95
-5.12x + 1.71y + 0.34z <= 277.51
8.06x + -5.3y + 0.78z <= 903.27
-2.64x + -0.62y + -6.7z <= 120.81
-8.12x + 8.5y + 0.35z <= 559.54
3.32x + 7.48y + 7.04z <= 174.19
9.35x + -7.77y + -4.66z <= 582.08
1.2x + 1.97y + 7.82z <= 758.31
-4.96x + 2.91y + 7.42z <= 226.22
5.28x + -6.6y + 2.68z <= 614.52
-4.85x + -1.88y + 0.01z <= 479.23
4.39x + 0.67y + 8.76z <= 704.05
6.48x + 9.51y + 7.61z <= 600.94
-1.57x + 8.05y + -6.66z <= 370.42
1.66x + 5.64y + -2.93z <= 401.45
6.61x + 3.91y + 8.69z <= 845.66
-1.24x + 4.81y + -9.26z <= 193.87
6.9x + 9.79y + -9.56z <= 830.7
3.23x + 6.37y + 8.61z <= 485.79
8.34x + 8.71y + -4.51z <= 533.46
8.69x + -8.56y + -3.54z <= 439.25
-3.09x + 9.23y + 8.18z <= 515.02
0.09x + 2.11y + -3.19z <= 172.52
-2.57x + 5.53y + 2.94z <= 897.72
1.45x + 8.49y + -6.63z <= 489.25
-7.45x + -2.37y + -9.44z <= 531.25
5.8x + -1.36y + 9.02z <= 449.31
-0.04x + -1.35y + -8.05z <= 712.54
-4.53x + -1.82y + 2.07z <= 962.89
8.14x + 9.2y + -5.86z <= 640.14
7.65x + -5.56y + 3.8z <= 594.5
2.7x + -0.82y + -5.12z <= 396.34
-8.47x + 8.03y + -1.79z <= 788.65
-7.8x + -0.3y + 1.19z <= 463.4
-6.34x + -3.84y + -9.76z <= 359.13
-1.22x + 1.43y + 2.8z <= 489.89
-9.47x + 0.39y + -0.18z <= 677.86
4.14x + 5.92y + -1.13z <= 540.93
-0.75x + -1.71y + 0.87z <= 216.07
4.14x + -1.31y + -9.02z <= 207.03
0.52x + 6.23y + 9.17z <= 891.68
-1.66x + -1.48y + -8.95z <= 432.35
-0.08x + -3.69y + -7.39z <= 733.34
9.43x + -7.19y + -9.62z <= 713.26
-2.68x + 0.57y + 6.73z <= 172.67
-4.19x + 1.94y + 8.09z <= 334.29
-1.89x + -6.32y + 7.84z <= 846.67
-7.0x + 8.92y + -5.35z <= 597.76
4.53x + -9.13y + 9.84z <= 832.71
3.36x + 5.18y + -7.17z <= 154.67
-1.62x + 6.39y + 2.12z <= 658.28
-5.36x + -9.76y + 3.05z <= 219.99
-3.63x + -7.12y + 6.78z <= 965.56
-0.19x + -8.45y + 1.55z <= 979.13
1.73x + -5.0y + 9.99z <= 939.22
2.49x + -8.66y + -0.83z <= 147.66
4.08x + 6.06y + 8.97z <= 954.74
8.72x + 8.48y + -1.5z <= 436.57
-7.4x + 2.84y + 8.84z <= 994.06
2.92x + -3.64y + 7.23z <= 839.76
1.12x + 8.61y + -5.6z <= 666.37
5.6x + -4.29y + -3.14z <= 185.09
2.81x + -7.27y + -1.78z <= 621.94
-8.19x + -4.32y + 2.81z <= 513.53
-2.17x + 3.45y + 9.23z <= 620.43
-1.89x + -2.71y + -6.42z <= 778.07
3.73x + 3.3y + -2.54z <= 767.82
1.63x + -0.26y + -2.29z <= 180.79
-6.61x + -8.09y + 2.19z <= 433.32
-1.57x + 3.81y + 1.95z <= 857.25
-8.3x + -9.27y + -5.72z <= 209.14
7.86x + -5.71y + 2.53z <= 169.83
0.56x + -2.61y + -7.72z <= 198.67
8.17x + -1.8y + -1.5z <= 337.39
3.97x + -7.08y + 6.53z <= 667.45
7.81x + 5.33y + -1.62z <= 765.29
-6.99x + 6.06y + -1.91z <= 287.68
9.22x + 2.17y + 0.08z <= 343.22
-2.29x + -6.89y + 3.42z <= 357.13
8.12x + -5.07y + 6.49z <= 548.02
6.34x + 6.27y + 2.67z <= 745.41
4.19x + -8.65y + 9.27z <= 782.09
4.91x + -1.84y + 8.48z <= 355.52
-7.08x + 2.74y + -9.36z <= 257.66
-0.83x + 8.74y + 8.37z <= 676.66
-1.11x + -7.2y + 0.44z <= 788.02
-9.65x + 8.72y + 1.68z <= 624.55
-1.47x + 1.35y + 2.09z <= 575.19
7.83x + -8.32y + 4.9z <= 202.24
9.98x + 0.06y + -9.62z <= 898.84
-2.66x + -0.08y + 5.66z <= 314.48
0.94x + -4.59y + -0.59z <= 443.85
-4.83x + 5.14y + 7.37z <= 993.82
-5.63x + -4.28y + 3.81z <= 597.33
-7.33x + -7.65y + -6.29z <= 319.63
-3.23x + -0.58y + -5.29z <= 498.46
0.92x + -4.15y + -5.65z <= 328.67
8.01x + 6.72y + -4.7z <= 722.06
8.47x + 1.23y + -4.17z <= 865.72
0.13x + -9.2y + 0.84z <= 694.16
-0.51x + -9.94y + 3.52z <= 235.17
8.07x + -1.27y + -4.4z <= 562.69
-5.64x + 2.23y + -4.45z <= 897.32
4.52x + -8.68y + 7.45z <= 102.27
-0.46x + -6.92y + -9.59z <= 316.82
3.63x + 1.7y + 6.12z <= 503.68
2.08x + -0.53y + 8.26z <= 275.69
6.99x + 4.21y + -8.07z <= 245.86
8.0x + 4.4y + 3.41z <= 824.34
-1.39x + -1.66y + 7.27z <= 956.34
7.65x + 9.57y + -7.53z <= 592.32
-9.72x + -3.31y + 6.27z <= 861.02
-3.73x + 5.68y + -5.11z <= 528.78
-6.16x + -7.25y + -3.86z <= 952.49
3.34x + -8.16y + -6.55z <= 609.13
5.21x + -5.03y + -7.8z <= 376.52
1.46x + 8.31y + -0.44z <= 910.3
-9.85x + 9.5y + 0.57z <= 741.73
8.81x + -9.65y + 3.46z <= 213.79
-1.43x + -0.65y + 7.69z <= 430.88
-2.81x + 6.38y + -9.36z <= 274.91
2.74x + 8.87y + 8.68z <= 406.22
-3.66x + -7.25y + -5.34z <= 703.38
3.45x + -8.18y + 8.97z <= 696.35
9.72x + -4.47y + -3.81z <= 711.58
4.47x + 2.94y + -8.23z <= 789.22
-7.04x + -5.38y + 8.97z <= 826.57
4.7x + -5.3y + 0.73z <= 484.49
5.96x + 5.63y + 9.49z <= 308.72
4.28x + -5.47y + 9.0z <= 309.1
-2.63x + -7.96y + -3.37z <= 725.45
4.6x + 2.73y + 2.88z <= 902.3
-9.88x + -6.74y + 7.5z <= 979.33
-3.09x + 6.65y + 4.72z <= 125.36
-8.83x + 9.88y + -1.55z <= 894.1
3.64x + -6.23y + -1.43z <= 399.25
5.27x + 1.18y + 7.62z <= 344.15
-9.43x + 5.25y + -3.08z <= 852.27
7.36x + -1.37y + -6.48z <= 637.75
6.87x + -9.13y + 5.62z <= 387.59
-2.23x + -9.27y + -8.35z <= 821.12
-3.97x + -9.0y + 7.24z <= 285.16
-3.91x + 9.17y + -2.39z <= 778.66
-0.81x + 2.47y + 5.49z <= 568.46
4.58x + -3.36y + 6.94z <= 936.54
1.27x + -3.45y + -3.38z <= 572.28
-2.09x + -7.71y + 5.81z <= 854.08
-0.91x + 8.84y + -4.06z <= 816.06
7.31x + -0.65y + -1.69z <= 842.04
-2.56x + 2.6y + 4.51z <= 133.59
4.92x + 4.54y + -3.35z <= 773.68
-5.35x + -5.73y + 7.78z <= 702.03
6.79x + 0.8y + -0.36z <= 318.11
0.01x + 6.15y + -2.1z <= 790.07
-0.98x + -9.46y + 3.34z <= 810.27
5.39x + -9.14y + -7.05z <= 925.11
-9.18x + -6.32y + 6.36z <= 204.96
2.2x + -1.11y + -9.35z <= 889.05
-8.12x + 7.17y + 1.31z <= 989.53
5.33x + 2.27y + 9.75z <= 204.64
4.13x + -9.8y + -6.18z <= 998.53
5.59x + 3.44y + -7.03z <= 655.07
-4.45x + -4.04y + 7.07z <= 566.32
-5.19x + 8.33y + -2.35z <= 428.24
8.38x + 0.36y + 3.35z <= 280.24
-8.14x + 3.75y + -0.08z <= 407.04
-6.72x + 9.72y + 6.87z <= 115.0
3.66x + 5.06y + -0.65z <= 571.01
-4.19x + -9.51y + -3.58z <= 845.9
-6.54x + -6.97y + -4.63z <= 377.13
7.48x + -2.96y + -0.14z <= 895.34
-6.03x + 8.9y + -1.07z <= 537.44
3.87x + -8.85y + 6.47z <= 825.05
1.83x + 9.36y + -3.1z <= 735.81
3.94x + 8.24y + 8.09z <= 648.33
6.67x + -1.58y + 1.57z <= 840.52
-3.62x + 3.29y + 3.25z <= 241.53
-6.71x + 7.27y + -8.91z <= 271.99
5.89x + 9.62y + -8.46z <= 596.14
0.87x + 9.3y + 7.33z <= 113.44
4.04x + 3.15y + -4.53z <= 107.18
2.74x + 1.62y + -0.18z <= 502.03
-7.78x + 6.13y + 2.02z <= 766.23
2.21x + -5.08y + 7.6z <= 260.27
-5.6x + -2.48y + 6.76z <= 458.31
-3.12x + -3.32y + -9.02z <= 325.63
8.02x + -6.54y + 6.65z <= 581.77
3.95x + 2.27y + 7.39z <= 469.93
-4.76x + -4.04y + -0.29z <= 377.39
-0.74x + -7.82y + -8.37z <= 242.78
-6.33x + -9.45y + 7.15z <= 845.42
9.24x + -7.03y + 9.28z <= 444.6
5.51x + -0.74y + -1.19z <= 304.36
9.9x + 0.99y + 9.35z <= 840.83
-3.82x + -8.7y + -7.16z <= 353.32
8.47x + 9.9y + -0.89z <= 623.48
5.74x + -4.97y + 7.12z <= 531.33
-2.37x + -4.69y + -5.2z <= 211.39
0.32x + 9.33y + -6.83z <= 279.97
-4.01x + 7.97y + -1.26z <= 382.37
9.56x + -8.26y + 6.28z <= 924.99
6.69x + -0.47y + 9.65z <= 459.44
6.58x + -8.65y + -6.52z <= 399.36
-9.87x + 8.56y + -2.88z <= 908.65
-9.76x + 3.89y + -5.99z <= 623.7
-3.09x + -5.82y + -7.27z <= 192.13
8.6x + 5.81y + 6.17z <= 180.45
2.0x + 1.09y + 7.49z <= 712.74
-2.19x + -7.65y + 3.28z <= 864.98
-5.01x + 6.9y + -5.38z <= 660.27
3.68x + 0.06y + -5.99z <= 334.2
-4.84x + 9.55y + -3.9z <= 977.79
-9.53x + -0.66y + -5.32z <= 543.84
9.06x + 4.09y + -7.77z <= 322.2
-3.13x + -1.48y + -3.24z <= 443.83
0.48x + 1.83y + 4.19z <= 406.82
4.32x + 2.83y + -9.63z <= 748.21
3.71x + -1.58y + 9.11z <= 732.28
-0.7x + -1.13y + 0.7z <= 881.85
-6.58x + -5.38y + 4.94z <= 501.74
-8.87x + 7.36y + 8.39z <= 901.8
7.65x + 6.2y + -8.47z <= 680.01
-6.03x + -4.26y + -5.11z <= 864.95
-3.13x + 4.33y + -7.58z <= 826.62
0.91x + 4.61y + 5.48z <= 183.18
-4.5x + -5.95y + 4.54z <= 269.34
1.46x + 9.88y + 0.13z <= 111.31
-7.11x + 2.21y + 4.63z <= 239.6
3.12x + -7.99y + -5.46z <= 649.84
6.05x + 6.17y + -4.86z <= 657.65
-0.72x + 2.93y + -1.06z <= 279.23
-5.74x + -8.82y + 7.09z <= 182.77
-7.74x + 7.21y + 6.8z <= 347.81
-5.73x + -4.41y + -4.04z <= 845.79
3.23x + 2.9y + -7.88z <= 234.82
4.38x + -2.64y + -0.47z <= 906.0
8.59x + -2.45y + 1.39z <= 290.06
-4.84x + 7.57y + 0.62z <= 149.36
9.71x + 4.21y + 2.43z <= 110.52
9.22x + 4.42y + -5.24z <= 164.64
8.1x + 7.91y + -0.88z <= 492.48
-1.48x + 3.91y + 3.8z <= 723.78
-4.17x + 7.77y + -3.63z <= 101.99
-2.36x + -0.42y + -7.11z <= 599.69
-3.36x + 8.72y + -8.04z <= 968.86
3.55x + 6.34y + -7.41z <= 818.08
-8.26x + -1.22y + -9.79z <= 754.16
5.8x + 6.08y + -1.04z <= 987.9
9.33x + 0.43y + 0.11z <= 454.33
7.89x + 1.31y + -4.85z <= 699.88
5.7x + -0.9y + 7.73z <= 774.23
1.37x + 7.37y + 1.82z <= 828.7
-3.35x + 3.45y + -9.98z <= 125.35
8.19x + 2.7y + -8.29z <= 478.97
-1.92x + -2.47y + 2.12z <= 723.7
-6.01x + -4.51y + -8.79z <= 750.43
-5.41x + 4.69y + -1.88z <= 445.21
7.21x + -4.52y + -6.93z <= 302.7
2.24x + -6.67y + -7.56z <= 730.41
4.51x + 2.48y + -9.08z <= 933.87
5.64x + -6.81y + -8.35z <= 212.21
4.11x + 0.61y + 6.98z <= 424.22
-8.87x + 9.15y + 7.32z <= 798.92
-7.75x + -9.05y + -6.99z <= 894.84
7.47x + 9.32y + 2.28z <= 528.61
4.86x + -9.26y + 6.87z <= 986.72
-2.53x + 4.83y + 3.78z <= 694.33
-6.69x + 2.7y + -4.04z <= 230.9
8.9x + -4.29y + -3.69z <= 637.7
3.66x + -1.57y + -8.26z <= 320.02
-5.38x + -4.7y + -1.09z <= 329.04
0.59x + 8.82y + 2.5z <= 578.02
5.42x + -2.65y + -7.85z <= 780.86
2.38x + 6.76y + -4.91z <= 632.23
3.82x + 1.23y + -8.72z <= 620.12
0.5x + 1.47y + -5.65z <= 668.86
0.15x + -3.22y + -8.21z <= 804.75
-8.22x + 5.19y + -9.36z <= 362.95
1.56x + 7.04y + 8.04z <= 725.21
6.27x + 9.3y + -9.57z <= 460.18
-3.63x + -2.45y + 7.86z <= 562.16
1.7x + -9.32y + 5.5z <= 799.5
5.35x + -6.9y + -8.77z <= 502.66
7.43x + -2.48y + 7.16z <= 861.03
0.4x + 7.36y + 8.74z <= 153.91
-3.24x + -2.84y + -9.32z <= 601.77
-8.97x + 3.3y + -1.47z <= 948.79
9.71x + 5.92y + 8.82z <= 163.64
9.78x + -6.6y + 2.51z <= 103.46
4.09x + -7.01y + 3.99z <= 886.56
-6.02x + -5.51y + 1.61z <= 718.48
-5.01x + -9.17y + -5.05z <= 597.18
-9.45x + 2.93y + -9.15z <= 607.4
-6.06x + -5.69y + 3.05z <= 455.19
7.43x + -9.77y + -1.31z <= 339.13
-5.45x + -4.77y + -8.12z <= 260.03
3.94x + 1.1y + -9.58z <= 142.68
-4.86x + -7.55y + 5.88z <= 208.91
1.99x + 2.06y + 6.04z <= 546.77
-5.4x + 1.16y + 8.86z <= 803.49
0.59x + -5.04y + 6.77z <= 325.69
-2.93x + 6.86y + -7.43z <= 209.18
-5.97x + 3.09y + 7.59z <= 184.01
-0.69x + 5.81y + 7.54z <= 756.74
-4.74x + -6.73y + -4.49z <= 295.59
0.12x + -4.33y + -6.26z <= 800.49
4.95x + -3.06y + -4.52z <= 718.57
-4.62x + 4.16y + 9.67z <= 590.14
-9.84x + 8.79y + -2.93z <= 811.1
-8.1x + 4.59y + -2.92z <= 682.11
2.37x + -5.98y + -6.96z <= 964.97
9.32x + 8.41y + -5.73z <= 275.8
8.49x + 7.25y + 6.85z <= 715.39
5.93x + 4.16y + 7.55z <= 898.67
5.03x + -4.39y + -9.56z <= 820.55
-7.66x + -8.19y + -5.74z <= 234.74
-8.94x + 5.05y + 5.7z <= 724.52
-9.58x + -7.94y + -0.26z <= 646.78
5.33x + 0.43y + -0.86z <= 392.12
8.47x + 9.71y + 9.29z <= 433.24
8.13x + 1.36y + -9.76z <= 182.33
-1.43x + 4.51y + 3.93z <= 675.4
-5.38x + -3.74y + -5.63z <= 624.43
7.65x + 2.41y + 2.01z <= 575.43
9.62x + 1.55y + 7.62z <= 410.03
2.49x + 7.73y + 7.51z <= 936.82
-8.23x + -5.35y + -8.06z <= 395.04
-1.56x + 4.98y + 4.59z <= 367.14
-9.82x + -7.42y + -4.43z <= 363.4
-0.76x + -0.8y + 2.2z <= 214.64
4.06x + 9.9y + -9.72z <= 448.67
-9.37x + 2.04y + -4.35z <= 621.96
-3.26x + -8.87y + 2.87z <= 601.05
4.04x + 1.05y + -1.83z <= 381.73
-6.96x + -1.18y + -7.13z <= 157.2
0.36x + 0.65y + 4.38z <= 523.02
4.51x + 6.33y + 2.29z <= 771.77
-1.83x + -4.23y + 7.43z <= 869.65
-3.82x + 9.42y + 6.79z <= 123.32
-0.03x + 2.2y + -3.87z <= 807.25
-3.15x + 9.94y + -2.57z <= 822.3
4.7x + 1.96y + 1.43z <= 132.26
-7.23x + 2.7y + -7.42z <= 171.2
0.96x + -0.34y + -4.48z <= 293.6
-4.22x + 6.17y + 0.4z <= 987.94
-5.75x + -6.43y + 6.65z <= 631.99
-1.67x + 0.7y + -2.97z <= 683.15
2.71x + 7.99y + 7.54z <= 986.57
-6.44x + -8.47y + 3.79z <= 593.69
0.87x + -9.77y + 7.98z <= 827.55
5.95x + 3.72y + 6.93z <= 891.23
-9.56x + -4.5y + -0.29z <= 855.7
-5.32x + 3.66y + 1.14z <= 435.05
-2.08x + -3.13y + -8.29z <= 489.49
8.01x + 4.9y + 6.83z <= 472.71
-3.1x + 8.76y + -6.25z <= 456.32
4.66x + 0.12y + 3.5z <= 872.28
-4.65x + -3.93y + -7.51z <= 840.98
-3.76x + -7.17y + -9.88z <= 665.39
1.49x + -1.81y + -3.49z <= 594.56
-5.36x + 2.3y + 2.08z <= 318.74
-2.77x + -7.28y + 5.59z <= 572.1
-1.98x + 6.02y + 8.43z <= 241.64
-0.81x + -7.17y + -1.06z <= 748.98
-4.11x + 7.6y + -4.79z <= 164.39
-9.84x + 9.4y + 3.14z <= 359.86
-3.01x + -0.21y + 3.79z <= 525.2
-3.61x + 5.4y + -7.76z <= 396.96
8.97x + -9.34y + 7.87z <= 973.34
-6.66x + 9.51y + -1.52z <= 491.86
1.32x + -5.85y + 9.56z <= 487.43
0.81x + -5.31y + -4.59z <= 908.44
-5.91x + -0.95y + -4.46z <= 381.75
5.49x + -0.42y + -5.13z <= 928.38
-5.82x + 8.65y + 4.36z <= 581.14
-7.96x + -4.74y + 1.25z <= 261.93
6.49x + -2.76y + -2.5z <= 661.6
-1.35x + 2.24y + -5.07z <= 979.63
4.54x + -4.23y + 0.53z <= 624.83
5.48x + 0.92y + -7.16z <= 224.97
-0.54x + 8.54y + -2.1z <= 145.23
2.5x + 4.71y + 6.89z <= 656.14
1.17x + 7.44y + 9.14z <= 356.21
6.43x + -7.9y + 3.01z <= 754.17
0.44x + -2.0y + -5.9z <= 434.1
8.64x + -6.78y + -1.71z <= 859.62
2.09x + 5.67y + 4.14z <= 517.76
0.42x + 5.21y + 0.37z <= 790.98
3.56x + -6.27y + 7.1z <= 666.56
-5.29x + -5.58y + -3.38z <= 341.3
-3.84x + -5.94y + 5.56z <= 682.58
-8.21x + -8.43y + 7.13z <= 607.96
9.8x + 9.29y + 4.04z <= 702.03
2.95x + -0.54y + -9.05z <= 983.91
1.32x + -2.23y + 8.78z <= 249.78
6.1x + -7.0y + 9.91z <= 889.54
4.39x + -9.73y + -1.84z <= 286.93
1.73x + -1.95y + 7.26z <= 800.29
1.68x + -7.38y + -1.32z <= 637.64
1.94x + 3.6y + 8.89z <= 889.08
-6.48x + 2.04y + -9.87z <= 659.5
-5.12x + 3.03y + 4.55z <= 409.57
-4.29x + -4.43y + -0.31z <= 164.21
2.72x + 8.67y + -3.42z <= 962.48
-7.72x + 9.04y + -0.88z <= 308.86
1.96x + 9.61y + -9.82z <= 563.04
-3.38x + -2.54y + 1.76z <= 264.17
-5.6x + -1.72y + 9.11z <= 359.64
-8.58x + 8.59y + -9.87z <= 570.15
6.92x + 7.23y + -1.69z <= 626.87
-8.66x + -6.49y + 5.96z <= 489.6
-9.18x + -5.07y + 2.86z <= 668.92
3.63x + 8.01y + 3.71z <= 257.42
8.54x + 3.05y + -9.14z <= 233.3
7.56x + -5.65y + 7.75z <= 239.45
7.15x + -7.83y + -8.37z <= 266.34
7.77x + 0.25y + 5.02z <= 546.94
6.9x + 6.24y + -0.95z <= 929.8
1.78x + 9.92y + 6.96z <= 836.89
-6.0x + 9.86y + 4.07z <= 757.92
-1.16x + 9.78y + -3.63z <= 480.02
1.09x + 0.24y + -9.5z <= 408.99
-6.06x + 2.3y + -6.16z <= 941.32
7.21x + -4.02y + 2.7z <= 624.87
-6.93x + -6.98y + 4.68z <= 713.37
3.38x + -2.28y + -9.15z <= 232.49
8.31x + -6.83y + -9.64z <= 705.17
-1.61x + 8.18y + -7.85z <= 679.91
4.06x + 3.78y + -3.3z <= 515.32
5.67x + -9.75y + 5.57z <= 408.57
-4.97x + -7.51y + -0.47z <= 649.66
-6.36x + 5.71y + 1.06z <= 345.67
-8.63x + -0.68y + -6.65z <= 477.4
-9.79x + -5.67y + -6.14z <= 654.06
-5.66x + 3.15y + 2.25z <= 762.93
3.38x + -7.47y + -3.18z <= 128.74
-9.41x + 4.57y + 0.44z <= 152.1
2.98x + 9.2y + -4.22z <= 536.51
9.32x + 5.82y + 3.15z <= 176.94
-3.15x + 7.51y + 0.03z <= 509.01
-1.18x + -1.43y + 5.72z <= 261.21
-7.93x + 9.36y + -7.37z <= 775.39
-2.6x + -1.17y + -7.3z <= 158.43
-4.7x + 1.9y + -1.28z <= 342.83
9.73x + 5.48y + 9.22z <= 314.19
-7.54x + -4.46y + 2.0z <= 515.91
4.46x + 8.46y + -8.26z <= 835.58
-8.43x + 6.42y + 1.97z <= 295.29
-8.91x + -3.59y + -2.04z <= 802.78
8.01x + 2.35y + -5.37z <= 435.41
-3.67x + 0.92y + 5.02z <= 708.99
8.33x + -6.3y + 2.74z <= 816.39
-9.54x + 5.12y + 3.34z <= 107.91
-3.98x + -2.15y + -6.37z <= 527.56
-5.11x + -6.26y + -3.65z <= 118.95
-0.14x + 1.56y + -9.23z <= 355.46
-6.56x + -5.67y + 2.29z <= 127.18
-3.35x + -6.47y + 3.78z <= 771.44
8.65x + 9.67y + 8.96z <= 686.15
7.29x + 9.93y + 0.76z <= 886.62
-1.38x + -7.94y + -3.25z <= 312.76
-9.66x + -6.05y + 8.34z <= 895.87
-1.98x + -6.81y + 2.37z <= 152.78
-1.51x + -4.86y + 6.5z <= 463.82
-0.2x + 5.42y + -7.98z <= 645.84
-2.84x + 6.34y + -0.31z <= 719.54
-7.12x + -4.43y + 7.95z <= 250.35
-1.44x + -9.55y + 8.62z <= 344.59
1.08x + 6.0y + 1.95z <= 993.38
4.3x + 6.82y + -7.49z <= 760.59
4.86x + -5.31y + 6.02z <= 714.75
9.66x + -0.78y + -7.96z <= 372.96
1.02x + 0.7y + 1.31z <= 466.15
2.05x + 1.37y + -4.81z <= 180.97
0.57x + 9.71y + -4.72z <= 745.74
-7.02x + 3.13y + -5.68z <= 736.9
-0.61x + -0.53y + -2.04z <= 911.89
-3.5x + -4.65y + -0.31z <= 651.88
9.95x + -8.15y + -4.25z <= 439.5
-1.09x + -9.69y + 1.82z <= 725.64
-1.03x + 8.89y + 7.43z <= 693.64
-2.53x + 6.62y + 7.96z <= 947.79
-3.45x + -4.31y + 5.3z <= 923.87
-2.28x + -8.88y + -3.95z <= 218.93
-6.71x + -9.65y + -4.69z <= 956.44
-4.25x + 9.35y + -5.36z <= 209.98
6.37x + -0.7y + -3.34z <= 836.46
4.93x + -7.98y + 7.39z <= 962.2
7.42x + 8.6y + -1.29z <= 646.77
-9.92x + 1.14y + -9.35z <= 908.37
7.16x + 7.2y + -4.36z <= 690.43
5.03x + 9.9y + -1.21z <= 302.65
-0.32x + -7.94y + -6.95z <= 156.97
4.36x + 8.89y + -8.35z <= 616.64
2.58x + -3.43y + 8.95z <= 993.97
-7.8x + 8.64y + 7.28z <= 284.53
-2.37x + 6.86y + -5.79z <= 237.45
6.93x + 4.61y + -8.05z <= 735.95
4.55x + 2.45y + 1.18z <= 236.82
3.65x + 7.74y + 8.55z <= 291.18
-6.99x + -7.89y + -2.88z <= 742.32
-4.7x + -0.99y + 9.15z <= 684.88
7.48x + -8.95y + 9.77z <= 382.0
0.46x + -1.75y + -5.17z <= 768.12
-9.58x + -4.03y + -5.65z <= 309.69
-8.85x + -3.92y + 4.29z <= 861.46
-3.94x + 5.74y + 6.98z <= 104.13
3.73x + 4.97y + -9.69z <= 316.26
0.08x + -5.41y + -8.69z <= 494.98
0.5x + 2.91y + 2.31z <= 503.64
0.49x + -9.07y + -8.07z <= 799.78
-0.06x + 9.15y + -8.98z <= 628.48
3.74x + -9.37y + -3.69z <= 246.58
-7.98x + -5.38y + 1.14z <= 236.13
7.1x + -0.88y + 3.65z <= 624.5
-2.48x + 0.24y + -4.54z <= 444.2
-7.6x + -5.19y + 4.97z <= 625.85
0.01x + -1.46y + -8.82z <= 182.94
0.33x + -6.46y + 8.91z <= 510.76
0.02x + 8.36y + 0.4z <= 898.74
-1.7x + 7.63y + -7.09z <= 846.09
1.6x + 7.66y + -5.41z <= 876.28
2.29x + 5.06y + 1.64z <= 191.6
