max 4.18x + -6.67y + -3.92z
-6.98x + -1.62y + 5.16z <= 452.36
4.16x + 5.41y + -6.37z <= 116.71
-4.54x + 4.85y + -7.81z <= 959.21
1.05x + -3.8y + -7.27z <= 763.63
7.0x + -6.63y + 7.25z <= 409.19
5.42x + 6.88y + 9.2z <= 603.83
-2.46x + -8.58y + 5.63z <= 855.19
-4.56x + -3.26y + 2.61z <= 394.45
4.72x + 9.15y + -4.67z <= 837.99
-2.24x + -4.27y + -8.03z <= 373.31
-3.25x + 8.52y + 1.48z <= 794.04
-7.93x + -3.24y + 2.95z <= 302.02
-7.02x + -8.94y + 4.0z <= 479.67
2.78x + -3.49y + 6.43z <= 976.84
3.19x + 1.77y + 2.09z <= 152.73
2.75x + 6.3y + 4.65z <= 640.96
1.84x + -8.4y + -3.67z <= 110.15
5.01x + 7.69y + 0.38z <= 341.59
-6.78x + 1.6y + -9.2z <= 125.45
-4.62x + -2.55y + 5.78z <= 974.15
8.11x + 7.03y + 7.66z <= 333.95
1.2x + 2.08y + -8.6z <= 472.84
9.98x + -4.79y + 0.35z <= 846.67
2.33x + 2.66y + 7.5z <= 248.5
2.61x + 4.76y + 3.4z <= 544.47
-0.58x + -1.16y + 6.52z <= 209.7
-6.55x + -6.22y + 4.69z <= 326.31
3.63x + -1.49y + -9.27z <= 173.84
-5.53x + 9.38y + -2.7z <= 146.42
-7.39x + 7.41y + 4.26z <= 947.24
-0.92x + 3.58y + -4.85z <= 116.8
-2.69x + 6.92y + -9.46z <= 228.65
9.26x + 4.65y + 0.35z <= 375.31
-8.46x + 9.48y + 0.92z <= 777.03
-4.36x + 6.89y + 6.69z <= 617.65
8.74x + 5.0y + -6.52z <= 110.78
9.4x + 9.31y + 5.32z <= 387.16
8.64x + 6.29y + 2.47z <= 463.26
6.52x + -1.88y + 1.31z <= 323.43
1.08x + -7.13y + 5.43z <= 378.99
5.91x + -7.73y + -0.54z <= 860.42
7.33x + -5.11y + 3.3z <= 110.49
6.55x + -5.11y + 3.26z <= 528.62
-8.14x + 1.65y + 7.65z <= 525.55
1.24x + -6.59y + 0.9z <= 860.57
-7.95x + 8.33y + 7.31z <= 213.93
-8.04x + 2.99y + -5.41z <= 218.67
-4.83x + 1.84y + -3.81z <= 771.22
0.93x + -3.25y + 4.49z <= 978.1
4.21x + 5.14y + -6.1z <= 957.08
-2.21x + -6.11y + 7.73z <= 453.57
9.4x + -8.76y + -4.84z <= 654.83
3.62x + 8.95y + 0.51z <= 932.19
9.7x + 5.81y + 3.18z <= 622.59
-0.09x + 7.06y + 1.76z <= 760.84
-7.34x + -2.13y + 8.22z <= 349.8
-1.91x + -5.05y + -0.74z <= 751.14
9.12x + 1.63y + 0.15z <= 262.74
4.82x + 4.16y + 3.67z <= 521.79
-6.64x + -1.11y + -5.73z <= 248.15
-8.76x + 2.36y + 8.11z <= 396.28
2.59x + -6.11y + -7.05z <= 892.62
5.0x + -1.22y + 4.56z <= 327.15
-5.67x + 7.64y + -2.5z <= 118.31
1.76x + 5.49y + -5.23z <= 519.17
-9.04x + -6.93y + 0.67z <= 294.62
-3.13x + 1.36y + 2.64z <= 800.82
-5.8x + 9.12y + -7.41z <= 926.08
-1.53x + 6.65y + 1.21z <= 366.73
-7.58x + 6.79y + 5.39z <= 807.67
3.93x + -7.63y + -1.72z <= 155.38
-6.01x + -6.69y + -6.9z <= 923.24
-1.92x + -9.6y + -5.16z <= 402.44
7.72x + 0.44y + 8.72z <= 977.04
-7.07x + -4.42y + 9.09z <= 978.95
3.26x + -3.86y + -4.51z <= 887.37
8.77x + 1.75y + 3.88z <= 367.58
-8.55x + -5.8y + 1.15z <= 429.73
9.59x + 3.19y + -7.93z <= 412.54
7.4x + -2.19y + 1.96z <= 425.07
0.71x + 4.82y + 8.36z <= 714.57
-0.16x + -7.65y + -3.24z <= 689.53
2.83x + 3.47y + -9.75z <= 402.43
-2.4x + -3.25y + 3.82z <= 208.09
-3.88x + -2.17y + 0.87z <= 826.54
-4.66x + -2.43y + 1.93z <= 693.69
-2.43x + 6.87y + -5.02z <= 863.84
-6.93x + 6.07y + -5.89z <= 183.96
9.22x + -0.65y + -0.75z <= 996.59
7.02x + 3.54y + -0.98z <= 407.93
-8.43x + -5.25y + 6.95z <= 892.36
-5.26x + 2.07y + 1.28z <= 728.05
-4.43x + -9.06y + 0.83z <= 166.51
8.58x + 7.89y + -2.17z <= 977.72
-3.89x + 5.79y + 0.06z <= 966.9
7.42x + -1.09y + 7.56z <= 580.35
5.17x + -5.71y + -2.34z <= 683.72
9.26x + -5.35y + -7.5z <= 451.84
-6.04x + 3.58y + 3.67z <= 339.27
2.13x + -5.67y + -3.98z <= 963.74
-3.9x + 3.38y + -9.47z <= 963.42
6.75x + -8.49y + 6.82z <= 444.95
-2.11x + 9.46y + -7.66z <= 969.08
3.99x + -6.23y + 1.5z <= 355.66
9.14x + 4.77y + 7.4z <= 955.45
-4.52x + -4.49y + -7.36z <= 419.47
-4.82x + -7.63y + 1.4z <= 722.68
9.95x + -8.22y + -4.94z <= 672.36
0.36x + -4.72y + -1.59z <= 324.36
-2.31x + -6.8y + -6.5z <= 912.7
-4.37x + 2.74y + -0.43z <= 550.26
-9.29x + 2.43y + 1.67z <= 605.52
9.9x + 0.66y + 5.14z <= 251.01
9.36x + 5.03y + -3.12z <= 529.79
3.72x + -1.12y + -1.58z <= 817.06
-0.66x + -2.76y + 0.15z <= 790.62
0.69x + -3.12y + 6.29z <= 405.53
6.67x + -0.83y + 4.28z <= 786.25
-7.08x + 7.23y + 7.37z <= 318.23
2.47x + 5.99y + 7.55z <= 158.24
7.37x + 2.41y + -4.6z <= 764.16
-7.94x + 4.4y + 6.38z <= 983.55
3.28x + -2.24y + 5.15z <= 310.26
-1.52x + 2.22y + -2.99z <= 405.48
-6.36x + -5.69y + 4.33z <= 179.78
-8.46x + 5.95y + -9.87z <= 526.39
3.08x + -7.48y + -6.82z <= 641.01
0.03x + -6.97y + -2.21z <= 141.4
-2.45x + 1.06y + 9.64z <= 861.12
0.41x + -5.05y + -3.66z <= 861.05
-3.36x + -5.07y + -2.0z <= 488.14
4.26x + 2.85y + -1.93z <= 726.02
8.28x + -9.68y + -9.94z <= 287.23
-4.22x + 6.91y + 1.47z <= 510.55
-8.3x + -3.78y + 5.12z <= 346.83
3.82x + 7.37y + 6.7z <= 325.67
-3.51x + -6.15y + -9.97z <= 124.72
-3.88x + 9.21y + 5.57z <= 732.37
-2.9x + 4.61y + -9.34z <= 712.45
7.88x + 8.3y + -6.12z <= 701.95
-1.5x + -7.34y + 4.02z <= 670.84
-8.31x + -2.58y + 2.01z <= 573.33
8.99x + 5.7y + 0.5z <= 804.24
-2.01x + 2.3y + -9.72z <= 927.19
6.22x + -7.95y + -6.75z <= 251.33
7.17x + 6.06y + 5.58z <= 302.05
-9.24x + 3.36y + 8.81z <= 907.64
1.6x + 7.05y + -1.98z <= 559.32
0.75x + -4.56y + 6.29z <= 252.07
5.22x + -9.4y + 1.69z <= 825.31
5.82x + 1.84y + 2.05z <= 676.16
4.6x + 8.93y + -3.4z <= 993.21
-5.82x + 6.79y + 7.77z <= 119.82
-4.95x + 0.71y + 7.84z <= 193.91
0.1x + 9.55y + -4.63z <= 105.81
-0.08x + -1.76y + -3.13z <= 302.54
0.32x + -7.46y + -6.27z <= 886.57
-8.3x + 8.22y + -8.9z <= 503.93
8.33x + 9.48y + -3.48z <= 427.01
2.86x + -4.47y + -0.88z <= 922.02
1.27x + -2.13y + 0.83z <= 235.78
2.1x + -0.99y + -5.11z <= 669.95
-4.54x + 6.81y + -3.13z <= 874.86
-9.84x + -4.87y + -9.88z <= 803.06
-0.09x + 5.81y + -3.19z <= 568.37
-9.7x + 4.15y + -1.62z <= 618.78
4.02x + -7.54y + 5.24z <= 729.64
-5.51x + 7.02y + -9.34z <= 422.54
-3.41x + -5.86y + -9.43z <= 869.36
-1.62x + 0.94y + -0.28z <= 207.4
-2.24x + 1.15y + 5.44z <= 183.13
6.33x + -1.38y + -2.92z <= 506.75
-9.29x + -1.26y + -1.16z <= 151.45
3.14x + -9.45y + 9.56z <= 975.0
5.1x + 5.57y + -9.13z <= 708.46
-3.82x + -0.77y + -9.73z <= 590.57
0.8x + -2.62y + 7.6z <= 869.01
-7.67x + 9.61y + 7.99z <= 135.55
-1.79x + 9.66y + 5.48z <= 837.55
4.99x + -1.37y + 3.61z <= 833.59
-5.22x + 4.91y + -0.77z <= 315.09
-5.24x + -3.68y + 8.75z <= 362.81
-3.19x + -9.2y + 6.49z <= 178.27
-8.32x + 3.82y + -4.92z <= 919.53
-6.54x + 4.03y + -6.74z <= 668.65
-0.68x + -0.38y + -1.74z <= 320.07
-7.88x + -5.42y + 2.16z <= 214.49
-5.03x + -5.03y + 6.27z <= 529.05
-3.68x + -7.97y + 1.04z <= 513.55
0.41x + -8.75y + -8.52z <= 427.95
1.43x + 5.91y + -4.27z <= 965.17
4.71x + 2.32y + -5.79z <= 546.64
-1.29x + 3.98y + -3.93z <= 673.3
8.35x + -3.85y + -9.82z <= 717.99
-4.74x + 5.2y + 0.72z <= 785.44
-4.54x + 2.14y + 8.69z <= 485.03
-5.85x + -4.13y + -1.89z <= 190.99
0.61x + 1.42y + 7.82z <= 248.83
-4.22x + -1.1y + 3.48z <= 583.05
-8.54x + -2.04y + -0.15z <= 656.19
-4.81x + 2.61y + 9.84z <= 401.03
-3.84x + -9.59y + 5.68z <= 239.53
1.38x + 9.42y + -4.08z <= 371.94
0.83x + -3.89y + 1.8z <= 247.81
-8.83x + 8.16y + 6.08z <= 732.83
3.89x + -2.15y + -9.95z <= 376.74
-4.54x + -8.05y + -4.57z <= 965.96
0.34x + -6.49y + 4.49z <= 814.56
1.09x + -0.17y + -0.54z <= 795.99
1.34x + 6.96y + 5.99z <= 203.96
-7.15x + -1.47y + -5.66z <= 946.84
-6.84x + 8.95y + -5.33z <= 664.14
9.34x + -9.85y + 9.15z <= 444.32
-8.89x + 7.07y + 6.66z <= 317.3
-2.57x + -8.13y + 2.84z <= 968.47
-8.6x + 9.33y + 7.92z <= 420.17
-8.05x + -8.49y + 7.13z <= 935.83
-4.58x + 1.22y + 7.12z <= 442.71
1.93x + -7.02y + -0.14z <= 498.5
-5.23x + -2.94y + -1.46z <= 916.55
-2.52x + -0.72y + 2.85z <= 319.74
-8.97x + -4.1y + -9.83z <= 919.29
-8.95x + 8.53y + 6.52z <= 618.79
-8.91x + -1.02y + 7.06z <= 767.98
6.24x + -5.2y + 8.02z <= 131.05
7.52x + 0.99y + 5.46z <= 640.91
-7.32x + 8.33y + -0.26z <= 712.88
6.95x + -2.95y + 9.32z <= 663.17
3.98x + -6.99y + 9.96z <= 232.83
-3.84x + 9.94y + -2.92z <= 573.79
-2.0x + -2.12y + 5.26z <= 418.35
0.97x + -9.34y + 4.41z <= 674.23
-6.45x + 7.84y + -7.59z <= 619.4
-2.97x + -9.23y + 5.93z <= 949.7
-0.56x + 4.15y + -5.14z <= 756.29
-7.67x + -1.36y + 4.83z <= 388.06
-2.98x + 0.42y + 0.82z <= 436.93
4.89x + 3.17y + 2.27z <= 268.05
-6.07x + -6.65y + 9.01z <= 865.17
7.46x + 0.78y + 9.02z <= 652.03
8.68x + 4.74y + 0.36z <= 990.59
-0.34x + 6.97y + -1.31z <= 151.79
-2.48x + 8.61y + 6.5z <= 285.76
-7.93x + -3.67y + 1.09z <= 958.72
-5.39x + -8.49y + -4.26z <= 953.08
-3.37x + 2.03y + 3.95z <= 747.47
-1.24x + 2.27y + 1.59z <= 302.2
-3.49x + -0.15y + 7.25z <= 475.13
9.8x + -1.12y + -7.74z <= 880.18
-8.26x + 3.19y + 5.26z <= 649.7
-3.99x + 7.56y + 5.82z <= 727.21
8.7x + -8.6y + 7.21z <= 111.61
-8.4x + 9.49y + 9.8z <= 803.47
-3.87x + 2.37y + 5.2z <= 121.77
-8.44x + -4.26y + 6.01z <= 400.95
8.01x + 8.84y + 8.44z <= 851.3
-2.46x + -8.86y + -2.84z <= 858.25
-3.31x + 3.07y + 8.67z <= 861.89
7.37x + 6.98y + 3.79z <= 521.22
-4.27x + -2.73y + -6.08z <= 599.09
5.91x + 4.38y + 1.01z <= 487.48
9.74x + 5.12y + -9.92z <= 428.76
7.86x + 0.32y + 6.73z <= 140.07
6.96x + 1.34y + -9.72z <= 392.79
-1.69x + -5.66y + 4.06z <= 654.55
2.57x + -9.04y + 5.08z <= 736.16
9.11x + -2.81y + -2.08z <= 508.26
-2.32x + -7.76y + -1.43z <= 321.42
-6.94x + 3.87y + -8.77z <= 679.31
-7.06x + -5.11y + -4.21z <= 984.02
5.41x + 8.12y + 8.75z <= 951.57
-7.7x + 7.74y + -2.53z <= 170.34
-3.23x + 4.08y + -9.87z <= 716.55
-6.08x + 3.63y + 6.24z <= 600.66
-6.42x + 8.0y + 6.92z <= 444.4
9.68x + -4.97y + -0.81z <= 580.31
1.66x + -8.74y + -9.44z <= 616.28
7.56x + 2.91y + 3.85z <= 659.35
-9.89x + 3.93y + -7.27z <= 420.17
-1.8x + 8.07y + -5.35z <= 512.62
-0.03x + 8.82y + 1.93z <= 303.6
-0.45x + -1.86y + 8.85z <= 537.47
6.87x + -5.69y + -5.07z <= 902.48
9.62x + -7.62y + -5.65z <= 388.86
1.67x + -6.68y + 9.78z <= 151.04
3.55x + -9.13y + 8.06z <= 602.41
-0.23x + 2.12y + 4.82z <= 130.33
-0.41x + 8.84y + 6.35z <= 694.99
0.18x + -1.26y + -8.64z <= 222.81
-3.41x + -8.64y + 9.16z <= 888.99
3.1x + -4.48y + -9.84z <= 290.83
9.62x + -8.31y + 8.41z <= 485.98
-1.26x + -5.73y + 0.53z <= 207.46
-1.66x + -6.95y + -7.71z <= 385.97
8.22x + -1.5y + 3.21z <= 733.33
1.78x + 8.68y + -1.59z <= 678.57
0.58x + -3.02y + -7.43z <= 310.97
-7.41x + -7.95y + 1.13z <= 401.62
2.09x + -0.18y + 3.31z <= 121.42
-5.91x + 0.39y + -7.64z <= 440.47
-7.35x + -5.1y + -3.83z <= 393.36
2.47x + -8.39y + -4.32z <= 495.96
-1.43x + -1.16y + -8.4z <= 811.22
-2.89x + -5.27y + -7.35z <= 125.97
-1.49x + -0.53y + -0.35z <= 470.07
4.88x + 3.9y + -9.51z <= 244.93
-3.79x + 4.88y + 5.67z <= 854.16
9.54x + -2.85y + -3.32z <= 215.6
-7.64x + 1.83y + -2.24z <= 772.93
-0.35x + 1.41y + -2.95z <= 300.34
7.63x + 5.61y + -3.65z <= 544.72
-0.1x + 8.65y + 7.55z <= 642.94
9.9x + -3.88y + -5.96z <= 631.99
-8.5x + 3.29y + 1.83z <= 907.07
-2.05x + 4.87y + -7.97z <= 728.14
6.63x + -4.93y + 7.63z <= 268.97
-0.22x + -2.15y + 5.17z <= 173.33
6.29x + -7.23y + 2.68z <= 816.24
0.14x + -0.72y + 1.64z <= 338.37
0.61x + 2.55y + -4.55z <= 997.63
2.79x + -0.94y + -6.14z <= 457.73
-6.71x + -3.42y + -3.89z <= 111.9
4.15x + 3.14y + 0.76z <= 913.36
-7.13x + 0.38y + -2.29z <= 225.02
-5.34x + 6.68y + -9.92z <= 416.59
0.04x + 5.8y + 1.8z <= 278.57
-3.56x + 1.23y + 7.04z <= 437.73
-2.05x + -1.81y + -1.12z <= 397.82
5.92x + 2.74y + 8.49z <= 621.05
-2.92x + 5.95y + 2.05z <= 696.04
9.26x + -9.86y + -0.21z <= 382.19
5.8x + -9.17y + 4.29z <= 381.88
-0.5x + -1.13y + -3.25z <= 327.14
4.25x + 4.75y + -6.1z <= 911.08
-7.36x + 5.38y + 1.76z <= 438.81
-3.34x + -1.21y + -1.17z <= 285.89
-7.3x + -8.66y + 0.23z <= 586.39
-1.44x + 5.66y + 6.35z <= 454.18
-3.41x + -9.37y + 8.39z <= 242.3
-5.08x + -7.63y + -5.87z <= 240.72
-4.73x + 9.99y + 2.16z <= 703.83
3.35x + 1.42y + -6.66z <= 981.97
9.44x + -6.95y + -3.58z <= 741.46
-0.73x + 2.37y + 7.69z <= 907.21
-7.42x + -6.45y + 4.21z <= 527.79
-4.77x + -2.36y + 3.02z <= 202.29
-4.34x + 3.73y + 7.77z <= 899.13
-0.86x + 3.3y + 1.57z <= 833.08
-4.3x + 1.0y + -4.78z <= 651.39
-0.58x + -7.02y + -5.64z <= 637.83
3.46x + 7.07y + 1.51z <= 428.26
7.36x + -5.92y + 7.69z <= 890.11
-8.85x + 0.76y + 3.97z <= 336.14
1.79x + -7.42y + 8.71z <= 336.5
-5.96x + -0.64y + 7.7z <= 270.21
7.72x + 6.78y + 3.03z <= 714.99
0.18x + 6.24y + 9.66z <= 247.17
3.55x + 5.86y + 1.6z <= 589.67
5.95x + 6.91y + 2.38z <= 501.84
1.82x + -9.68y + -9.1z <= 504.36
-4.09x + -8.74y + 6.45z <= 753.41
4.19x + -0.83y + 9.5z <= 588.52
2.75x + 9.25y + -5.0z <= 741.4
-0.36x + -1.45y + 1.32z <= 492.23
8.36x + 2.7y + -2.41z <= 764.33
8.78x + -9.97y + 1.21z <= 541.07
8.93x + 3.76y + 2.63z <= 602.9
-8.22x + 1.09y + 4.47z <= 555.2
-3.24x + 3.13y + -0.21z <= 106.66
5.03x + 5.85y + 2.35z <= 838.84
7.54x + -9.22y + -4.65z <= 189.44
0.3x + -6.28y + 2.35z <= 817.13
-6.81x + -3.62y + -8.46z <= 510.16
1.69x + 8.97y + -2.44z <= 913.59
2.95x + -5.74y + 0.89z <= 437.85
8.53x + 9.01y + -5.28z <= 612.71
9.62x + 1.88y + 4.39z <= 449.38
5.06x + 2.84y + -5.26z <= 451.42
9.04x + -9.11y + 9.92z <= 791.94
7.84x + 3.57y + 7.84z <= 951.23
7.93x + -6.32y + 6.17z <= 636.11
-2.53x + 6.4y + -4.88z <= 238.58
-6.18x + -0.85y + -6.42z <= 543.43
-6.16x + 6.9y + 6.89z <= 217.1
2.91x + -8.04y + -3.81z <= 724.48
-0.81x + -3.35y + 8.06z <= 123.76
5.0x + -2.35y + -3.58z <= 176.54
7.22x + 2.08y + 6.6z <= 943.75
7.55x + -6.86y + -3.63z <= 138.56
-9.47x + 0.69y + -9.58z <= 695.61
7.12x + 7.98y + 4.24z <= 471.14
-6.52x + 4.42y + -2.53z <= 461.51
-8.39x + -0.28y + -4.97z <= 275.36
-3.09x + -3.2y + -8.08z <= 594.8
7.87x + -2.23y + 8.31z <= 355.54
-5.72x + 3.58y + 4.26z <= 405.52
-7.42x + -4.21y + -9.75z <= 976.67
-4.8x + -9.12y + -0.89z <= 925.77
6.12x + -6.99y + -6.89z <= 337.49
2.75x + -6.04y + -3.15z <= 713.7
-0.88x + 3.2y + -1.46z <= 474.03
6.67x + 0.65y + -7.93z <= 158.72
-4.29x + 0.5y + 6.6z <= 161.7
-1.73x + 8.54y + 5.45z <= 776.63
-5.58x + 2.05y + -6.04z <= 244.92
-3.34x + 6.95y + 8.64z <= 145.32
-10.0x + 7.66y + -1.46z <= 397.47
-0.67x + -4.69y + -2.23z <= 820.32
-9.19x + -3.41y + -1.43z <= 607.76
-3.07x + -8.26y + 1.47z <= 685.21
-6.89x + 4.88y + -3.41z <= 792.78
-8.27x + -7.44y + 7.39z <= 823.14
-6.71x + 8.28y + -9.45z <= 643.53
-2.26x + 5.89y + 8.56z <= 791.58
-3.36x + 8.86y + -8.6z <= 963.83
-1.73x + -6.9y + 0.69z <= 638.93
-3.61x + 4.07y + -6.25z <= 177.73
-3.85x + -5.09y + 6.0z <= 960.05
-6.58x + 6.6y + 8.23z <= 325.76
-4.11x + -9.74y + -6.58z <= 108.59
-2.53x + 0.09y + -9.52z <= 585.86
7.28x + 9.1y + -4.59z <= 865.45
-0.6x + -4.45y + -0.55z <= 551.57
-4.73x + 4.71y + -8.26z <= 200.05
-3.65x + -0.99y + 6.43z <= 949.23
-8.75x + -8.34y + 8.99z <= 812.65
9.41x + -1.86y + 0.37z <= 571.62
-6.38x + -4.45y + -7.26z <= 496.11
-8.84x + -1.71y + 8.46z <= 589.85
4.03x + -3.57y + -4.88z <= 549.16
4.13x + -0.11y + -3.69z <= 789.23
2.93x + -2.05y + -10.0z <= 358.96
-5.75x + -9.59y + -7.13z <= 996.91
5.59x + -5.57y + 0.13z <= 417.24
-8.82x + -7.95y + -2.0z <= 916.8
-2.78x + 4.95y + 8.66z <= 172.57
-7.27x + -7.31y + 5.87z <= 699.84
9.29x + -6.42y + -8.35z <= 739.34
4.2x + 3.71y + -7.43z <= 622.42
-4.23x + 0.08y + 5.47z <= 191.32
-8.58x + -5.16y + 2.16z <= 117.72
0.83x + -0.41y + -6.8z <= 417.85
-7.81x + -1.31y + -5.31z <= 451.46
-4.83x + -7.43y + 9.99z <= 394.97
8.7x + -7.98y + 2.47z <= 488.22
4.19x + 3.36y + -2.57z <= 545.54
-8.01x + 2.91y + -8.05z <= 271.24
1.59x + 2.22y + 4.21z <= 586.38
9.15x + -6.21y + -0.77z <= 854.04
-5.27x + 2.73y + -2.34z <= 643.12
-2.72x + 0.26y + 9.79z <= 946.2
-9.73x + -3.28y + 3.93z <= 806.12
4.34x + -5.53y + 9.29z <= 453.84
-0.44x + 7.83y + -2.67z <= 808.35
-4.95x + -0.81y + -9.48z <= 813.78
4.5x + 8.41y + -9.15z <= 342.44
5.13x + -9.37y + 3.22z <= 926.96
6.9x + 4.96y + 6.99z <= 363.71
5.97x + 7.41y + -8.83z <= 614.2
4.27x + 1.28y + -0.4z <= 881.92
-3.68x + 7.77y + 7.92z <= 154.06
7.5x + -4.09y + 1.5z <= 435.05
3.4x + 4.31y + -8.7z <= 618.45
5.19x + -1.71y + -2.47z <= 656.76
-7.53x + -0.49y + 4.72z <= 435.81
-0.76x + 7.69y + 7.38z <= 502.05
6.74x + -4.47y + 6.78z <= 491.63
-5.44x + 7.17y + 2.27z <= 539.5
-2.23x + 6.97y + -5.5z <= 107.73
-8.8x + 5.39y + 6.83z <= 774.36
9.22x + 5.34y + 5.05z <= 715.95
-6.41x + -4.52y + 4.41z <= 304.58
-6.6x + -2.6y + 5.62z <= 914.03
-9.94x + 8.31y + -7.25z <= 566.0
-4.08x + 9.78y + 7.5z <= 687.36
-6.75x + -2.3y + -8.19z <= 183.69
-7.4x + -6.77y + -1.67z <= 811.78
-0.15x + 9.76y + -3.46z <= 915.88
8.93x + 4.22y + 9.5z <= 520.7
1.31x + 6.88y + -4.75z <= 921.91
7.67x + 5.46y + -5.94z <= 537.22
-8.54x + -2.13y + -2.71z <= 292.08
3.52x + 7.68y + 3.51z <= 213.04
0.05x + 7.06y + -9.28z <= 563.99
-4.83x + -1.86y + -4.41z <= 553.58
-7.17x + 8.69y + -7.03z <= 760.55
4.8x + -8.83y + 1.25z <= 442.69
6.92x + -0.83y + -5.67z <= 965.61
3.36x + 3.88y + -9.69z <= 201.76
4.67x + 6.14y + 3.52z <= 269.78
-9.88x + 5.44y + 2.27z <= 829.4
8.7x + 5.16y + -9.4z <= 753.02
-1.52x + -5.36y + 0.6z <= 448.13
-1.93x + 7.03y + -4.73z <= 148.0
8.71x + 2.87y + 0.53z <= 224.96
-6.83x + -7.17y + 5.35z <= 711.08
8.32x + -5.05y + 6.35z <= 440.15
-0.77x + 7.03y + 6.42z <= 773.44
9.75x + -3.26y + 0.38z <= 750.55
-8.29x + 2.14y + -2.79z <= 184.88
-9.6x + 1.86y + -4.68z <= 517.35
6.49x + 5.32y + -4.86z <= 627.75
-5.37x + -6.92y + -1.71z <= 601.11
2.22x + 8.92y + -2.49z <= 188.59
5.77x + 1.09y + -4.68z <= 102.56
-4.78x + 3.44y + 8.01z <= 891.06
1.2x + -2.21y + -0.17z <= 309.61
-0.28x + 7.03y + 8.42z <= 499.86
3.37x + -7.91y + -8.93z <= 497.97
-0.32x + 8.94y + -4.97z <= 599.82
-3.27x + 9.06y + -5.61z <= 925.04
2.85x + -8.98y + -0.58z <= 796.66
0.21x + 4.03y + 3.51z <= 297.23
-4.37x + 6.6y + 6.99z <= 664.78
2.73x + -0.4y + 1.78z <= 449.2
-7.17x + 2.87y + -7.09z <= 631.0
-3.72x + 6.61y + -4.9z <= 524.72
-2.38x + 1.61y + 9.26z <= 249.91
-0.86x + -0.14y + -7.44z <= 957.94
-8.45x + 8.31y + -8.08z <= 407.13
3.63x + -8.17y + -2.64z <= 764.26
-4.1x + -1.68y + 5.93z <= 348.28
-4.39x + 8.33y + -4.37z <= 959.59
2.5x + 5.0y + -9.88z <= 426.99
4.54x + 3.86y + -9.55z <= 938.91
8.88x + 6.22y + -4.47z <= 573.8
6.85x + 3.58y + -4.76z <= 829.66
-0.26x + -9.66y + -1.83z <= 718.1
-8.11x + 1.6y + -2.17z <= 967.96
-9.33x + 7.05y + 4.54z <= 203.08
-1.14x + 1.51y + 7.78z <= 151.1
9.22x + -8.35y + 4.34z <= 619.57
-5.66x + -9.54y + -8.04z <= 954.0
-6.6x + 3.74y + -6.52z <= 350.92
-4.73x + -5.88y + 7.67z <= 345.46
0.73x + -9.87y + 7.87z <= 516.1
1.0x + 7.14y + -1.02z <= 871.43
-2.83x + -6.53y + 4.42z <= 866.88
-5.44x + -7.1y + -3.89z <= 827.15
-6.92x + -0.09y + -4.55z <= 989.73
-2.5x + -6.7y + -6.93z <= 607.34
-7.74x + -3.91y + 5.69z <= 468.6
6.21x + -7.52y + 2.52z <= 698.44
0.77x + 5.25y + 6.32z <= 555.47
-7.18x + 6.01y + 4.6z <= 444.4
-8.75x + -3.6y + -8.86z <= 333.82
-5.41x + -2.11y + -3.22z <= 698.69
-2.72x + 5.75y + 3.99z <= 338.62
3.2x + 5.59y + -9.51z <= 902.07
-8.13x + -7.29y + 5.75z <= 237.52
5.68x + 8.24y + -3.33z <= 427.88
5.29x + 1.0y + -4.17z <= 528.43
-6.85x + 5.23y + -4.33z <= 343.74
4.38x + 7.18y + -3.7z <= 611.59
-5.56x + -9.37y + 8.13z <= 355.21
3.78x + -7.39y + 1.63z <= 569.2
-3.19x + 7.65y + -6.55z <= 128.03
-7.96x + 0.91y + 2.29z <= 282.39
7.55x + 2.98y + 6.84z <= 936.08
-7.51x + -1.2y + -6.66z <= 833.86
2.03x + 9.95y + 4.88z <= 455.66
-9.65x + 5.33y + 2.97z <= 638.63
9.7x + -4.43y + 7.89z <= 898.77
3.86x + -8.02y + -8.36z <= 689.83
-8.05x + -7.7y + -8.86z <= 443.43
0.69x + -0.3y + 9.28z <= 698.72
6.72x + -3.51y + -0.52z <= 325.63
8.47x + 1.92y + 3.08z <= 444.95
7.52x + 4.76y + 7.73z <= 319.47
-7.23x + 4.8y + -7.54z <= 834.62
2.41x + -1.7y + 9.11z <= 492.61
-1.21x + -0.76y + -2.77z <= 240.81
0.51x + -3.15y + -3.61z <= 912.52
-7.86x + 1.57y + -7.95z <= 446.31
-4.28x + 6.32y + -4.0z <= 428.55
-6.5x + -0.02y + -3.04z <= 683.74
-4.32x + 8.98y + 8.34z <= 811.73
-4.35x + -7.85y + -6.0z <= 252.0
-6.85x + -0.92y + -7.36z <= 293.11
-1.93x + 2.0y + -7.98z <= 917.52
9.13x + -1.37y + 1.98z <= 966.76
7.84x + -2.23y + -3.98z <= 618.29
3.31x + -4.27y + -6.06z <= 878.83
-1.17x + 5.52y + -2.58z <= 440.26
-0.05x + -3.91y + 6.89z <= 223.14
-1.19x + -0.45y + 7.8z <= 106.81
1.78x + -8.16y + 0.1z <= 832.46
-7.31x + -6.02y + 2.61z <= 901.93
0.36x + -0.26y + -1.73z <= 799.42
9.82x + 5.35y + 2.29z <= 879.87
6.83x + 1.61y + -4.47z <= 788.87
0.53x + -4.81y + 7.69z <= 203.22
-6.35x + -0.24y + 1.74z <= 653.77
