max 1.54x + 1.48y + 4.93z
-9.81x + -8.65y + 2.73z <= 382.27
8.19x + 0.89y + 6.34z <= 790.65
-0.77x + 6.22y + -8.3z <= 102.62
-0.95x + 6.79y + 1.86z <= 927.1
-8.44x + -7.5y + -7.92z <= 313.67
9.87x + 5.5y + -0.59z <= 299.54
5.18x + 2.66y + -5.77z <= 496.84
-2.99x + 6.28y + 6.75z <= 334.63
-4.83x + -3.78y + 6.84z <= 951.92
3.14x + -9.26y + 6.86z <= 239.4
8.78x + 0.33y + -2.34z <= 608.24
-9.38x + -5.79y + -1.54z <= 678.75
3.49x + -0.97y + -8.18z <= 668.38
4.41x + 7.59y + 8.81z <= 648.9
-3.09x + 2.96y + -4.15z <= 928.28
-9.62x + -8.22y + 2.66z <= 862.86
6.85x + 3.61y + -6.31z <= 495.33
-0.54x + 6.69y + -1.8z <= 392.64
7.26x + -8.59y + 6.35z <= 793.21
9.31x + -5.64y + -6.51z <= 467.95
-8.16x + -4.84y + 4.95z <= 409.18
1.09x + -2.6y + 4.54z <= 305.04
-2.89x + 1.22y + -1.05z <= 257.21
-9.95x + 6.09y + 8.71z <= 536.61
-8.17x + -6.99y + -7.51z <= 300.5
-2.3x + 2.69y + -2.55z <= 753.11
4.87x + 7.19y + 1.5z <= 639.09
-6.44x + 0.74y + -0.14z <= 885.86
-3.48x + -9.16y + 3.79z <= 696.84
-2.77x + 5.22y + 6.23z <= 381.44
7.8x + -7.24y + 9.23z <= 482.24
-0.08x + -9.24y + 2.85z <= 333.93
5.83x + 6.54y + -9.75z <= 347.87
-3.17x + -6.92y + 8.12z <= 731.81
-6.13x + 4.35y + 4.81z <= 940.58
-6.97x + -7.98y + -1.74z <= 607.74
-5.47x + 6.66y + -3.51z <= 894.05
3.15x + 1.19y + 1.81z <= 301.32
-6.56x + 6.18y + -6.86z <= 735.46
7.5x + -8.62y + -3.97z <= 678.8
8.75x + -9.81y + -0.72z <= 393.28
9.6x + -1.78y + 3.21z <= 625.83
-9.64x + -7.09y + 2.14z <= 167.53
-2.0x + 3.94y + 0.02z <= 787.43
9.43x + -1.78y + 0.6z <= 823.76
7.48x + 3.31y + 5.25z <= 201.28
-2.49x + -6.39y + 7.52z <= 578.26
-6.53x + 6.82y + 9.03z <= 835.2
4.17x + 1.08y + 9.19z <= 960.55
4.73x + 4.85y + 3.05z <= 676.5
-7.88x + 8.07y + -0.94z <= 419.44
8.68x + -8.8y + -2.55z <= 722.15
2.43x + 5.57y + 8.83z <= 634.07
-0.57x + 8.65y + -7.64z <= 977.6
-2.41x + -3.47y + -1.95z <= 204.34
-5.85x + -5.91y + 8.37z <= 926.79
-5.29x + 9.43y + 3.59z <= 457.19
9.59x + 4.34y + 5.45z <= 476.5
-4.3x + -8.64y + 8.2z <= 696.95
-9.25x + 9.26y + -4.8z <= 381.81
2.38x + 6.9y + 3.97z <= 844.03
-7.25x + -0.29y + 9.91z <= 446.85
-4.33x + -7.11y + -0.19z <= 104.75
-1.75x + 1.32y + 2.68z <= 642.69
-2.55x + 0.34y + -4.92z <= 921.71
-2.14x + -4.02y + -6.75z <= 742.76
6.98x + -8.22y + 0.65z <= 254.81
-9.34x + 5.77y + 0.13z <= 216.8
-8.96x + -8.32y + -7.12z <= 426.21
-8.9x + 7.94y + 0.93z <= 828.42
3.12x + -4.12y + 6.02z <= 429.89
-3.9x + 3.43y + -4.71z <= 608.13
2.94x + 7.47y + 4.92z <= 943.48
-2.64x + 5.4y + -0.46z <= 910.32
3.7x + 2.16y + 5.85z <= 492.1
5.79x + 3.85y + -2.19z <= 503.26
-1.6x + 4.49y + 7.19z <= 522.98
7.03x + 8.22y + 5.27z <= 345.54
3.03x + 1.29y + -4.23z <= 560.4
9.21x + -1.47y + 5.42z <= 316.62
4.95x + -5.36y + -7.78z <= 753.02
2.59x + 4.79y + -8.66z <= 830.29
-9.97x + 4.66y + 0.28z <= 657.67
2.92x + -4.13y + -3.68z <= 512.99
-8.22x + -6.92y + -7.41z <= 115.33
-0.75x + 0.07y + 0.99z <= 408.1
-2.84x + -2.38y + -7.01z <= 809.65
-7.4x + -9.59y + -4.9z <= 929.45
2.89x + 0.71y + -9.82z <= 304.85
-8.45x + 4.52y + 3.85z <= 196.34
-4.95x + -0.54y + 0.1z <= 490.63
7.42x + -0.37y + -4.67z <= 470.29
-3.72x + -3.89y + 0.27z <= 627.39
-0.07x + -4.66y + -1.58z <= 911.05
1.3x + 1.32y + -6.15z <= 677.4
-5.28x + -5.49y + -0.39z <= 744.97
5.68x + 6.38y + -6.62z <= 813.52
-8.32x + 5.96y + 5.04z <= 258.75
0.85x + -1.55y + 5.78z <= 493.74
-7.41x + 6.19y + -6.0z <= 846.06
-5.9x + -6.03y + 7.16z <= 438.26
-7.56x + 9.89y + -8.08z <= 922.7
3.46x + 5.86y + 3.94z <= 272.46
-9.57x + 7.55y + -0.15z <= 263.73
7.83x + -1.73y + 1.18z <= 373.23
-5.97x + 1.47y + 1.91z <= 882.8
-4.97x + -2.02y + 4.47z <= 910.69
-9.26x + -6.89y + -3.97z <= 281.96
-1.18x + 5.33y + 5.24z <= 519.28
-1.01x + -6.69y + 3.39z <= 216.99
0.62x + 4.71y + 1.7z <= 888.01
-3.33x + 9.71y + 5.36z <= 690.35
-7.96x + 6.99y + -5.32z <= 471.37
-5.72x + 2.05y + -0.71z <= 529.34
-5.72x + 5.89y + -1.22z <= 472.8
-5.67x + 5.41y + -6.66z <= 501.55
2.15x + 5.89y + -1.56z <= 296.21
-8.33x + -5.29y + 5.08z <= 200.41
3.99x + -0.36y + 0.51z <= 286.02
2.35x + 6.26y + -5.3z <= 685.12
8.95x + -9.34y + -2.63z <= 231.28
2.97x + 6.8y + -6.34z <= 984.05
-7.82x + -0.89y + -7.0z <= 383.71
-7.82x + 6.49y + 1.62z <= 467.69
3.85x + -7.87y + 1.52z <= 568.18
-3.78x + -3.87y + -2.93z <= 233.64
1.63x + -6.0y + 1.58z <= 729.47
-7.21x + -0.87y + 9.02z <= 668.01
9.68x + -1.74y + -6.44z <= 440.96
6.95x + -6.99y + -2.42z <= 593.77
-1.24x + 4.73y + 2.7z <= 792.75
1.39x + -8.34y + 5.2z <= 227.29
-4.3x + -6.32y + -2.4z <= 504.21
-8.86x + 6.52y + -7.85z <= 349.77
-5.14x + -2.4y + 5.42z <= 340.79
7.89x + 5.61y + -5.5z <= 147.36
7.63x + 6.66y + -7.69z <= 488.91
2.93x + -8.0y + -6.98z <= 946.04
4.4x + 8.45y + 8.89z <= 323.13
-6.99x + -0.36y + -3.88z <= 633.98
7.73x + 4.96y + -6.63z <= 789.1
-2.53x + 0.68y + -3.46z <= 502.28
1.49x + -4.67y + 8.57z <= 533.56
-0.89x + 7.27y + 8.84z <= 313.7
-4.34x + -4.88y + 4.93z <= 652.76
2.9x + 5.9y + -7.19z <= 507.09
-0.79x + 1.59y + -5.36z <= 274.22
5.41x + -1.59y + -7.01z <= 961.98
-1.63x + 6.13y + 4.38z <= 642.98
-1.92x + 7.07y + 0.79z <= 467.44
3.74x + -7.04y + -9.53z <= 549.74
-2.0x + 5.25y + -3.96z <= 655.56
6.09x + -2.98y + -8.53z <= 747.82
-2.51x + 4.85y + -6.08z <= 134.11
3.07x + -4.13y + -5.16z <= 714.72
-9.91x + 5.2y + -0.84z <= 669.83
-4.24x + -0.13y + -9.03z <= 839.3
4.89x + -3.78y + 9.89z <= 296.13
3.3x + -7.55y + -3.65z <= 279.62
3.0x + -8.01y + 9.65z <= 748.26
-4.17x + 8.99y + -3.55z <= 730.29
-7.33x + 5.67y + 2.74z <= 140.14
4.91x + 9.31y + 7.69z <= 849.0
-4.16x + 1.18y + -3.85z <= 568.05
-9.64x + -5.08y + -5.03z <= 655.3
5.37x + -1.72y + -4.01z <= 955.04
0.75x + -4.48y + -8.25z <= 743.09
3.02x + -2.72y + 3.35z <= 915.32
-1.67x + 3.24y + 4.27z <= 102.93
-6.05x + 6.64y + -3.48z <= 966.27
7.12x + 2.12y + -5.68z <= 562.71
9.59x + 4.58y + 3.9z <= 873.77
-8.44x + 6.83y + 0.8z <= 282.1
9.17x + -8.4y + 4.61z <= 816.88
-1.33x + 9.57y + -8.55z <= 413.23
9.14x + -6.44y + 3.41z <= 133.98
-2.15x + 2.49y + -2.8z <= 447.22
-4.64x + 3.72y + -0.55z <= 487.83
0.3x + -2.61y + -0.99z <= 178.75
9.06x + -8.81y + 0.6z <= 746.32
-4.45x + -9.98y + 9.94z <= 659.9
-7.47x + -4.25y + 6.22z <= 756.44
0.81x + 2.5y + -7.47z <= 857.22
8.72x + 7.83y + -8.9z <= 946.85
8.45x + 5.76y + 3.15z <= 521.53
-1.12x + -3.49y + 6.88z <= 470.8
5.1x + 2.66y + -1.86z <= 974.77
-3.0x + -7.08y + -0.48z <= 555.88
-5.19x + 8.63y + 3.1z <= 172.36
5.11x + 7.7y + -0.77z <= 947.39
8.6x + -3.73y + 3.14z <= 616.46
-0.99x + -3.62y + -7.94z <= 805.92
8.77x + 4.82y + 8.9z <= 883.49
0.63x + -0.43y + 3.2z <= 959.12
-4.56x + 4.25y + -6.65z <= 696.37
1.83x + -5.77y + 0.1z <= 414.55
-9.12x + -5.7y + 9.45z <= 572.6
0.47x + -6.14y + -3.35z <= 738.14
-7.85x + 7.94y + 4.42z <= 452.41
4.86x + -9.41y + 5.5z <= 292.07
-3.61x + 5.03y + -6.49z <= 955.66
-5.04x + 5.29y + -2.73z <= 961.44
2.63x + -3.2y + -9.82z <= 646.54
-1.83x + 8.54y + 2.07z <= 806.04
-6.3x + 7.76y + 9.12z <= 876.08
-8.27x + -0.21y + -1.14z <= 266.61
1.96x + 0.48y + -6.06z <= 639.69
-9.69x + 5.9y + 3.72z <= 992.94
6.95x + -5.88y + -8.54z <= 584.31
-4.84x + -4.79y + -3.22z <= 615.31
-4.3x + 9.93y + 3.2z <= 989.76
8.79x + 6.48y + -8.98z <= 865.13
-6.8x + -8.75y + -5.73z <= 991.14
5.04x + -0.01y + -2.05z <= 452.21
-7.39x + 0.26y + -3.74z <= 225.28
-2.65x + -8.98y + -9.33z <= 837.68
-2.03x + 3.9y + 2.36z <= 328.94
6.5x + -7.38y + 2.14z <= 921.26
-1.81x + 0.39y + -4.45z <= 333.11
4.75x + 1.46y + 8.83z <= 891.98
-7.35x + -0.1y + 3.1z <= 510.78
4.5x + -4.75y + 9.78z <= 371.38
1.23x + 7.48y + 3.48z <= 739.73
0.6x + -8.68y + 4.5z <= 133.86
1.19x + -5.25y + 7.43z <= 919.84
2.88x + -8.32y + -8.78z <= 130.81
-2.93x + -3.09y + 6.42z <= 840.47
-2.75x + 0.64y + 0.06z <= 682.39
8.3x + -8.26y + 0.08z <= 378.44
8.24x + 4.95y + -8.31z <= 431.47
-0.56x + -7.14y + -8.82z <= 694.95
-1.82x + 1.83y + -4.65z <= 950.83
9.23x + -5.25y + 4.66z <= 986.04
-6.42x + 2.68y + -6.24z <= 351.04
4.16x + -1.65y + -2.74z <= 644.51
8.74x + -7.04y + -7.74z <= 377.96
-1.72x + -5.68y + 5.35z <= 942.03
-8.94x + -4.85y + -9.25z <= 577.42
-6.45x + 1.57y + -1.46z <= 325.75
0.3x + 9.38y + -0.22z <= 267.88
-2.72x + -3.34y + 1.35z <= 887.49
-0.07x + 7.5y + 9.42z <= 734.62
-6.61x + -6.71y + -1.29z <= 423.73
-7.17x + -2.23y + 1.39z <= 393.49
-8.18x + -5.39y + -6.45z <= 483.11
4.95x + -7.16y + -5.74z <= 956.36
9.85x + 1.57y + 2.03z <= 771.84
1.65x + -9.15y + -7.16z <= 412.24
-1.66x + 7.64y + -6.55z <= 980.77
-5.39x + -4.33y + 4.88z <= 604.66
0.4x + -7.66y + -5.21z <= 351.15
5.58x + -8.21y + 7.32z <= 308.87
9.81x + 7.16y + 9.23z <= 696.2
-9.77x + -8.98y + -5.04z <= 341.88
-2.37x + 5.84y + 0.85z <= 945.34
-0.06x + -7.82y + -1.64z <= 546.57
5.35x + -2.16y + -5.3z <= 995.96
9.37x + 7.65y + -4.03z <= 764.83
-1.54x + -9.83y + -9.43z <= 198.55
-2.09x + 8.01y + -7.57z <= 469.37
8.71x + 6.97y + 8.11z <= 869.23
-4.38x + 1.06y + 4.85z <= 457.53
-9.67x + -9.62y + -6.8z <= 707.42
3.71x + 2.42y + -6.17z <= 868.08
4.17x + -0.02y + -1.86z <= 217.13
-7.52x + 1.15y + 2.09z <= 541.53
5.56x + -1.53y + -6.61z <= 117.12
-3.89x + -8.56y + -6.48z <= 794.11
0.4x + 3.97y + -4.97z <= 759.35
7.64x + 6.28y + 0.99z <= 888.2
-6.94x + 4.81y + -6.88z <= 242.33
-7.59x + -0.17y + -1.67z <= 101.17
-8.13x + -3.38y + 9.72z <= 511.25
7.19x + 5.78y + 7.31z <= 302.35
9.58x + 4.9y + -5.35z <= 860.24
-7.43x + -5.78y + 3.71z <= 649.43
2.52x + -0.52y + 0.02z <= 701.25
-1.88x + 1.94y + 4.27z <= 664.23
4.35x + 5.65y + 1.53z <= 289.33
-1.54x + 9.11y + 1.21z <= 399.43
-6.28x + -8.55y + -7.38z <= 343.97
-6.26x + 4.53y + 3.42z <= 724.51
9.11x + -8.48y + -6.42z <= 203.18
-9.61x + 8.55y + 3.34z <= 651.49
-3.78x + 2.84y + -4.56z <= 628.48
-1.01x + -2.39y + 4.96z <= 505.37
-2.74x + 7.03y + -9.15z <= 702.42
3.38x + -5.87y + -5.0z <= 909.29
5.49x + -8.5y + -3.2z <= 386.94
0.11x + 5.61y + -5.33z <= 885.02
9.84x + 0.8y + -9.71z <= 425.07
-3.88x + -9.83y + 6.11z <= 645.99
-0.66x + 8.13y + 0.87z <= 512.7
6.94x + -8.27y + 9.26z <= 353.36
5.68x + -0.05y + 4.18z <= 371.37
-3.17x + 3.43y + 4.98z <= 276.94
-4.89x + -0.73y + -9.42z <= 369.96
-8.72x + 2.32y + -1.89z <= 762.23
2.04x + -5.8y + -8.3z <= 314.8
-1.7x + 1.67y + 7.34z <= 303.98
0.53x + -2.36y + 9.02z <= 247.04
6.76x + -2.51y + -4.21z <= 549.82
7.6x + 7.39y + 2.3z <= 535.16
-2.65x + -5.22y + 7.18z <= 535.97
-6.83x + 2.99y + -2.17z <= 777.98
5.64x + -7.02y + 1.61z <= 653.72
6.62x + 4.28y + -6.13z <= 678.99
0.35x + -4.38y + -1.02z <= 921.95
-0.92x + -1.2y + 5.23z <= 432.99
3.97x + -1.74y + -5.67z <= 705.06
7.08x + -4.65y + -7.0z <= 667.27
0.01x + -4.62y + -1.47z <= 298.71
-2.25x + 9.46y + 0.05z <= 685.41
-3.77x + -1.7y + 4.69z <= 525.6
8.15x + 8.61y + -8.17z <= 576.83
8.29x + -2.34y + 1.73z <= 691.97
2.63x + -1.41y + -7.17z <= 183.59
-3.15x + -2.39y + 2.56z <= 313.36
-9.12x + -9.04y + -2.22z <= 658.25
3.26x + 2.8y + -0.72z <= 420.11
-3.12x + 9.84y + 5.13z <= 334.0
-9.2x + -3.81y + 9.7z <= 817.56
-1.11x + 8.57y + 7.37z <= 636.91
8.24x + 6.27y + -2.75z <= 816.49
-5.36x + -2.68y + -5.3z <= 935.44
6.47x + -3.18y + 9.66z <= 770.62
9.38x + -4.59y + 3.56z <= 425.16
9.91x + -9.32y + 5.7z <= 758.34
-9.47x + -6.51y + -1.89z <= 116.43
-1.55x + 4.36y + 4.6z <= 846.21
2.88x + 7.96y + -8.43z <= 723.22
9.05x + 5.51y + -7.98z <= 306.28
-1.02x + -7.12y + 6.85z <= 280.18
9.78x + 8.28y + 2.11z <= 870.75
-3.89x + -4.76y + 5.9z <= 786.92
-5.64x + -5.71y + 1.87z <= 412.28
6.61x + -7.12y + 0.75z <= 408.52
-7.25x + -5.04y + 4.95z <= 573.03
7.15x + -3.39y + 6.44z <= 806.12
8.19x + 6.19y + -6.2z <= 559.51
9.3x + -5.61y + 0.9z <= 345.14
4.95x + 1.2y + 5.69z <= 821.63
9.74x + 8.95y + 7.02z <= 899.95
5.6x + 2.41y + 6.79z <= 656.04
7.79x + 7.54y + -2.92z <= 684.45
9.37x + -1.63y + -2.79z <= 483.78
-3.35x + 4.22y + -3.78z <= 902.68
-7.21x + 3.73y + 7.71z <= 921.29
-7.31x + 4.19y + -4.32z <= 870.46
-5.82x + -6.15y + -8.14z <= 753.25
1.26x + 9.1y + -2.67z <= 827.37
3.86x + -7.65y + 3.3z <= 376.33
-7.96x + 1.92y + 8.01z <= 909.78
-4.62x + 0.45y + 4.91z <= 404.79
-7.4x + 6.8y + -8.49z <= 138.8
8.58x + 0.23y + 5.94z <= 148.75
0.96x + -4.75y + 0.99z <= 946.3
9.59x + -1.29y + -0.71z <= 903.13
-4.96x + -3.47y + -7.85z <= 624.24
-2.24x + 0.14y + -7.03z <= 695.42
8.14x + -2.96y + 1.29z <= 823.02
6.76x + -2.09y + -8.47z <= 392.23
8.56x + -5.24y + -7.23z <= 651.97
-7.24x + 6.94y + 4.89z <= 606.54
7.39x + 9.69y + -3.99z <= 133.83
-7.34x + -5.51y + 3.57z <= 212.24
-8.32x + -1.47y + -1.31z <= 332.46
3.14x + 7.55y + 0.06z <= 806.18
-7.62x + -4.24y + -2.37z <= 238.77
0.19x + 1.57y + 6.8z <= 308.46
8.63x + 9.95y + -4.37z <= 458.74
-1.65x + -7.86y + -8.11z <= 146.0
-5.62x + 4.2y + -2.11z <= 676.98
-7.35x + -6.78y + 0.65z <= 129.09
-5.24x + -0.83y + 3.02z <= 916.11
-0.96x + -6.32y + 5.58z <= 952.1
-7.28x + 8.63y + -8.85z <= 145.89
-4.45x + 4.18y + -2.95z <= 857.16
-3.42x + 2.64y + 2.17z <= 791.49
2.08x + -0.48y + -6.35z <= 157.89
5.66x + 0.92y + -9.96z <= 909.72
-0.49x + 8.96y + -0.52z <= 991.6
-0.27x + 0.61y + -5.29z <= 156.31
-2.99x + 8.91y + -4.03z <= 760.3
-6.79x + 2.24y + -6.86z <= 240.65
0.39x + 7.77y + -8.38z <= 305.54
-7.7x + -4.28y + 8.62z <= 444.14
-3.47x + -7.93y + 4.56z <= 111.12
-9.29x + 6.48y + -1.17z <= 121.32
-7.53x + -3.83y + -4.65z <= 430.21
9.51x + -6.89y + 9.56z <= 939.0
9.23x + 6.61y + -2.96z <= 130.47
6.8x + -5.07y + 6.01z <= 563.88
6.12x + -4.09y + 10.0z <= 859.11
4.74x + -6.3y + -9.51z <= 475.1
3.82x + 8.27y + 9.86z <= 549.31
5.24x + -1.11y + -4.57z <= 399.56
1.12x + -8.83y + -4.89z <= 995.74
8.93x + 9.05y + -6.06z <= 407.92
3.55x + 1.39y + -8.95z <= 747.11
8.93x + -8.91y + -6.28z <= 979.41
7.79x + -6.42y + -6.96z <= 844.8
2.92x + 7.91y + 4.31z <= 511.84
3.29x + -7.23y + -1.08z <= 153.71
-9.02x + -6.62y + -9.84z <= 964.52
3.41x + 0.82y + -0.93z <= 243.86
-9.29x + 7.8y + 5.38z <= 924.19
1.91x + -7.35y + 7.76z <= 377.84
6.1x + 5.6y + -9.61z <= 485.09
7.47x + 4.67y + -6.71z <= 859.54
-0.07x + 0.92y + -9.25z <= 874.18
-2.53x + -8.25y + -8.23z <= 442.38
-3.19x + -1.71y + -1.04z <= 283.4
8.29x + 4.5y + -1.3z <= 792.63
2.26x + 6.39y + 2.84z <= 824.69
0.06x + -8.68y + -0.6z <= 417.52
5.43x + 0.16y + -9.53z <= 595.52
-5.47x + 3.21y + 1.48z <= 168.02
1.65x + 8.47y + 9.51z <= 340.38
-2.83x + 6.84y + -8.33z <= 772.86
8.26x + -0.99y + -3.53z <= 595.54
-2.84x + -4.04y + 9.65z <= 964.47
1.17x + -1.16y + -0.37z <= 705.6
-1.72x + 5.6y + -9.63z <= 875.55
1.65x + 6.26y + -9.33z <= 549.1
-6.37x + -3.8y + 9.81z <= 734.24
4.48x + -6.36y + 4.41z <= 712.33
-1.59x + -3.6y + -0.62z <= 927.13
-4.75x + 8.91y + 4.68z <= 640.37
6.68x + -7.04y + -9.77z <= 902.84
9.61x + -5.81y + -3.01z <= 236.1
-4.73x + 4.0y + 2.27z <= 507.12
4.13x + -4.6y + 9.15z <= 522.51
-5.11x + -6.62y + 5.61z <= 473.08
9.44x + -1.65y + 8.68z <= 255.55
-4.91x + 8.01y + 2.18z <= 450.08
-1.39x + 9.52y + -9.89z <= 334.32
1.03x + 3.92y + 0.97z <= 185.32
2.71x + -8.44y + -2.61z <= 570.41
-7.57x + 8.1y + -8.84z <= 552.15
-2.93x + -3.56y + 1.84z <= 321.89
6.78x + 4.15y + 5.11z <= 318.25
8.69x + -0.6y + 7.81z <= 927.7
8.04x + 4.39y + 8.85z <= 760.59
6.36x + 5.22y + 9.84z <= 621.53
8.67x + -8.59y + 3.95z <= 709.4
5.2x + -7.91y + 7.51z <= 819.25
9.75x + -0.16y + 4.7z <= 704.24
0.06x + -8.3y + 2.05z <= 423.08
3.72x + 7.19y + -3.99z <= 442.65
9.95x + 3.29y + -7.86z <= 131.5
3.9x + 6.44y + 4.34z <= 760.11
-3.63x + -3.93y + 9.01z <= 212.06
-5.29x + 3.35y + 3.96z <= 857.12
4.61x + -8.29y + 2.27z <= 879.53
-1.71x + 7.71y + -2.01z <= 556.01
9.52x + 1.61y + 7.3z <= 258.9
8.67x + -0.23y + 0.41z <= 491.24
8.77x + 2.19y + 8.53z <= 878.91
6.79x + -3.36y + -4.24z <= 954.02
-0.46x + -7.89y + 7.56z <= 668.19
8.19x + 5.91y + -7.81z <= 791.47
9.41x + -4.56y + -7.16z <= 887.59
-0.9x + 6.94y + -3.23z <= 814.34
-6.73x + 2.0y + 5.2z <= 606.17
3.49x + 2.79y + -0.63z <= 294.85
-9.74x + 7.9y + -8.96z <= 915.46
-8.15x + 7.78y + 8.48z <= 100.65
3.98x + -2.37y + 8.02z <= 304.42
-5.91x + 2.37y + 1.45z <= 453.45
0.39x + -3.3y + -6.74z <= 162.36
-2.84x + 5.5y + -1.93z <= 673.16
8.71x + 3.53y + -4.52z <= 552.77
-3.91x + -7.57y + -4.67z <= 149.46
1.79x + -5.09y + 9.78z <= 368.38
6.35x + 1.66y + -1.83z <= 753.43
7.32x + 6.49y + -0.63z <= 598.45
-6.02x + 9.47y + 7.04z <= 607.36
7.55x + -1.08y + -2.76z <= 769.88
-4.71x + -1.9y + -6.56z <= 279.38
7.16x + 7.25y + 2.66z <= 731.68
-2.1x + 4.54y + -3.39z <= 796.78
-8.72x + 8.97y + -6.81z <= 981.65
1.34x + -2.31y + 8.17z <= 861.2
-8.07x + 1.43y + 9.0z <= 125.87
0.94x + -0.2y + 6.86z <= 260.4
-9.25x + -4.94y + -9.3z <= 109.31
4.23x + -3.16y + -2.15z <= 168.33
-3.97x + -7.78y + -2.52z <= 933.2
9.73x + 6.92y + 4.46z <= 207.25
8.05x + -8.74y + 2.12z <= 520.07
3.97x + 2.31y + -9.42z <= 385.5
-0.23x + 6.77y + -7.82z <= 403.95
-5.12x + -1.26y + 6.11z <= 746.97
8.2x + 3.63y + -7.65z <= 282.72
-3.53x + 3.62y + 0.37z <= 896.66
3.41x + 9.11y + 3.37z <= 285.55
0.68x + 1.43y + 9.22z <= 990.98
-4.01x + -9.03y + 6.59z <= 167.76
-0.45x + -4.49y + 1.13z <= 750.39
7.96x + 4.96y + 3.31z <= 873.09
-2.71x + 8.1y + -5.53z <= 441.71
8.92x + -2.6y + 8.49z <= 638.46
6.75x + -7.39y + 1.59z <= 746.08
0.02x + -4.67y + -4.46z <= 324.95
1.42x + 7.88y + 5.4z <= 365.85
0.21x + -9.72y + 9.85z <= 859.42
4.14x + -4.81y + 2.31z <= 600.8
1.64x + 8.42y + 2.25z <= 977.38
6.54x + -4.32y + 1.43z <= 643.61
0.93x + 1.2y + -7.93z <= 725.32
0.79x + -5.33y + 3.62z <= 818.32
8.13x + 5.47y + 3.48z <= 307.64
-2.52x + 0.94y + -8.83z <= 799.59
-3.61x + -7.05y + 0.65z <= 582.53
4.8x + -5.23y + 9.1z <= 777.97
8.94x + 7.67y + 0.2z <= 172.05
7.3x + 9.44y + -2.57z <= 304.9
9.31x + -7.32y + -9.17z <= 607.38
-1.64x + -0.47y + -0.53z <= 416.87
-2.88x + 8.72y + -5.19z <= 261.1
-6.24x + -8.3y + -3.77z <= 771.08
-6.28x + -0.14y + -1.89z <= 902.12
6.46x + 6.45y + 7.71z <= 879.87
-1.79x + -7.99y + 3.28z <= 443.83
1.83x + -1.83y + -0.01z <= 514.16
6.9x + 5.03y + -4.97z <= 811.6
-7.99x + 7.23y + -2.16z <= 728.41
-3.54x + 4.13y + 9.07z <= 791.07
-5.56x + 8.82y + 4.99z <= 450.91
-0.27x + -5.08y + -7.81z <= 516.43
6.59x + 1.49y + 3.3z <= 157.16
2.13x + 7.83y + -2.6z <= 958.9
5.83x + -3.7y + 0.76z <= 373.01
0.47x + 9.02y + 1.35z <= 891.06
3.47x + 6.64y + 4.02z <= 536.17
-6.19x + -0.84y + 4.41z <= 918.15
-4.49x + -8.1y + -4.54z <= 953.46
-7.26x + -2.69y + -9.4z <= 573.66
3.8x + 8.52y + -1.61z <= 529.97
-5.25x + 3.07y + -2.11z <= 983.78
3.58x + -2.48y + 7.02z <= 129.21
3.72x + 8.59y + 5.8z <= 165.75
9.96x + 5.96y + 0.17z <= 331.67
6.86x + -9.13y + 5.82z <= 597.3
7.23x + 4.36y + -8.18z <= 386.74
3.05x + 1.16y + -5.19z <= 616.34
-5.47x + 7.96y + -8.6z <= 711.8
-5.36x + -7.57y + 1.15z <= 638.94
-6.03x + -2.49y + 2.1z <= 157.15
3.66x + -5.28y + -8.97z <= 944.38
2.35x + -2.65y + 1.69z <= 425.08
2.84x + 7.89y + 9.43z <= 932.81
-2.46x + -8.79y + 2.65z <= 579.99
4.0x + 3.04y + -5.32z <= 589.73
5.87x + -4.27y + 7.38z <= 357.43
-6.12x + 3.5y + 5.67z <= 483.79
-5.72x + -9.23y + 9.78z <= 606.37
-3.66x + 2.32y + 6.98z <= 108.18
-5.03x + 6.49y + 3.44z <= 484.76
-6.61x + 7.26y + 3.07z <= 150.08
-2.7x + -9.66y + 0.61z <= 539.57
1.13x + -6.6y + -7.54z <= 628.89
-9.14x + -2.53y + 9.54z <= 790.27
-3.33x + -2.03y + -6.98z <= 261.55
-2.46x + 7.68y + 0.48z <= 908.36
5.66x + 4.28y + 8.71z <= 687.8
2.01x + -5.43y + 6.73z <= 212.79
9.65x + -3.08y + 4.68z <= 687.04
-9.71x + -8.72y + 4.66z <= 322.01
-6.46x + -7.96y + 1.85z <= 808.96
-1.81x + 7.72y + -5.31z <= 450.31
0.62x + -5.3y + -0.5z <= 977.49
-1.64x + 0.66y + 1.45z <= 596.57
-8.49x + 0.21y + 6.08z <= 227.45
-4.97x + -8.66y + -0.87z <= 153.66
4.75x + -2.41y + 5.24z <= 190.58
3.25x + 4.34y + -3.63z <= 527.57
3.86x + -4.97y + -2.96z <= 897.39
9.64x + -7.59y + -0.73z <= 666.73
9.89x + 1.69y + 1.86z <= 794.46
-1.37x + 3.18y + 1.2z <= 934.93
7.8x + -8.19y + -6.42z <= 559.63
9.54x + 9.32y + -2.62z <= 480.15
-3.99x + 1.06y + 4.54z <= 276.42
0.92x + -6.74y + -2.54z <= 401.35
-3.51x + 2.94y + -7.78z <= 854.42
-0.97x + 1.11y + -7.18z <= 721.48
-1.28x + 1.18y + -5.57z <= 319.25
5.15x + 0.78y + 7.56z <= 185.91
0.13x + 1.21y + 5.77z <= 528.44
8.18x + 0.15y + -3.82z <= 379.54
-2.01x + -2.77y + -5.43z <= 901.82
3.82x + -2.5y + 9.85z <= 515.85
-2.17x + -0.4y + -0.14z <= 148.97
