max -7.62x + -0.42y + 9.44z
7.32x + 5.11y + 7.22z <= 128.14
-5.79x + 5.33y + 5.04z <= 590.25
9.03x + 8.46y + 9.99z <= 190.87
8.91x + 8.79y + 3.28z <= 443.42
-1.41x + 1.54y + 2.25z <= 829.46
-8.65x + -5.0y + -2.84z <= 877.84
-3.18x + -8.44y + -8.28z <= 306.06
-1.7x + 4.05y + -4.97z <= 919.99
-9.57x + 4.39y + 5.83z <= 454.7
-3.69x + -5.59y + -5.47z <= 721.18
6.92x + 7.38y + -5.54z <= 236.63
-5.8x + 7.1y + 8.64z <= 555.71
-6.84x + 0.68y + 1.43z <= 686.16
-3.86x + 4.35y + -2.2z <= 412.25
7.45x + -7.96y + -2.39z <= 841.06
-6.34x + 4.93y + -7.29z <= 953.93
6.2x + 8.78y + -8.76z <= 884.04
-7.44x + 7.9y + -5.39z <= 529.43
2.66x + -1.64y + 9.02z <= 384.32
-1.85x + 6.92y + -7.26z <= 997.1
-0.33x + 4.3y + 6.31z <= 717.76
0.56x + 5.79y + -5.05z <= 965.07
5.37x + 5.35y + -2.12z <= 536.12
-5.77x + -6.88y + 8.11z <= 406.38
3.43x + -0.52y + 6.02z <= 783.12
-9.02x + 4.23y + 4.82z <= 409.54
-4.09x + -4.32y + -4.76z <= 743.81
-4.18x + 7.96y + 4.1z <= 855.38
7.59x + -4.9y + -7.48z <= 513.73
8.38x + -8.81y + -7.53z <= 189.72
-2.35x + 5.92y + 1.8z <= 607.78
-6.03x + -6.87y + -2.21z <= 792.5
5.99x + -0.41y + -1.66z <= 726.69
2.16x + 3.21y + 0.64z <= 744.66
0.15x + -0.49y + 5.96z <= 556.61
4.47x + -6.3y + 8.15z <= 844.45
-4.1x + -9.55y + 1.27z <= 478.53
-1.5x + 2.24y + -0.26z <= 991.84
-6.18x + 6.79y + 8.27z <= 639.2
2.74x + 2.65y + -8.97z <= 838.63
7.34x + -3.85y + 4.98z <= 330.42
-2.29x + -2.15y + -3.77z <= 194.54
7.57x + 6.94y + 1.51z <= 763.66
5.42x + 4.97y + 5.69z <= 328.14
-6.45x + 4.35y + 3.46z <= 756.71
0.79x + 5.26y + -5.91z <= 567.8
-9.98x + -5.08y + -3.55z <= 499.18
-7.52x + -2.01y + 8.12z <= 890.1
2.97x + -6.54y + -2.85z <= 971.68
-1.25x + 6.15y + -8.52z <= 671.76
5.54x + 5.69y + 2.97z <= 339.36
0.06x + 8.22y + 0.57z <= 687.39
-3.08x + 8.19y + -7.66z <= 512.98
8.01x + 5.31y + -3.26z <= 893.93
5.88x + -1.4y + 3.99z <= 135.82
6.55x + 7.37y + -4.94z <= 680.81
-3.05x + 5.74y + 8.21z <= 166.36
-9.38x + -4.49y + -7.13z <= 917.74
-6.06x + 1.88y + -9.93z <= 564.04
-1.89x + -7.73y + -4.91z <= 784.88
-5.01x + -2.51y + -8.08z <= 949.74
-9.19x + 1.58y + 2.41z <= 708.36
2.74x + 4.29y + -7.49z <= 956.95
-3.37x + 6.98y + -9.21z <= 748.38
6.77x + -0.99y + -7.1z <= 564.45
-9.92x + 8.99y + 9.61z <= 906.46
6.77x + -6.74y + 3.58z <= 393.71
-8.19x + -1.54y + 5.18z <= 719.23
-3.88x + -0.15y + 5.55z <= 193.2
5.59x + 1.06y + 5.79z <= 431.99
-1.38x + -7.39y + -1.83z <= 812.6
-8.21x + -1.69y + -8.28z <= 140.9
2.19x + -4.57y + -4.1z <= 518.81
1.41x + -3.7y + 8.65z <= 926.35
-8.04x + 6.69y + 8.01z <= 380.04
-3.48x + 3.73y + 5.79z <= 474.54
-7.72x + 5.92y + -3.75z <= 235.69
9.29x + 0.78y + 1.77z <= 441.53
5.64x + -7.34y + -1.98z <= 335.48
3.12x + -7.11y + 9.68z <= 253.56
7.05x + 3.54y + -2.68z <= 295.69
-9.56x + 0.49y + -8.37z <= 213.02
-4.26x + 7.07y + 7.65z <= 526.19
7.0x + 3.17y + -5.59z <= 144.0
-6.05x + 9.22y + 6.81z <= 729.1
-3.18x + 8.94y + -9.94z <= 683.81
3.93x + -2.4y + -5.11z <= 332.92
-7.92x + 8.71y + -7.58z <= 297.78
-5.06x + -6.46y + -8.99z <= 258.6
-4.38x + 4.5y + 8.12z <= 107.7
8.14x + -9.72y + 8.59z <= 583.83
-3.11x + 4.7y + 7.61z <= 337.83
5.75x + -1.81y + -2.39z <= 327.45
-0.53x + -5.05y + 3.51z <= 911.93
7.69x + -8.99y + 4.61z <= 849.63
-2.76x + 4.98y + -2.52z <= 556.97
-9.66x + -5.62y + -9.41z <= 459.24
-8.38x + 1.64y + -0.59z <= 509.15
0.28x + -4.02y + -0.59z <= 959.15
3.88x + 5.76y + 0.98z <= 706.24
-0.15x + 5.96y + 8.5z <= 229.45
2.62x + -3.86y + 0.92z <= 125.78
-6.44x + 9.19y + 1.87z <= 266.52
-0.36x + 0.05y + 9.96z <= 228.95
6.88x + -7.04y + -0.49z <= 918.89
-3.25x + -2.1y + -1.4z <= 134.85
1.43x + 9.58y + -0.78z <= 112.7
-8.64x + 9.63y + 5.48z <= 721.52
2.04x + -7.12y + -0.41z <= 486.4
1.37x + -4.38y + 7.84z <= 672.34
8.3x + -4.62y + 2.92z <= 386.97
8.59x + -7.87y + 1.28z <= 417.75
-2.77x + -1.39y + 6.33z <= 118.61
6.64x + -2.93y + -6.83z <= 410.24
4.07x + 9.99y + -8.32z <= 329.55
-0.07x + -1.38y + -6.24z <= 255.89
7.02x + -0.66y + -7.42z <= 871.71
0.16x + 6.58y + 1.9z <= 160.11
7.9x + 0.9y + 7.87z <= 893.62
2.46x + 8.37y + -8.28z <= 249.29
2.22x + 7.01y + -1.75z <= 846.15
-8.87x + -4.6y + 4.62z <= 278.12
1.33x + 8.39y + -9.27z <= 436.88
-0.29x + 4.34y + -4.46z <= 478.73
1.46x + 9.91y + -4.18z <= 995.6
8.5x + 0.75y + -1.16z <= 836.89
7.96x + -6.22y + -0.26z <= 156.77
2.78x + -0.22y + -1.39z <= 217.29
-9.43x + -3.02y + -2.89z <= 539.21
7.29x + 1.97y + 6.42z <= 217.66
-5.88x + -5.61y + -8.57z <= 667.99
-5.93x + -4.46y + -5.97z <= 173.07
8.82x + 3.38y + 2.03z <= 800.87
2.78x + 3.04y + 5.53z <= 129.41
3.01x + -0.58y + -7.7z <= 922.12
-6.83x + -9.1y + -7.87z <= 219.76
-0.36x + 0.16y + -7.34z <= 426.71
-0.73x + -0.48y + -2.11z <= 354.36
8.92x + 2.41y + -0.22z <= 331.71
4.04x + 9.83y + -8.03z <= 996.95
3.57x + -5.26y + -5.68z <= 767.24
2.95x + 2.67y + -8.0z <= 627.28
-7.89x + -2.31y + 5.45z <= 341.11
-2.81x + 1.98y + 0.19z <= 835.71
-1.77x + -1.14y + -4.84z <= 904.18
-5.07x + 3.09y + 1.55z <= 428.35
8.79x + -4.42y + -5.45z <= 917.55
9.88x + 9.18y + 2.71z <= 610.06
-7.16x + 9.33y + 4.94z <= 171.05
-5.92x + -1.18y + -1.02z <= 367.4
4.53x + -9.42y + 8.3z <= 423.52
-5.07x + -9.65y + -3.03z <= 652.94
-7.04x + 1.08y + -3.93z <= 467.06
-3.14x + 3.06y + 7.28z <= 173.77
5.47x + -3.2y + -6.8z <= 379.23
-7.03x + 9.75y + 2.48z <= 674.58
-4.81x + 3.9y + -8.06z <= 657.2
-7.97x + -9.1y + 5.61z <= 519.52
-8.88x + -7.86y + -3.24z <= 461.64
-4.81x + -6.72y + 8.07z <= 408.97
5.0x + -8.93y + -0.34z <= 707.06
5.54x + -1.57y + 8.72z <= 958.36
-6.42x + 4.72y + 4.46z <= 576.24
-1.12x + -7.36y + -5.98z <= 139.21
7.52x + 1.34y + 8.75z <= 980.29
-3.92x + -1.44y + -5.23z <= 588.77
-2.71x + -5.56y + 2.39z <= 816.73
3.73x + -5.66y + -0.62z <= 300.0
-5.97x + -6.77y + -9.12z <= 357.73
4.44x + -5.51y + 9.81z <= 801.37
-3.05x + -0.17y + -6.5z <= 662.09
-5.73x + 1.71y + -7.37z <= 496.8
-0.16x + 0.28y + 0.95z <= 170.36
-6.47x + 2.16y + -2.41z <= 422.4
-9.47x + 4.97y + -4.25z <= 927.19
-8.17x + -5.65y + 0.25z <= 225.6
-8.1x + -3.48y + -6.81z <= 713.63
4.99x + -3.68y + 2.51z <= 333.51
-5.86x + -3.81y + 7.11z <= 675.23
3.41x + -8.8y + 6.41z <= 404.4
1.14x + 5.36y + -6.95z <= 762.53
-0.71x + -4.82y + 2.56z <= 628.27
-8.99x + -7.96y + -8.38z <= 326.62
-0.63x + -8.37y + -5.95z <= 855.16
8.2x + 8.18y + 7.86z <= 122.89
-8.17x + -8.56y + 6.95z <= 735.29
3.34x + -2.84y + 5.58z <= 636.37
-4.47x + -3.86y + 4.84z <= 667.77
8.2x + -2.39y + -4.37z <= 215.52
-2.67x + -8.85y + -3.27z <= 805.62
-3.7x + -2.28y + 6.04z <= 523.31
-5.3x + -4.62y + 4.6z <= 268.61
-6.86x + -9.2y + -0.1z <= 313.96
7.47x + 6.38y + 3.47z <= 602.51
0.12x + -4.38y + -7.99z <= 584.61
8.43x + -7.68y + -9.61z <= 304.98
-6.33x + 9.66y + -0.03z <= 657.76
-1.33x + 6.54y + 4.02z <= 885.16
-7.58x + -0.07y + 0.07z <= 719.31
-7.82x + 4.94y + -8.02z <= 655.33
6.24x + 1.45y + 6.77z <= 288.95
-4.26x + 8.68y + 0.43z <= 147.4
0.89x + 7.35y + -7.16z <= 863.63
4.74x + -5.82y + 0.93z <= 513.69
9.29x + -9.0y + 2.88z <= 761.83
5.19x + 8.03y + -9.67z <= 291.08
-4.12x + -0.58y + 8.48z <= 586.22
-7.14x + 4.2y + 5.32z <= 363.14
1.55x + -3.19y + -9.07z <= 695.16
-2.23x + -7.23y + -3.39z <= 409.78
-6.02x + 4.59y + -7.58z <= 965.39
-3.73x + 8.64y + 9.34z <= 424.2
-2.69x + -0.55y + 9.65z <= 972.55
-4.73x + -3.35y + 3.63z <= 724.91
9.36x + 4.59y + -5.73z <= 876.74
-2.57x + 9.55y + 2.45z <= 754.85
3.75x + 6.95y + -5.4z <= 472.09
-7.15x + 9.42y + 7.22z <= 496.68
-0.76x + 1.41y + -9.4z <= 373.89
-0.72x + -8.44y + 0.95z <= 242.67
-2.89x + -3.79y + 8.15z <= 651.37
-8.63x + -1.2y + -1.3z <= 453.97
2.89x + 2.48y + -9.32z <= 957.2
-6.35x + 3.95y + -6.0z <= 590.27
-0.56x + -2.7y + 3.15z <= 580.77
-9.96x + 2.98y + -1.08z <= 697.56
7.62x + 0.78y + -4.73z <= 736.16
-5.74x + -6.08y + 1.89z <= 310.49
-2.47x + -4.67y + 1.48z <= 636.62
2.47x + -6.98y + 9.41z <= 502.09
-8.84x + 2.14y + 6.57z <= 956.57
3.42x + 6.97y + 2.48z <= 447.47
0.26x + 5.94y + 1.3z <= 747.12
9.28x + 9.17y + 6.78z <= 171.95
1.9x + -2.9y + -5.07z <= 265.38
0.25x + 4.74y + 1.73z <= 636.27
5.3x + -9.33y + -0.35z <= 379.44
6.19x + 4.92y + -6.36z <= 394.4
3.01x + 6.05y + 7.91z <= 112.66
-9.08x + 4.37y + -1.54z <= 913.81
2.14x + -3.54y + 7.43z <= 365.11
1.9x + 8.46y + -9.09z <= 811.96
-3.32x + 6.68y + 7.69z <= 973.23
-4.34x + -6.69y + 6.47z <= 871.04
2.71x + 9.46y + -0.15z <= 194.59
9.19x + 5.96y + 9.66z <= 472.71
5.85x + -9.26y + 0.09z <= 644.24
2.28x + 0.68y + -5.29z <= 291.12
-5.4x + 1.36y + 0.43z <= 337.11
-0.23x + -0.9y + -9.53z <= 464.44
-6.31x + 8.1y + -9.15z <= 400.12
1.03x + 7.07y + 9.25z <= 294.9
-6.81x + 0.68y + 0.59z <= 251.81
-9.44x + -3.14y + -7.34z <= 271.24
9.87x + 1.81y + 0.52z <= 281.66
0.47x + 7.82y + 9.57z <= 907.11
-1.63x + -5.08y + -7.03z <= 718.14
-0.02x + -9.87y + 5.59z <= 728.94
-0.39x + -2.44y + -0.4z <= 814.08
4.26x + -7.33y + 2.2z <= 952.5
0.64x + -9.39y + -4.69z <= 908.33
-2.88x + -6.23y + 6.9z <= 263.41
-5.75x + -0.86y + -2.47z <= 313.69
8.04x + 4.01y + -7.97z <= 761.66
9.88x + 2.9y + 5.01z <= 588.12
2.07x + 7.97y + 4.1z <= 937.78
-3.65x + -7.89y + 0.93z <= 666.99
7.97x + -9.26y + 5.97z <= 447.56
5.31x + -9.2y + -8.92z <= 345.07
-7.24x + 4.32y + -1.92z <= 940.56
-3.76x + 9.35y + -9.22z <= 979.36
-7.14x + 5.7y + -0.88z <= 118.28
-6.29x + 6.57y + -6.96z <= 223.96
-5.19x + 0.86y + 2.0z <= 114.43
8.63x + -5.22y + -2.25z <= 533.96
8.18x + -7.0y + -5.94z <= 125.3
-3.72x + -6.11y + 1.59z <= 252.82
-0.51x + 5.49y + -5.92z <= 917.3
4.62x + 5.94y + 1.98z <= 425.46
-2.02x + 9.04y + 3.77z <= 742.96
-0.82x + -4.74y + -9.49z <= 267.2
-0.34x + 9.36y + 2.84z <= 982.81
2.05x + -8.75y + -5.91z <= 472.69
5.05x + -8.07y + -4.51z <= 271.25
2.38x + -7.64y + -5.47z <= 722.34
6.12x + 2.97y + -6.01z <= 773.45
4.43x + 3.71y + -1.58z <= 825.36
7.22x + -8.09y + 1.89z <= 195.37
8.62x + -3.5y + -4.89z <= 401.83
-8.51x + 9.8y + -7.95z <= 648.77
-8.94x + -0.14y + 9.44z <= 161.1
2.02x + 5.92y + -0.99z <= 662.2
-8.11x + 9.41y + 3.71z <= 925.12
-6.41x + 3.07y + 6.77z <= 516.87
-1.58x + -0.85y + -9.79z <= 677.62
-1.58x + 2.62y + 8.66z <= 692.89
7.61x + 9.57y + 3.6z <= 241.66
-2.31x + -4.11y + -7.13z <= 233.85
3.65x + -9.46y + 5.08z <= 949.42
-3.79x + 1.48y + 5.17z <= 844.35
9.16x + 6.7y + -7.99z <= 665.49
-9.15x + 8.44y + -3.02z <= 295.5
9.32x + -8.11y + 2.45z <= 356.56
8.64x + 6.83y + -7.99z <= 602.98
-9.46x + 4.73y + 3.43z <= 471.8
-1.73x + 4.37y + 0.91z <= 578.44
-0.42x + 2.97y + 7.12z <= 562.64
-3.45x + -1.94y + 4.33z <= 289.46
9.58x + -0.92y + -7.51z <= 715.91
-6.27x + 2.0y + 5.95z <= 534.46
-2.89x + -7.93y + -6.46z <= 202.58
-0.22x + -9.81y + -3.61z <= 159.09
4.12x + -3.05y + -0.18z <= 458.56
7.72x + -9.14y + 3.79z <= 890.89
-0.28x + 2.78y + 5.49z <= 660.33
-3.61x + 6.19y + -5.17z <= 854.9
-6.85x + -4.14y + 7.05z <= 173.72
3.06x + 1.13y + -5.89z <= 216.99
-5.87x + 2.92y + 7.24z <= 230.86
3.82x + -6.93y + -1.57z <= 844.31
3.25x + 4.43y + 6.04z <= 456.91
3.94x + 2.29y + 1.55z <= 437.18
4.71x + 4.03y + -9.46z <= 790.4
-9.51x + -2.42y + -0.19z <= 245.38
-1.25x + -2.24y + 5.83z <= 611.15
-7.39x + 0.94y + 8.5z <= 348.64
-8.31x + 2.15y + 0.59z <= 178.38
8.15x + -7.86y + 5.02z <= 108.01
-5.54x + 1.96y + -2.61z <= 856.47
-2.13x + 3.42y + 4.14z <= 354.16
-2.57x + 7.77y + -7.07z <= 890.67
-6.16x + 1.09y + 7.6z <= 313.17
-6.34x + 5.58y + -1.75z <= 730.49
7.7x + -8.45y + 4.15z <= 791.59
4.12x + 9.42y + 1.76z <= 960.31
1.02x + -0.03y + -5.84z <= 609.99
3.38x + 4.55y + 0.01z <= 142.73
5.36x + 0.06y + 6.27z <= 493.49
5.21x + -2.54y + 4.22z <= 544.5
8.96x + 4.43y + -9.88z <= 886.37
-5.81x + 3.06y + 6.5z <= 755.32
-2.22x + 9.5y + -5.14z <= 173.32
2.72x + 3.28y + -9.08z <= 931.63
-8.41x + 3.32y + 0.23z <= 854.14
-6.32x + -0.75y + 8.31z <= 705.27
0.81x + 6.01y + 2.36z <= 326.98
-0.13x + 9.05y + -5.66z <= 191.76
-8.28x + 9.26y + 8.99z <= 984.75
2.6x + 0.9y + -0.38z <= 167.41
-8.67x + -8.12y + 1.42z <= 947.92
4.4x + 0.29y + 1.92z <= 786.23
-1.73x + -7.42y + 7.06z <= 231.83
-4.18x + 5.49y + -4.8z <= 137.6
-7.34x + -3.8y + -4.71z <= 923.88
-1.7x + -7.0y + -7.22z <= 148.03
1.85x + -2.69y + 2.77z <= 916.68
-9.76x + -0.02y + 5.21z <= 988.2
-4.93x + 5.73y + -3.56z <= 481.09
2.36x + 4.7y + 3.8z <= 356.61
-6.81x + 5.2y + -3.18z <= 825.45
3.52x + 7.59y + -7.67z <= 692.54
5.11x + 3.05y + -0.33z <= 589.01
-9.32x + 4.28y + 9.6z <= 962.73
-8.87x + -6.21y + 5.15z <= 740.55
8.42x + -5.06y + -0.45z <= 432.37
6.27x + 8.25y + 3.8z <= 696.71
4.79x + 3.35y + -0.91z <= 648.27
4.54x + -3.99y + -6.9z <= 837.68
-7.31x + 6.36y + -9.45z <= 492.88
-1.98x + 0.17y + -2.54z <= 270.78
-4.69x + -6.15y + -1.71z <= 344.17
-5.56x + 9.32y + -7.41z <= 617.57
6.14x + -8.03y + 0.66z <= 513.17
-6.77x + 0.27y + 8.96z <= 525.41
-0.33x + 7.23y + 8.55z <= 403.14
-0.6x + 1.13y + 6.41z <= 989.86
1.77x + -5.52y + 2.12z <= 366.44
1.63x + 4.91y + 7.13z <= 165.71
3.69x + 5.59y + 7.94z <= 496.33
-2.15x + -5.11y + 7.72z <= 839.88
2.08x + -1.07y + -9.29z <= 817.97
1.24x + -5.73y + -5.37z <= 897.26
-7.79x + 9.0y + -8.75z <= 284.89
9.88x + 8.18y + 9.19z <= 528.84
3.78x + -0.19y + 8.9z <= 970.72
2.81x + 3.74y + 5.47z <= 352.31
-0.48x + -6.76y + -1.69z <= 319.06
0.76x + -8.63y + 8.43z <= 678.42
1.32x + 4.81y + 5.59z <= 142.88
7.44x + -5.69y + 5.4z <= 143.2
-4.4x + -0.62y + -4.48z <= 284.72
-6.61x + -8.22y + -9.72z <= 802.26
-1.62x + -1.67y + 1.61z <= 913.41
4.23x + 3.12y + 9.58z <= 339.53
5.32x + -4.35y + 2.11z <= 985.04
5.52x + -4.82y + 9.88z <= 894.3
-6.61x + -4.71y + -2.23z <= 931.91
7.06x + 1.72y + 7.25z <= 320.72
7.18x + -9.99y + 3.85z <= 857.21
5.29x + -1.57y + 0.54z <= 795.34
-5.31x + 9.49y + -5.65z <= 815.01
7.89x + -5.08y + 3.68z <= 498.62
7.01x + -9.34y + 6.57z <= 734.81
4.65x + -8.53y + -9.6z <= 438.16
-6.01x + 6.34y + -7.01z <= 732.77
10.0x + 4.56y + 7.85z <= 415.47
5.82x + 8.89y + -1.83z <= 816.38
4.07x + 1.06y + -4.5z <= 664.16
-8.97x + 4.9y + 4.76z <= 894.73
4.49x + -8.7y + 3.76z <= 242.46
-6.83x + -4.17y + -1.68z <= 417.64
-0.25x + -0.32y + -1.92z <= 555.14
3.42x + -3.24y + 5.41z <= 130.65
-7.1x + -2.35y + 8.23z <= 471.94
-4.44x + -3.09y + -0.64z <= 366.95
5.34x + -5.75y + 6.28z <= 804.56
5.06x + 8.93y + -8.42z <= 946.2
-0.61x + 1.07y + 0.08z <= 684.06
-9.68x + 2.11y + 0.45z <= 755.74
-3.44x + 8.87y + 1.54z <= 461.0
2.88x + -3.51y + 9.71z <= 145.74
-7.86x + -2.68y + -6.15z <= 774.21
-8.54x + 4.3y + -9.21z <= 926.1
-4.54x + -6.22y + 6.11z <= 594.22
-9.86x + 8.84y + -7.4z <= 396.9
1.32x + -2.86y + -8.65z <= 787.64
-5.78x + -9.92y + 9.16z <= 781.58
9.21x + 6.02y + 1.04z <= 796.76
9.14x + 6.06y + 5.67z <= 335.46
5.94x + -3.11y + -9.34z <= 780.34
-7.42x + -7.4y + 5.83z <= 267.02
-1.86x + -5.35y + -2.06z <= 540.92
-2.59x + -6.45y + -1.37z <= 525.75
8.03x + -5.64y + 9.87z <= 219.57
9.12x + 5.6y + -9.64z <= 354.15
3.87x + 5.41y + -1.08z <= 415.44
5.13x + 7.65y + -6.31z <= 965.28
1.33x + 5.13y + 1.08z <= 524.35
-1.96x + 8.35y + -2.69z <= 843.52
9.35x + 1.13y + 4.91z <= 994.19
-1.09x + 9.02y + 5.51z <= 601.91
0.24x + 3.12y + -0.44z <= 369.59
-4.91x + -8.37y + -5.68z <= 943.58
6.19x + -0.08y + -4.49z <= 673.09
1.89x + -6.1y + -0.6z <= 175.75
-6.96x + -9.82y + 4.5z <= 475.82
0.23x + 6.47y + -1.34z <= 287.18
6.61x + -1.01y + 8.19z <= 276.43
7.96x + 8.12y + 8.53z <= 241.86
-8.61x + 2.51y + -3.64z <= 686.49
-5.62x + 8.36y + 4.85z <= 577.24
-6.09x + 3.77y + 7.69z <= 480.99
-0.82x + 7.98y + -7.36z <= 394.84
-5.59x + 5.1y + -5.16z <= 464.27
-1.61x + 9.33y + -3.91z <= 565.54
7.22x + -9.86y + -4.96z <= 457.67
1.61x + -0.22y + -3.69z <= 827.79
-5.23x + -8.84y + 3.58z <= 161.83
5.22x + -8.71y + -5.66z <= 902.25
-8.96x + -0.86y + -4.17z <= 199.52
5.37x + 5.7y + 8.53z <= 910.55
-9.1x + 6.74y + -6.88z <= 304.54
8.65x + -0.14y + 0.23z <= 782.8
4.64x + -5.75y + 8.59z <= 300.0
-2.21x + -1.81y + 1.99z <= 455.07
-4.06x + -4.94y + 7.45z <= 953.93
-0.67x + 9.83y + -2.15z <= 381.52
-2.54x + 7.4y + 1.95z <= 332.02
3.98x + 1.4y + 3.4z <= 741.68
9.02x + -0.75y + 3.14z <= 349.88
4.2x + 2.22y + 10.0z <= 557.94
1.27x + 8.34y + -4.17z <= 634.37
-7.31x + -8.24y + -3.56z <= 116.97
8.1x + -7.6y + -0.72z <= 584.53
1.46x + 3.14y + -1.23z <= 287.25
8.19x + 2.16y + 3.3z <= 208.99
-6.64x + -3.98y + -6.77z <= 381.65
-8.59x + -6.57y + 1.09z <= 684.29
-7.77x + -7.99y + 8.78z <= 263.93
-5.67x + -3.43y + 9.23z <= 595.08
-7.33x + -3.19y + -4.72z <= 863.08
2.27x + 4.5y + 7.72z <= 563.4
-9.3x + -9.89y + -7.36z <= 445.5
-9.85x + 6.02y + -1.05z <= 793.92
1.13x + -0.61y + 3.18z <= 826.4
-5.46x + 3.17y + -3.23z <= 594.56
7.56x + -1.18y + 5.24z <= 333.18
9.66x + 0.9y + -5.19z <= 693.48
-0.3x + -9.55y + 4.07z <= 801.87
-4.15x + 5.68y + 3.64z <= 674.31
-3.65x + 4.22y + 2.57z <= 169.2
5.06x + 8.16y + -0.59z <= 942.73
8.13x + -8.26y + 3.75z <= 569.4
-8.38x + 6.22y + -1.06z <= 743.79
1.17x + 2.03y + -7.14z <= 333.32
-2.63x + -3.15y + -0.01z <= 726.94
-3.22x + -5.86y + 7.7z <= 482.01
7.96x + 9.85y + -9.44z <= 358.81
-1.97x + 9.98y + -1.31z <= 470.59
5.19x + -6.75y + 1.99z <= 535.58
5.52x + 4.29y + -9.62z <= 972.96
7.67x + 8.04y + -3.0z <= 607.53
-9.29x + -4.49y + 3.55z <= 596.67
5.71x + 2.85y + 0.73z <= 119.26
0.94x + -0.74y + -2.85z <= 225.72
-2.39x + 8.94y + 7.94z <= 741.5
1.47x + -3.55y + 7.78z <= 502.75
4.91x + 9.67y + 6.69z <= 601.2
6.14x + 8.13y + -8.3z <= 232.1
5.85x + -7.04y + -2.65z <= 436.83
-0.39x + 8.19y + 2.39z <= 959.48
7.85x + -7.27y + -0.3z <= 764.08
-8.1x + -9.09y + 9.32z <= 935.46
-6.0x + 4.91y + -4.88z <= 219.37
-4.74x + -7.52y + 2.87z <= 539.38
5.4x + 3.8y + -7.34z <= 651.37
-3.05x + 6.07y + -2.29z <= 505.04
-9.69x + -5.27y + -1.74z <= 222.35
-8.46x + -7.81y + 4.01z <= 319.68
-3.76x + -4.46y + -5.48z <= 357.87
-3.68x + -6.14y + -0.55z <= 942.56
5.66x + -3.85y + -4.25z <= 230.51
-5.1x + -5.57y + 1.16z <= 609.08
-6.74x + -9.59y + -1.95z <= 199.45
0.19x + 5.33y + 4.81z <= 645.87
-4.85x + -1.83y + 6.87z <= 416.82
-4.66x + -2.7y + 0.66z <= 859.97
3.71x + 5.11y + -8.95z <= 700.16
2.93x + 5.61y + -8.93z <= 824.27
0.6x + -6.25y + 9.35z <= 219.69
2.94x + -3.73y + 1.77z <= 224.56
4.84x + -9.55y + -8.13z <= 506.92
5.24x + 0.03y + -9.82z <= 469.1
-9.07x + -6.81y + 7.26z <= 626.79
-8.23x + -4.19y + 2.09z <= 343.26
-6.03x + 9.81y + -9.35z <= 788.03
-8.78x + 4.92y + 7.25z <= 320.88
8.27x + 9.0y + -6.44z <= 522.94
-8.93x + 9.7y + -0.4z <= 439.11
-8.76x + -5.26y + -1.91z <= 898.45
1.98x + 1.23y + 6.65z <= 514.87
6.89x + 0.74y + -7.78z <= 322.68
5.47x + 0.52y + 2.2z <= 617.62
4.47x + 1.46y + -9.06z <= 639.09
4.76x + 8.47y + 9.95z <= 613.07
5.38x + 6.47y + -2.12z <= 180.29
2.03x + 7.28y + -7.01z <= 844.19
7.99x + -0.61y + -1.51z <= 331.46
9.05x + -4.43y + -2.07z <= 292.03
-9.11x + 5.23y + 4.01z <= 336.17
-0.39x + -2.85y + -6.82z <= 691.36
-0.69x + -3.6y + 1.55z <= 839.56
-4.26x + 9.11y + -7.02z <= 530.96
-1.51x + 0.44y + -1.81z <= 738.24
-3.93x + -8.49y + 2.32z <= 472.54
7.1x + -5.29y + 0.37z <= 548.79
0.72x + -1.38y + 9.19z <= 241.09
7.31x + -4.67y + -5.28z <= 565.52
6.02x + 5.82y + 4.48z <= 220.64
6.91x + -7.23y + -2.65z <= 165.7
0.75x + -4.45y + 6.62z <= 330.36
-7.33x + -0.94y + 3.39z <= 290.75
-6.91x + 1.93y + 5.88z <= 870.32
-9.39x + -3.29y + -8.08z <= 218.81
-4.36x + -2.01y + -9.83z <= 794.63
-7.31x + -7.08y + 1.55z <= 580.87
-8.23x + -3.35y + -5.69z <= 333.48
-6.04x + 3.51y + -7.8z <= 424.04
-5.35x + 5.81y + 3.18z <= 513.03
-5.07x + -9.14y + -4.69z <= 502.48
-3.04x + 8.19y + -5.75z <= 539.31
-6.19x + -7.39y + -3.86z <= 903.55
-3.92x + 6.37y + -8.08z <= 358.53
3.22x + -2.1y + -9.91z <= 249.58
4.32x + -0.14y + -1.54z <= 257.33
-0.42x + -9.98y + 4.86z <= 633.13
5.23x + -3.29y + 8.22z <= 686.2
-9.67x + -6.89y + -9.08z <= 946.14
-1.18x + -9.48y + 3.94z <= 533.52
-3.42x + -3.31y + 4.86z <= 883.71
-4.34x + -5.76y + 3.96z <= 272.86
-6.04x + 1.81y + 3.85z <= 237.18
3.15x + 8.98y + 4.26z <= 778.13
-1.75x + -2.5y + 2.97z <= 454.64
1.7x + 5.51y + -2.03z <= 230.3
-3.58x + -3.82y + 5.96z <= 906.25
1.59x + 4.72y + 0.69z <= 758.53
-1.28x + 5.84y + 2.4z <= 604.63
4.65x + -8.76y + 2.9z <= 626.55
-5.72x + -4.71y + 5.44z <= 422.38
8.21x + 6.95y + -5.52z <= 900.49
-9.73x + -9.64y + -5.64z <= 499.08
-4.76x + 5.67y + -8.58z <= 650.27
-9.16x + 7.78y + -5.34z <= 390.67
