max 4.95x + -4.82y + -2.61z
-6.0x + 6.28y + 3.67z <= 125.96
-1.51x + 9.55y + -9.09z <= 646.79
0.53x + -6.82y + 2.0z <= 583.19
-5.01x + -5.6y + 5.02z <= 407.46
-1.19x + 6.03y + 5.08z <= 908.54
-9.09x + 6.26y + 3.09z <= 621.68
-0.51x + 5.74y + -1.88z <= 855.09
2.09x + -3.5y + -5.98z <= 127.14
-7.74x + -9.56y + -5.11z <= 970.4
5.48x + 6.96y + 4.85z <= 554.74
-7.83x + -1.65y + 2.04z <= 919.87
-7.87x + 1.58y + -8.38z <= 551.87
4.55x + -1.47y + -1.6z <= 281.41
-7.43x + 0.18y + 5.57z <= 176.53
-1.55x + -5.15y + 5.39z <= 734.05
-6.92x + 5.98y + 7.7z <= 706.0
5.34x + 9.4y + 1.15z <= 399.15
-1.71x + 0.07y + 2.5z <= 778.19
4.19x + -8.73y + 4.11z <= 192.59
-4.98x + 8.23y + 0.1z <= 377.55
-7.58x + -9.85y + 5.13z <= 817.95
6.59x + 2.89y + 6.63z <= 697.21
3.97x + -3.07y + -1.82z <= 854.25
-2.85x + 5.11y + 4.33z <= 855.99
7.5x + -7.76y + 3.45z <= 622.29
5.43x + 9.16y + -6.31z <= 808.35
2.18x + -5.1y + -3.05z <= 445.01
-7.44x + 7.02y + -3.67z <= 554.92
3.31x + -8.81y + -0.53z <= 569.8
-4.69x + -1.3y + -7.77z <= 654.37
2.29x + 1.3y + 6.46z <= 605.25
-6.16x + 2.79y + -5.22z <= 123.52
-1.84x + 1.59y + 9.32z <= 663.29
0.96x + 3.23y + 2.08z <= 994.36
-2.41x + -9.42y + -5.58z <= 127.82
-9.88x + 2.92y + 9.18z <= 147.39
-5.05x + -1.96y + 8.72z <= 222.94
4.17x + 1.91y + -7.77z <= 919.35
3.99x + 8.53y + -3.84z <= 416.38
5.19x + 5.2y + 6.12z <= 760.28
8.46x + -5.74y + -6.58z <= 947.55
8.47x + -2.83y + -1.72z <= 916.2
7.81x + -0.03y + -4.18z <= 549.17
9.17x + -2.07y + -9.55z <= 408.86
-8.21x + 0.84y + 5.51z <= 662.24
0.11x + -7.28y + -0.57z <= 771.31
3.25x + -7.56y + -3.41z <= 349.94
1.37x + 3.94y + -9.88z <= 903.97
8.77x + 7.08y + -5.35z <= 488.46
8.36x + -1.48y + 3.07z <= 218.11
8.82x + 7.25y + -3.39z <= 605.62
3.41x + -8.28y + 8.45z <= 550.13
-7.54x + -9.74y + -1.52z <= 115.01
4.59x + -6.26y + -1.49z <= 216.36
6.64x + -1.66y + -0.38z <= 975.32
-2.04x + 7.54y + 0.4z <= 668.6
4.64x + 4.51y + -3.05z <= 858.54
1.4x + -9.12y + -7.11z <= 680.98
-1.0x + -1.09y + 6.25z <= 241.49
-1.78x + -8.24y + -1.77z <= 739.93
4.52x + 8.79y + -4.31z <= 828.84
-7.31x + -6.84y + 2.39z <= 376.37
-0.04x + -7.23y + -1.65z <= 765.82
-2.71x + -2.56y + -8.74z <= 753.76
9.44x + -5.59y + -0.37z <= 664.58
8.1x + 9.74y + -3.96z <= 720.87
0.08x + -9.9y + -0.44z <= 338.75
-3.4x + -5.9y + 9.88z <= 581.32
4.0x + -2.36y + -1.0z <= 132.17
-1.78x + -5.83y + -9.25z <= 246.99
-3.11x + 7.63y + -8.76z <= 551.68
3.71x + 8.46y + 8.62z <= 504.18
0.71x + -8.21y + -9.77z <= 636.89
-4.05x + 1.18y + 3.28z <= 873.95
3.02x + 7.4y + 7.76z <= 647.25
6.43x + -3.55y + -1.82z <= 841.03
-7.78x + 7.24y + 0.8z <= 698.64
-6.64x + -6.47y + 0.25z <= 564.3
-0.31x + -3.59y + 0.13z <= 474.41
-0.49x + -7.03y + -6.86z <= 691.05
8.42x + 2.86y + -1.31z <= 282.73
-8.9x + 9.2y + -8.6z <= 865.17
-9.31x + -1.62y + -9.33z <= 281.55
-5.66x + -0.51y + 9.37z <= 336.24
6.19x + 1.95y + 7.23z <= 204.53
-2.63x + 4.69y + 9.66z <= 867.59
-0.68x + 7.31y + 5.14z <= 451.75
7.6x + -2.26y + 7.17z <= 983.19
2.44x + 0.81y + -8.17z <= 913.54
-5.41x + 4.11y + -8.34z <= 946.51
8.24x + -9.9y + -8.79z <= 792.99
-8.68x + 8.95y + -8.22z <= 965.41
0.64x + 3.37y + -1.68z <= 730.87
-6.93x + -6.01y + -1.74z <= 446.44
-2.55x + -4.05y + -8.86z <= 293.76
-7.79x + -7.64y + -7.36z <= 161.76
0.99x + -8.74y + -6.96z <= 418.54
-7.66x + 0.49y + -7.48z <= 478.69
9.49x + 3.86y + 5.8z <= 402.71
3.12x + -5.01y + 8.64z <= 416.42
-0.87x + -4.08y + 2.22z <= 847.65
-3.32x + 5.01y + 9.34z <= 664.83
-7.52x + -6.99y + -8.41z <= 866.63
-0.12x + 7.4y + 3.0z <= 886.83
0.62x + -5.18y + -9.67z <= 960.05
-4.87x + -1.69y + 9.79z <= 342.18
7.33x + -2.05y + -5.92z <= 951.56
-3.11x + -5.11y + -6.88z <= 846.45
7.42x + -2.94y + 3.92z <= 204.9
1.14x + 1.87y + 1.46z <= 475.28
-5.56x + -6.46y + -8.99z <= 700.83
-7.9x + -4.16y + 4.04z <= 637.73
-0.86x + -3.7y + 5.03z <= 415.26
5.05x + 5.32y + -7.62z <= 419.16
-4.81x + 1.36y + -3.82z <= 769.87
-1.61x + -5.23y + 1.98z <= 887.68
1.1x + -4.11y + 0.22z <= 221.91
1.36x + 8.49y + 6.17z <= 539.05
6.72x + 4.18y + 4.17z <= 653.74
3.23x + 8.69y + -1.13z <= 891.23
3.57x + 0.62y + -1.88z <= 477.89
-0.76x + -1.27y + 3.52z <= 956.86
-7.07x + 2.26y + 2.74z <= 317.91
-1.45x + 8.75y + -3.33z <= 698.45
-5.49x + -8.34y + -1.74z <= 821.1
-1.24x + -6.11y + 8.09z <= 751.36
2.09x + -0.4y + -8.63z <= 350.23
-0.84x + 5.03y + 9.13z <= 498.12
-6.68x + -3.69y + -3.5z <= 869.28
-6.67x + -1.65y + -1.88z <= 299.11
-4.13x + 6.01y + 0.86z <= 404.88
8.86x + 3.01y + -8.92z <= 613.96
4.25x + -2.3y + 2.95z <= 928.83
-9.75x + -3.05y + -7.61z <= 551.94
-5.07x + 1.76y + 4.66z <= 257.63
1.34x + 4.76y + -7.72z <= 722.59
4.54x + 6.13y + 2.91z <= 411.73
8.75x + 6.3y + 7.09z <= 320.84
7.32x + -6.93y + -8.83z <= 188.35
-0.51x + 9.38y + -0.32z <= 738.25
6.88x + -0.63y + -6.62z <= 661.13
5.14x + 3.95y + -3.4z <= 215.86
6.01x + 0.44y + 4.85z <= 146.94
-0.16x + -0.73y + -2.76z <= 934.49
-0.64x + -6.91y + 8.87z <= 519.38
-3.05x + -3.55y + -4.27z <= 940.95
7.28x + -3.08y + -7.95z <= 174.13
-7.51x + 9.88y + 1.74z <= 841.23
7.46x + -1.58y + 0.25z <= 719.2
-2.34x + 0.85y + -7.98z <= 694.4
1.46x + 7.26y + 7.68z <= 518.39
-3.11x + 1.53y + 9.93z <= 891.82
3.3x + -2.92y + -4.64z <= 737.55
-7.96x + -0.62y + -9.71z <= 901.99
-0.77x + 3.58y + -4.37z <= 430.04
-2.77x + 5.33y + -5.0z <= 651.74
-9.03x + -5.37y + 7.86z <= 486.73
-5.95x + -8.11y + -5.41z <= 407.89
-5.47x + -2.69y + 3.65z <= 702.32
7.65x + -9.06y + 6.23z <= 508.72
-9.81x + 7.83y + -5.97z <= 719.92
0.04x + 4.37y + -7.36z <= 528.67
5.51x + 3.27y + 4.67z <= 745.91
4.54x + 1.47y + 5.39z <= 187.17
9.12x + 2.43y + -6.23z <= 777.46
-6.16x + 6.26y + -5.12z <= 977.49
7.77x + -3.21y + 8.53z <= 142.64
-8.78x + -2.32y + 0.53z <= 633.95
-4.4x + 8.15y + 5.03z <= 730.03
-2.85x + 9.01y + 3.77z <= 989.03
9.51x + -2.57y + 7.41z <= 564.94
3.97x + 7.19y + -6.15z <= 431.2
5.24x + -5.65y + 5.37z <= 485.79
-7.14x + 8.91y + -2.54z <= 343.91
5.7x + -1.78y + -4.81z <= 653.88
7.97x + -6.4y + -4.91z <= 328.37
4.64x + -4.24y + 1.32z <= 302.27
-0.35x + 6.83y + 2.2z <= 318.4
-5.82x + 5.6y + 9.23z <= 950.25
7.27x + 0.16y + -4.41z <= 367.1
3.09x + 7.29y + 3.44z <= 770.83
-3.44x + -2.69y + 7.81z <= 106.37
-1.96x + -1.51y + -5.13z <= 867.9
-8.46x + -1.68y + 4.0z <= 659.31
-1.12x + 8.08y + -2.24z <= 754.09
5.85x + -9.58y + 6.11z <= 424.12
2.36x + -8.61y + 6.12z <= 324.57
0.25x + 0.28y + 1.39z <= 725.45
-2.32x + 5.68y + 3.02z <= 302.44
3.45x + 2.69y + -2.73z <= 390.73
-6.78x + -3.54y + 5.04z <= 364.88
6.59x + 6.82y + -5.67z <= 704.96
7.98x + 7.06y + -8.95z <= 997.34
4.66x + 3.96y + -6.0z <= 923.68
1.73x + 1.63y + -9.49z <= 444.09
-8.03x + 3.38y + -2.31z <= 989.81
8.65x + -0.16y + -5.03z <= 946.18
0.89x + 6.7y + -9.96z <= 523.94
-6.44x + -6.77y + -9.0z <= 347.62
-0.03x + 1.11y + -1.66z <= 649.95
5.36x + -1.77y + 6.08z <= 261.83
9.44x + 6.22y + -9.86z <= 775.98
-3.8x + -7.91y + 5.01z <= 573.95
-7.04x + -3.43y + -1.86z <= 685.44
4.15x + -5.52y + 5.14z <= 504.27
-5.53x + 6.25y + 4.91z <= 594.85
7.39x + -9.0y + -2.34z <= 751.72
-4.44x + 3.63y + 9.84z <= 217.41
-0.53x + 0.32y + -7.14z <= 166.51
9.38x + -1.12y + 8.08z <= 673.18
-9.27x + -3.61y + 8.79z <= 835.64
2.73x + 1.5y + 6.21z <= 703.64
9.29x + -1.32y + 4.59z <= 612.57
4.65x + 4.87y + 2.57z <= 148.54
1.42x + -9.17y + -0.27z <= 584.25
-8.3x + -2.01y + -5.21z <= 236.85
2.8x + 4.55y + 9.73z <= 536.39
-8.43x + 6.54y + 3.91z <= 478.68
-8.09x + 3.9y + 4.23z <= 425.92
-9.15x + 8.96y + -2.54z <= 440.91
-4.12x + 6.4y + -9.14z <= 340.42
-9.84x + 9.75y + 7.7z <= 731.84
-8.95x + 2.92y + -3.35z <= 267.99
-6.27x + 4.87y + 4.56z <= 130.92
-0.25x + 3.45y + 0.42z <= 428.46
-6.66x + 4.87y + 3.22z <= 738.45
-5.21x + 2.14y + 0.95z <= 829.43
1.24x + -4.6y + 4.23z <= 960.25
9.74x + -2.06y + 9.91z <= 945.76
-5.07x + -8.35y + -2.71z <= 679.65
4.52x + 2.69y + 1.01z <= 178.11
-9.82x + -2.3y + -6.1z <= 129.42
-9.17x + 6.81y + 4.62z <= 134.26
-7.37x + -6.0y + -5.18z <= 691.77
-1.72x + 8.91y + 7.02z <= 828.6
5.76x + -6.48y + -7.81z <= 195.88
5.76x + -1.84y + -5.02z <= 225.41
1.55x + 3.21y + -9.66z <= 529.19
-4.85x + -9.74y + -7.03z <= 222.84
-3.01x + -2.11y + -3.98z <= 565.61
-9.27x + -2.2y + 5.57z <= 158.58
8.69x + -0.39y + 7.6z <= 645.16
-3.34x + 2.45y + -0.79z <= 321.36
-1.66x + -2.26y + 8.34z <= 576.67
-0.52x + -1.02y + -7.94z <= 264.15
0.02x + 7.05y + -2.35z <= 298.97
-6.62x + -5.08y + -0.48z <= 642.22
-7.9x + 3.53y + -1.34z <= 902.58
0.33x + -8.96y + 1.82z <= 789.92
3.8x + -3.18y + -1.16z <= 443.68
-7.54x + 4.72y + 6.12z <= 982.34
-2.57x + 5.38y + 8.34z <= 679.71
-7.66x + -6.44y + 7.14z <= 556.51
6.44x + -6.18y + 9.77z <= 909.14
0.77x + -0.34y + -6.75z <= 834.82
3.85x + 3.78y + 4.16z <= 536.18
-3.33x + 9.74y + -0.45z <= 175.67
4.11x + -3.11y + -9.83z <= 341.77
-2.98x + -5.29y + 8.83z <= 730.74
7.29x + 2.1y + 7.56z <= 839.45
-0.61x + 7.96y + -3.97z <= 612.19
-6.03x + -0.56y + 3.22z <= 770.23
-1.53x + 9.13y + -9.6z <= 743.68
8.48x + 6.18y + 2.3z <= 616.92
-4.17x + 5.78y + -4.5z <= 313.11
1.19x + 2.15y + -2.7z <= 834.32
9.59x + -1.94y + -0.17z <= 234.98
-6.57x + 5.38y + 0.48z <= 542.86
-6.38x + 2.6y + 8.25z <= 998.33
0.76x + 3.24y + 2.56z <= 766.93
-5.93x + 4.23y + -0.27z <= 420.35
-2.56x + 1.33y + 6.86z <= 753.87
-2.97x + -8.53y + -2.26z <= 282.13
2.02x + -9.72y + 2.98z <= 207.25
-7.39x + -2.63y + 3.65z <= 530.17
8.64x + -0.89y + 2.21z <= 529.33
-6.96x + 5.34y + 5.02z <= 229.16
-7.82x + 9.68y + -3.43z <= 574.15
-5.32x + 7.27y + 9.23z <= 353.49
-2.42x + 5.62y + 6.57z <= 374.74
4.11x + -3.58y + 6.87z <= 813.01
0.76x + 5.19y + 2.01z <= 248.87
4.86x + 1.67y + -1.23z <= 390.32
9.53x + -1.11y + -7.31z <= 300.25
-3.37x + -9.0y + 8.12z <= 259.99
9.98x + -9.2y + 1.03z <= 611.65
7.21x + 1.97y + -1.01z <= 374.64
-4.54x + 2.07y + -9.73z <= 782.22
-1.88x + -3.07y + -6.97z <= 927.17
-3.98x + -8.36y + -7.32z <= 483.85
-4.47x + 1.22y + -4.86z <= 252.54
8.7x + 7.33y + -2.59z <= 368.7
3.13x + 8.18y + -5.87z <= 823.5
7.46x + 9.39y + -6.02z <= 221.38
6.0x + 5.7y + -7.75z <= 153.97
9.51x + 0.93y + -9.66z <= 654.46
-0.75x + 5.44y + -7.74z <= 282.75
6.18x + -1.52y + 3.92z <= 657.66
0.32x + -5.15y + -9.72z <= 603.72
-7.11x + -0.09y + -3.07z <= 685.5
8.69x + 2.33y + -6.42z <= 962.45
-3.15x + -1.33y + -2.25z <= 502.22
-7.41x + 4.42y + -5.62z <= 925.79
-6.7x + -9.64y + 2.83z <= 389.04
6.5x + 1.96y + 1.83z <= 386.9
-3.39x + -3.86y + 8.83z <= 966.15
4.84x + 8.87y + -6.45z <= 383.68
-5.84x + -0.69y + -0.98z <= 767.79
-7.2x + -5.18y + 3.95z <= 367.07
5.68x + -7.13y + 6.61z <= 133.68
-4.35x + 1.63y + -9.15z <= 131.72
6.6x + 5.92y + 1.62z <= 989.6
-0.94x + -1.52y + 6.73z <= 533.14
-9.46x + -6.91y + -1.33z <= 995.77
-0.01x + 7.34y + 3.56z <= 934.95
-8.07x + 3.44y + 7.6z <= 617.28
-5.48x + -4.45y + 8.65z <= 933.13
-4.65x + -9.99y + 2.29z <= 599.46
4.95x + -3.39y + 7.5z <= 474.21
1.53x + -4.71y + 6.31z <= 331.24
2.09x + 5.33y + -2.75z <= 230.91
-2.75x + 0.2y + 3.87z <= 257.57
2.19x + 3.28y + 0.74z <= 967.31
4.93x + 7.35y + 7.66z <= 647.66
9.75x + -2.72y + 0.98z <= 315.49
-4.74x + 9.98y + 8.65z <= 528.83
-6.96x + 6.51y + 3.59z <= 405.32
-3.31x + 4.84y + -6.32z <= 188.93
-0.42x + -1.23y + -3.73z <= 573.27
-0.87x + -5.53y + 4.33z <= 493.82
8.86x + 7.47y + -1.78z <= 646.23
-9.12x + 7.29y + -0.16z <= 140.98
2.6x + 4.97y + 6.64z <= 926.06
8.93x + -0.45y + 4.02z <= 923.36
-4.09x + -8.31y + -4.16z <= 395.42
5.54x + 0.58y + -8.63z <= 331.08
9.29x + -1.76y + 9.67z <= 862.44
-5.97x + -5.34y + 0.66z <= 543.56
0.53x + 5.84y + 2.23z <= 294.43
-9.94x + 3.69y + 3.27z <= 692.74
3.0x + -6.88y + 0.56z <= 377.82
-7.34x + 4.5y + 0.13z <= 771.27
-0.26x + -2.87y + 2.58z <= 787.39
3.04x + -0.06y + 7.26z <= 982.38
-0.53x + -6.52y + -3.39z <= 388.19
5.92x + 9.14y + -6.72z <= 535.73
-4.47x + -3.0y + -2.82z <= 550.65
-2.23x + 0.37y + -3.68z <= 448.46
-2.48x + 1.42y + -3.21z <= 368.34
0.45x + 8.32y + 9.24z <= 724.72
1.73x + 9.41y + -2.64z <= 631.96
4.24x + 7.26y + 3.95z <= 305.79
-7.65x + -3.16y + 6.15z <= 278.42
-3.88x + 6.48y + 3.93z <= 594.52
-2.72x + -7.91y + -3.25z <= 159.12
-1.43x + -0.35y + -5.61z <= 863.49
6.95x + -1.33y + 7.1z <= 449.11
0.14x + -7.97y + 4.77z <= 982.17
-3.49x + 6.86y + 9.29z <= 575.4
9.57x + 4.97y + 5.58z <= 391.08
7.31x + 5.23y + -4.55z <= 730.2
6.84x + 9.86y + -8.62z <= 618.06
3.22x + 1.94y + 7.61z <= 929.05
0.59x + -8.65y + 5.63z <= 450.82
4.05x + -0.57y + -5.53z <= 268.23
-3.06x + 1.56y + 9.61z <= 126.27
0.31x + 9.48y + 1.69z <= 941.4
-7.2x + 0.74y + 3.01z <= 495.74
-7.38x + -8.18y + 9.09z <= 268.23
7.6x + 6.63y + -2.12z <= 728.83
-9.19x + 3.98y + 4.75z <= 699.36
7.6x + -9.42y + -9.52z <= 177.09
-9.32x + -4.01y + 0.67z <= 665.9
8.46x + -9.6y + -2.77z <= 945.32
-7.08x + 4.68y + -9.23z <= 706.7
-0.85x + 3.14y + 9.32z <= 216.84
-7.95x + 0.84y + -9.44z <= 162.83
-5.62x + 7.92y + -1.17z <= 407.07
0.37x + 0.16y + 6.27z <= 577.84
-3.42x + 9.08y + 9.02z <= 320.93
-1.43x + -2.25y + 5.61z <= 964.02
-9.61x + 5.44y + 1.65z <= 937.47
-5.49x + 7.17y + -4.93z <= 485.51
3.09x + -2.62y + -2.94z <= 714.05
-0.52x + 4.52y + -2.25z <= 248.69
-2.66x + 2.85y + 2.9z <= 220.9
-3.46x + -1.57y + 7.54z <= 875.53
-8.03x + 1.19y + 5.17z <= 482.89
-0.42x + -6.25y + -2.87z <= 565.84
9.51x + 5.61y + -4.54z <= 385.26
0.59x + -2.7y + 9.28z <= 664.85
9.04x + -8.05y + -2.69z <= 513.9
-8.73x + 1.9y + 8.32z <= 418.54
6.75x + 6.46y + 4.69z <= 241.3
5.75x + 0.48y + 2.46z <= 965.74
-3.55x + 2.45y + 4.57z <= 253.82
-5.24x + 2.96y + -9.97z <= 112.07
-0.03x + 0.63y + 8.28z <= 968.48
4.61x + -5.64y + -1.52z <= 809.11
8.84x + 6.51y + -3.92z <= 273.88
-8.78x + 2.64y + -0.23z <= 317.41
-5.89x + 0.94y + 7.47z <= 241.79
8.13x + 7.97y + -9.27z <= 421.09
6.92x + -0.94y + 9.18z <= 159.51
-2.65x + 4.28y + 5.18z <= 467.49
2.61x + 8.7y + -5.27z <= 215.75
0.92x + -0.62y + -9.28z <= 870.16
-0.95x + 8.23y + 3.52z <= 307.95
-1.13x + -5.85y + -8.92z <= 624.39
-4.17x + -5.14y + 9.85z <= 274.34
4.82x + 5.69y + 3.39z <= 708.67
1.13x + 0.19y + -7.49z <= 850.63
-1.51x + 7.68y + 9.39z <= 389.7
0.74x + -6.72y + -1.45z <= 887.75
-4.02x + -4.35y + -4.49z <= 760.53
-4.57x + 3.35y + -1.77z <= 742.59
7.95x + 7.48y + 2.6z <= 320.22
-3.84x + -5.71y + -6.16z <= 449.49
-3.03x + 7.03y + -9.18z <= 517.35
-2.67x + 4.96y + 7.49z <= 237.98
-4.03x + 8.6y + -3.46z <= 784.52
-0.5x + -3.99y + 0.14z <= 302.29
-4.75x + 1.83y + 1.87z <= 322.33
1.64x + 4.8y + 3.14z <= 792.78
-5.26x + 2.25y + -0.77z <= 921.29
-1.87x + -2.55y + 6.18z <= 375.49
0.24x + 5.5y + 5.33z <= 165.06
-3.81x + -6.19y + 2.35z <= 388.99
-3.23x + 2.65y + 6.09z <= 710.13
5.37x + 1.42y + 1.41z <= 716.28
0.58x + -3.37y + 6.92z <= 645.67
-7.53x + 2.33y + -5.62z <= 213.17
-0.26x + -7.02y + 7.55z <= 366.82
-6.09x + 7.69y + -0.53z <= 829.39
3.67x + -3.58y + -9.96z <= 693.37
-5.02x + 4.86y + 0.47z <= 703.41
-0.69x + -6.87y + -9.71z <= 251.43
6.04x + -3.25y + -2.68z <= 506.91
5.84x + 5.18y + 7.89z <= 214.86
-8.11x + 2.53y + 2.07z <= 716.69
-0.51x + 8.22y + -4.47z <= 463.61
0.94x + -5.47y + -6.3z <= 452.95
-2.12x + -7.95y + -9.03z <= 946.42
6.55x + 6.14y + -4.4z <= 372.52
-3.31x + 4.44y + 4.87z <= 125.99
6.81x + 4.08y + 1.05z <= 351.52
-6.51x + 3.19y + -9.31z <= 677.57
8.62x + -2.64y + 9.01z <= 285.24
-7.76x + -4.49y + 8.6z <= 541.81
-4.66x + -8.83y + 0.34z <= 613.11
-9.51x + -8.3y + -5.53z <= 446.64
9.43x + -3.19y + -4.61z <= 686.76
-7.82x + 7.15y + 6.73z <= 768.99
-8.29x + 9.16y + -7.55z <= 205.79
-6.58x + -9.41y + -6.52z <= 450.2
-0.03x + 0.9y + 9.62z <= 924.45
-7.04x + -2.19y + -8.46z <= 880.94
5.38x + 6.02y + -2.64z <= 834.95
1.57x + -3.87y + -3.23z <= 748.96
-0.28x + -8.41y + -2.18z <= 788.07
5.71x + -0.56y + 0.99z <= 569.61
-6.19x + 4.01y + 2.07z <= 771.53
1.94x + -8.96y + -9.61z <= 943.35
0.37x + -5.71y + -1.16z <= 733.05
4.49x + -6.9y + -4.22z <= 878.18
-6.66x + -6.43y + 4.72z <= 886.2
-8.88x + 4.09y + 3.9z <= 704.14
4.36x + 7.59y + 3.6z <= 955.0
6.67x + 1.37y + 2.84z <= 246.55
-5.96x + 1.65y + -7.25z <= 382.28
0.89x + -7.52y + -3.09z <= 263.47
3.88x + -4.8y + -0.67z <= 365.65
6.35x + -5.58y + -0.72z <= 971.65
1.64x + -1.43y + -1.41z <= 136.44
4.23x + 8.43y + -3.19z <= 502.17
-5.0x + -4.92y + -4.29z <= 150.13
8.7x + 6.06y + 7.97z <= 945.66
-7.57x + 0.45y + -4.8z <= 500.55
2.01x + -4.17y + -4.41z <= 390.11
2.19x + 8.3y + 1.09z <= 113.33
1.74x + -8.91y + 7.52z <= 563.16
8.96x + 3.65y + 1.67z <= 146.36
-9.54x + 0.15y + -0.09z <= 708.6
-0.29x + -8.56y + -3.14z <= 575.91
8.0x + 1.14y + 7.41z <= 765.57
-2.9x + 3.87y + -4.36z <= 602.86
9.33x + -7.37y + 5.91z <= 491.02
-2.34x + -0.33y + -6.8z <= 707.59
0.53x + -7.58y + -5.52z <= 522.26
7.89x + 2.91y + 2.09z <= 725.58
2.57x + 7.17y + 6.55z <= 817.33
-8.84x + 8.02y + 8.17z <= 655.98
-8.78x + 2.2y + -6.45z <= 219.9
-9.58x + -8.6y + 3.81z <= 197.11
5.54x + 3.55y + 7.83z <= 456.9
2.03x + 7.81y + -5.6z <= 281.24
-7.39x + 4.46y + 1.68z <= 152.81
-0.18x + 5.59y + -7.0z <= 933.37
3.3x + -2.1y + 4.31z <= 347.94
0.7x + -7.74y + 0.44z <= 467.69
5.92x + 7.27y + 2.76z <= 837.07
8.16x + -3.54y + 3.73z <= 261.88
-7.92x + 0.51y + 1.6z <= 230.99
-0.47x + 0.47y + 9.11z <= 900.74
0.85x + -4.28y + -2.44z <= 559.08
9.03x + 2.19y + 9.89z <= 815.14
-1.11x + 5.06y + -7.18z <= 387.39
3.54x + -8.96y + 2.37z <= 288.28
-6.56x + 2.99y + -4.96z <= 712.43
7.14x + 5.68y + -6.68z <= 472.82
3.34x + 3.44y + 7.03z <= 335.92
2.29x + 4.24y + -1.11z <= 612.04
-7.49x + -2.55y + 7.7z <= 132.47
6.33x + 1.49y + 4.03z <= 397.36
-8.24x + 5.23y + 1.52z <= 858.61
7.01x + 0.16y + 0.38z <= 975.98
2.58x + -5.62y + 8.58z <= 179.58
-4.16x + 9.67y + 0.42z <= 990.14
-7.31x + 4.09y + -5.49z <= 676.96
-7.7x + 7.51y + 6.76z <= 368.68
-3.05x + 8.77y + 4.71z <= 931.38
-5.38x + -0.35y + -9.98z <= 902.07
5.53x + -5.54y + -8.27z <= 230.07
-0.3x + 7.21y + -1.51z <= 931.93
-1.96x + 3.77y + -7.76z <= 326.39
8.85x + -8.36y + -0.4z <= 476.42
-5.2x + 6.57y + 0.68z <= 582.51
5.68x + -6.57y + -3.41z <= 155.79
-3.32x + -9.41y + -6.17z <= 755.83
-1.29x + 2.23y + -0.85z <= 142.42
3.99x + 1.82y + 2.2z <= 151.58
1.91x + 8.69y + -0.68z <= 204.12
-2.23x + -7.93y + -5.87z <= 693.18
7.68x + 1.1y + -9.62z <= 164.54
-8.94x + 4.59y + 2.76z <= 597.64
2.65x + 4.01y + 8.11z <= 458.62
-9.19x + -1.06y + -4.12z <= 535.24
6.21x + 3.37y + 5.32z <= 270.23
-8.3x + 2.92y + 2.13z <= 336.91
-1.02x + -2.57y + 1.74z <= 305.55
-8.79x + -7.32y + -0.49z <= 848.27
-2.11x + -2.84y + -4.35z <= 174.91
1.36x + 5.74y + -0.05z <= 223.87
-1.5x + -6.99y + -8.79z <= 799.41
9.26x + 7.05y + -0.93z <= 749.86
-4.94x + 3.24y + 8.74z <= 127.24
-4.33x + 9.36y + -3.2z <= 410.3
6.78x + -6.25y + 6.61z <= 264.99
-3.46x + 8.71y + -6.5z <= 829.6
8.3x + -7.13y + 9.0z <= 518.17
7.78x + 6.38y + -0.24z <= 284.95
-0.65x + 7.36y + 5.2z <= 323.56
9.46x + -6.63y + 3.41z <= 519.38
5.37x + -9.34y + 9.54z <= 522.51
-6.14x + -3.84y + -5.32z <= 894.56
9.01x + -5.44y + -2.63z <= 924.54
6.72x + 7.17y + -2.73z <= 421.94
-2.36x + 4.92y + 3.07z <= 650.97
0.61x + 5.17y + 8.78z <= 780.49
8.7x + -9.63y + -9.46z <= 809.68
-6.96x + 5.19y + -4.07z <= 289.06
1.21x + 0.8y + -9.61z <= 167.31
5.13x + -4.8y + -4.66z <= 211.45
-4.11x + -6.27y + 7.17z <= 717.54
-2.83x + -6.69y + 7.36z <= 391.05
-9.83x + -3.19y + -4.91z <= 957.71
6.81x + -8.16y + -8.39z <= 508.49
6.91x + 8.21y + -5.17z <= 538.24
-0.51x + 9.61y + 4.31z <= 936.63
6.56x + -8.37y + -9.4z <= 553.01
-2.53x + -8.34y + -1.02z <= 991.81
4.54x + -6.51y + -7.12z <= 317.68
6.46x + -4.85y + 6.75z <= 579.56
-5.92x + -4.56y + -5.57z <= 209.71
-8.19x + 8.86y + 8.85z <= 432.14
7.92x + -5.6y + -0.51z <= 707.7
-0.34x + 2.92y + -6.61z <= 512.61
6.71x + -5.81y + -2.46z <= 428.79
5.53x + 3.41y + 2.4z <= 379.62
-8.34x + 7.11y + 3.39z <= 691.99
9.64x + -7.02y + 3.8z <= 499.19
2.2x + -9.55y + -7.11z <= 312.71
-2.47x + -2.74y + -1.63z <= 659.36
-2.81x + -6.76y + 4.19z <= 925.71
8.23x + 4.54y + 5.3z <= 953.8
7.46x + 2.97y + 8.02z <= 763.94
9.02x + -6.56y + -2.97z <= 404.01
-8.86x + -0.04y + 1.12z <= 907.93
5.79x + 1.53y + 0.49z <= 764.83
3.53x + -5.0y + 2.04z <= 526.51
6.5x + -0.39y + 6.68z <= 139.74
5.72x + 7.21y + -9.95z <= 737.56
-0.92x + 6.6y + 7.19z <= 691.15
7.77x + -3.09y + -3.12z <= 643.38
