max 4.33x + 3.98y + 6.22z
9.29x + 8.3y + 1.36z <= 667.23
3.07x + -0.54y + -9.05z <= 378.48
7.85x + 6.4y + 5.66z <= 520.14
-5.29x + 4.28y + -3.55z <= 906.27
6.58x + -8.94y + 4.07z <= 716.8
-6.56x + 7.19y + 8.46z <= 595.67
-4.1x + 9.19y + -9.5z <= 847.75
3.0x + -4.19y + 9.51z <= 691.29
-4.79x + -5.76y + 9.85z <= 803.58
5.75x + 7.18y + 2.09z <= 238.7
-7.4x + 2.34y + 0.18z <= 833.52
7.15x + 2.1y + -8.99z <= 923.14
3.58x + -1.76y + 8.71z <= 408.52
8.44x + -6.26y + -0.59z <= 283.75
5.59x + 1.04y + 8.67z <= 451.16
-9.96x + 9.9y + -3.02z <= 280.84
-2.75x + 8.14y + -2.21z <= 265.07
-8.6x + -3.53y + 2.69z <= 236.43
-0.58x + 8.37y + -2.34z <= 216.59
-1.84x + -3.34y + -8.77z <= 368.12
-7.72x + 3.19y + -7.42z <= 859.36
4.23x + -2.1y + -2.98z <= 199.67
1.13x + -3.99y + 9.93z <= 381.53
2.73x + 0.06y + 6.99z <= 338.57
-1.0x + -0.98y + -2.17z <= 329.35
3.68x + -1.11y + -6.99z <= 483.48
-7.85x + 0.37y + -7.9z <= 350.19
-6.89x + -6.36y + 9.17z <= 862.97
6.56x + -3.62y + 6.94z <= 647.41
7.38x + -6.21y + 2.19z <= 524.07
-7.34x + 0.8y + -3.4z <= 618.52
2.27x + -8.57y + -9.29z <= 660.49
5.34x + 3.12y + -5.93z <= 978.0
2.72x + 8.58y + 2.93z <= 420.08
-1.13x + -4.45y + 3.68z <= 349.53
2.52x + 5.21y + 7.51z <= 671.43
8.22x + 1.72y + -6.14z <= 368.32
2.23x + -0.42y + 3.76z <= 441.99
6.31x + -1.37y + -7.3z <= 280.67
-0.74x + -2.58y + 2.57z <= 804.71
-4.36x + -9.38y + -8.21z <= 362.5
-0.14x + -0.84y + 2.67z <= 742.38
-7.59x + 4.73y + -8.75z <= 960.85
3.57x + -1.82y + -8.71z <= 262.21
-1.66x + -6.06y + -7.3z <= 849.5
-1.08x + -7.16y + -5.54z <= 364.17
-1.64x + -8.35y + 3.47z <= 710.99
0.86x + 2.46y + 9.25z <= 716.21
-5.22x + 9.81y + 8.92z <= 323.38
4.6x + 5.11y + 4.39z <= 593.75
6.28x + -9.42y + -2.83z <= 453.94
-0.72x + -9.97y + 8.31z <= 199.26
6.38x + 9.44y + -5.39z <= 319.71
4.09x + 1.0y + 0.31z <= 659.11
-8.45x + -0.91y + -4.17z <= 251.99
9.47x + 9.01y + -5.56z <= 113.51
-2.28x + 7.66y + 7.45z <= 600.51
4.21x + 4.96y + -6.83z <= 975.14
-4.06x + -6.65y + -3.76z <= 812.58
-3.4x + 5.89y + 2.95z <= 235.23
9.9x + 0.53y + 0.28z <= 338.82
9.29x + 9.32y + -0.02z <= 763.67
-5.38x + 2.11y + 2.61z <= 948.45
7.8x + -3.44y + 6.98z <= 866.98
-6.07x + -5.61y + 2.15z <= 490.68
4.62x + 3.47y + -1.68z <= 422.08
-5.23x + 6.66y + 6.32z <= 589.89
-2.12x + 1.26y + 2.99z <= 185.45
5.23x + 2.88y + -4.46z <= 514.3
7.69x + 3.57y + -4.32z <= 923.85
4.83x + -2.77y + 7.82z <= 362.81
-5.31x + -1.22y + 9.93z <= 690.0
-1.79x + 3.57y + -0.77z <= 539.66
-4.74x + -2.65y + -8.13z <= 843.32
-5.66x + -3.96y + -3.03z <= 805.3
-1.87x + -0.22y + 2.74z <= 752.48
-2.86x + -2.96y + -3.98z <= 235.17
8.83x + -6.04y + -4.4z <= 645.12
1.82x + 8.3y + 8.66z <= 678.38
0.03x + 0.27y + 5.03z <= 462.2
5.13x + -3.23y + 4.44z <= 487.96
-0.62x + 5.42y + -4.9z <= 977.14
-7.19x + -3.84y + 6.86z <= 934.37
8.79x + 1.2y + -8.25z <= 451.46
2.61x + 6.29y + -4.42z <= 416.73
-0.52x + 1.45y + -5.61z <= 672.31
-0.86x + 7.2y + -7.12z <= 996.97
7.74x + -6.91y + -9.8z <= 725.86
7.32x + -8.62y + 6.46z <= 629.86
5.61x + 0.27y + -8.19z <= 610.66
2.53x + -4.56y + -9.42z <= 546.03
-6.15x + 6.84y + 2.38z <= 774.12
3.59x + 4.79y + 5.92z <= 102.24
1.11x + -7.66y + -2.38z <= 162.95
1.02x + 8.52y + 4.9z <= 469.91
1.56x + -9.25y + 9.61z <= 505.71
-3.82x + 9.48y + -5.85z <= 183.56
-9.35x + -4.47y + -4.56z <= 190.28
9.87x + -4.12y + 2.47z <= 881.91
-3.98x + -3.85y + 3.35z <= 778.4
5.38x + -4.38y + 6.68z <= 599.25
8.61x + 6.15y + 5.52z <= 206.23
9.6x + 4.56y + -9.95z <= 160.07
0.48x + 2.32y + 3.2z <= 661.74
-5.75x + -4.87y + 6.9z <= 895.39
-8.2x + -6.61y + 2.83z <= 134.96
-0.92x + -5.32y + 3.44z <= 565.78
2.4x + -8.38y + 4.4z <= 864.2
8.14x + -5.43y + -1.28z <= 969.96
-3.27x + -2.97y + 8.81z <= 728.47
-0.63x + 3.53y + -3.23z <= 708.52
-9.13x + 6.19y + 7.99z <= 385.71
3.03x + -7.87y + -4.87z <= 415.2
-8.55x + 3.89y + 4.06z <= 337.49
5.1x + 8.26y + 9.48z <= 265.72
-3.1x + -1.92y + 1.09z <= 966.54
-3.55x + -6.45y + 8.75z <= 302.73
8.24x + -7.53y + 7.96z <= 726.92
-3.63x + 4.13y + 9.58z <= 540.03
-3.02x + -3.6y + 3.11z <= 621.3
-4.4x + 4.02y + -7.36z <= 622.34
-2.85x + -7.64y + 1.48z <= 758.22
-3.61x + 3.41y + 6.67z <= 542.56
7.94x + 2.68y + 1.95z <= 762.23
-8.53x + 2.8y + -1.59z <= 738.81
-3.32x + 0.59y + 4.88z <= 824.83
-1.25x + -4.25y + 4.66z <= 110.33
2.27x + -8.4y + -6.4z <= 891.13
-8.76x + 3.33y + 6.61z <= 109.46
-0.94x + -7.83y + 3.62z <= 398.79
-7.73x + 0.44y + 0.58z <= 485.1
0.15x + -8.99y + 2.45z <= 642.26
-1.5x + -3.27y + -9.48z <= 904.97
7.8x + 2.45y + 5.67z <= 621.64
4.62x + 4.65y + -5.18z <= 149.89
0.67x + 5.84y + 8.35z <= 708.96
6.15x + -1.76y + -2.91z <= 177.74
1.72x + 3.89y + -9.91z <= 252.64
-7.66x + 7.75y + -1.91z <= 567.21
-3.85x + -6.85y + 5.75z <= 961.49
-1.93x + 1.97y + 0.93z <= 547.15
-9.23x + 1.17y + -7.79z <= 254.86
4.38x + 4.45y + -1.48z <= 397.02
-5.29x + -8.11y + 0.1z <= 917.55
-6.19x + 4.95y + -6.65z <= 895.62
-6.68x + 9.43y + 8.76z <= 796.15
-3.46x + 9.03y + -3.79z <= 471.8
8.22x + 4.01y + 1.25z <= 408.52
-1.19x + 3.26y + 6.0z <= 511.83
2.67x + -1.79y + 0.89z <= 490.06
-4.38x + 1.88y + -6.24z <= 343.56
-5.31x + 3.35y + -8.06z <= 648.42
-5.94x + -2.28y + -5.95z <= 306.28
2.14x + -2.34y + -3.8z <= 523.78
6.79x + 9.88y + -2.84z <= 233.5
-4.77x + 6.16y + -1.66z <= 502.06
6.15x + -1.14y + 8.81z <= 936.72
-3.58x + -9.11y + 3.52z <= 979.39
-9.07x + 6.02y + -3.17z <= 633.77
4.77x + 3.61y + 1.17z <= 257.58
3.86x + 1.0y + -5.74z <= 458.29
-2.26x + 8.44y + -3.79z <= 832.79
-9.13x + -0.8y + 4.53z <= 617.51
-8.16x + 2.75y + -5.85z <= 810.58
3.04x + -6.8y + 9.91z <= 312.84
0.7x + -3.4y + 1.35z <= 696.39
-0.91x + 7.63y + 9.95z <= 717.9
-3.14x + -7.81y + -7.04z <= 271.82
5.85x + 6.14y + -3.29z <= 755.29
6.53x + 5.79y + 7.18z <= 313.78
-1.61x + 0.33y + 1.88z <= 854.85
-8.9x + -0.01y + -9.4z <= 181.62
-1.68x + -5.44y + 4.57z <= 704.12
7.13x + -0.15y + 0.73z <= 479.53
-2.1x + -7.73y + -4.58z <= 777.84
-1.42x + 3.25y + 6.37z <= 951.95
-6.36x + 4.36y + -2.17z <= 280.18
5.89x + 2.89y + 6.67z <= 140.5
1.48x + 7.67y + 1.3z <= 810.56
1.57x + -8.67y + 2.7z <= 982.84
6.72x + -2.51y + 4.24z <= 677.15
-6.64x + 9.06y + -8.1z <= 622.8
-4.55x + -6.99y + 9.24z <= 661.79
4.56x + 5.47y + -0.7z <= 415.43
-9.4x + 2.96y + -2.4z <= 936.84
-8.09x + -9.38y + -9.91z <= 158.03
-3.65x + -5.25y + -6.89z <= 284.21
-1.86x + 2.65y + -5.67z <= 399.19
-1.41x + 4.45y + 0.77z <= 542.75
-7.41x + 1.48y + 0.13z <= 584.86
8.43x + -1.51y + 3.39z <= 501.18
1.48x + -1.69y + -9.0z <= 788.34
0.02x + 9.83y + -4.59z <= 937.86
5.8x + 2.46y + 5.78z <= 599.4
7.95x + -4.79y + -9.79z <= 702.61
-8.58x + 7.15y + -6.89z <= 730.63
2.58x + -6.96y + 0.86z <= 984.7
4.73x + 3.78y + 8.81z <= 866.3
4.51x + 9.9y + 8.79z <= 618.32
7.03x + 3.18y + 3.73z <= 251.6
0.14x + 9.23y + 2.37z <= 649.93
-10.0x + 8.08y + -0.8z <= 296.63
-5.38x + 5.1y + 7.54z <= 288.71
1.01x + 5.05y + 8.76z <= 760.98
-7.54x + 0.44y + 9.33z <= 718.13
-0.85x + 0.87y + -8.3z <= 536.59
3.44x + -1.47y + -2.55z <= 898.29
-2.87x + -3.31y + -6.96z <= 105.54
-8.72x + 1.3y + 7.51z <= 635.15
8.74x + 3.33y + 5.69z <= 148.23
-2.16x + -4.64y + 0.79z <= 163.26
3.6x + -2.99y + -7.64z <= 611.93
3.87x + 2.67y + -7.47z <= 719.5
-5.91x + 2.94y + 7.22z <= 139.29
-8.05x + 2.54y + 6.54z <= 672.43
0.49x + -7.13y + 4.4z <= 444.84
-4.51x + 4.59y + 4.12z <= 494.99
6.53x + 3.04y + -3.74z <= 294.03
-3.63x + -5.06y + 7.72z <= 817.18
6.48x + 8.22y + 5.34z <= 456.39
-3.19x + -2.95y + 1.68z <= 112.38
0.19x + 5.11y + 0.54z <= 229.13
9.19x + -0.85y + -6.58z <= 707.52
9.91x + -7.91y + 1.59z <= 369.77
-5.32x + 2.59y + 2.17z <= 430.21
-0.72x + 3.69y + 1.56z <= 141.58
-0.3x + -8.25y + -1.86z <= 994.98
2.59x + -1.25y + 8.1z <= 192.35
-6.21x + -1.28y + -5.69z <= 607.34
-0.27x + -6.41y + 4.98z <= 499.44
-5.25x + -2.74y + 3.36z <= 167.02
6.75x + 4.41y + 2.35z <= 250.08
9.06x + -7.27y + 3.34z <= 838.32
-4.84x + 5.91y + 4.32z <= 380.05
-5.75x + 1.97y + 6.81z <= 405.9
-2.56x + 6.51y + -5.32z <= 384.65
-1.92x + -0.24y + -0.38z <= 133.18
8.93x + -9.18y + 7.67z <= 888.1
-9.07x + -5.94y + -7.78z <= 546.68
1.26x + 0.87y + 1.13z <= 707.75
-0.78x + -8.76y + -8.59z <= 135.58
0.22x + -3.42y + 5.5z <= 693.49
-1.07x + -8.57y + -9.48z <= 641.76
1.86x + -9.25y + -7.08z <= 222.42
5.47x + 1.97y + -7.1z <= 384.81
2.95x + 7.91y + -5.48z <= 959.67
-8.06x + -3.16y + 8.2z <= 439.74
3.52x + 9.35y + 4.05z <= 234.03
0.56x + 0.36y + 4.16z <= 735.34
6.52x + 9.81y + -4.8z <= 945.47
-4.5x + -9.43y + -5.31z <= 535.0
-1.57x + 7.79y + -7.97z <= 322.78
2.81x + 2.35y + -4.62z <= 532.02
1.87x + -0.38y + 8.61z <= 375.06
1.53x + -6.8y + -0.17z <= 752.06
-0.37x + 3.73y + 5.59z <= 966.88
-3.6x + -2.0y + -5.22z <= 708.26
-1.82x + 2.36y + -4.83z <= 558.27
-6.43x + -0.47y + -8.69z <= 896.85
-5.93x + -0.34y + 0.3z <= 904.85
-1.47x + 0.55y + -5.7z <= 585.87
1.66x + 9.67y + 5.81z <= 584.26
9.1x + 2.87y + -6.76z <= 467.68
-8.95x + 1.01y + 7.68z <= 895.98
6.49x + -6.86y + -2.3z <= 518.07
-6.12x + 6.51y + -7.3z <= 993.26
4.41x + 9.8y + -0.47z <= 764.24
-9.63x + -7.1y + -2.75z <= 360.57
-7.93x + -4.06y + 1.11z <= 327.53
-8.96x + -3.36y + 5.86z <= 991.69
9.2x + -8.89y + 1.19z <= 760.39
7.64x + -7.59y + 1.37z <= 312.02
-4.85x + 2.0y + 1.36z <= 519.94
-6.3x + 5.5y + -4.01z <= 906.39
1.09x + 5.86y + -3.11z <= 842.44
-3.22x + 7.01y + -6.61z <= 572.56
-1.65x + 1.14y + -4.83z <= 737.47
-2.82x + -1.05y + 2.7z <= 232.74
-3.52x + 5.21y + -2.89z <= 659.74
-7.56x + -2.68y + 3.89z <= 505.95
-1.6x + -5.73y + 6.89z <= 133.75
7.29x + 2.44y + 8.23z <= 313.23
6.81x + -3.76y + 8.68z <= 172.35
-4.78x + -0.88y + 3.0z <= 867.6
-7.7x + 2.61y + 0.56z <= 443.05
7.31x + 9.41y + -7.72z <= 972.89
8.44x + -8.29y + -0.55z <= 616.63
-9.78x + -8.98y + 6.8z <= 764.03
2.04x + 6.28y + -4.51z <= 317.97
-5.23x + -4.74y + 9.21z <= 194.78
-7.46x + 5.78y + -5.46z <= 223.24
-1.99x + -4.2y + -9.83z <= 381.12
-0.88x + -3.85y + 5.53z <= 647.31
-5.95x + 2.61y + 4.9z <= 605.93
-9.6x + 9.19y + -2.42z <= 469.39
-5.29x + 7.53y + -7.73z <= 349.78
-4.58x + 8.56y + 3.66z <= 344.94
1.73x + -7.49y + 9.42z <= 374.48
3.8x + 9.92y + -3.18z <= 870.12
-7.13x + -4.18y + -0.67z <= 325.38
-4.65x + -0.82y + -0.03z <= 569.32
3.89x + -0.37y + -7.14z <= 695.26
-0.99x + 5.98y + -7.52z <= 793.47
-2.5x + 3.03y + 3.38z <= 903.16
1.51x + 6.02y + 4.93z <= 389.47
-9.52x + -0.78y + -6.92z <= 555.21
1.85x + 7.66y + -0.57z <= 642.65
-6.81x + 4.28y + 8.38z <= 968.99
1.37x + 1.36y + -7.63z <= 324.46
-0.65x + 6.68y + 2.0z <= 839.85
3.91x + -2.31y + -1.41z <= 160.96
-9.27x + -8.45y + 8.97z <= 763.2
-8.06x + -5.38y + -2.93z <= 362.82
-2.5x + 8.84y + 1.49z <= 278.7
3.22x + 2.43y + 2.23z <= 525.56
6.96x + 3.61y + -9.14z <= 746.52
-7.91x + -6.07y + 6.38z <= 187.53
-2.97x + 4.68y + 9.7z <= 391.44
5.73x + -5.97y + 6.44z <= 177.1
3.86x + 8.14y + 6.87z <= 665.11
-5.42x + 8.67y + -1.23z <= 294.13
2.48x + -8.27y + 1.24z <= 466.68
7.7x + -9.19y + -6.31z <= 446.8
1.91x + 8.87y + -8.9z <= 883.71
-5.86x + -8.91y + -5.67z <= 349.93
5.06x + 3.34y + -8.63z <= 684.35
9.37x + 6.89y + 9.33z <= 324.49
-9.32x + -3.64y + -3.53z <= 258.74
8.66x + -8.43y + -6.25z <= 130.9
1.25x + 0.93y + 6.5z <= 992.24
8.86x + -8.23y + -8.4z <= 727.77
8.07x + -9.17y + -0.16z <= 940.0
2.69x + -3.22y + -4.59z <= 901.83
-3.31x + 6.61y + 6.49z <= 149.08
-9.68x + 4.48y + -0.06z <= 416.68
-8.02x + -4.14y + 1.32z <= 759.68
4.87x + -3.84y + -1.47z <= 669.47
-4.52x + -0.86y + -0.29z <= 537.8
-6.87x + -0.47y + -6.62z <= 660.39
0.23x + -1.28y + -9.62z <= 818.63
0.22x + 9.08y + -2.54z <= 848.71
-5.79x + -9.48y + 0.61z <= 199.5
3.51x + 9.5y + -5.98z <= 606.67
-1.75x + 4.51y + 3.95z <= 825.56
0.71x + 5.8y + -9.18z <= 569.8
8.16x + -0.97y + -6.05z <= 553.22
2.72x + 2.14y + -1.22z <= 611.51
-2.71x + -7.13y + 7.44z <= 998.67
2.7x + -3.39y + -4.47z <= 143.57
-2.26x + -0.51y + -5.66z <= 267.68
-9.81x + -2.01y + -3.14z <= 271.27
9.69x + -4.59y + 4.77z <= 732.45
8.23x + 7.23y + 1.65z <= 565.82
-6.17x + 9.9y + -2.74z <= 108.49
2.94x + -8.43y + 7.65z <= 777.78
8.02x + 5.8y + -9.9z <= 312.42
-0.86x + -6.42y + 4.15z <= 360.09
5.38x + 9.71y + 2.67z <= 908.14
-0.58x + 4.69y + 6.34z <= 116.91
4.13x + -6.72y + 7.75z <= 768.81
1.96x + 1.49y + 8.37z <= 624.9
-1.2x + 2.91y + -6.79z <= 825.27
4.49x + 2.13y + -0.74z <= 330.08
2.88x + -9.14y + -0.9z <= 428.98
8.02x + -0.16y + -4.09z <= 373.48
2.21x + 5.28y + -4.51z <= 909.39
7.35x + -5.45y + 8.71z <= 149.91
-8.15x + -9.34y + 1.83z <= 294.38
0.37x + -1.1y + 4.36z <= 858.02
6.63x + -2.89y + 0.19z <= 263.3
7.17x + -3.75y + -1.19z <= 172.89
1.46x + 0.25y + -2.27z <= 304.42
-2.12x + -4.33y + 7.79z <= 729.34
0.7x + 7.21y + 4.7z <= 808.55
8.57x + 8.84y + -0.04z <= 998.28
-4.44x + 6.51y + -1.33z <= 781.27
7.51x + -7.85y + 1.9z <= 603.24
2.71x + -4.65y + 8.62z <= 985.5
-2.85x + -9.61y + 8.4z <= 809.6
6.17x + 4.71y + -3.57z <= 748.46
1.18x + 9.53y + -0.72z <= 346.63
-6.46x + 4.19y + 5.41z <= 877.34
-8.0x + 6.44y + -1.65z <= 324.16
2.32x + -2.85y + 6.76z <= 226.99
1.71x + 9.42y + 0.37z <= 931.58
8.99x + -3.71y + -8.44z <= 471.93
-7.39x + 3.9y + -0.14z <= 542.97
-4.4x + 5.14y + -5.75z <= 576.87
8.95x + 0.75y + 6.48z <= 889.38
9.62x + -2.2y + -2.59z <= 905.62
6.12x + -7.67y + 5.52z <= 325.08
1.98x + 8.82y + -5.93z <= 806.9
4.39x + -9.33y + -8.99z <= 732.86
-3.42x + -5.11y + -5.9z <= 171.14
1.25x + -8.02y + 0.68z <= 976.14
-0.11x + -0.3y + 9.88z <= 834.0
-7.93x + 8.66y + -2.16z <= 402.33
0.04x + -3.32y + -4.1z <= 695.1
-3.04x + -7.41y + -8.15z <= 941.5
-1.08x + -0.53y + 4.67z <= 986.87
1.84x + -7.51y + -4.14z <= 288.53
-0.51x + -5.79y + -7.1z <= 447.54
3.65x + 9.96y + 2.41z <= 700.65
-8.16x + -6.48y + -1.76z <= 903.52
-7.89x + -7.23y + -3.22z <= 558.9
5.87x + -2.27y + 9.36z <= 200.27
6.33x + 3.09y + 5.47z <= 944.64
-4.93x + 7.52y + 2.9z <= 437.91
-8.61x + 0.21y + -0.19z <= 643.77
-0.09x + -8.04y + 9.5z <= 942.47
8.06x + 6.05y + -3.85z <= 648.77
-6.28x + 5.55y + -4.24z <= 665.69
-7.13x + -2.65y + 3.04z <= 516.0
-8.34x + -0.11y + -0.94z <= 920.29
8.69x + 2.19y + 1.18z <= 843.89
-2.27x + -5.42y + 3.7z <= 931.28
-3.46x + -4.75y + -3.0z <= 166.41
4.57x + 9.93y + 1.39z <= 578.6
2.74x + -4.14y + 6.8z <= 832.8
2.81x + -9.57y + 8.67z <= 676.82
-0.14x + 1.15y + 0.4z <= 573.99
-6.04x + -3.84y + 8.34z <= 645.53
-5.67x + -5.48y + 2.98z <= 413.64
0.61x + 3.1y + 1.35z <= 299.98
-8.51x + -9.12y + -5.68z <= 301.53
2.12x + 5.61y + -5.41z <= 900.13
8.23x + -1.57y + 7.02z <= 613.72
-0.06x + -6.44y + 5.34z <= 278.95
-4.85x + -2.32y + -2.0z <= 343.22
9.61x + 6.03y + 0.69z <= 952.64
-7.62x + 3.34y + -0.87z <= 871.84
-5.38x + 4.96y + 8.25z <= 571.48
-5.43x + 9.91y + 7.66z <= 243.08
7.38x + -0.03y + 7.15z <= 380.3
9.36x + -5.25y + 7.98z <= 971.89
8.0x + 3.74y + 6.41z <= 286.24
-4.79x + -3.26y + -7.37z <= 246.45
4.83x + -0.24y + -5.02z <= 854.69
3.09x + -5.61y + -1.49z <= 421.69
2.95x + 1.05y + 1.95z <= 554.14
8.0x + -2.04y + 5.21z <= 634.27
0.58x + -2.4y + -8.25z <= 420.14
-1.42x + 3.88y + 4.83z <= 488.82
-0.1x + -3.97y + -2.67z <= 793.83
-8.32x + -2.99y + -3.64z <= 501.4
8.5x + -6.65y + 5.73z <= 882.21
-4.19x + 6.27y + -6.97z <= 477.46
1.16x + -2.26y + -6.5z <= 938.85
-2.22x + 1.25y + -5.9z <= 424.02
0.17x + 4.53y + 0.58z <= 956.89
-8.28x + -6.31y + 0.98z <= 760.6
0.73x + 1.13y + -7.98z <= 285.1
-1.54x + 2.24y + 4.58z <= 337.28
3.87x + -1.34y + 5.62z <= 690.74
-6.51x + 4.07y + 3.98z <= 479.98
-3.56x + -9.53y + 1.67z <= 804.49
-7.01x + 7.17y + 5.61z <= 886.53
0.5x + 6.32y + 1.76z <= 254.46
4.57x + -1.65y + 3.63z <= 822.05
-0.67x + -3.49y + -9.02z <= 268.84
-8.41x + -9.19y + 5.45z <= 354.91
2.17x + -9.54y + 2.67z <= 391.87
-2.79x + -0.1y + 3.2z <= 674.06
2.64x + -0.46y + -1.79z <= 186.49
-3.18x + -3.14y + -9.58z <= 495.19
5.57x + -2.64y + 6.81z <= 333.43
8.64x + -0.32y + -9.3z <= 513.03
7.13x + -0.31y + -7.36z <= 908.01
-9.38x + 2.29y + -1.52z <= 360.26
2.83x + 3.16y + -8.06z <= 151.73
-8.34x + -0.2y + 0.81z <= 879.52
-7.73x + -0.7y + 1.14z <= 345.68
1.06x + -1.11y + 9.81z <= 871.97
6.49x + -6.71y + -0.63z <= 540.24
5.18x + 9.12y + -1.19z <= 612.09
0.66x + 4.9y + 9.92z <= 675.95
1.62x + -2.78y + -5.55z <= 953.39
-6.43x + 5.68y + 1.03z <= 536.33
-3.24x + 9.46y + -4.31z <= 348.89
7.59x + 7.39y + 4.88z <= 269.84
8.34x + -1.33y + 4.14z <= 764.2
7.11x + 2.24y + -6.23z <= 529.1
0.58x + 9.81y + -3.85z <= 652.2
-0.44x + -7.18y + 6.21z <= 711.92
-5.78x + -3.83y + -4.01z <= 320.5
2.24x + -8.71y + 9.92z <= 531.61
3.52x + 0.43y + -3.67z <= 813.66
-0.52x + -3.68y + -7.49z <= 500.96
0.27x + 0.37y + -2.65z <= 106.66
-4.96x + 6.95y + -7.75z <= 430.1
5.31x + 3.68y + -7.62z <= 243.8
-9.52x + -3.54y + 2.91z <= 274.84
1.35x + -2.25y + -2.61z <= 100.91
-2.52x + 1.01y + 7.47z <= 527.0
-0.54x + -7.49y + 6.97z <= 198.89
-1.53x + -0.25y + 0.18z <= 201.5
-9.04x + 7.28y + -7.21z <= 231.87
-5.58x + 3.42y + -1.2z <= 616.54
8.2x + -9.06y + 0.78z <= 346.29
6.79x + -4.49y + 6.06z <= 373.99
-0.43x + 0.16y + 9.64z <= 120.64
7.12x + -7.24y + -1.79z <= 527.4
-7.02x + -7.09y + 2.86z <= 914.3
-2.96x + -0.1y + -7.96z <= 669.15
8.1x + 7.26y + -8.16z <= 638.4
-2.21x + 8.0y + -4.56z <= 277.87
-1.13x + -5.25y + 0.22z <= 608.38
-0.89x + 1.26y + 4.55z <= 781.69
-2.24x + -8.76y + 1.27z <= 588.65
4.04x + -0.85y + 5.57z <= 930.89
4.84x + 2.91y + -7.69z <= 398.43
-8.18x + -9.44y + 1.02z <= 557.35
6.28x + 0.24y + 0.33z <= 842.84
3.7x + -1.88y + -2.66z <= 622.49
0.5x + 3.26y + -3.83z <= 254.55
8.26x + 3.63y + 8.88z <= 114.95
-2.93x + -8.56y + 8.97z <= 449.93
3.45x + -0.54y + 3.04z <= 311.43
-6.39x + -0.22y + 0.99z <= 654.59
-9.04x + 4.63y + -9.87z <= 847.99
1.46x + 4.98y + 6.95z <= 135.51
0.89x + 8.96y + -4.27z <= 921.06
6.8x + -7.53y + -0.2z <= 551.7
-4.13x + 6.94y + 1.64z <= 427.9
-9.64x + -3.05y + -0.54z <= 198.77
7.51x + 1.25y + 9.35z <= 436.08
8.65x + -9.08y + -3.37z <= 333.83
-1.02x + 4.31y + 7.55z <= 168.03
2.9x + 1.07y + 4.97z <= 503.19
8.62x + 7.59y + 7.22z <= 536.61
4.48x + -5.65y + 1.54z <= 582.79
-3.37x + -2.56y + 4.41z <= 900.65
7.16x + 4.52y + 3.25z <= 414.81
-6.04x + 7.72y + 9.58z <= 491.36
7.08x + 2.8y + -0.58z <= 469.75
5.58x + -7.55y + 8.32z <= 369.31
-6.83x + 8.53y + -3.87z <= 316.12
-4.08x + 7.5y + -1.41z <= 374.36
1.29x + -2.81y + 7.72z <= 744.68
-1.72x + 6.9y + -7.92z <= 779.69
-6.6x + -3.72y + 0.58z <= 727.03
-3.5x + -0.03y + 3.46z <= 647.24
-6.13x + -2.95y + 0.21z <= 786.04
-0.65x + -8.03y + 8.3z <= 564.13
2.03x + 4.71y + -4.94z <= 241.25
-0.14x + 6.95y + 1.12z <= 423.42
-9.98x + -6.97y + -8.29z <= 340.1
-8.23x + -3.72y + -2.13z <= 540.79
1.31x + 1.46y + -6.14z <= 724.36
-9.89x + -2.17y + -5.26z <= 752.61
-9.6x + 7.75y + -8.26z <= 120.63
6.63x + 5.69y + 6.53z <= 342.54
-9.45x + 7.94y + -3.31z <= 299.77
8.28x + 1.19y + -5.11z <= 851.6
7.92x + -6.47y + 3.27z <= 733.2
-9.9x + -4.55y + -5.6z <= 232.65
-8.99x + 8.41y + 6.74z <= 218.37
2.09x + -9.94y + -1.63z <= 692.8
-0.54x + -0.67y + 5.22z <= 924.98
4.16x + 6.38y + 8.46z <= 236.41
-2.92x + 7.9y + -7.34z <= 692.1
1.32x + -8.53y + -3.6z <= 450.47
9.93x + -1.77y + 3.43z <= 119.51
-1.38x + 6.5y + -8.43z <= 979.77
2.61x + 4.08y + 5.85z <= 298.53
-9.64x + -9.52y + -7.1z <= 192.75
-2.45x + 0.66y + 7.46z <= 953.57
-8.69x + 4.43y + -5.77z <= 463.64
0.92x + -9.95y + 7.6z <= 127.26
-1.44x + -5.3y + -1.23z <= 558.43
9.15x + 1.35y + -6.87z <= 972.9
4.86x + 3.91y + 1.75z <= 665.57
-3.79x + 3.63y + 2.42z <= 540.79
-3.03x + 4.04y + 5.71z <= 276.73
-9.68x + -6.18y + 4.02z <= 388.68
8.33x + -5.91y + 4.6z <= 191.03
-2.02x + 1.05y + 9.16z <= 774.26
-7.81x + 3.87y + 6.98z <= 444.39
-3.19x + -8.34y + 0.48z <= 673.05
8.79x + 1.5y + -0.23z <= 475.95
0.6x + 4.65y + -7.41z <= 523.12
-1.53x + 5.72y + 6.85z <= 472.81
-2.96x + -0.05y + -8.54z <= 725.67
-4.14x + 8.4y + -9.07z <= 548.91
5.41x + 5.91y + -8.49z <= 344.83
-8.03x + 3.36y + 4.22z <= 458.48
7.17x + 7.38y + -6.99z <= 320.31
1.11x + -7.23y + -7.76z <= 701.46
6.15x + 3.25y + -9.37z <= 526.61
-0.75x + 7.36y + -4.41z <= 354.82
-8.03x + -9.87y + -6.42z <= 612.51
-2.27x + -0.2y + -8.95z <= 250.66
-2.16x + -9.86y + -9.1z <= 597.02
9.02x + 2.94y + -1.91z <= 924.05
