max -7.21x + 3.78y + -1.01z
7.41x + -8.55y + -0.39z <= 823.55
1.24x + -2.95y + -8.92z <= 405.41
1.89x + -8.23y + -6.4z <= 406.49
-0.1x + -3.18y + 7.28z <= 532.71
-7.83x + 2.93y + -6.07z <= 683.04
-4.13x + 9.06y + -3.71z <= 802.5
6.96x + -4.36y + 7.66z <= 735.62
8.24x + 3.69y + -9.35z <= 966.08
3.54x + -5.62y + 5.04z <= 395.27
-8.39x + 2.23y + -2.1z <= 996.78
-8.36x + 3.66y + 3.53z <= 117.34
2.65x + 4.1y + -6.23z <= 784.58
2.9x + -6.65y + -9.14z <= 880.44
0.02x + -6.52y + -9.64z <= 814.7
-1.17x + -8.28y + -5.33z <= 773.94
2.65x + 1.83y + -5.33z <= 177.19
-5.59x + 5.5y + 5.33z <= 416.32
0.05x + 4.3y + -1.67z <= 213.3
-8.92x + -7.33y + 4.48z <= 387.55
-6.7x + 2.94y + -5.31z <= 579.74
-4.29x + 6.89y + 4.91z <= 713.91
-7.51x + 3.74y + -7.36z <= 762.56
3.46x + -8.91y + -0.17z <= 509.11
-5.85x + 2.18y + 2.23z <= 639.94
4.24x + -9.43y + 7.19z <= 676.24
-8.66x + 5.55y + 4.14z <= 443.75
7.33x + -0.58y + -4.47z <= 744.83
3.25x + 7.89y + -3.38z <= 103.08
-9.73x + -1.41y + -8.86z <= 751.43
-3.61x + 3.81y + -9.29z <= 709.63
-9.84x + -2.84y + -5.67z <= 567.01
-1.82x + 7.93y + -2.16z <= 919.4
-1.54x + -1.22y + -8.27z <= 163.56
1.45x + -7.14y + -7.78z <= 905.32
-3.45x + -4.95y + -2.55z <= 780.9
3.85x + 6.94y + 3.21z <= 991.16
0.94x + -1.28y + 7.24z <= 515.03
-9.63x + -9.62y + -3.37z <= 400.67
3.05x + -0.7y + -6.5z <= 164.51
-9.95x + 4.0y + -5.91z <= 788.78
-4.34x + 1.86y + -3.74z <= 388.33
9.85x + 1.42y + -5.61z <= 186.57
-3.9x + 7.1y + 0.76z <= 623.42
-2.36x + -1.78y + 9.08z <= 487.86
-3.88x + 5.41y + -0.76z <= 899.91
-1.32x + 3.16y + -0.18z <= 129.4
1.63x + 1.39y + 6.92z <= 773.81
8.99x + 3.28y + 4.33z <= 581.13
-4.95x + -2.8y + -5.6z <= 935.36
-7.05x + 5.18y + -3.95z <= 870.71
-5.44x + 2.97y + 6.49z <= 743.5
7.11x + -9.28y + 0.96z <= 434.23
-6.35x + -4.34y + 5.51z <= 531.69
4.8x + -9.51y + -9.67z <= 353.73
-2.27x + -6.0y + 5.69z <= 127.75
-2.22x + -8.85y + -8.64z <= 516.07
1.43x + -0.94y + 7.19z <= 836.0
6.57x + 5.3y + -1.98z <= 447.48
9.64x + -3.99y + -2.01z <= 239.89
5.96x + -6.99y + -6.63z <= 524.24
2.73x + 8.49y + -6.41z <= 866.97
4.99x + 7.73y + 9.07z <= 322.94
5.64x + -9.33y + -8.42z <= 119.33
-6.64x + 8.04y + -4.32z <= 298.72
0.14x + 2.9y + 6.01z <= 756.74
7.88x + 5.19y + 1.07z <= 580.44
-9.26x + 3.99y + -3.39z <= 215.43
-0.94x + -3.66y + 1.45z <= 956.19
5.01x + -0.28y + 3.52z <= 396.93
-7.38x + 4.14y + -2.34z <= 107.42
7.04x + 8.7y + -3.37z <= 455.19
4.12x + -6.9y + -4.53z <= 133.62
4.96x + 7.18y + -7.24z <= 234.92
-6.18x + -4.3y + 8.69z <= 816.74
-8.57x + -4.71y + -3.05z <= 588.15
-9.54x + -2.45y + 0.53z <= 100.7
9.65x + 4.47y + -8.25z <= 765.93
-5.4x + 9.45y + -3.97z <= 571.35
-3.2x + 5.85y + -1.57z <= 211.76
-9.36x + -7.03y + 9.76z <= 880.51
6.13x + -8.57y + -1.16z <= 999.55
-3.66x + 0.76y + -3.54z <= 282.69
8.75x + -5.74y + 8.28z <= 901.47
8.3x + -1.67y + 1.06z <= 444.51
-3.95x + -1.26y + 9.89z <= 537.52
-5.28x + 7.46y + 5.97z <= 986.49
3.96x + -7.57y + -8.11z <= 377.17
-7.53x + -3.84y + -1.59z <= 917.27
0.97x + -1.81y + 3.7z <= 190.43
7.01x + 6.85y + 0.39z <= 279.45
1.72x + -0.57y + -3.27z <= 687.65
2.21x + 5.16y + -3.87z <= 291.56
1.24x + 4.17y + 0.55z <= 869.74
2.7x + 4.66y + 5.2z <= 784.5
6.99x + 5.46y + 0.11z <= 378.6
-9.38x + -2.51y + 8.76z <= 675.91
-6.75x + -8.69y + -9.31z <= 138.29
3.09x + -3.83y + 9.35z <= 502.13
-4.34x + -6.4y + -4.5z <= 237.94
8.79x + 3.91y + -2.3z <= 439.13
-0.79x + 2.77y + 4.72z <= 440.14
4.82x + -9.4y + -6.7z <= 313.64
8.07x + 8.53y + 5.49z <= 573.69
7.47x + 7.8y + 0.63z <= 255.67
0.25x + 0.35y + -1.08z <= 404.52
1.03x + 0.88y + -7.18z <= 738.86
-2.42x + -5.74y + 1.77z <= 260.78
0.62x + 1.96y + 8.73z <= 166.43
3.96x + -7.06y + -7.69z <= 780.23
-4.32x + -2.39y + -1.79z <= 464.76
3.35x + -1.3y + 0.64z <= 763.75
-0.21x + -8.52y + -7.45z <= 244.58
6.79x + 4.78y + 3.03z <= 363.54
0.04x + -3.72y + 5.48z <= 559.43
8.49x + -8.1y + 7.51z <= 549.87
8.93x + -9.66y + 6.56z <= 467.03
4.72x + -7.66y + -7.12z <= 338.15
8.18x + 3.39y + -7.94z <= 324.06
-5.55x + 7.86y + 0.07z <= 930.28
5.08x + 0.22y + 1.14z <= 175.57
8.45x + 7.58y + 3.83z <= 559.0
-5.71x + -3.78y + -1.21z <= 182.89
-9.77x + 1.84y + -6.62z <= 283.94
-5.06x + -3.5y + -4.88z <= 930.29
1.12x + -8.02y + 6.02z <= 172.32
7.15x + -9.3y + -5.83z <= 115.25
2.99x + -9.44y + 9.3z <= 556.76
-3.13x + -0.22y + 8.5z <= 458.99
1.35x + 5.32y + -1.08z <= 232.11
4.81x + -6.65y + -4.08z <= 295.25
0.65x + -3.32y + -3.21z <= 772.61
-2.27x + -4.14y + -9.08z <= 318.14
8.92x + -9.86y + -2.99z <= 552.45
-3.6x + -5.59y + 1.73z <= 344.51
9.38x + 3.29y + -4.42z <= 291.57
-9.89x + 9.02y + 6.12z <= 112.53
-3.2x + 5.13y + -3.62z <= 659.2
9.83x + -7.48y + 1.0z <= 360.58
-0.88x + -9.9y + 8.09z <= 115.04
3.66x + -6.43y + 7.14z <= 797.6
-8.68x + -7.93y + 5.83z <= 443.34
4.01x + -5.75y + -7.1z <= 699.67
-8.68x + 2.71y + -7.77z <= 372.18
-6.73x + -0.6y + 5.96z <= 382.02
-0.69x + 0.25y + -5.82z <= 573.33
0.93x + 6.29y + -3.75z <= 345.48
8.32x + 5.48y + 6.79z <= 355.57
3.66x + 6.13y + 5.69z <= 186.31
-0.19x + 9.89y + 0.06z <= 888.15
-4.88x + -2.35y + 6.77z <= 499.77
-9.08x + 1.69y + 7.61z <= 104.04
7.81x + -8.0y + 0.64z <= 819.06
-7.82x + 6.91y + 3.36z <= 176.86
6.11x + -5.51y + -9.21z <= 492.71
0.63x + 6.15y + 1.69z <= 688.38
-5.92x + -6.91y + -4.28z <= 456.26
-9.19x + 6.49y + 0.61z <= 792.19
1.3x + -7.61y + -6.87z <= 617.13
3.8x + 4.84y + 5.12z <= 760.66
4.42x + 9.01y + -0.64z <= 910.41
-0.49x + -6.25y + -9.82z <= 978.37
0.75x + -2.69y + -7.05z <= 527.29
7.35x + 0.71y + 2.81z <= 554.15
4.97x + 6.51y + 6.35z <= 547.03
4.74x + -8.53y + -1.06z <= 282.18
-6.4x + 5.61y + -5.74z <= 957.05
-0.67x + -6.3y + 1.87z <= 490.71
9.35x + 4.03y + 7.0z <= 616.58
5.68x + 1.48y + 2.49z <= 429.7
-2.54x + 2.54y + -1.95z <= 522.13
6.01x + -7.29y + 8.22z <= 127.0
-0.13x + -9.82y + 7.31z <= 238.13
-5.54x + -3.16y + -1.84z <= 710.36
-9.91x + -6.58y + 4.29z <= 423.42
-9.34x + 3.56y + -5.36z <= 207.48
-9.49x + 8.8y + -5.38z <= 250.63
6.98x + 5.04y + 4.29z <= 208.27
3.93x + 2.23y + -9.84z <= 317.99
1.17x + 6.99y + 2.22z <= 755.02
0.91x + -7.26y + 5.7z <= 249.37
6.24x + 8.27y + 7.54z <= 874.06
-5.0x + 2.78y + 3.14z <= 431.71
-3.6x + 7.89y + -9.35z <= 243.14
5.47x + -3.85y + -2.82z <= 446.53
-1.46x + -3.21y + 3.61z <= 942.16
-7.88x + -5.85y + 7.96z <= 747.36
-8.35x + -1.91y + -2.3z <= 988.86
-5.11x + -9.03y + 5.05z <= 201.36
-9.93x + 1.03y + 5.35z <= 391.84
9.69x + -9.37y + 6.83z <= 733.82
2.97x + 1.07y + -0.23z <= 907.96
-4.52x + -8.23y + 8.06z <= 502.87
-4.75x + -3.5y + -7.45z <= 616.04
9.16x + 7.03y + 3.12z <= 323.01
0.36x + 2.26y + 9.37z <= 106.21
5.1x + -4.95y + -0.15z <= 618.94
-1.0x + -1.94y + 5.01z <= 993.71
4.08x + 6.37y + 8.07z <= 648.49
3.8x + 8.85y + 9.29z <= 158.37
9.2x + -9.69y + 9.7z <= 250.92
-0.58x + -9.88y + -4.73z <= 654.89
-2.19x + -3.33y + 4.79z <= 498.71
-0.61x + -9.15y + 6.9z <= 947.13
-5.65x + -9.45y + 0.84z <= 105.73
-4.92x + 7.11y + -3.83z <= 397.56
3.21x + -7.59y + 6.72z <= 965.9
1.52x + -4.88y + 3.77z <= 986.98
7.61x + 3.51y + 0.66z <= 213.41
-2.52x + -0.6y + 6.76z <= 606.52
8.66x + -7.88y + -2.57z <= 476.46
5.79x + 7.0y + -2.57z <= 809.45
-6.81x + 9.22y + 2.6z <= 949.38
-4.57x + -6.48y + 1.55z <= 419.28
6.2x + 5.74y + 5.74z <= 832.19
-4.48x + -9.17y + 0.44z <= 619.32
-9.84x + -6.41y + -2.26z <= 766.79
9.56x + 5.01y + 3.01z <= 771.89
0.23x + 8.93y + -6.03z <= 268.6
7.49x + 8.16y + -3.08z <= 512.33
1.49x + 1.82y + 0.42z <= 579.79
1.02x + -7.52y + 7.98z <= 486.21
5.88x + -2.01y + 9.53z <= 605.84
1.98x + 8.41y + 5.56z <= 728.68
4.02x + -9.29y + -3.67z <= 384.35
7.81x + -8.93y + 7.35z <= 421.54
-7.14x + 0.53y + -8.87z <= 933.05
-6.53x + -8.38y + 6.83z <= 609.45
-0.48x + 8.26y + -2.57z <= 394.81
-2.23x + -0.43y + -5.35z <= 305.14
6.67x + 6.67y + -8.66z <= 739.99
-9.67x + -3.19y + -6.23z <= 108.08
-9.37x + -4.08y + 2.36z <= 376.46
-6.21x + -6.35y + 1.03z <= 652.83
5.87x + 0.83y + 2.15z <= 240.36
-1.0x + -8.92y + 6.66z <= 948.2
-0.54x + 1.39y + 7.96z <= 200.93
-3.31x + 8.83y + -9.32z <= 496.08
8.24x + -4.13y + -0.16z <= 940.77
-3.31x + 1.29y + 2.87z <= 737.23
9.9x + -9.33y + 3.19z <= 332.41
6.34x + -9.93y + -3.51z <= 207.65
-5.64x + -2.92y + -5.93z <= 657.5
0.37x + -4.23y + -7.71z <= 603.01
2.31x + -5.87y + -5.53z <= 956.65
-6.55x + -6.63y + 7.97z <= 726.89
3.38x + 9.71y + 7.87z <= 648.96
1.71x + -4.12y + -3.48z <= 540.94
-6.55x + 5.93y + 2.55z <= 855.3
-2.28x + 2.12y + 9.08z <= 848.31
-0.27x + 4.81y + -0.4z <= 365.59
7.7x + -3.22y + 0.81z <= 123.69
6.76x + -9.02y + 8.24z <= 373.47
-6.23x + -7.52y + 0.34z <= 972.09
-4.89x + 8.94y + 3.05z <= 735.19
4.82x + 5.86y + -3.63z <= 388.27
9.53x + 3.27y + -1.55z <= 101.89
-7.91x + 9.79y + -4.08z <= 845.25
-1.59x + -2.95y + -9.13z <= 575.34
-8.8x + -6.13y + -8.2z <= 393.8
-1.42x + 1.16y + 4.97z <= 184.91
-9.55x + 9.34y + 6.4z <= 418.8
-0.65x + 2.96y + 9.99z <= 916.38
9.31x + -7.18y + 0.12z <= 214.25
-4.3x + 9.52y + 9.6z <= 573.16
-5.85x + -8.37y + 8.32z <= 827.69
8.69x + 4.35y + 3.71z <= 733.86
-9.1x + 6.9y + -4.23z <= 917.18
6.12x + -8.82y + -5.72z <= 173.14
9.61x + -6.38y + -1.29z <= 199.92
0.97x + -3.45y + -4.99z <= 635.98
-5.71x + -8.71y + -0.75z <= 959.6
-4.12x + 5.57y + -8.39z <= 510.7
5.95x + 8.67y + -6.89z <= 576.21
1.04x + -6.72y + -8.99z <= 691.76
-2.22x + 0.74y + 1.14z <= 126.63
1.21x + -2.59y + 8.25z <= 566.26
-2.58x + -2.19y + 5.41z <= 519.15
9.75x + -5.38y + 6.34z <= 666.03
8.44x + 3.72y + 5.28z <= 570.58
6.23x + -1.08y + 6.5z <= 553.9
-8.67x + -1.56y + 7.49z <= 135.29
3.62x + 5.9y + 9.43z <= 556.94
1.48x + -7.46y + 6.24z <= 506.83
2.44x + 1.55y + -1.36z <= 487.92
-7.89x + -6.28y + 0.05z <= 299.82
0.31x + 5.21y + -2.18z <= 118.42
6.96x + 7.45y + -6.54z <= 401.06
3.82x + -5.52y + 9.38z <= 199.53
2.92x + -5.82y + -2.71z <= 520.87
-6.56x + 4.58y + -0.29z <= 726.47
-1.98x + -0.98y + 3.16z <= 102.95
4.99x + -8.66y + 1.42z <= 810.78
7.07x + -7.23y + -6.95z <= 307.56
1.62x + -1.7y + -3.79z <= 458.71
7.64x + 5.81y + -2.17z <= 976.65
0.51x + 4.63y + 3.86z <= 465.54
-4.95x + -9.65y + -4.21z <= 297.41
0.62x + 2.94y + -2.43z <= 256.27
9.06x + 4.0y + 7.02z <= 675.47
4.27x + 3.6y + 2.72z <= 950.81
9.33x + -4.69y + 8.57z <= 338.17
3.97x + -6.35y + 9.79z <= 321.7
-4.78x + -7.4y + 6.78z <= 651.33
-5.15x + 4.8y + -9.7z <= 465.57
2.41x + -4.69y + 5.36z <= 527.77
9.76x + 6.35y + 3.88z <= 951.01
-9.12x + 3.03y + 5.47z <= 702.47
-9.05x + 2.55y + -8.57z <= 614.03
7.48x + 3.46y + 5.16z <= 781.93
3.73x + -3.19y + -9.03z <= 484.25
-8.02x + 1.34y + 9.55z <= 316.13
-3.9x + 7.96y + -2.67z <= 966.96
-7.16x + 0.63y + 6.2z <= 177.65
-5.26x + 0.07y + -9.7z <= 598.49
-8.02x + 0.36y + -3.04z <= 369.36
-9.3x + -8.08y + 3.08z <= 221.15
1.83x + -9.01y + -9.53z <= 760.27
-4.28x + -9.35y + 2.12z <= 878.86
-2.94x + -0.41y + -8.03z <= 395.29
-0.45x + 3.45y + -5.88z <= 634.07
5.4x + 4.92y + -4.6z <= 728.05
-6.05x + -6.36y + -6.18z <= 656.19
-1.89x + -1.29y + 7.08z <= 955.17
6.08x + 4.55y + -1.57z <= 767.54
3.62x + 8.99y + 8.46z <= 222.42
-6.16x + 5.82y + 0.79z <= 701.2
2.86x + -6.77y + 5.45z <= 499.27
7.75x + -2.02y + -9.36z <= 988.45
-2.02x + -7.79y + -8.26z <= 217.26
8.81x + -3.75y + -3.35z <= 498.67
-2.39x + 8.82y + 5.32z <= 953.29
-9.16x + -9.67y + -1.65z <= 273.0
9.64x + 1.33y + 6.5z <= 751.88
-6.74x + -7.16y + -6.71z <= 338.63
0.95x + 0.4y + 2.97z <= 563.72
-8.24x + 9.63y + 2.76z <= 674.52
-5.86x + -2.55y + 0.48z <= 391.78
0.81x + -7.8y + -1.41z <= 599.68
-0.62x + -1.67y + 0.36z <= 258.15
9.92x + 7.44y + 4.39z <= 711.87
4.82x + 6.26y + 1.92z <= 361.66
-1.18x + 9.11y + -2.73z <= 841.74
4.68x + -5.2y + -9.49z <= 719.5
-4.81x + -7.42y + 3.98z <= 151.54
-5.31x + -4.55y + 1.94z <= 784.87
-7.04x + 7.31y + 6.55z <= 802.91
2.55x + 6.76y + -4.95z <= 363.05
4.87x + 3.66y + -1.31z <= 448.37
-0.47x + -1.95y + -8.3z <= 650.49
-7.61x + 3.3y + 4.02z <= 418.91
0.03x + 9.16y + 4.11z <= 635.31
-1.36x + 4.85y + 3.87z <= 844.51
1.22x + 4.49y + 0.79z <= 582.17
-4.6x + -7.03y + -0.69z <= 766.85
8.86x + 4.35y + 2.17z <= 898.73
-9.84x + 5.65y + 1.62z <= 413.9
5.99x + -2.3y + 1.13z <= 322.92
-1.04x + 8.31y + -4.45z <= 232.56
1.69x + 6.45y + 3.57z <= 803.82
-0.3x + -6.07y + 4.02z <= 574.14
-4.71x + -3.07y + 5.42z <= 347.38
4.85x + -8.89y + -1.2z <= 927.91
-1.91x + 2.62y + 1.58z <= 795.76
-3.88x + 9.48y + 2.89z <= 478.77
0.96x + 9.55y + -1.44z <= 196.12
4.3x + -7.82y + 8.39z <= 563.41
2.73x + -4.83y + 2.43z <= 792.82
7.06x + -6.65y + 5.6z <= 759.79
-4.24x + 2.57y + -2.64z <= 725.06
3.98x + 3.72y + 8.82z <= 588.61
6.37x + 0.39y + 2.78z <= 147.79
-7.21x + 4.46y + -7.88z <= 602.59
-6.84x + 8.63y + -2.51z <= 959.11
9.0x + -8.32y + 3.21z <= 729.55
4.69x + 6.81y + 7.6z <= 456.79
-5.17x + -0.39y + 3.85z <= 654.25
-7.52x + -4.65y + 9.85z <= 754.69
1.01x + 5.18y + 7.77z <= 190.98
-3.8x + -8.36y + -7.37z <= 652.6
-6.35x + -1.09y + 7.09z <= 797.0
-2.08x + -8.9y + 8.02z <= 133.47
-1.4x + -9.64y + -3.75z <= 668.72
0.08x + 0.52y + 8.32z <= 650.86
1.78x + -2.76y + -5.1z <= 846.34
4.7x + 9.52y + -1.18z <= 897.96
8.34x + -4.28y + 8.56z <= 804.74
-6.0x + -2.59y + -2.58z <= 804.88
9.82x + 8.59y + 6.58z <= 610.53
-0.33x + 8.35y + -5.0z <= 267.18
-1.41x + -4.6y + 6.97z <= 260.7
3.77x + 5.38y + 0.7z <= 473.42
1.43x + -7.34y + 1.28z <= 132.73
3.22x + -0.43y + -4.55z <= 444.88
0.24x + -4.48y + -8.42z <= 358.02
-5.14x + 9.43y + -3.3z <= 489.17
6.81x + -8.78y + -4.55z <= 317.86
-7.18x + -8.51y + 1.34z <= 623.94
3.79x + 5.23y + 1.08z <= 816.35
2.34x + -0.82y + -1.12z <= 624.58
-4.78x + -7.52y + 3.23z <= 243.54
8.91x + -0.75y + -8.88z <= 653.59
-2.02x + 4.32y + -7.09z <= 383.71
-8.98x + -7.53y + -9.71z <= 738.42
2.62x + -1.4y + -4.62z <= 565.94
-2.68x + -8.55y + -9.31z <= 752.94
9.3x + 1.16y + 1.77z <= 933.81
6.82x + -1.81y + 1.24z <= 886.34
-4.85x + 2.02y + 1.05z <= 185.1
4.0x + 9.18y + 3.03z <= 806.25
2.93x + 4.06y + -6.25z <= 168.1
-2.84x + -3.96y + -5.93z <= 329.28
5.53x + -7.35y + -8.07z <= 961.02
9.81x + 6.94y + 7.92z <= 758.13
-2.84x + 2.4y + -5.21z <= 498.2
-4.86x + -2.4y + 0.4z <= 768.91
4.42x + 8.18y + 7.91z <= 892.0
-6.19x + 7.1y + -5.19z <= 829.38
5.77x + 0.17y + 0.05z <= 615.39
-5.87x + -8.29y + 4.29z <= 795.35
-6.74x + 9.27y + 9.34z <= 985.23
-8.71x + -1.97y + 5.02z <= 553.58
0.56x + 2.04y + -0.33z <= 821.64
-8.2x + 5.23y + 5.78z <= 889.43
-8.78x + -4.52y + 0.95z <= 736.73
9.2x + -4.67y + 5.81z <= 181.37
-2.76x + 6.4y + 1.44z <= 648.82
6.6x + -0.22y + 5.56z <= 987.7
9.58x + -2.32y + -0.51z <= 714.74
1.0x + -9.51y + -2.55z <= 159.34
2.49x + -9.0y + 4.83z <= 292.31
1.76x + -5.26y + -8.54z <= 122.92
6.51x + 9.85y + 7.09z <= 368.16
-0.67x + 3.46y + 0.16z <= 714.2
-5.15x + -7.17y + -6.03z <= 312.13
-6.72x + 5.09y + 3.38z <= 429.85
-5.68x + 6.85y + 4.54z <= 432.14
8.52x + -7.15y + -7.44z <= 689.32
4.13x + -7.3y + 6.25z <= 379.17
8.91x + 4.38y + 9.54z <= 909.51
2.3x + 4.78y + -1.74z <= 439.22
-7.38x + 1.36y + 8.31z <= 392.29
9.23x + 8.89y + 4.31z <= 389.34
4.0x + 7.07y + -3.25z <= 997.88
-4.25x + -9.72y + 1.45z <= 971.22
9.37x + 2.02y + 7.22z <= 961.21
-6.63x + -0.11y + -7.55z <= 332.31
-3.54x + -5.93y + -5.74z <= 497.76
-2.66x + 2.29y + 1.97z <= 237.38
-7.31x + 5.11y + -0.03z <= 438.19
-0.09x + 8.7y + 2.05z <= 826.79
8.17x + -7.36y + 2.26z <= 435.04
-8.66x + 7.61y + 0.25z <= 559.48
-2.47x + -6.47y + -4.55z <= 633.35
3.03x + -0.8y + -8.88z <= 848.39
-9.77x + -2.89y + 3.37z <= 987.15
-5.22x + 6.93y + -2.39z <= 707.48
-8.63x + 7.64y + -6.53z <= 446.01
-7.03x + 1.13y + 6.02z <= 575.04
8.04x + 8.29y + -3.4z <= 949.88
-4.78x + 7.29y + 2.44z <= 912.86
-0.71x + 4.32y + 5.07z <= 627.62
-2.82x + 6.56y + 2.8z <= 671.7
3.87x + -4.43y + 8.63z <= 514.76
-5.87x + 5.83y + 6.37z <= 330.81
5.68x + 6.14y + -3.51z <= 487.47
-7.98x + 4.53y + 7.58z <= 715.25
1.11x + 1.6y + 4.65z <= 353.54
-4.12x + 3.71y + -9.81z <= 462.52
7.44x + 8.47y + 1.3z <= 763.95
-9.78x + -2.59y + -2.04z <= 173.41
2.63x + -3.14y + 6.36z <= 743.84
-6.87x + 6.8y + 5.38z <= 849.95
7.03x + 2.79y + -9.8z <= 954.07
6.5x + -2.01y + 7.17z <= 776.64
-9.74x + -9.98y + -0.5z <= 362.4
-6.83x + -9.1y + -2.83z <= 383.9
8.53x + -3.75y + 9.13z <= 415.55
-6.61x + -1.82y + 6.74z <= 604.11
-4.52x + 9.82y + 6.43z <= 578.3
-4.33x + 6.73y + -9.89z <= 257.49
2.51x + 1.56y + -2.21z <= 377.53
2.28x + -3.84y + -3.87z <= 841.91
6.9x + 4.83y + -1.34z <= 936.82
7.97x + -9.33y + 2.55z <= 561.26
-2.87x + -4.35y + 4.48z <= 683.69
-3.54x + 2.03y + -3.37z <= 125.04
8.03x + 9.57y + 7.09z <= 876.31
5.76x + -2.59y + -6.83z <= 516.13
-1.27x + 4.48y + 2.11z <= 206.25
3.67x + 1.52y + 6.57z <= 618.96
-3.19x + -6.98y + -5.8z <= 745.01
-5.9x + 4.67y + 7.65z <= 487.79
-3.86x + -9.95y + -8.73z <= 860.4
-4.93x + 6.12y + -6.71z <= 746.98
8.0x + 4.6y + -0.97z <= 402.35
-9.74x + 7.45y + 4.96z <= 903.94
-0.98x + 2.45y + -4.42z <= 344.78
5.83x + 5.0y + -1.11z <= 316.75
-7.42x + 0.59y + 2.64z <= 640.47
1.16x + 7.55y + 7.14z <= 657.87
-5.22x + -8.83y + 4.65z <= 594.97
1.62x + 9.81y + 7.29z <= 343.61
-0.7x + -4.02y + 6.43z <= 708.49
-5.27x + -1.8y + -3.61z <= 651.31
7.14x + -2.01y + 1.0z <= 725.01
4.58x + -2.93y + 6.64z <= 328.23
2.27x + 9.16y + -3.74z <= 951.36
-0.74x + 5.32y + -9.98z <= 397.96
-4.9x + -7.1y + 6.15z <= 672.46
-1.65x + 0.4y + -6.52z <= 971.24
-1.08x + 7.37y + 5.37z <= 765.89
0.12x + -2.22y + 3.59z <= 942.97
-0.77x + -6.01y + 5.68z <= 636.84
-3.56x + 5.17y + 3.71z <= 355.77
-6.19x + -8.64y + 2.42z <= 533.45
3.42x + 0.86y + -7.55z <= 601.39
7.88x + 9.29y + 6.11z <= 173.44
8.39x + 1.39y + 4.26z <= 176.89
-1.47x + -5.7y + 0.84z <= 433.19
-1.02x + 7.13y + 7.21z <= 985.25
6.49x + 9.43y + -0.31z <= 680.45
-4.36x + 4.86y + 9.08z <= 466.59
6.19x + 1.85y + 7.36z <= 297.13
6.56x + -8.45y + -9.63z <= 600.39
1.77x + 3.43y + -0.14z <= 502.24
-6.19x + -8.94y + 5.0z <= 625.53
6.74x + -8.11y + -7.82z <= 242.27
3.12x + -2.69y + 9.89z <= 685.32
8.04x + 2.17y + 8.4z <= 381.38
6.29x + -1.76y + 5.73z <= 537.75
0.38x + 0.13y + -3.5z <= 298.73
-4.99x + -1.02y + 5.55z <= 948.75
4.47x + 1.39y + 6.56z <= 473.34
-1.47x + 6.08y + 6.1z <= 445.25
-2.73x + -9.97y + -7.49z <= 644.83
1.51x + 1.99y + -2.51z <= 673.38
-9.66x + -6.75y + -7.51z <= 153.34
5.35x + 4.61y + 1.46z <= 513.34
1.91x + 0.09y + -8.63z <= 736.07
8.73x + -2.35y + -3.27z <= 639.15
-5.2x + 2.73y + 5.55z <= 169.96
2.65x + -6.3y + 4.57z <= 485.99
6.92x + 4.69y + 0.55z <= 880.08
-1.23x + 7.22y + 1.58z <= 822.23
-2.04x + 7.82y + 5.14z <= 974.02
-5.93x + 7.72y + 8.89z <= 484.92
9.64x + 8.46y + -1.62z <= 491.53
7.96x + 5.76y + 0.99z <= 932.06
1.48x + 3.06y + 3.32z <= 727.92
5.39x + -9.44y + 7.64z <= 468.15
1.61x + -1.21y + -0.88z <= 745.39
8.31x + 8.29y + 0.58z <= 928.82
1.88x + 1.17y + 6.35z <= 355.81
7.23x + -6.44y + 9.72z <= 359.71
0.48x + -9.03y + 7.99z <= 846.63
-4.39x + 5.08y + -4.35z <= 663.07
-2.83x + 3.72y + 9.5z <= 116.6
-2.06x + -1.2y + -8.78z <= 493.42
-9.65x + -1.13y + 8.51z <= 902.05
3.96x + 6.55y + -3.12z <= 324.58
-4.02x + -1.92y + -8.32z <= 281.34
-2.69x + -1.56y + 0.99z <= 679.64
-7.38x + -1.48y + 5.91z <= 615.51
-7.27x + -4.46y + -3.6z <= 689.46
4.71x + 2.76y + 4.31z <= 635.99
-6.48x + -1.39y + 8.79z <= 325.1
7.35x + -4.48y + 1.33z <= 994.57
4.4x + 9.65y + 0.78z <= 224.09
1.14x + -3.61y + 6.63z <= 446.09
-6.39x + -1.21y + -3.05z <= 296.26
-0.61x + 4.51y + -9.17z <= 800.62
9.44x + 0.79y + -3.93z <= 560.57
-8.37x + 7.37y + 5.2z <= 654.74
5.99x + -1.6y + -6.08z <= 578.23
-0.62x + 3.03y + 1.41z <= 792.62
-4.18x + -8.96y + -2.6z <= 308.3
8.21x + -2.27y + 7.64z <= 307.29
2.52x + 7.96y + -8.5z <= 375.6
6.9x + -0.35y + 2.17z <= 150.15
-5.41x + 9.36y + 1.26z <= 766.55
-2.8x + -7.27y + 0.32z <= 744.31
6.52x + 5.49y + -6.18z <= 733.69
6.44x + -3.82y + 2.87z <= 536.22
-6.2x + -8.32y + 7.35z <= 770.15
2.54x + 1.7y + 5.11z <= 162.98
9.3x + 9.99y + -9.37z <= 820.01
-1.58x + 4.25y + 9.22z <= 810.18
-8.98x + -9.84y + -3.4z <= 824.35
2.12x + 7.3y + -5.62z <= 165.73
-7.69x + -1.81y + 7.42z <= 736.97
6.74x + -7.34y + -7.95z <= 823.8
8.87x + -9.49y + 1.9z <= 293.85
-7.36x + 4.47y + 9.96z <= 125.1
2.41x + 1.37y + -9.85z <= 983.05
8.62x + 9.49y + -2.2z <= 182.38
