max -9.19x + -8.95y + 2.64z
-8.88x + 2.64y + -6.14z <= 332.8
6.63x + -1.26y + -6.93z <= 271.94
0.16x + -1.06y + 4.96z <= 238.88
6.49x + 7.36y + -8.68z <= 730.41
-0.14x + 5.85y + 4.11z <= 789.02
-5.32x + -4.65y + 7.74z <= 379.82
5.2x + 6.06y + -6.34z <= 784.97
6.18x + -4.5y + 7.56z <= 712.26
3.82x + -7.33y + -7.87z <= 825.99
-4.36x + -0.65y + 4.75z <= 342.65
-8.91x + -2.33y + -4.38z <= 406.93
7.54x + 1.96y + -9.83z <= 277.38
5.72x + -2.27y + -4.65z <= 139.25
0.94x + 6.98y + 7.86z <= 305.82
-4.88x + 7.01y + 7.19z <= 748.45
8.23x + 6.05y + 0.07z <= 519.12
3.77x + 8.27y + 2.95z <= 899.13
-0.06x + -0.9y + 5.09z <= 284.16
-4.57x + 0.17y + -7.97z <= 755.62
2.47x + 4.67y + 5.29z <= 383.44
4.06x + -2.74y + 6.78z <= 185.5
6.24x + 9.52y + 7.84z <= 528.29
1.42x + 9.54y + -6.34z <= 541.83
9.98x + 1.24y + -5.41z <= 746.23
3.4x + 1.96y + 2.99z <= 805.32
-9.34x + -3.68y + -5.32z <= 115.2
5.76x + -5.95y + 8.98z <= 817.01
7.17x + 2.81y + 4.13z <= 192.78
2.85x + -7.69y + 4.97z <= 451.06
-5.71x + 5.34y + -8.25z <= 138.45
5.06x + 4.76y + 5.87z <= 270.18
0.66x + -8.72y + -5.22z <= 448.4
-3.34x + 6.14y + -4.91z <= 763.27
-6.88x + -6.87y + 6.39z <= 846.77
-6.89x + -2.33y + -6.52z <= 725.37
-0.13x + -5.48y + 0.26z <= 292.6
2.28x + 1.59y + -6.34z <= 650.26
-2.75x + -0.51y + 4.35z <= 860.24
-6.69x + -8.0y + -0.9z <= 587.16
9.7x + -2.7y + 8.9z <= 508.3
2.49x + -5.17y + -8.91z <= 979.67
9.4x + 4.53y + 6.82z <= 735.42
9.64x + -6.63y + 0.22z <= 195.35
-2.78x + -2.24y + -6.24z <= 579.8
3.06x + -9.66y + -5.45z <= 149.85
-1.9x + 0.34y + -5.03z <= 353.09
-5.69x + 6.71y + -4.95z <= 225.85
-4.95x + -6.23y + -5.57z <= 902.74
-8.96x + 1.74y + -3.91z <= 933.22
-8.87x + 4.22y + 5.76z <= 478.82
-1.98x + -2.49y + 2.4z <= 172.34
-3.08x + 3.37y + -8.64z <= 556.76
8.51x + 2.22y + 0.45z <= 874.68
-2.52x + -4.81y + -8.64z <= 611.2
9.89x + 5.31y + -1.12z <= 227.73
1.2x + 5.7y + -5.71z <= 230.04
-5.95x + 5.94y + 7.24z <= 171.04
9.56x + 7.31y + 9.6z <= 871.4
2.85x + 7.7y + 1.97z <= 916.14
9.12x + -0.64y + -8.9z <= 732.43
3.57x + -4.75y + -2.58z <= 506.72
0.24x + 4.21y + 1.35z <= 218.4
5.49x + 2.74y + -7.87z <= 688.48
-9.61x + 9.53y + 0.72z <= 391.34
3.89x + -6.31y + 1.91z <= 491.82
-0.33x + -2.4y + -4.74z <= 338.47
-0.33x + -1.46y + 2.06z <= 658.26
-2.2x + 1.99y + -1.65z <= 168.95
-4.91x + -4.02y + -2.59z <= 965.91
-6.16x + 4.98y + 6.79z <= 338.37
5.4x + 5.84y + 8.63z <= 661.73
-8.29x + -2.19y + 9.87z <= 603.7
-7.1x + 0.53y + -9.13z <= 578.99
-3.25x + 2.48y + -8.83z <= 731.87
7.69x + 1.31y + -4.78z <= 481.8
2.38x + -8.34y + 8.49z <= 282.18
-3.15x + -8.34y + 9.86z <= 366.56
-1.61x + -5.47y + 4.01z <= 324.92
2.97x + -9.86y + -4.56z <= 615.19
-7.23x + 1.65y + 7.1z <= 452.63
0.16x + -4.37y + -1.11z <= 982.45
-9.52x + 9.59y + -9.32z <= 472.84
4.58x + 8.02y + 5.71z <= 235.12
7.47x + -4.0y + 7.12z <= 137.46
9.02x + -8.88y + -1.71z <= 331.63
-9.9x + 3.78y + -3.35z <= 255.47
4.2x + -6.7y + -8.98z <= 651.84
6.46x + 0.17y + -7.84z <= 132.85
-9.17x + -4.98y + 4.56z <= 573.02
-2.92x + -1.64y + -3.78z <= 599.07
-1.14x + -1.16y + -7.17z <= 981.61
6.57x + -2.14y + 7.58z <= 578.9
-3.53x + 9.41y + 7.85z <= 562.21
-0.43x + -5.17y + -5.24z <= 610.93
0.14x + 8.74y + -7.85z <= 231.1
-5.18x + -8.93y + 8.0z <= 948.5
-1.39x + 5.98y + -1.34z <= 900.45
4.06x + 7.91y + 3.49z <= 126.12
-3.46x + 2.29y + 9.86z <= 451.09
-2.58x + -0.99y + 3.4z <= 723.34
-7.91x + 2.36y + 7.91z <= 533.29
-5.99x + 5.64y + 7.32z <= 405.05
-1.7x + 1.46y + -9.17z <= 296.41
7.03x + -5.81y + 0.11z <= 282.28
9.56x + -5.28y + 5.54z <= 118.55
-9.97x + -3.29y + 1.33z <= 171.01
-6.47x + 8.43y + -8.32z <= 878.34
6.14x + 6.94y + 3.89z <= 143.61
9.66x + -9.6y + 0.32z <= 416.62
-4.55x + 8.26y + -9.91z <= 431.56
-1.14x + 6.42y + 0.42z <= 519.85
6.19x + 7.16y + -9.57z <= 796.65
-2.62x + 4.57y + -3.54z <= 347.05
8.98x + 2.12y + -8.27z <= 463.68
2.02x + 6.32y + 9.53z <= 357.3
4.31x + -6.48y + 9.13z <= 126.52
-8.39x + 9.18y + 6.34z <= 285.85
-6.77x + 0.81y + -1.51z <= 708.69
-6.89x + -7.22y + 0.57z <= 727.84
-6.7x + -9.47y + 7.61z <= 717.25
-0.54x + -0.69y + 3.65z <= 787.03
-3.35x + 0.84y + 1.19z <= 713.53
9.52x + 7.14y + 6.83z <= 106.85
4.4x + 6.63y + -9.61z <= 660.83
5.62x + -4.1y + 9.44z <= 746.69
2.24x + 2.41y + -4.44z <= 894.51
-1.48x + 0.09y + -7.98z <= 725.01
-9.3x + 3.19y + 2.66z <= 723.03
-7.94x + -1.86y + 7.75z <= 992.16
4.37x + 2.0y + -9.22z <= 103.39
2.73x + 9.13y + -2.53z <= 678.41
-9.62x + -7.91y + 2.77z <= 973.73
0.12x + -6.57y + -6.39z <= 290.05
-7.44x + 2.51y + 5.96z <= 249.56
-1.91x + 2.19y + 8.17z <= 455.76
7.24x + -6.24y + -6.47z <= 280.27
-5.14x + -4.43y + 7.17z <= 877.23
-8.54x + -0.7y + 3.47z <= 612.74
4.5x + 7.19y + -3.45z <= 510.85
9.07x + -6.39y + -1.41z <= 571.39
7.28x + 8.21y + 8.07z <= 154.68
-8.31x + -9.12y + 9.48z <= 934.66
8.7x + 6.58y + -2.25z <= 771.75
-0.52x + -6.71y + -6.03z <= 621.87
-2.04x + 3.61y + 1.18z <= 858.3
1.53x + -6.39y + 3.3z <= 215.99
-8.98x + -9.0y + 2.42z <= 132.68
5.3x + 6.86y + -4.97z <= 457.42
-1.9x + -6.53y + 9.56z <= 485.25
-3.95x + 9.94y + 2.21z <= 725.16
-9.59x + 4.45y + 6.63z <= 881.81
7.24x + 9.66y + 4.15z <= 617.23
1.32x + 0.92y + -1.88z <= 118.28
1.45x + 6.33y + 6.22z <= 245.06
-0.66x + 0.35y + 0.56z <= 634.92
-8.63x + -9.64y + 9.76z <= 996.91
7.55x + 2.46y + 5.87z <= 771.22
6.54x + -5.03y + -4.41z <= 594.29
-7.99x + 0.06y + -2.15z <= 763.14
-4.92x + -9.8y + 4.12z <= 772.76
-9.35x + 3.8y + -9.41z <= 482.4
3.01x + 6.86y + -8.23z <= 131.31
7.29x + -1.55y + 7.49z <= 930.14
5.4x + 1.39y + 6.73z <= 294.75
2.6x + 2.67y + -4.61z <= 125.22
-3.95x + -4.18y + -8.77z <= 985.42
-1.13x + 6.55y + 4.0z <= 414.79
-0.82x + -1.62y + -5.3z <= 887.18
4.53x + -3.9y + -8.08z <= 393.04
3.6x + 4.9y + 8.54z <= 568.52
-8.99x + 8.23y + 7.81z <= 713.32
4.06x + 8.47y + -4.82z <= 423.08
-5.67x + -8.15y + -2.59z <= 825.73
8.42x + 1.79y + 3.64z <= 896.36
5.72x + -0.31y + -0.25z <= 818.64
2.79x + 4.08y + 7.32z <= 298.83
7.51x + 8.27y + -1.61z <= 252.74
-0.36x + -4.92y + 0.06z <= 496.73
-4.02x + 5.92y + -7.5z <= 673.97
-7.59x + -5.67y + 8.06z <= 772.08
-3.04x + 4.75y + 9.29z <= 613.29
-3.71x + 5.85y + 0.17z <= 769.51
9.54x + -5.06y + -4.78z <= 988.78
0.74x + -3.84y + -6.24z <= 276.95
-6.33x + -7.56y + 5.94z <= 365.36
0.01x + -4.69y + 5.35z <= 697.16
-1.24x + -9.29y + 9.25z <= 804.58
2.57x + -3.83y + 4.24z <= 789.89
2.93x + 3.48y + 5.6z <= 628.91
4.36x + 5.99y + 8.35z <= 249.38
-4.95x + 2.11y + 0.19z <= 629.0
2.24x + 7.12y + 6.97z <= 838.55
-8.19x + -1.51y + 1.44z <= 832.54
2.68x + -7.19y + -1.52z <= 923.8
6.65x + -0.8y + 5.99z <= 822.33
-7.49x + 8.02y + -1.9z <= 349.83
-9.02x + -3.66y + 0.69z <= 341.8
-4.56x + 1.72y + -8.73z <= 615.61
3.29x + 4.2y + -9.25z <= 155.44
7.79x + 1.29y + 9.23z <= 670.28
-4.94x + -0.37y + 1.04z <= 729.52
3.12x + 9.46y + 5.38z <= 767.31
7.56x + 8.43y + 8.75z <= 709.26
6.91x + -7.34y + 8.74z <= 776.42
4.79x + 5.71y + 6.24z <= 317.0
-6.05x + -4.32y + 9.02z <= 715.11
7.32x + 7.07y + 4.86z <= 979.94
-0.63x + -4.42y + -9.55z <= 682.67
-0.92x + -4.14y + 9.89z <= 881.45
-6.8x + 9.47y + 0.81z <= 310.82
8.7x + -3.79y + -9.42z <= 948.12
-8.5x + -5.43y + 4.62z <= 900.96
-5.96x + 5.21y + 7.98z <= 641.15
8.88x + 8.33y + 3.99z <= 309.89
0.92x + -4.47y + 9.65z <= 254.91
0.94x + 7.75y + 6.94z <= 589.45
6.15x + 3.08y + 4.4z <= 346.97
-0.37x + -2.34y + -8.02z <= 166.85
-5.61x + 2.65y + 1.8z <= 680.46
-6.13x + -6.26y + 3.69z <= 919.71
-8.97x + 5.35y + -2.66z <= 156.44
1.72x + 8.5y + 1.32z <= 983.37
-3.55x + -9.6y + 2.88z <= 125.26
0.1x + -9.89y + -5.33z <= 952.4
6.05x + 0.55y + -4.45z <= 757.37
-5.61x + -8.79y + -5.39z <= 167.26
7.08x + 0.73y + 5.44z <= 318.6
-7.1x + 5.23y + -1.7z <= 297.0
-5.7x + -7.72y + -4.85z <= 112.6
-7.42x + -5.45y + 1.06z <= 313.28
-8.81x + -9.55y + -7.09z <= 981.2
-1.63x + -3.85y + 7.6z <= 539.03
0.07x + 3.36y + -6.17z <= 244.29
-2.54x + -1.46y + -6.25z <= 774.39
-7.42x + -4.6y + 0.88z <= 881.32
5.94x + 0.25y + -5.44z <= 132.1
-2.4x + 9.8y + -7.7z <= 469.7
-2.69x + 6.4y + -1.23z <= 327.8
7.75x + -8.3y + 1.17z <= 926.25
-4.17x + -2.24y + -4.37z <= 248.59
-3.62x + 8.69y + -7.66z <= 264.27
-8.65x + -9.78y + 6.92z <= 227.08
-0.81x + -5.89y + 9.81z <= 861.9
-0.76x + 2.01y + 6.4z <= 635.39
0.84x + 4.99y + 2.39z <= 863.47
5.39x + -8.51y + 3.89z <= 689.87
-0.32x + 2.15y + 0.35z <= 857.48
-0.01x + 1.9y + 8.64z <= 745.93
-5.66x + -1.79y + -9.43z <= 324.93
7.62x + 3.63y + 4.22z <= 536.78
-8.46x + 6.48y + 4.26z <= 909.63
0.77x + -7.36y + 0.25z <= 804.27
6.43x + -6.48y + -7.24z <= 254.42
-5.46x + 7.64y + 9.96z <= 736.97
0.19x + -4.94y + -5.47z <= 518.17
-3.18x + 1.76y + -0.75z <= 780.82
-1.96x + -7.7y + -6.08z <= 864.14
-8.88x + 7.94y + 6.18z <= 219.0
4.98x + -2.5y + 1.93z <= 934.19
6.45x + -3.81y + 3.2z <= 236.87
8.28x + 4.32y + -1.33z <= 867.98
8.37x + 7.81y + 9.92z <= 906.03
-5.96x + 9.63y + -0.57z <= 974.76
-6.01x + 3.85y + 8.57z <= 388.78
8.08x + -5.72y + 2.24z <= 258.6
-3.15x + 0.83y + 4.39z <= 345.11
3.94x + -8.79y + -1.85z <= 427.25
-2.48x + 9.83y + -8.4z <= 298.06
-0.13x + -7.06y + -0.82z <= 256.82
-6.13x + -2.05y + 2.77z <= 603.34
-4.62x + -8.29y + -5.52z <= 445.83
9.48x + -1.57y + 2.13z <= 187.53
-7.01x + 5.46y + 0.41z <= 424.45
7.24x + 7.53y + -1.54z <= 218.02
6.23x + -8.32y + 2.21z <= 639.87
-1.82x + -4.47y + 2.64z <= 117.42
-1.83x + -4.21y + -1.82z <= 121.59
2.39x + -2.85y + -4.95z <= 352.57
9.2x + 8.84y + 4.08z <= 595.91
6.65x + 8.44y + -5.81z <= 230.59
9.16x + -9.76y + -4.87z <= 540.71
8.17x + -4.27y + -3.17z <= 237.25
8.84x + 3.78y + 0.21z <= 966.64
-5.29x + -9.91y + 8.68z <= 867.29
-9.33x + -2.77y + -2.57z <= 613.21
-1.03x + -7.5y + 4.84z <= 813.98
3.08x + 9.14y + -0.26z <= 351.93
3.66x + 9.23y + -0.43z <= 690.88
-3.29x + 3.17y + -5.82z <= 346.52
-8.54x + 5.22y + -3.5z <= 842.57
4.78x + 6.46y + -1.58z <= 551.52
-8.07x + -5.37y + -4.96z <= 682.59
8.85x + -1.43y + 4.26z <= 674.61
-1.21x + -0.1y + -8.85z <= 696.16
-6.51x + -5.89y + -5.6z <= 536.83
6.18x + 4.62y + -9.36z <= 849.51
9.61x + 5.35y + -0.8z <= 108.18
-1.02x + 7.61y + 2.87z <= 798.39
1.09x + -7.98y + 0.4z <= 618.28
-5.67x + -4.59y + -4.26z <= 473.61
8.72x + -1.83y + -8.62z <= 672.63
-2.98x + 5.51y + -7.6z <= 347.52
8.12x + -5.88y + -2.45z <= 840.81
-7.83x + 0.64y + 8.11z <= 504.43
-3.94x + 2.0y + 3.6z <= 163.64
-5.82x + 2.63y + -7.87z <= 327.95
7.24x + -0.13y + -7.35z <= 687.42
4.85x + -8.53y + 6.95z <= 216.56
-9.29x + 5.46y + 0.8z <= 687.43
-5.05x + -1.22y + -3.58z <= 681.67
-8.76x + 5.12y + 8.57z <= 742.44
5.14x + -4.36y + 9.14z <= 589.26
-1.04x + -1.38y + -1.67z <= 794.98
6.41x + -6.74y + 0.1z <= 168.1
-0.34x + 6.58y + 1.48z <= 486.8
6.84x + -0.06y + 1.57z <= 114.52
-5.17x + -2.25y + 0.23z <= 608.16
5.13x + 9.02y + -0.13z <= 225.62
6.72x + 0.18y + -9.42z <= 283.7
-5.19x + -5.5y + 5.6z <= 195.57
-5.71x + -2.64y + 3.14z <= 566.75
6.46x + -0.81y + -0.08z <= 962.29
-0.5x + 1.52y + -0.13z <= 238.27
-5.6x + 0.54y + -0.34z <= 695.76
-3.87x + -0.86y + -8.44z <= 717.14
7.66x + 0.8y + -9.89z <= 344.54
9.73x + -0.53y + -4.5z <= 839.13
-6.94x + -6.64y + -9.02z <= 798.38
-9.2x + -2.86y + 7.53z <= 636.22
-0.49x + 7.76y + 3.27z <= 234.7
-2.0x + 0.5y + -5.8z <= 614.02
3.17x + -7.02y + -8.99z <= 474.31
7.64x + -5.93y + 8.94z <= 457.53
8.28x + -3.47y + 2.95z <= 945.86
3.56x + 0.39y + 0.54z <= 559.69
-9.81x + 1.94y + 1.72z <= 611.58
1.13x + -2.14y + 7.46z <= 953.7
-7.31x + 1.59y + 2.44z <= 655.9
-2.78x + 5.47y + 6.31z <= 852.41
-9.68x + -3.28y + -2.27z <= 992.12
-7.73x + 0.45y + 7.27z <= 440.61
-1.73x + -3.34y + -5.85z <= 998.2
-9.05x + -5.43y + -4.68z <= 516.5
8.8x + 5.55y + 3.03z <= 541.51
4.91x + 9.8y + -7.07z <= 934.08
-3.49x + -9.22y + -3.87z <= 500.34
-9.83x + 5.4y + 3.24z <= 423.23
3.37x + -9.04y + 7.48z <= 148.25
-4.19x + 8.39y + -0.37z <= 761.61
-9.45x + 3.41y + -0.09z <= 125.61
-8.16x + -7.83y + 2.73z <= 332.61
-9.85x + 5.26y + -7.13z <= 332.47
4.76x + 8.73y + -1.58z <= 231.44
-8.43x + 6.17y + 9.81z <= 670.85
-4.79x + 5.32y + 3.23z <= 980.09
-9.01x + -4.13y + -8.37z <= 572.93
1.51x + 8.03y + -3.81z <= 857.55
-1.24x + 7.46y + -3.51z <= 143.95
5.07x + -4.3y + 4.32z <= 882.14
-8.02x + -2.01y + -2.42z <= 477.73
-2.67x + -2.16y + -4.83z <= 451.05
1.42x + 9.48y + -1.57z <= 831.85
-8.67x + 4.14y + -3.16z <= 219.73
-0.88x + -0.85y + 7.04z <= 503.29
6.15x + 3.07y + -4.58z <= 669.77
2.87x + 2.34y + 7.65z <= 970.77
3.52x + 2.14y + -1.03z <= 243.07
-5.03x + 8.03y + 6.41z <= 241.6
-6.34x + -5.63y + -2.48z <= 437.89
-1.28x + -2.74y + -0.44z <= 130.04
7.88x + -2.78y + -0.32z <= 276.24
-9.3x + -0.29y + -5.41z <= 611.86
-1.98x + -0.14y + 1.89z <= 291.45
3.52x + -4.22y + -8.89z <= 709.14
1.81x + -3.32y + -5.11z <= 465.36
-6.34x + -6.82y + -8.19z <= 727.29
4.02x + -3.51y + 9.33z <= 816.35
3.21x + 8.68y + -7.31z <= 435.3
1.97x + 0.74y + -7.58z <= 275.08
2.84x + 7.97y + 3.58z <= 821.71
-5.62x + 1.18y + 2.48z <= 741.81
-8.98x + -3.14y + -0.7z <= 300.15
1.5x + 8.24y + 9.88z <= 879.4
-5.14x + -1.69y + 0.41z <= 560.96
0.08x + -4.55y + -8.5z <= 354.0
-5.86x + -7.74y + 7.88z <= 273.56
-6.51x + -8.16y + 3.43z <= 174.32
4.98x + 6.38y + 7.87z <= 791.81
-1.03x + 5.08y + -2.81z <= 183.82
-8.38x + 7.95y + -3.22z <= 160.19
-0.46x + -7.02y + -3.27z <= 343.31
-1.71x + -4.06y + 7.51z <= 807.98
0.65x + -7.09y + 3.99z <= 908.75
-7.26x + 7.79y + -5.1z <= 182.74
-4.39x + -1.02y + -1.1z <= 976.02
-8.08x + -9.06y + -5.03z <= 886.52
8.59x + 5.4y + -6.33z <= 504.26
7.24x + -7.99y + -2.27z <= 248.08
8.67x + -3.77y + -1.44z <= 633.26
-1.47x + -2.4y + 1.69z <= 866.66
0.24x + 7.97y + -2.53z <= 682.52
-6.4x + 8.74y + 1.8z <= 371.49
1.17x + 1.34y + 8.24z <= 982.31
-8.29x + -2.71y + -3.61z <= 295.68
9.63x + 5.64y + -0.84z <= 149.07
-0.85x + 7.18y + 7.83z <= 527.53
8.99x + -7.33y + -9.84z <= 445.2
0.49x + 7.72y + 1.39z <= 887.36
2.89x + -1.34y + -4.64z <= 119.28
-2.2x + -3.58y + -8.3z <= 799.6
2.55x + -3.4y + 5.24z <= 682.91
9.98x + -4.12y + 1.45z <= 274.44
-9.2x + -3.71y + 9.28z <= 818.3
6.37x + 5.89y + -0.97z <= 568.88
8.37x + -4.39y + -3.81z <= 576.45
3.62x + -4.26y + 9.15z <= 122.78
5.99x + -1.54y + 6.3z <= 787.84
-0.77x + -6.56y + -7.08z <= 420.37
5.98x + 5.42y + -5.82z <= 944.91
-3.41x + 7.86y + -7.05z <= 955.53
-0.84x + -3.64y + 8.59z <= 244.51
-6.24x + 8.22y + -2.73z <= 823.78
4.44x + -8.4y + 1.79z <= 658.87
-9.84x + -3.39y + -5.77z <= 735.64
5.43x + 7.0y + 6.04z <= 408.08
4.03x + -9.2y + 5.0z <= 702.74
-8.55x + -0.01y + -3.25z <= 848.05
9.51x + 1.96y + -7.38z <= 376.3
-3.13x + 3.98y + -0.43z <= 204.22
6.58x + -3.17y + -1.44z <= 491.07
1.38x + 4.75y + 5.96z <= 999.89
-2.31x + -9.77y + 7.59z <= 373.85
9.16x + -5.96y + -8.86z <= 256.08
-9.21x + -7.12y + -3.09z <= 511.28
2.72x + -8.31y + -1.62z <= 177.8
-6.49x + -6.11y + -4.7z <= 477.45
2.98x + -1.51y + 0.69z <= 918.16
-1.1x + 3.93y + 8.11z <= 540.73
8.83x + -7.43y + 2.91z <= 567.4
-1.32x + -2.93y + 7.16z <= 790.36
6.75x + -3.59y + -7.18z <= 119.54
8.47x + 2.0y + 8.13z <= 845.39
7.89x + -8.13y + -8.74z <= 121.43
4.25x + 8.43y + -0.42z <= 106.75
-9.42x + -6.39y + 7.06z <= 269.14
9.07x + -1.34y + -1.0z <= 260.63
5.17x + -1.91y + -4.82z <= 352.87
-5.56x + -0.58y + 6.13z <= 290.7
6.09x + 0.52y + 9.71z <= 616.12
-0.32x + -6.97y + 5.71z <= 921.57
5.24x + -7.7y + 6.12z <= 539.57
-3.72x + -1.43y + 9.6z <= 302.84
4.14x + 6.97y + 0.16z <= 362.69
-5.7x + -6.68y + -2.24z <= 235.64
1.41x + -4.99y + -9.63z <= 463.96
-2.2x + 4.14y + 1.27z <= 188.4
7.77x + 7.48y + 5.46z <= 839.48
7.83x + -2.18y + -8.69z <= 191.49
-5.83x + 5.98y + 4.1z <= 403.35
-5.79x + 4.82y + -9.67z <= 174.47
-2.23x + 0.98y + -0.13z <= 990.95
-1.47x + 9.96y + -8.83z <= 189.45
-9.75x + 1.99y + -1.04z <= 729.36
2.26x + -8.97y + -8.18z <= 140.28
-8.63x + 8.39y + 2.02z <= 645.83
-5.07x + -1.03y + -2.55z <= 550.93
3.03x + 6.53y + -9.53z <= 235.96
-5.77x + 0.09y + 3.99z <= 438.7
-8.68x + 9.64y + -3.17z <= 945.09
5.42x + 9.56y + 6.32z <= 350.65
-1.18x + 0.35y + -4.16z <= 740.12
2.57x + -5.04y + -2.72z <= 150.02
-9.56x + -7.18y + -4.68z <= 840.08
-5.76x + 4.2y + -6.94z <= 441.52
8.07x + -0.19y + -2.69z <= 536.62
-0.72x + 1.1y + 6.68z <= 648.4
-7.66x + -1.81y + 7.34z <= 706.48
-3.66x + 5.05y + -7.05z <= 146.56
7.33x + -1.43y + -6.76z <= 356.01
-9.25x + 9.05y + -9.63z <= 642.72
7.85x + 8.75y + -3.49z <= 620.43
-8.76x + -0.55y + 6.38z <= 265.95
9.8x + 1.78y + -4.95z <= 175.8
3.66x + -2.35y + 7.4z <= 819.0
3.7x + 1.78y + 8.31z <= 169.78
0.2x + 2.64y + 9.6z <= 544.15
-8.82x + -5.2y + -2.49z <= 991.36
-2.63x + -2.76y + -8.73z <= 270.95
-6.53x + -7.8y + -8.9z <= 360.89
0.21x + -9.49y + -0.01z <= 594.93
-3.47x + 3.22y + -3.96z <= 426.6
-8.41x + -1.59y + -7.42z <= 877.26
-8.33x + 2.45y + -0.59z <= 263.92
2.1x + 0.38y + 3.09z <= 868.5
9.8x + -4.92y + -5.06z <= 254.89
2.21x + -9.66y + -9.04z <= 106.88
-3.35x + 3.13y + 7.71z <= 112.49
0.45x + 4.87y + 5.57z <= 497.28
-8.91x + -3.06y + 3.59z <= 367.52
-7.17x + 2.54y + 4.43z <= 183.12
5.2x + -5.74y + -5.87z <= 177.82
-0.2x + -2.83y + -1.47z <= 730.18
-7.03x + -1.22y + -6.08z <= 825.36
5.09x + 5.24y + -4.94z <= 404.64
0.41x + 4.46y + -4.81z <= 597.07
5.89x + 1.92y + -9.71z <= 820.81
5.14x + -8.95y + -5.76z <= 599.44
5.62x + 0.98y + 8.55z <= 497.06
-0.32x + 8.93y + 2.89z <= 659.03
7.49x + -9.76y + -7.72z <= 567.89
9.75x + 8.99y + -8.75z <= 298.57
-8.93x + 2.26y + -8.25z <= 671.52
-6.56x + -0.85y + 1.71z <= 962.04
-4.19x + -0.89y + -5.68z <= 655.61
3.47x + -1.96y + 5.94z <= 707.27
-3.05x + -7.62y + 4.83z <= 187.12
-3.42x + 9.23y + 1.48z <= 296.55
-3.42x + 3.33y + -6.42z <= 242.5
-9.0x + 6.7y + -7.09z <= 835.02
-6.95x + -1.18y + 5.34z <= 320.85
-0.55x + 9.67y + 4.76z <= 664.3
-5.23x + 1.72y + 4.31z <= 586.92
-2.05x + 6.27y + -4.59z <= 121.93
-8.67x + 1.45y + 0.91z <= 266.8
-6.31x + 2.33y + -1.01z <= 756.61
1.49x + -9.25y + 5.14z <= 162.2
9.3x + 8.33y + -9.17z <= 630.47
-2.25x + -4.42y + 5.56z <= 541.93
4.34x + -4.17y + 6.76z <= 115.05
-4.04x + -9.93y + -8.17z <= 267.04
-6.76x + -0.53y + -6.12z <= 383.24
6.06x + -9.96y + 0.52z <= 137.5
-0.07x + 1.33y + -0.34z <= 575.21
9.0x + 6.96y + 1.71z <= 415.13
-7.09x + -3.25y + 1.27z <= 760.92
-8.82x + 3.59y + 7.82z <= 551.8
-1.4x + 1.94y + -8.94z <= 341.42
-0.86x + -4.94y + 5.21z <= 361.19
-3.74x + -7.17y + 9.78z <= 168.85
-3.54x + -4.11y + -2.41z <= 722.31
0.92x + 1.12y + 4.79z <= 855.06
-5.97x + 0.41y + 2.72z <= 465.65
-0.63x + -3.73y + -4.89z <= 522.47
6.51x + 1.32y + 0.27z <= 695.87
-4.18x + -9.49y + 7.89z <= 910.25
-9.56x + -1.36y + 5.07z <= 903.31
4.62x + -3.32y + -2.14z <= 917.21
2.34x + -2.4y + 2.91z <= 406.49
-7.7x + -5.28y + 5.82z <= 480.57
0.69x + -1.2y + 7.95z <= 114.11
-7.93x + 5.8y + 1.55z <= 813.0
5.88x + 4.62y + -7.89z <= 499.11
-2.16x + 8.75y + -1.06z <= 458.38
5.31x + 2.26y + -6.56z <= 710.2
-2.67x + 7.44y + -4.98z <= 323.9
1.07x + -3.02y + -6.19z <= 687.97
5.29x + -6.74y + 8.78z <= 927.98
7.08x + 4.67y + -8.8z <= 712.68
-1.67x + -3.88y + -1.42z <= 977.93
7.59x + 9.13y + 2.06z <= 472.48
8.06x + 7.18y + -0.3z <= 848.82
2.33x + -0.28y + -7.01z <= 824.95
7.02x + 4.59y + -4.79z <= 272.57
-8.55x + -3.69y + 7.67z <= 476.68
-3.23x + 3.42y + -8.24z <= 852.56
3.67x + 4.03y + -2.01z <= 689.04
-6.84x + 1.23y + -6.37z <= 816.81
-3.97x + -8.62y + 2.92z <= 428.35
6.24x + 1.48y + 5.42z <= 750.8
8.24x + 4.74y + 3.57z <= 611.95
1.56x + 0.2y + 1.36z <= 341.42
2.68x + -9.24y + -4.51z <= 129.3
-7.47x + 1.81y + 6.26z <= 812.83
-8.45x + -6.51y + 1.92z <= 658.49
-1.46x + -9.4y + -3.13z <= 634.44
-0.65x + 7.48y + -2.87z <= 521.93
1.04x + 1.34y + -6.12z <= 148.04
-8.36x + 5.81y + -3.37z <= 254.44
-9.45x + 9.36y + -4.67z <= 441.32
-6.03x + -4.36y + -4.36z <= 521.1
-4.39x + 7.39y + -2.6z <= 211.58
5.41x + -0.44y + -5.82z <= 653.17
3.5x + 4.74y + 3.78z <= 359.98
-6.18x + 2.41y + 5.5z <= 285.74
0.58x + -7.71y + -5.67z <= 301.35
-1.12x + 9.13y + 7.22z <= 437.12
-3.07x + -9.94y + -5.14z <= 757.98
7.39x + 7.56y + 4.54z <= 470.06
3.32x + -7.84y + -3.06z <= 635.79
-8.69x + -8.97y + 1.83z <= 697.92
-4.18x + 1.55y + 8.91z <= 260.8
0.82x + -9.91y + -2.72z <= 365.15
7.18x + 1.9y + -3.4z <= 623.8
-5.29x + -6.59y + 9.16z <= 637.09
