max -3.89x + 5.62y + 2.47z
-4.99x + -4.66y + 3.45z <= 706.0
-8.01x + -3.01y + 5.5z <= 334.67
-2.91x + 7.93y + 2.52z <= 121.86
9.2x + -1.66y + 8.4z <= 587.74
-0.08x + -1.94y + 6.95z <= 289.44
-9.14x + 5.21y + -2.9z <= 625.93
1.85x + -5.72y + 2.83z <= 487.91
-8.58x + 3.55y + -5.71z <= 455.49
6.69x + -1.87y + -1.74z <= 168.81
-6.89x + -6.09y + -4.1z <= 439.46
-5.25x + -0.97y + 8.11z <= 536.45
0.07x + -6.02y + -3.3z <= 218.77
7.15x + 2.66y + 0.8z <= 547.68
8.12x + 5.84y + -8.62z <= 594.22
5.92x + -1.93y + 9.88z <= 356.47
3.13x + -0.62y + 2.35z <= 380.67
9.28x + 9.07y + 9.18z <= 632.39
0.15x + 8.51y + -5.86z <= 526.35
7.17x + 1.36y + 9.17z <= 344.68
9.58x + -3.92y + -7.88z <= 321.65
6.99x + -9.68y + -9.78z <= 882.01
0.92x + 5.17y + -8.0z <= 608.54
-0.71x + 8.65y + -7.25z <= 392.76
7.53x + -2.14y + 8.37z <= 357.9
-7.73x + 5.49y + -8.44z <= 362.98
-7.08x + -5.68y + 7.69z <= 728.21
-1.29x + -2.29y + -0.66z <= 520.89
5.44x + 2.22y + -5.45z <= 719.75
-6.22x + 1.49y + 7.75z <= 625.36
-8.13x + -3.95y + 8.56z <= 152.02
3.48x + -8.29y + -0.02z <= 612.23
-6.69x + -5.94y + 5.39z <= 380.92
-8.55x + -6.64y + 1.85z <= 996.63
-1.06x + 2.04y + 9.6z <= 584.9
6.81x + -3.97y + -6.07z <= 334.37
-2.46x + -4.49y + -9.96z <= 901.82
4.74x + 3.98y + 5.74z <= 604.43
3.7x + -3.1y + -1.87z <= 580.42
6.86x + -1.34y + 8.68z <= 996.96
5.94x + -5.8y + 9.88z <= 306.09
1.55x + -6.27y + 8.48z <= 957.82
2.64x + -9.39y + 7.37z <= 861.12
3.42x + -7.99y + -1.63z <= 901.2
2.14x + 3.92y + 6.27z <= 990.18
4.01x + 5.53y + -0.45z <= 155.33
5.95x + 7.58y + 8.96z <= 240.93
7.39x + -3.63y + -9.78z <= 885.32
-4.71x + 1.75y + 5.91z <= 969.2
-0.6x + -4.78y + 5.69z <= 875.61
9.35x + -4.91y + -0.78z <= 425.05
-0.22x + 9.68y + 0.84z <= 853.62
4.76x + 0.69y + -0.51z <= 406.15
7.62x + 8.95y + 9.49z <= 570.02
4.25x + 7.06y + -6.04z <= 369.46
-8.76x + 7.58y + -8.94z <= 754.4
8.94x + -5.24y + -3.36z <= 258.4
-7.77x + -1.71y + -1.84z <= 769.95
-1.44x + 6.07y + 7.78z <= 108.5
-8.07x + 3.0y + -1.54z <= 632.96
-0.82x + 4.39y + -0.58z <= 257.11
8.9x + 4.43y + 5.38z <= 330.43
-2.72x + 4.89y + 3.14z <= 790.59
0.85x + -5.3y + 0.76z <= 756.01
-3.58x + -1.96y + -7.45z <= 398.24
-9.79x + 5.06y + -6.15z <= 825.75
1.11x + 5.33y + -6.34z <= 340.18
-4.43x + -4.66y + 9.65z <= 250.69
-2.68x + 2.61y + 6.71z <= 361.07
4.16x + -1.16y + 0.85z <= 720.85
6.44x + 2.72y + -8.19z <= 479.66
-9.02x + 1.03y + 6.59z <= 775.36
-2.27x + 0.79y + 9.28z <= 375.99
0.09x + -9.48y + -7.03z <= 602.44
-4.83x + 0.41y + -4.45z <= 709.3
-1.07x + 8.13y + 5.47z <= 211.77
-7.93x + -6.73y + 2.06z <= 406.36
2.26x + 8.07y + 6.44z <= 205.66
-5.45x + -7.29y + -1.23z <= 540.05
2.02x + -3.15y + -0.55z <= 142.95
8.37x + -3.98y + -1.19z <= 211.14
2.93x + -1.99y + -7.34z <= 731.12
-5.65x + 5.33y + -6.73z <= 632.24
-3.82x + 2.7y + 8.93z <= 185.12
-3.61x + -4.35y + -4.95z <= 399.67
-2.85x + 5.4y + 4.58z <= 700.82
1.12x + -7.32y + -9.95z <= 264.49
-3.49x + 2.75y + 9.92z <= 486.08
0.16x + 8.01y + 8.63z <= 967.76
-0.55x + -3.35y + -7.05z <= 440.06
5.63x + 4.59y + 4.6z <= 989.38
-7.11x + 7.36y + -2.48z <= 810.69
7.89x + -5.47y + 3.96z <= 732.45
7.25x + -6.3y + -1.56z <= 371.42
-6.87x + -0.1y + 4.16z <= 109.3
0.37x + 9.23y + -3.77z <= 518.85
0.79x + -8.2y + -8.19z <= 845.45
8.77x + -5.82y + -4.95z <= 248.58
-2.88x + -6.52y + 4.38z <= 415.77
-4.39x + 7.81y + -1.14z <= 781.06
-5.51x + -5.7y + -0.42z <= 137.01
9.0x + 9.66y + -2.49z <= 324.77
-8.34x + 6.13y + -1.75z <= 214.29
-5.58x + -9.37y + 2.36z <= 192.33
-5.11x + -6.35y + 4.0z <= 699.9
-6.6x + 9.09y + 5.27z <= 686.29
3.23x + 1.5y + 4.36z <= 192.57
2.64x + 2.02y + 4.44z <= 288.32
6.57x + 0.95y + -9.94z <= 723.41
-9.29x + -1.97y + 4.14z <= 708.02
-2.22x + -9.76y + -0.3z <= 658.54
-5.46x + 2.92y + 5.54z <= 225.9
-4.6x + 1.34y + 7.22z <= 841.23
1.02x + 9.06y + 7.0z <= 348.19
1.18x + 4.82y + -2.87z <= 231.09
-9.47x + -9.09y + -2.12z <= 525.87
-6.43x + 8.74y + 6.6z <= 113.2
-9.28x + -0.04y + 3.77z <= 328.78
9.13x + -5.78y + 5.81z <= 760.2
-6.91x + -3.33y + 2.15z <= 857.98
2.06x + 3.62y + -9.71z <= 182.07
7.39x + -4.2y + 1.76z <= 256.48
4.45x + 0.27y + 8.08z <= 385.97
-0.85x + 1.64y + -0.96z <= 852.27
2.1x + -4.98y + 9.33z <= 977.43
-9.54x + 7.75y + -2.37z <= 379.95
4.6x + -5.9y + -1.87z <= 622.65
2.5x + -3.8y + 6.53z <= 687.83
-4.21x + 5.78y + 3.87z <= 111.88
2.73x + 5.57y + -3.1z <= 788.1
2.82x + -0.02y + 1.68z <= 713.38
-9.66x + 6.28y + 5.96z <= 497.29
6.19x + -2.1y + -4.32z <= 112.72
5.13x + 3.01y + 6.81z <= 118.62
-1.74x + 7.54y + 0.8z <= 714.81
9.49x + -5.15y + -7.23z <= 982.23
-5.35x + -5.24y + -9.52z <= 493.45
-4.55x + -7.34y + 9.74z <= 276.08
9.0x + 8.29y + 5.64z <= 948.4
-8.12x + 1.79y + 8.1z <= 142.19
0.21x + 6.53y + 0.22z <= 964.82
4.41x + -1.96y + 10.0z <= 961.7
-2.75x + -6.85y + -2.18z <= 785.14
-8.05x + -2.34y + 0.47z <= 386.94
9.52x + -6.7y + 5.8z <= 264.69
-8.92x + -9.95y + -7.77z <= 854.93
7.98x + 6.08y + -0.76z <= 265.19
9.65x + 8.89y + -1.22z <= 464.95
0.12x + 4.07y + -8.2z <= 595.12
-0.56x + 0.1y + -7.15z <= 850.47
-5.96x + 6.19y + -4.59z <= 182.76
2.67x + -3.57y + -1.93z <= 271.52
-6.55x + -6.14y + -4.04z <= 204.55
0.4x + -0.51y + -6.67z <= 155.56
1.63x + 9.17y + -0.95z <= 278.36
-9.26x + -4.05y + -3.56z <= 450.92
6.54x + 7.87y + -8.77z <= 678.03
1.52x + -2.08y + 6.47z <= 138.04
-1.77x + 6.73y + 6.83z <= 697.93
-8.44x + -0.34y + -8.14z <= 636.97
0.69x + 9.04y + -9.7z <= 176.27
5.44x + -3.07y + 7.59z <= 915.58
-9.79x + 6.19y + -9.14z <= 727.12
2.25x + 1.9y + -3.4z <= 285.6
-8.59x + -3.43y + -1.51z <= 686.1
-0.79x + 7.86y + -1.56z <= 539.49
0.56x + -5.41y + -6.71z <= 578.71
-0.6x + -3.02y + -8.37z <= 805.18
5.05x + 0.92y + -4.95z <= 959.43
-5.33x + 6.43y + -7.75z <= 364.31
8.29x + -4.22y + 4.11z <= 181.29
2.43x + 9.92y + 0.6z <= 766.21
-4.7x + -2.62y + -9.72z <= 672.58
-5.56x + -7.93y + -8.96z <= 887.0
3.35x + 1.23y + 5.12z <= 305.65
-0.98x + -7.43y + -4.65z <= 601.65
-3.54x + 1.91y + -6.16z <= 915.77
9.81x + 9.11y + 9.52z <= 656.8
-4.25x + -0.33y + 3.45z <= 185.95
0.83x + 5.47y + -5.89z <= 926.67
-7.73x + -4.87y + 0.56z <= 509.12
2.06x + -5.5y + 4.16z <= 278.13
-3.16x + -2.72y + -6.33z <= 361.03
1.38x + 6.36y + 3.5z <= 830.61
-7.2x + -1.9y + 0.42z <= 102.87
-4.04x + 7.64y + 8.72z <= 847.29
-8.53x + -8.52y + -2.3z <= 559.22
2.34x + -0.24y + -6.51z <= 840.04
-3.88x + -3.83y + 1.44z <= 507.13
9.46x + 5.23y + -9.01z <= 578.71
1.29x + 7.5y + 9.82z <= 842.71
-0.73x + 7.89y + -1.52z <= 310.49
2.23x + 2.16y + -0.48z <= 143.98
-4.52x + 6.25y + 7.74z <= 971.64
9.51x + -4.05y + -3.47z <= 556.4
1.4x + 0.2y + -4.66z <= 643.0
-7.27x + -7.66y + 4.81z <= 748.86
-7.1x + -5.53y + -5.69z <= 571.6
-9.87x + -8.52y + -9.97z <= 507.26
1.6x + -3.57y + 3.85z <= 841.13
-2.39x + -6.77y + 3.91z <= 196.15
6.5x + -1.46y + -0.72z <= 284.58
9.14x + 2.41y + 0.82z <= 513.34
8.4x + -3.18y + -2.39z <= 780.33
9.67x + 9.55y + -2.69z <= 871.75
8.63x + 5.49y + -4.79z <= 902.17
2.78x + 5.95y + -9.78z <= 386.57
-7.74x + 5.6y + 4.81z <= 143.86
-9.59x + -0.84y + 2.56z <= 147.76
3.64x + -1.03y + -4.23z <= 127.26
-6.74x + 7.13y + 3.79z <= 906.4
7.9x + -7.79y + -1.64z <= 662.53
-5.02x + -6.17y + -7.97z <= 313.91
6.28x + 8.87y + 7.93z <= 990.46
-4.04x + 9.09y + -9.88z <= 266.06
-2.48x + 6.06y + 4.48z <= 931.43
-3.98x + 4.79y + -6.13z <= 622.95
-8.93x + 8.98y + -5.58z <= 503.12
2.72x + 1.72y + 4.57z <= 422.38
7.73x + 3.16y + -8.43z <= 139.28
6.04x + 9.15y + -8.25z <= 244.24
-4.9x + 7.14y + -5.44z <= 664.63
-1.82x + 9.96y + 5.11z <= 908.47
-7.08x + 7.79y + -5.39z <= 236.88
-4.15x + 9.32y + -2.14z <= 620.34
-7.22x + -5.05y + -7.38z <= 269.44
0.53x + -6.51y + 6.54z <= 604.93
7.38x + -5.43y + -2.85z <= 892.46
3.16x + 3.73y + 7.9z <= 975.52
3.91x + -3.35y + 7.19z <= 521.76
9.79x + 7.12y + 9.1z <= 582.97
-4.48x + 4.28y + -8.04z <= 963.1
2.43x + 4.53y + 0.21z <= 589.93
-9.82x + -5.2y + 2.7z <= 963.08
-2.6x + -5.0y + -0.2z <= 993.4
-4.36x + -5.24y + 0.77z <= 620.83
0.88x + 6.54y + 5.68z <= 902.49
-2.98x + 3.63y + 4.62z <= 870.37
1.76x + -2.24y + -3.74z <= 877.68
2.63x + 8.19y + -1.65z <= 464.71
-9.28x + -9.92y + 3.5z <= 721.33
3.8x + -8.98y + -1.93z <= 153.43
4.61x + -3.13y + 6.21z <= 420.26
6.88x + -1.2y + 7.79z <= 452.83
-1.2x + 7.21y + 3.8z <= 765.84
7.06x + 2.98y + 0.87z <= 667.67
1.68x + 4.47y + -8.75z <= 603.9
6.7x + -2.59y + -3.46z <= 115.56
7.85x + 8.9y + 9.34z <= 878.05
-7.14x + -7.65y + 2.76z <= 369.31
8.36x + 8.52y + -7.41z <= 875.07
-3.05x + 1.37y + -1.98z <= 567.44
-3.72x + 4.35y + 2.43z <= 532.55
-0.61x + -8.15y + -7.66z <= 224.6
8.4x + -1.23y + 3.05z <= 310.75
-9.06x + -4.77y + 9.69z <= 827.07
3.6x + -7.33y + 5.27z <= 739.26
7.48x + 1.32y + 0.3z <= 533.92
6.91x + 9.07y + -3.65z <= 288.72
8.39x + -9.73y + 8.9z <= 336.72
7.0x + -5.32y + 2.01z <= 822.79
-9.54x + 1.09y + -2.5z <= 994.07
7.24x + 0.53y + 7.06z <= 379.68
-3.22x + -2.24y + 5.48z <= 219.06
5.03x + -8.05y + 0.63z <= 330.86
-5.28x + -9.74y + -5.96z <= 666.43
-6.67x + 9.44y + -9.97z <= 199.37
-1.1x + -1.67y + 9.84z <= 248.72
2.2x + -5.04y + 7.4z <= 715.18
4.64x + 1.16y + 7.71z <= 447.05
3.22x + 0.53y + -4.03z <= 483.3
-3.85x + 2.57y + 0.65z <= 604.13
-3.96x + -7.9y + 8.58z <= 262.09
1.85x + 1.62y + -2.83z <= 941.51
0.88x + 0.68y + 8.74z <= 701.44
2.05x + 9.17y + 3.59z <= 609.51
-6.07x + 0.15y + -3.36z <= 338.43
0.16x + 7.8y + -8.86z <= 654.3
-0.42x + -2.34y + -6.26z <= 901.45
7.67x + 0.45y + -2.05z <= 963.11
6.48x + -0.88y + 2.02z <= 611.67
-0.45x + 5.61y + -9.22z <= 257.78
7.38x + 8.62y + -0.27z <= 417.01
2.07x + 1.64y + 1.63z <= 719.38
4.47x + -7.86y + 7.28z <= 136.84
6.41x + -9.0y + -4.18z <= 893.75
-6.65x + 9.89y + -0.07z <= 161.46
-4.58x + 0.96y + -0.75z <= 425.69
7.4x + 1.1y + -2.83z <= 534.6
1.31x + -6.59y + -1.22z <= 631.25
1.06x + -3.62y + -9.9z <= 409.89
8.82x + -8.02y + -3.3z <= 156.17
3.16x + -4.64y + -5.64z <= 454.41
-1.98x + -8.35y + -9.19z <= 195.7
2.06x + -3.47y + -8.44z <= 596.3
-8.8x + -2.25y + 7.47z <= 126.09
9.35x + -3.83y + -1.13z <= 200.23
-8.93x + 9.94y + -6.89z <= 436.76
9.99x + -3.17y + -6.06z <= 529.14
0.99x + -8.74y + 8.75z <= 113.29
-3.94x + -2.7y + 7.13z <= 571.49
-4.48x + 5.49y + -2.45z <= 750.19
-7.22x + 6.98y + 4.02z <= 265.67
1.16x + -6.18y + -0.85z <= 480.43
3.94x + -2.47y + -1.01z <= 728.07
-4.22x + 4.6y + -0.05z <= 327.8
-0.53x + -2.14y + -0.33z <= 545.08
-9.4x + 6.22y + 8.35z <= 831.05
6.42x + 9.05y + 4.26z <= 138.8
-4.17x + 2.81y + 3.6z <= 131.05
9.86x + 5.93y + -5.59z <= 606.28
0.22x + 7.67y + 5.87z <= 712.52
4.85x + -5.66y + -8.25z <= 150.38
-2.21x + -8.23y + -1.84z <= 580.88
2.67x + 1.64y + -9.09z <= 563.2
3.13x + 0.94y + -1.78z <= 878.07
-1.71x + 2.15y + 3.9z <= 716.35
-6.46x + 5.06y + 5.68z <= 926.23
-1.58x + 1.19y + -2.37z <= 540.27
9.73x + -1.78y + 7.1z <= 818.59
-3.04x + 3.5y + 4.59z <= 101.42
-6.78x + 3.45y + 5.61z <= 840.0
1.11x + 1.51y + 3.57z <= 795.42
1.35x + -2.49y + 1.87z <= 539.16
7.6x + 2.21y + -0.99z <= 935.36
-8.22x + 6.76y + 5.84z <= 395.48
-5.23x + 4.66y + -2.97z <= 294.85
-5.52x + -1.73y + 8.02z <= 610.21
-7.45x + 9.75y + -5.63z <= 325.64
1.04x + 4.1y + -2.95z <= 182.46
6.19x + -8.8y + -7.05z <= 697.12
8.56x + 2.64y + 8.88z <= 868.15
-9.53x + 6.09y + -9.68z <= 822.92
-0.47x + -0.64y + -4.02z <= 347.96
6.34x + 7.04y + 7.74z <= 553.1
4.15x + 3.37y + 7.1z <= 193.21
4.3x + -2.51y + 2.09z <= 673.63
7.4x + 9.15y + -6.59z <= 933.03
6.87x + 0.2y + 4.4z <= 271.05
1.04x + 7.37y + 0.05z <= 370.1
8.42x + 5.7y + -5.12z <= 207.34
0.41x + -1.38y + -5.51z <= 945.86
-2.21x + -2.84y + -1.51z <= 112.53
-1.22x + -5.48y + -2.7z <= 803.7
-0.35x + -5.86y + 4.17z <= 628.95
-8.7x + -6.37y + 4.94z <= 259.15
3.49x + -2.34y + -1.97z <= 256.14
2.9x + 5.93y + -0.81z <= 854.42
6.05x + 4.21y + -6.12z <= 228.65
-4.43x + 6.28y + -5.59z <= 360.87
-5.39x + -0.81y + 1.3z <= 553.39
9.87x + -5.31y + 7.14z <= 421.27
-8.97x + -6.08y + 4.65z <= 216.55
4.76x + -3.68y + -7.12z <= 851.1
-6.35x + -7.6y + -1.29z <= 856.23
6.68x + -8.52y + 8.79z <= 377.99
-2.48x + -5.63y + 5.51z <= 957.69
2.73x + 0.47y + 3.19z <= 896.81
-6.11x + -3.51y + 4.15z <= 135.77
-2.98x + -3.87y + -9.21z <= 593.79
-6.58x + -4.17y + -2.59z <= 564.46
-3.45x + 1.53y + 1.33z <= 833.61
8.79x + -4.62y + 0.19z <= 753.51
6.76x + 2.74y + -2.74z <= 639.05
9.4x + -4.89y + -1.5z <= 106.75
-3.59x + 8.89y + -0.87z <= 734.34
-2.04x + -5.8y + -0.39z <= 160.49
-7.99x + -9.12y + 8.59z <= 982.63
4.69x + -8.72y + 3.83z <= 233.65
-7.11x + 4.18y + 7.0z <= 627.29
-0.46x + 5.27y + 7.09z <= 989.91
0.58x + 1.49y + -8.64z <= 375.67
1.87x + -6.67y + 1.49z <= 395.98
5.74x + 3.05y + 8.19z <= 221.7
-6.03x + 0.03y + 4.74z <= 686.89
-6.23x + 0.28y + 4.52z <= 694.44
-2.04x + -1.88y + 5.31z <= 387.47
-5.94x + 6.62y + -3.95z <= 201.68
-7.34x + 3.88y + -8.63z <= 906.74
5.36x + 3.26y + 9.11z <= 679.23
0.31x + 4.52y + 2.85z <= 190.04
7.26x + 6.55y + 2.29z <= 640.03
8.04x + -3.91y + 0.52z <= 183.86
8.72x + -2.66y + 7.95z <= 595.09
5.73x + 9.37y + -9.52z <= 179.51
9.5x + 4.31y + -0.54z <= 709.34
-0.24x + -6.94y + 6.04z <= 422.4
-8.2x + -5.23y + -2.08z <= 381.57
-9.87x + 4.24y + -8.86z <= 453.78
1.87x + 5.27y + 5.97z <= 398.75
8.07x + -6.58y + 0.45z <= 515.43
4.66x + -2.8y + -9.72z <= 257.65
6.9x + 7.8y + 6.1z <= 597.33
0.24x + 7.28y + 6.53z <= 710.35
1.6x + 9.0y + 5.26z <= 142.2
-4.6x + 1.86y + 4.46z <= 892.84
-9.77x + 3.31y + -8.98z <= 309.11
-9.26x + -7.75y + -0.66z <= 565.15
1.14x + -9.17y + -7.74z <= 241.98
-7.04x + -5.93y + -9.93z <= 348.71
6.99x + -1.52y + 8.6z <= 275.9
8.97x + -2.5y + -1.57z <= 171.91
-9.05x + -3.62y + -9.57z <= 735.35
6.55x + -8.25y + -1.27z <= 539.42
4.08x + 8.27y + -0.73z <= 348.67
-6.77x + 8.1y + -7.32z <= 589.54
-3.7x + -0.92y + 8.55z <= 402.03
-2.05x + -7.0y + -8.42z <= 662.95
4.54x + -9.08y + -3.71z <= 464.08
2.41x + 7.3y + 8.74z <= 834.56
2.36x + -8.11y + 7.51z <= 105.48
1.58x + 7.65y + 8.78z <= 369.15
-8.71x + 1.38y + 9.78z <= 536.84
2.26x + -7.88y + -2.12z <= 233.71
3.9x + 3.53y + 3.8z <= 739.17
-7.89x + -6.77y + -4.59z <= 709.88
-5.51x + 7.18y + 5.99z <= 621.34
-8.24x + 0.9y + 1.75z <= 571.69
3.59x + 8.72y + -0.84z <= 553.32
-9.4x + 8.13y + 7.93z <= 911.58
6.7x + -9.1y + -2.44z <= 375.96
9.42x + -3.38y + -1.48z <= 818.76
1.46x + -3.08y + 5.38z <= 397.99
-1.82x + 6.98y + 5.96z <= 261.52
-1.46x + -8.88y + -4.52z <= 498.1
-8.4x + 3.23y + 3.61z <= 968.32
-9.68x + -4.79y + 0.21z <= 959.01
-7.11x + -0.43y + -9.7z <= 878.98
-4.17x + -0.04y + 5.36z <= 453.49
-6.53x + -9.88y + -4.48z <= 605.17
-6.29x + 1.29y + 9.83z <= 559.4
-7.26x + 2.36y + 2.31z <= 291.0
1.45x + -1.18y + -7.36z <= 345.52
1.6x + 8.66y + -0.95z <= 562.37
-8.22x + -0.57y + 0.65z <= 497.63
-7.96x + 6.68y + 1.99z <= 523.03
8.11x + 5.78y + 1.04z <= 540.32
-4.69x + 7.97y + 5.42z <= 124.91
-6.53x + 8.13y + -0.4z <= 523.85
2.1x + -3.47y + -2.92z <= 902.83
2.21x + -7.74y + 3.86z <= 763.02
0.25x + -8.06y + -9.0z <= 296.65
-1.78x + 4.63y + -6.42z <= 449.5
-8.39x + 8.97y + 8.51z <= 761.19
0.24x + 7.45y + -5.84z <= 208.89
0.34x + -5.21y + -9.13z <= 293.31
7.12x + 1.03y + -4.91z <= 409.52
2.99x + 7.77y + 9.8z <= 489.73
2.58x + 4.37y + -5.94z <= 328.91
8.41x + 6.15y + 7.86z <= 474.97
-1.9x + 1.22y + 5.99z <= 987.06
-5.68x + -5.36y + -9.9z <= 627.99
7.62x + -0.22y + -9.15z <= 522.0
-1.11x + 8.39y + -7.13z <= 693.37
-1.81x + -2.32y + 4.62z <= 853.63
-4.13x + 1.52y + 7.8z <= 281.5
-9.42x + 1.49y + -2.41z <= 765.45
9.57x + -9.64y + -2.47z <= 851.67
-4.52x + -2.45y + -6.94z <= 193.96
0.98x + -2.03y + -5.1z <= 349.13
7.89x + -9.63y + 4.35z <= 565.36
6.78x + 0.24y + -2.23z <= 936.79
7.75x + 1.7y + 9.6z <= 335.92
3.64x + 9.61y + -5.02z <= 907.89
-0.55x + -0.62y + -5.02z <= 338.39
-8.92x + -7.24y + 9.59z <= 885.47
-0.97x + -8.2y + 5.93z <= 664.21
-5.48x + -0.24y + 7.54z <= 361.44
-1.52x + -8.1y + 4.22z <= 847.76
8.75x + -8.96y + -2.99z <= 665.14
4.0x + -7.67y + -2.01z <= 229.99
-0.26x + 4.75y + 3.33z <= 289.45
9.83x + 8.95y + -7.24z <= 498.97
3.87x + -4.98y + -3.9z <= 422.4
-0.28x + 0.2y + -0.83z <= 647.78
4.24x + -6.77y + -2.27z <= 818.84
-3.27x + -6.73y + -9.9z <= 530.59
-8.58x + 8.89y + 2.37z <= 481.32
-4.81x + -3.87y + 5.83z <= 450.4
4.78x + 1.55y + 7.54z <= 335.69
4.58x + -4.82y + -6.16z <= 690.96
7.02x + 8.45y + -3.83z <= 478.57
7.92x + 5.94y + -0.43z <= 194.04
8.38x + 2.35y + -3.29z <= 972.03
-0.49x + -2.85y + -1.81z <= 213.77
7.6x + -2.74y + -9.06z <= 437.27
-5.15x + -5.17y + 9.54z <= 219.31
-5.5x + -4.02y + -2.36z <= 126.65
2.32x + 0.14y + -7.39z <= 516.86
3.72x + 3.28y + 4.02z <= 933.5
4.43x + 4.77y + -6.63z <= 310.27
-8.65x + 9.99y + -1.03z <= 559.78
-6.3x + -5.84y + 9.43z <= 547.67
-5.6x + -8.44y + 9.04z <= 975.89
-1.81x + 8.49y + -8.45z <= 185.02
-6.1x + -2.6y + -4.2z <= 172.66
5.46x + -6.4y + 2.54z <= 708.61
-2.92x + -3.12y + 3.23z <= 697.16
-4.93x + -9.5y + -1.45z <= 315.4
-0.46x + 1.8y + 1.37z <= 564.56
-9.51x + 6.94y + 1.67z <= 967.0
8.93x + -8.41y + -2.83z <= 522.23
-0.62x + 8.66y + -4.64z <= 759.23
4.16x + -6.46y + -2.15z <= 401.31
4.51x + -4.44y + 8.6z <= 130.91
-7.71x + 5.15y + 6.08z <= 569.95
-2.79x + -6.57y + -4.61z <= 492.19
4.02x + -7.73y + 9.59z <= 257.13
-5.09x + -1.76y + -9.02z <= 378.78
-6.78x + -7.25y + -0.03z <= 199.88
-0.25x + -9.14y + -8.5z <= 168.18
5.09x + -7.74y + -9.54z <= 382.07
-3.92x + 3.46y + -1.35z <= 255.05
4.54x + -5.26y + 2.06z <= 617.0
-7.45x + -6.12y + 1.12z <= 508.84
5.91x + -7.37y + -7.58z <= 155.07
5.63x + 9.96y + 5.39z <= 865.51
1.36x + -8.5y + 5.28z <= 878.03
-0.88x + 9.78y + 7.16z <= 735.06
6.06x + 2.46y + -2.74z <= 719.01
1.37x + -8.57y + 8.73z <= 112.73
3.42x + -3.45y + -1.84z <= 591.22
-5.04x + -3.57y + -6.87z <= 929.47
-3.05x + -0.81y + -3.15z <= 550.71
4.25x + 9.37y + 6.65z <= 539.28
9.0x + 8.84y + -7.71z <= 916.15
-0.73x + -5.8y + -5.83z <= 905.97
3.73x + -0.54y + -3.97z <= 706.31
9.49x + -0.13y + 6.34z <= 302.21
5.57x + -8.72y + 4.5z <= 918.3
-4.29x + -7.03y + -7.34z <= 269.27
-5.09x + 8.09y + -3.17z <= 973.61
8.28x + -8.22y + -4.68z <= 904.4
8.71x + -9.92y + 2.01z <= 752.13
5.83x + -9.34y + 1.81z <= 550.61
1.57x + 2.73y + 9.46z <= 743.27
2.86x + -8.54y + -4.95z <= 798.46
-5.42x + 2.23y + -7.08z <= 689.17
-2.87x + -4.95y + -3.89z <= 342.04
-2.39x + -1.48y + 1.87z <= 573.3
7.65x + 3.72y + 0.95z <= 740.63
1.2x + -7.63y + -2.19z <= 715.73
5.12x + 1.78y + -1.17z <= 628.87
-3.53x + 5.29y + 6.29z <= 329.3
-5.35x + 0.86y + -2.05z <= 629.52
0.39x + -9.34y + -0.96z <= 895.52
5.93x + -0.13y + -3.09z <= 248.71
2.22x + -8.36y + 3.99z <= 930.92
7.43x + 7.95y + 0.26z <= 740.56
-3.62x + -9.63y + 4.91z <= 303.75
-5.88x + 0.49y + 5.59z <= 454.21
9.17x + -3.78y + -3.78z <= 443.74
4.94x + 4.96y + 9.08z <= 772.03
-4.2x + 7.25y + 7.54z <= 586.85
-0.35x + -3.68y + -1.03z <= 746.67
-8.34x + 4.31y + 0.27z <= 997.13
4.31x + 1.88y + 1.77z <= 467.7
-6.57x + -9.51y + 6.69z <= 819.79
7.72x + -2.5y + 8.13z <= 700.84
-5.71x + -9.43y + -9.58z <= 134.94
5.92x + -8.95y + 0.37z <= 445.83
5.46x + -1.53y + 6.51z <= 457.75
9.22x + -0.88y + 0.74z <= 937.51
-7.58x + -5.42y + -7.51z <= 985.36
-9.61x + -7.55y + -9.68z <= 671.38
0.9x + -4.91y + -4.61z <= 239.82
4.93x + 3.09y + -2.79z <= 836.85
6.45x + 9.32y + -4.41z <= 721.5
6.74x + 6.7y + -2.75z <= 319.24
9.89x + -0.03y + -8.13z <= 420.02
7.68x + -2.06y + 3.53z <= 129.15
-1.53x + 4.65y + 5.74z <= 553.68
-3.09x + -4.42y + -4.17z <= 531.55
-9.34x + -0.52y + 7.62z <= 705.22
6.88x + -2.52y + -5.74z <= 421.68
-3.61x + 0.41y + 4.49z <= 483.56
0.22x + -2.47y + 0.1z <= 500.36
7.53x + -9.97y + -2.24z <= 519.24
-8.66x + -6.94y + 5.99z <= 517.5
-0.39x + 1.7y + 9.07z <= 545.46
8.34x + -7.75y + 5.27z <= 145.07
-6.32x + -0.27y + 9.97z <= 458.97
2.71x + 6.09y + 8.46z <= 709.28
2.32x + -6.26y + -3.39z <= 470.02
8.07x + 8.78y + 6.37z <= 660.61
0.07x + -4.52y + -5.44z <= 872.48
4.4x + 3.23y + -2.56z <= 749.92
-3.96x + -8.15y + -9.28z <= 535.42
-3.78x + 6.55y + -4.07z <= 160.27
2.19x + 5.5y + 3.78z <= 120.09
7.91x + -1.48y + 4.63z <= 818.5
-0.89x + 8.05y + 7.48z <= 126.58
-4.77x + -1.45y + -8.83z <= 675.46
3.5x + 4.49y + -2.88z <= 148.38
-7.08x + -9.6y + -1.86z <= 182.56
-5.29x + 4.0y + -7.13z <= 437.08
