max 9.47x + 1.74y + -4.7z
-8.28x + -1.6y + -5.8z <= 567.69
7.36x + -2.46y + -4.97z <= 950.53
-7.79x + 5.24y + -1.08z <= 878.07
1.63x + 2.53y + 7.28z <= 316.64
0.88x + 5.36y + -4.45z <= 486.06
-8.9x + 7.87y + -8.66z <= 735.04
-2.83x + 5.9y + -5.72z <= 452.46
-4.48x + 2.71y + 3.73z <= 951.77
-3.67x + -2.41y + -7.94z <= 924.76
1.1x + -9.85y + 5.22z <= 755.64
6.87x + 3.1y + 5.97z <= 536.43
5.72x + -9.21y + 8.72z <= 641.45
1.47x + 0.98y + -4.41z <= 703.89
-3.19x + 4.8y + -4.62z <= 198.75
-8.84x + 1.23y + 1.55z <= 607.55
5.66x + -2.8y + 8.24z <= 372.65
3.31x + -5.86y + -4.09z <= 731.65
6.93x + -5.62y + -1.87z <= 401.24
-0.24x + -3.79y + -5.38z <= 812.43
4.53x + 5.16y + -8.77z <= 196.11
-5.12x + -2.86y + 5.46z <= 668.19
7.45x + 2.2y + -8.9z <= 864.46
-2.46x + 5.07y + 9.87z <= 723.87
9.02x + -4.75y + 1.42z <= 514.23
6.63x + -0.74y + -8.14z <= 675.44
-6.66x + 9.1y + 0.63z <= 162.72
8.94x + -2.09y + 4.87z <= 368.02
9.68x + -3.22y + 2.94z <= 337.77
-3.96x + -4.34y + 7.93z <= 795.36
3.03x + -2.77y + 8.12z <= 354.91
1.69x + -9.8y + 8.02z <= 301.53
4.67x + 5.58y + 6.96z <= 903.4
-3.08x + 7.54y + 3.88z <= 136.48
-2.28x + -8.45y + -0.89z <= 573.93
2.7x + -7.01y + -7.77z <= 988.36
-5.21x + 8.41y + 3.2z <= 642.48
-0.9x + -0.42y + -7.28z <= 991.09
-5.62x + 4.4y + -8.09z <= 851.3
-9.44x + -3.55y + -2.61z <= 911.66
-3.03x + 7.45y + -8.19z <= 420.55
9.41x + 2.26y + -7.3z <= 368.49
-2.62x + -9.01y + 4.94z <= 488.8
-3.1x + -6.56y + -5.53z <= 413.64
1.49x + 4.36y + -9.99z <= 938.33
-7.81x + -2.13y + 2.12z <= 700.69
3.71x + -7.07y + 2.83z <= 698.61
1.24x + -4.72y + -6.29z <= 700.0
-7.27x + -8.17y + 3.25z <= 922.58
1.13x + 1.12y + 7.32z <= 637.8
8.75x + -2.41y + -3.42z <= 794.78
2.55x + 4.22y + 0.56z <= 469.94
8.06x + 1.25y + 8.55z <= 732.86
-0.2x + 6.14y + 8.14z <= 587.7
5.19x + 7.72y + -5.37z <= 532.72
7.19x + -0.66y + 9.89z <= 161.49
-7.64x + -6.57y + 3.21z <= 970.95
6.83x + -3.45y + 5.98z <= 471.21
-7.33x + 5.77y + 3.56z <= 789.2
2.86x + 9.69y + -5.39z <= 737.35
-6.25x + -2.04y + -9.38z <= 659.91
6.73x + -2.97y + -0.35z <= 152.84
-3.47x + -6.47y + -5.97z <= 422.68
4.02x + -5.85y + -4.86z <= 153.13
-0.36x + -5.43y + 3.24z <= 155.85
-8.93x + 1.85y + 8.06z <= 858.34
-4.34x + 7.35y + 0.26z <= 108.46
4.82x + 3.16y + 7.75z <= 624.47
5.85x + -7.86y + 2.44z <= 815.4
4.33x + -9.23y + 4.73z <= 260.22
8.76x + 4.5y + -4.64z <= 194.96
-1.81x + -0.2y + -2.73z <= 758.19
-9.83x + 7.73y + 4.5z <= 128.61
-2.4x + -2.08y + -5.43z <= 747.52
8.34x + -1.18y + 4.64z <= 273.59
8.14x + -4.72y + -1.77z <= 162.0
-0.65x + -8.79y + -4.52z <= 925.84
-5.9x + -2.65y + 1.82z <= 670.45
-2.89x + 0.47y + -5.38z <= 936.45
-1.05x + 5.34y + -6.39z <= 601.17
3.36x + -7.34y + -4.25z <= 910.94
-3.17x + 1.42y + -6.94z <= 282.15
-1.68x + -7.78y + 2.1z <= 505.0
5.26x + 1.61y + 1.71z <= 395.98
-8.49x + 1.12y + -3.53z <= 733.2
-8.73x + -4.5y + -3.21z <= 908.17
1.57x + -3.74y + 1.93z <= 780.51
-1.2x + 8.43y + 7.73z <= 510.62
-2.95x + 3.95y + 6.5z <= 146.06
7.12x + 1.7y + 4.54z <= 104.49
8.72x + 3.03y + -6.5z <= 132.77
-0.32x + -7.66y + -8.6z <= 533.99
7.11x + 8.37y + 6.96z <= 776.6
-3.28x + 2.45y + 2.28z <= 806.28
1.89x + 4.71y + -8.24z <= 137.99
-4.46x + -1.3y + -2.93z <= 529.77
5.87x + 7.12y + -4.67z <= 591.41
0.67x + -0.34y + -1.85z <= 173.32
3.32x + 3.58y + -0.63z <= 166.01
9.16x + -9.69y + -1.11z <= 165.22
7.65x + 1.5y + 6.25z <= 357.68
5.95x + 9.86y + -0.41z <= 306.03
-3.32x + -6.05y + -7.34z <= 342.79
-1.94x + 8.23y + 7.11z <= 730.27
5.76x + -1.46y + 1.19z <= 417.72
8.88x + -0.84y + 8.61z <= 476.95
-4.06x + -6.35y + -6.82z <= 481.94
4.91x + -3.09y + 8.44z <= 889.98
5.7x + 8.83y + -6.93z <= 849.85
8.57x + -0.75y + -3.73z <= 664.98
-8.32x + -2.36y + -3.13z <= 989.82
-4.22x + 6.03y + -6.74z <= 267.43
9.83x + 5.4y + 7.92z <= 421.07
9.91x + -3.9y + -4.88z <= 138.16
8.2x + -1.66y + 7.35z <= 221.32
6.91x + -1.94y + -1.75z <= 520.54
6.21x + -2.33y + -4.3z <= 889.05
-0.37x + 2.96y + 6.64z <= 299.8
3.33x + -8.05y + -2.99z <= 313.68
2.45x + -1.04y + -4.59z <= 335.43
-7.98x + -6.31y + -9.9z <= 673.1
-1.77x + 0.63y + 2.72z <= 659.6
-7.27x + -7.57y + 4.95z <= 852.88
5.42x + -0.26y + 0.21z <= 340.26
-7.43x + 8.91y + -6.28z <= 203.38
-3.01x + 2.07y + 0.6z <= 880.36
-4.64x + -7.96y + -1.86z <= 535.92
-3.86x + 4.19y + 8.37z <= 250.61
-0.44x + 4.4y + -7.0z <= 240.5
0.16x + 6.48y + -1.34z <= 375.49
-2.66x + 4.94y + -6.41z <= 351.65
6.21x + 9.98y + 4.3z <= 323.91
9.81x + 5.19y + 7.56z <= 902.93
-8.88x + -2.68y + 6.94z <= 658.23
3.41x + -6.1y + 2.98z <= 116.76
5.32x + -5.94y + -0.69z <= 548.03
4.06x + 7.0y + 5.96z <= 304.85
-3.46x + 2.59y + 0.51z <= 425.58
0.18x + -3.71y + 1.39z <= 628.88
-3.99x + -9.15y + -5.67z <= 537.65
-5.94x + -8.41y + 8.05z <= 236.64
-1.05x + 1.62y + 5.79z <= 440.63
9.44x + 5.62y + 4.32z <= 579.18
-8.18x + 6.69y + 0.04z <= 576.46
-2.15x + 4.31y + -3.57z <= 924.09
-4.35x + -6.33y + 5.87z <= 873.78
-7.59x + 5.21y + -8.61z <= 267.24
0.72x + 0.86y + 0.5z <= 195.41
2.22x + 5.97y + -1.35z <= 229.79
2.2x + 5.0y + 9.9z <= 887.67
8.59x + 1.19y + -8.64z <= 501.67
7.64x + -8.11y + -1.68z <= 558.32
-4.5x + -2.2y + -2.21z <= 255.55
1.53x + -6.57y + 3.91z <= 414.39
-2.56x + -9.92y + 7.93z <= 888.32
0.37x + 6.64y + 1.51z <= 136.42
-4.49x + 2.21y + 1.51z <= 423.54
-8.81x + -6.4y + -9.57z <= 338.86
9.09x + 8.95y + 0.69z <= 110.26
6.24x + 3.75y + -3.64z <= 964.2
8.53x + -9.23y + -3.05z <= 812.49
-0.26x + 0.11y + 3.14z <= 282.49
1.14x + -7.48y + 1.01z <= 368.41
-4.76x + 5.96y + -0.47z <= 389.82
1.43x + -0.22y + 9.4z <= 628.17
-5.34x + 8.11y + -9.49z <= 270.68
4.53x + -8.08y + -3.76z <= 469.21
7.71x + 4.65y + 2.91z <= 309.5
-3.94x + 9.68y + 3.86z <= 196.98
7.76x + -2.94y + 2.13z <= 772.95
2.8x + -8.68y + 9.65z <= 726.58
-2.33x + -4.75y + 5.83z <= 508.1
1.9x + -0.54y + -4.03z <= 240.43
4.33x + 5.91y + -9.29z <= 352.21
-0.69x + -0.84y + 6.53z <= 733.02
8.81x + 3.34y + 1.4z <= 281.14
0.99x + 3.95y + 0.53z <= 595.22
-6.94x + 4.69y + -4.46z <= 687.0
8.22x + -5.56y + 0.5z <= 619.21
2.49x + -5.19y + -2.51z <= 234.93
-3.81x + 6.22y + -9.52z <= 323.98
8.66x + 0.75y + -1.75z <= 840.9
-8.73x + 6.77y + -3.09z <= 117.03
-0.54x + 0.67y + 8.37z <= 220.34
-2.09x + -2.6y + -6.74z <= 784.17
-2.19x + 0.65y + -4.8z <= 454.05
2.3x + -1.29y + 0.67z <= 740.66
-0.95x + 1.39y + -9.83z <= 908.49
-4.41x + 8.13y + -0.06z <= 554.25
-6.87x + 0.91y + 6.35z <= 297.65
-7.15x + -2.25y + 3.05z <= 461.86
-0.89x + 2.32y + 9.33z <= 603.11
3.8x + -0.15y + 9.48z <= 958.24
5.31x + -7.13y + 6.48z <= 310.1
-8.95x + 1.03y + -0.3z <= 338.21
6.09x + 4.67y + 7.59z <= 554.48
0.82x + -6.81y + -4.31z <= 911.44
2.32x + 1.41y + 0.89z <= 540.43
-8.19x + 1.68y + -7.71z <= 309.58
-0.11x + -8.74y + -2.3z <= 716.47
3.95x + -2.99y + -2.7z <= 874.12
-5.43x + 2.72y + -7.36z <= 568.17
-1.13x + -0.46y + -1.35z <= 307.75
1.4x + -2.59y + 2.87z <= 619.38
9.89x + -7.27y + 0.85z <= 450.96
5.1x + 8.39y + -6.55z <= 870.08
5.17x + 9.3y + -4.57z <= 637.85
4.13x + 8.68y + 7.85z <= 634.39
6.21x + 4.37y + 3.33z <= 965.62
-7.52x + -2.42y + -5.3z <= 473.37
3.96x + 9.59y + 5.87z <= 511.06
-7.69x + -2.69y + 6.11z <= 845.8
9.1x + -7.27y + -6.13z <= 963.57
4.1x + -6.56y + -9.86z <= 441.1
-8.68x + 7.29y + -5.64z <= 956.82
7.08x + -2.59y + -0.23z <= 355.43
-0.59x + 2.0y + 0.49z <= 146.62
5.1x + 8.16y + 1.18z <= 296.04
1.81x + 9.03y + -6.79z <= 525.35
-9.23x + -5.22y + -5.61z <= 224.89
-8.43x + -2.0y + 7.3z <= 939.29
-6.14x + -5.66y + 3.46z <= 148.16
-3.59x + 2.37y + -0.24z <= 257.24
9.75x + -1.66y + 3.85z <= 480.8
6.08x + -9.8y + 9.17z <= 943.0
-5.15x + 1.14y + -2.32z <= 704.84
8.54x + -5.5y + 2.41z <= 939.1
1.83x + -8.16y + -0.58z <= 248.17
3.66x + 3.26y + -7.13z <= 343.14
1.05x + -6.62y + -4.38z <= 244.86
-1.15x + -5.35y + -4.47z <= 718.82
6.52x + 4.68y + -4.97z <= 805.2
-4.64x + -4.24y + -7.46z <= 473.87
0.33x + -5.44y + 3.11z <= 620.39
-1.7x + 2.75y + -0.21z <= 988.36
4.54x + -8.41y + 1.58z <= 209.76
2.64x + -8.0y + 2.07z <= 788.78
-3.56x + 5.22y + 2.74z <= 577.47
2.5x + -9.75y + 8.75z <= 780.35
-1.26x + 8.38y + 5.03z <= 968.67
1.03x + -6.19y + -1.55z <= 125.52
-8.22x + -9.67y + 3.39z <= 936.33
3.6x + -4.3y + -4.19z <= 169.25
-5.02x + -9.49y + -2.37z <= 436.23
-6.19x + -9.46y + -6.98z <= 707.36
4.9x + 5.85y + -4.7z <= 970.42
-7.55x + 4.58y + -4.2z <= 428.48
1.01x + -0.91y + 6.59z <= 517.59
9.3x + -4.89y + 8.44z <= 583.06
5.03x + -3.85y + -3.71z <= 994.0
0.63x + 4.09y + 9.9z <= 791.5
9.66x + 7.95y + -1.77z <= 629.41
-7.91x + 7.03y + -2.28z <= 175.07
1.02x + 2.89y + 7.08z <= 246.14
1.86x + 7.25y + 7.93z <= 516.57
-6.33x + 6.55y + -7.42z <= 581.28
2.33x + -9.64y + -4.52z <= 150.38
-9.35x + 7.34y + 1.0z <= 102.22
0.85x + -1.43y + -3.81z <= 339.27
-0.62x + 0.4y + 4.09z <= 216.76
-7.04x + 1.64y + -8.37z <= 686.56
2.47x + 9.42y + 7.79z <= 788.6
-3.96x + 5.75y + -5.24z <= 439.32
-9.81x + -6.63y + -7.67z <= 283.05
-7.71x + -9.24y + -0.87z <= 412.67
-8.52x + 9.21y + 5.71z <= 105.42
5.34x + -5.04y + -5.88z <= 981.35
9.67x + 0.06y + 2.26z <= 100.87
6.38x + -4.07y + 8.98z <= 221.19
-9.33x + 5.61y + -2.98z <= 105.96
3.37x + 1.63y + 6.46z <= 819.98
6.64x + -2.44y + -3.56z <= 946.27
-0.5x + -3.02y + -3.01z <= 993.4
8.33x + 9.99y + -6.89z <= 867.34
9.31x + 7.99y + 2.37z <= 217.7
-0.56x + -2.06y + 3.68z <= 405.58
-7.29x + -6.17y + 5.23z <= 910.49
9.3x + -7.67y + 4.66z <= 818.64
-7.98x + 0.92y + 1.14z <= 881.54
1.02x + -6.71y + -0.01z <= 890.58
1.48x + 8.12y + -4.92z <= 859.72
6.2x + -8.54y + 0.88z <= 623.12
1.3x + 8.21y + -7.41z <= 921.01
7.21x + -2.19y + 8.0z <= 562.68
2.61x + -5.56y + -9.75z <= 837.0
6.52x + -9.45y + 3.25z <= 118.22
7.63x + -4.96y + -1.19z <= 314.53
-1.43x + -0.17y + 2.99z <= 727.7
-8.12x + 2.44y + -0.12z <= 608.95
2.61x + -4.99y + -4.39z <= 938.93
-8.68x + -7.06y + 1.47z <= 884.56
8.5x + 8.54y + 2.34z <= 388.62
8.81x + 0.64y + -3.26z <= 635.01
-4.74x + 8.85y + 1.31z <= 622.09
9.57x + -7.64y + 1.24z <= 860.55
8.84x + 0.59y + -3.45z <= 611.76
6.88x + 4.35y + 8.36z <= 904.42
-4.26x + -4.32y + 5.93z <= 288.55
-0.76x + -2.79y + 0.89z <= 960.81
-0.66x + 4.45y + 0.21z <= 573.52
3.69x + 8.18y + 5.72z <= 855.76
0.31x + 4.14y + -9.24z <= 289.34
1.07x + -8.36y + 0.1z <= 660.06
-6.54x + 8.95y + 9.1z <= 596.16
1.16x + 5.2y + 1.05z <= 838.42
6.24x + 1.01y + -9.54z <= 597.88
-8.42x + -6.85y + 2.17z <= 492.57
0.95x + -5.61y + 1.6z <= 180.47
9.54x + 5.27y + -5.91z <= 157.86
2.27x + -6.66y + -1.72z <= 393.61
7.73x + 9.2y + -8.89z <= 530.68
-7.8x + -9.46y + -0.05z <= 926.99
-7.63x + 3.54y + -9.69z <= 873.93
-10.0x + 7.9y + -4.27z <= 147.03
5.57x + 3.47y + -7.1z <= 504.41
-3.33x + -1.65y + 9.8z <= 980.26
4.08x + -4.0y + -2.34z <= 257.49
-2.51x + -2.46y + -2.44z <= 157.46
-2.06x + 1.48y + -1.49z <= 467.66
0.63x + -5.08y + 2.13z <= 541.1
-8.09x + 8.41y + 0.36z <= 243.78
-2.36x + -4.52y + 8.13z <= 285.03
-2.05x + 9.02y + 7.12z <= 485.4
9.39x + -9.97y + 0.11z <= 128.27
-7.26x + 3.71y + -9.8z <= 606.99
-6.41x + -6.22y + 2.62z <= 155.81
-2.92x + 0.95y + 6.43z <= 388.38
-3.97x + 3.01y + -0.01z <= 947.65
-4.22x + -7.67y + -9.5z <= 248.53
5.43x + 6.63y + 2.19z <= 261.66
-1.92x + 4.98y + 3.56z <= 591.39
-8.09x + -5.21y + 1.94z <= 997.84
-4.45x + -4.62y + 3.02z <= 678.23
-0.65x + 3.23y + -2.0z <= 875.01
8.08x + 3.57y + -5.78z <= 205.51
-0.41x + 9.96y + 3.22z <= 852.05
-9.29x + 8.51y + -8.36z <= 316.72
6.21x + 7.95y + 1.38z <= 776.32
3.65x + 3.88y + 4.3z <= 386.45
-2.54x + 5.56y + -4.81z <= 308.87
9.24x + 4.79y + -2.26z <= 595.18
-8.28x + 0.31y + 9.38z <= 652.06
0.82x + 9.68y + 4.46z <= 411.52
-8.08x + 8.08y + 3.37z <= 448.96
8.57x + -2.18y + 8.19z <= 385.29
1.73x + 7.88y + -1.95z <= 999.99
2.49x + 3.98y + -5.76z <= 409.9
-7.1x + 1.93y + 6.66z <= 522.98
-5.49x + 9.83y + 7.97z <= 132.76
9.0x + 6.07y + 9.07z <= 773.2
-0.24x + -6.38y + -8.24z <= 794.62
-6.33x + -6.26y + 4.25z <= 618.24
-9.03x + -9.26y + -3.42z <= 479.53
5.53x + -6.23y + -6.91z <= 881.26
-0.49x + 9.4y + -9.11z <= 826.06
6.64x + 7.82y + -9.85z <= 588.1
-4.28x + 3.23y + -7.82z <= 369.89
-9.19x + 9.55y + -4.95z <= 744.75
1.54x + -4.6y + -7.5z <= 440.16
9.21x + -5.88y + 7.42z <= 579.26
-1.48x + 9.98y + 1.73z <= 704.33
9.84x + 4.48y + 2.49z <= 926.17
9.41x + -9.03y + -2.37z <= 407.89
-7.71x + -7.57y + 1.78z <= 618.33
9.56x + 1.56y + 2.91z <= 374.87
8.88x + -6.23y + 3.59z <= 474.84
-7.42x + 9.29y + -2.63z <= 986.94
4.67x + 0.81y + -7.05z <= 448.78
-3.91x + -6.49y + -3.49z <= 690.66
8.74x + -9.53y + 6.46z <= 499.13
4.11x + 8.44y + -5.27z <= 224.27
-1.36x + -8.93y + -2.42z <= 453.28
9.6x + -4.86y + -9.35z <= 536.1
6.03x + 9.89y + -9.58z <= 854.06
-0.74x + 5.56y + 0.02z <= 926.51
-8.86x + -6.49y + -2.12z <= 721.77
-8.3x + -3.18y + -5.83z <= 505.43
-5.63x + 6.21y + 2.67z <= 870.38
-2.53x + 7.4y + 7.61z <= 384.64
-1.87x + 3.75y + -4.11z <= 924.02
1.33x + -4.78y + 2.65z <= 779.69
4.43x + 7.42y + -4.92z <= 504.17
0.59x + -2.77y + -9.79z <= 384.67
1.08x + 9.16y + -0.41z <= 233.99
-4.78x + 3.96y + -4.19z <= 275.16
-3.81x + -8.86y + 5.19z <= 616.48
3.33x + 6.92y + -8.49z <= 155.19
6.69x + 9.0y + -6.39z <= 447.65
-0.07x + 2.05y + -1.52z <= 319.34
-7.77x + 0.95y + 7.13z <= 973.11
-1.97x + 0.83y + 5.96z <= 877.99
-9.93x + 9.35y + -9.18z <= 780.81
0.75x + -3.79y + 9.91z <= 582.5
0.71x + 1.24y + -4.54z <= 974.67
-1.11x + -4.32y + 0.01z <= 149.31
-6.99x + 0.59y + -7.81z <= 550.16
-5.33x + 4.92y + 4.0z <= 117.36
-2.95x + -4.84y + 0.87z <= 372.43
-9.01x + 4.1y + -3.52z <= 597.81
-7.55x + -5.29y + 9.61z <= 234.56
-4.62x + -4.57y + -5.67z <= 130.78
0.2x + 9.41y + 2.82z <= 298.82
-6.78x + 2.33y + -2.45z <= 511.93
-7.98x + 0.85y + -0.41z <= 725.59
6.59x + 6.96y + 7.85z <= 657.49
-2.42x + -9.83y + -7.43z <= 264.12
-1.13x + -7.09y + 1.15z <= 653.23
-0.44x + -6.0y + -8.02z <= 722.39
7.02x + -1.2y + -2.25z <= 477.88
-2.9x + -3.52y + 9.28z <= 218.7
5.46x + 0.32y + -3.7z <= 254.83
6.22x + 5.43y + 9.53z <= 653.9
4.62x + -7.2y + -0.55z <= 626.3
5.41x + 1.85y + -5.43z <= 109.56
2.03x + -1.61y + -9.06z <= 134.93
-9.4x + 2.92y + 6.48z <= 805.18
-1.41x + -4.81y + 7.85z <= 106.53
-0.37x + -4.21y + -2.59z <= 856.1
1.67x + 1.14y + 2.64z <= 657.22
-9.37x + 8.47y + -2.69z <= 550.06
2.91x + 4.37y + -5.7z <= 875.83
6.57x + -8.4y + -7.19z <= 482.91
-6.83x + -9.21y + -3.96z <= 517.9
3.29x + -0.05y + 8.13z <= 134.81
5.94x + 8.94y + 7.26z <= 118.94
8.26x + 8.48y + -0.99z <= 169.1
1.95x + -1.88y + -0.93z <= 282.5
4.25x + 1.83y + 7.39z <= 169.09
-2.64x + -2.96y + -0.06z <= 897.41
-3.78x + -6.73y + 8.72z <= 371.72
-6.98x + 9.92y + 5.25z <= 702.41
-4.98x + 4.99y + -7.02z <= 597.84
3.03x + 7.3y + -1.41z <= 994.77
5.33x + -9.28y + -3.23z <= 544.02
-9.68x + 9.24y + 7.4z <= 220.22
1.9x + -2.43y + -8.03z <= 515.52
5.5x + -3.63y + -9.93z <= 827.65
-5.62x + -6.79y + -1.84z <= 885.17
3.15x + 7.26y + 2.82z <= 824.75
-4.18x + 0.87y + -4.78z <= 882.08
-9.32x + -5.95y + 4.0z <= 856.39
4.1x + -0.06y + -3.8z <= 613.5
1.35x + 1.47y + 5.5z <= 666.19
6.97x + 6.24y + 9.92z <= 449.73
-5.86x + 4.9y + 1.89z <= 825.45
-7.38x + 2.73y + -3.22z <= 501.92
-4.12x + 3.63y + -0.34z <= 727.48
4.62x + -7.56y + -1.6z <= 844.72
-6.72x + -0.67y + -0.63z <= 183.94
7.58x + 9.44y + -8.03z <= 153.23
-8.58x + 8.76y + 6.77z <= 701.95
-7.68x + 8.63y + -8.84z <= 306.93
-6.62x + 2.91y + -1.85z <= 793.2
-0.54x + -5.74y + -9.91z <= 583.82
-3.86x + 6.72y + 5.84z <= 249.98
-5.42x + 1.53y + 4.55z <= 157.47
8.22x + 9.37y + -9.04z <= 790.93
3.69x + -3.43y + -5.73z <= 673.61
2.98x + 9.47y + -5.79z <= 744.51
5.32x + 2.65y + 1.84z <= 197.82
4.04x + -3.8y + 3.44z <= 819.55
3.51x + 0.56y + 3.61z <= 280.74
-9.52x + -9.59y + 3.79z <= 728.17
4.21x + -5.94y + -2.64z <= 213.22
7.88x + -1.75y + 5.47z <= 738.57
6.83x + 5.14y + 3.84z <= 129.18
3.12x + -5.31y + -7.69z <= 191.25
9.82x + -8.42y + -1.35z <= 352.55
-1.53x + 8.88y + -4.84z <= 870.58
1.87x + -2.35y + -4.58z <= 475.39
4.4x + 8.0y + -1.89z <= 313.01
5.8x + -3.45y + -6.71z <= 980.73
1.97x + -8.65y + -6.61z <= 882.25
0.86x + 1.54y + -0.42z <= 174.68
0.19x + -6.81y + -0.01z <= 463.0
5.01x + -5.62y + 4.22z <= 628.13
9.48x + -8.06y + -8.33z <= 276.36
3.06x + -3.53y + 3.29z <= 929.97
2.92x + 2.74y + 5.14z <= 853.48
6.19x + 7.45y + -3.16z <= 680.16
-0.81x + 0.62y + -1.09z <= 829.01
-9.76x + -1.37y + 7.96z <= 348.9
-8.81x + -0.18y + 4.86z <= 160.99
-0.07x + -0.65y + -3.18z <= 590.85
3.63x + -6.76y + 9.33z <= 369.06
1.74x + -4.51y + 2.19z <= 527.67
-9.33x + -5.74y + 4.51z <= 630.48
-4.06x + 9.92y + 0.65z <= 489.72
-4.96x + -3.84y + -0.64z <= 360.05
-0.47x + -5.63y + 9.0z <= 470.53
2.44x + -3.61y + -9.36z <= 208.31
2.15x + 1.41y + 4.94z <= 112.07
7.08x + 7.15y + 0.24z <= 965.62
-7.26x + -5.57y + -8.07z <= 418.73
2.41x + 4.46y + -6.19z <= 641.15
-7.92x + -9.63y + 8.66z <= 654.82
-2.5x + -0.97y + -2.44z <= 587.74
5.35x + -6.82y + 5.69z <= 846.44
4.68x + -8.03y + -4.86z <= 845.5
8.94x + -7.0y + 7.23z <= 954.81
3.04x + 0.7y + 6.41z <= 917.71
-0.02x + 5.61y + 3.02z <= 841.65
-7.62x + -0.53y + 3.82z <= 570.65
-9.9x + -3.12y + 5.33z <= 385.69
-0.09x + 9.48y + -5.61z <= 313.89
9.97x + -1.98y + -4.36z <= 353.87
6.75x + -8.19y + 1.24z <= 485.35
4.58x + 3.74y + -0.3z <= 210.42
-8.88x + -9.94y + -9.87z <= 133.9
-5.74x + -5.94y + -5.17z <= 963.68
-8.12x + -7.66y + -0.99z <= 834.08
-6.97x + -4.76y + -4.27z <= 186.94
-8.99x + -8.78y + -3.46z <= 531.13
6.57x + -7.98y + -3.34z <= 145.93
-2.9x + 3.08y + -4.16z <= 802.95
6.18x + -6.55y + -7.15z <= 326.31
3.43x + 7.54y + -3.79z <= 705.3
-7.43x + -2.57y + -4.62z <= 693.0
-0.17x + 6.82y + -5.26z <= 144.94
7.34x + 3.9y + -1.57z <= 477.54
4.54x + -8.53y + -0.14z <= 942.22
2.63x + -4.13y + -5.95z <= 662.18
9.66x + -1.32y + 6.51z <= 944.84
5.55x + 3.25y + 5.82z <= 124.54
-1.39x + 7.07y + -9.16z <= 637.41
6.93x + 2.74y + 9.0z <= 817.46
-7.81x + 6.81y + -9.48z <= 682.97
3.26x + 6.59y + -8.14z <= 805.78
9.88x + -5.08y + -1.46z <= 843.9
2.14x + 4.04y + -7.94z <= 667.18
-4.22x + 1.53y + 8.72z <= 581.32
1.96x + -0.84y + -6.35z <= 504.47
-1.87x + 7.23y + 8.34z <= 336.92
-2.91x + 2.75y + 9.93z <= 706.32
5.75x + -7.58y + 9.96z <= 924.99
-3.51x + -3.65y + 3.18z <= 107.36
-3.85x + -3.24y + 7.5z <= 800.87
6.16x + 4.12y + 3.27z <= 728.83
-0.74x + -6.52y + -8.64z <= 394.77
2.8x + -4.6y + 4.18z <= 551.99
2.03x + 1.14y + 8.81z <= 668.8
7.97x + -4.42y + -3.77z <= 277.52
-7.29x + 9.36y + 7.09z <= 330.21
5.22x + 7.52y + -9.5z <= 437.59
-6.88x + 9.42y + -3.08z <= 295.81
5.58x + 2.26y + 8.99z <= 111.74
2.05x + 5.81y + 6.18z <= 260.17
5.61x + 9.19y + -6.65z <= 631.83
-3.98x + -7.43y + 2.1z <= 903.18
-3.54x + -7.04y + 0.81z <= 870.75
8.34x + 6.39y + -5.54z <= 564.68
-4.5x + -8.87y + 6.59z <= 107.25
1.91x + -2.89y + 7.0z <= 164.7
-5.45x + -6.58y + 2.17z <= 311.57
-9.29x + 8.74y + -1.2z <= 983.79
-3.37x + 4.6y + -5.06z <= 234.83
-6.53x + -9.75y + -2.56z <= 599.84
8.62x + 6.77y + 8.02z <= 819.71
-8.14x + 8.5y + 0.91z <= 593.51
-1.35x + 4.62y + -5.71z <= 571.91
-8.74x + -8.37y + 7.41z <= 377.8
-3.71x + -5.25y + -2.04z <= 502.28
-3.95x + -7.44y + 9.71z <= 476.07
-1.34x + 3.26y + -4.07z <= 561.03
-7.6x + -0.74y + 4.9z <= 894.49
7.0x + 1.17y + 2.53z <= 655.81
-7.56x + -3.92y + 2.72z <= 316.12
-3.12x + -8.0y + 1.67z <= 830.95
6.7x + -3.89y + 5.32z <= 855.48
-1.08x + -5.94y + -9.83z <= 387.63
5.78x + 0.05y + -4.76z <= 383.33
0.96x + -8.82y + -9.23z <= 490.38
-9.27x + -5.24y + 4.53z <= 699.17
-1.34x + -9.01y + 1.42z <= 365.63
4.04x + -3.51y + 9.01z <= 378.83
5.83x + -4.25y + -3.78z <= 752.5
-2.88x + -6.91y + -4.55z <= 534.46
-5.26x + 2.36y + 1.59z <= 769.09
4.72x + 2.21y + 6.06z <= 454.0
-8.67x + -2.76y + 6.12z <= 927.56
9.62x + 2.79y + 6.83z <= 846.52
3.79x + 6.39y + 2.16z <= 364.01
-9.84x + -4.65y + 5.88z <= 281.07
-3.62x + -0.34y + -5.06z <= 662.21
0.63x + 8.12y + 3.04z <= 221.43
4.87x + -4.38y + 4.58z <= 493.18
7.39x + 5.66y + 2.06z <= 495.12
6.27x + 3.74y + -6.52z <= 319.16
2.9x + 8.84y + -3.61z <= 386.56
-3.58x + -9.95y + -8.07z <= 438.33
-8.86x + -3.27y + 4.93z <= 925.53
3.64x + -8.58y + 4.87z <= 263.02
6.54x + -5.02y + -7.33z <= 870.15
1.44x + 6.14y + -5.27z <= 741.14
0.22x + -5.75y + -2.33z <= 386.63
4.57x + 5.58y + 0.7z <= 323.83
