max 7.17x + -0.93y + -4.52z
-5.69x + 5.86y + -0.85z <= 310.33
-5.19x + -5.14y + -5.99z <= 133.84
7.26x + -3.66y + -5.75z <= 944.24
1.56x + 3.06y + -2.6z <= 463.23
5.0x + -0.1y + -2.45z <= 515.85
-5.26x + 6.68y + -0.81z <= 176.86
7.63x + -6.82y + -0.92z <= 232.97
0.31x + -6.41y + -8.04z <= 416.64
-1.97x + -9.89y + -1.93z <= 573.5
-1.96x + -8.66y + 2.49z <= 595.98
4.35x + -9.41y + -7.14z <= 388.14
-4.74x + 0.06y + 6.18z <= 980.55
2.51x + 9.88y + -3.42z <= 886.85
0.04x + -3.87y + 5.66z <= 210.79
-8.49x + 2.78y + -3.04z <= 936.54
5.66x + 5.63y + -6.52z <= 366.81
1.36x + -0.72y + 8.47z <= 602.54
3.42x + -2.75y + -8.28z <= 471.54
4.51x + 6.16y + -8.17z <= 738.12
-1.81x + 2.79y + 8.55z <= 295.26
2.3x + -6.34y + -4.7z <= 307.98
7.61x + 2.45y + 9.31z <= 373.08
-4.16x + -4.01y + 5.17z <= 194.52
8.29x + -5.88y + 8.62z <= 247.6
4.14x + 9.33y + 1.64z <= 140.78
5.94x + -3.77y + -7.92z <= 433.15
5.73x + 1.37y + -0.39z <= 365.78
6.97x + 1.72y + 9.67z <= 580.93
-3.39x + 4.08y + -7.21z <= 577.7
8.39x + -4.32y + 4.44z <= 385.67
-7.96x + 0.78y + -2.6z <= 740.61
-1.54x + 8.37y + 5.54z <= 699.61
-1.49x + -2.31y + -5.94z <= 718.04
-6.86x + -3.58y + 4.94z <= 963.54
-7.17x + 3.45y + 0.45z <= 581.29
-6.11x + 7.05y + 9.11z <= 552.06
-4.05x + 0.33y + -7.95z <= 640.24
9.67x + -8.07y + -9.63z <= 685.52
-2.55x + 1.97y + -3.7z <= 681.01
2.24x + 3.22y + -7.95z <= 674.19
3.42x + -1.15y + -1.63z <= 388.29
6.43x + -7.1y + 0.68z <= 196.47
2.83x + 7.2y + 8.87z <= 212.67
-1.22x + 4.69y + -4.51z <= 405.85
-7.73x + -4.46y + 1.68z <= 188.93
-8.26x + 2.82y + -6.14z <= 390.45
5.73x + -9.1y + 1.43z <= 377.42
7.38x + -4.51y + 2.48z <= 974.22
6.93x + -8.78y + 8.43z <= 840.52
7.36x + -8.31y + 8.46z <= 304.76
2.72x + -9.06y + -3.37z <= 402.01
-0.48x + 7.43y + -8.54z <= 592.57
2.4x + 8.88y + -0.24z <= 533.54
5.77x + -3.08y + -2.3z <= 925.36
-3.43x + 8.27y + 5.88z <= 465.24
-2.97x + -1.29y + -7.7z <= 387.54
4.8x + -8.35y + 8.47z <= 816.83
9.29x + 2.7y + -6.97z <= 170.34
-0.58x + -7.11y + -3.71z <= 140.14
-7.06x + -5.43y + 6.45z <= 897.69
2.34x + -7.4y + 1.51z <= 626.37
1.3x + -6.88y + -4.02z <= 191.59
5.54x + -6.7y + -7.12z <= 600.37
-7.77x + 4.41y + 1.52z <= 389.66
5.13x + -4.48y + 9.74z <= 537.03
-9.04x + -0.99y + -6.69z <= 116.51
-3.1x + -2.88y + 7.94z <= 915.7
7.11x + 6.5y + -9.34z <= 928.57
5.74x + -8.07y + -9.99z <= 282.12
1.28x + -1.24y + 9.8z <= 337.85
6.16x + 0.51y + -3.07z <= 520.9
7.42x + -4.24y + 8.11z <= 942.29
-1.82x + -1.27y + -2.6z <= 998.26
-5.16x + -0.34y + -3.47z <= 956.54
8.28x + -3.15y + 2.7z <= 471.84
9.43x + -7.54y + -8.5z <= 813.75
-6.25x + -7.27y + 4.26z <= 732.32
-3.78x + 1.08y + -6.5z <= 468.05
5.84x + 9.11y + -9.33z <= 643.36
-1.46x + -0.45y + 6.68z <= 491.64
-6.03x + 2.78y + 0.56z <= 471.38
-9.51x + 0.7y + -5.39z <= 967.31
-5.51x + -6.28y + -3.81z <= 105.95
-3.64x + 0.81y + 5.7z <= 994.06
-2.78x + -4.12y + -0.31z <= 935.4
-2.7x + 8.72y + 4.39z <= 721.15
-5.93x + 9.4y + 6.77z <= 384.66
-6.51x + 6.06y + -3.42z <= 404.84
2.59x + 3.04y + -1.73z <= 749.13
1.17x + -7.98y + -5.49z <= 746.17
3.84x + 0.4y + 1.87z <= 815.77
9.46x + 0.79y + 7.59z <= 445.09
-4.31x + 2.11y + 3.07z <= 744.02
0.61x + 6.83y + -9.98z <= 321.51
3.68x + 9.89y + -0.47z <= 228.31
2.68x + -7.77y + 2.32z <= 760.88
1.82x + -1.87y + -7.02z <= 704.83
-8.42x + 1.62y + 3.49z <= 780.42
5.82x + -8.16y + -7.02z <= 624.33
3.45x + -5.71y + -8.28z <= 887.71
-4.26x + -0.81y + 7.38z <= 906.24
6.44x + 6.1y + -9.77z <= 758.2
3.53x + -4.31y + 7.61z <= 931.94
6.2x + 3.49y + -2.31z <= 979.26
8.42x + 5.7y + -7.57z <= 932.36
6.14x + -9.76y + -7.1z <= 213.48
-4.98x + -5.05y + -5.15z <= 410.11
-7.3x + 4.88y + -9.77z <= 108.13
-2.25x + 1.79y + 3.32z <= 307.07
-5.6x + -4.15y + 1.91z <= 937.82
5.04x + -0.04y + -1.1z <= 382.23
3.97x + 1.31y + 6.82z <= 911.96
-5.35x + 1.95y + -2.98z <= 759.92
-8.27x + -7.88y + 3.98z <= 560.54
7.56x + 0.9y + -8.69z <= 910.0
-8.32x + 5.8y + 4.41z <= 651.73
-0.3x + -3.63y + -2.41z <= 843.91
7.36x + -6.29y + 5.42z <= 331.98
-2.36x + 8.63y + 5.89z <= 610.69
5.41x + 8.25y + 7.45z <= 516.53
-7.74x + -1.15y + 7.52z <= 739.76
-4.05x + -5.18y + 9.19z <= 562.83
7.38x + 5.33y + -3.64z <= 294.37
-1.94x + 8.6y + -2.51z <= 247.63
7.73x + 1.1y + 6.67z <= 363.91
6.56x + 0.95y + -6.35z <= 553.62
-0.17x + -3.94y + -1.63z <= 388.48
0.84x + 4.76y + 0.68z <= 357.77
-7.64x + -3.36y + 5.86z <= 917.59
-9.27x + 3.31y + 2.8z <= 407.28
6.91x + -8.32y + -6.38z <= 567.37
3.15x + 7.0y + 2.83z <= 327.2
-0.55x + -6.82y + -4.14z <= 927.01
-6.61x + -4.51y + -0.29z <= 560.11
0.73x + 0.84y + -3.75z <= 682.36
6.7x + -0.28y + 5.95z <= 336.88
-2.58x + 8.76y + 2.64z <= 225.45
-6.1x + 7.22y + 4.2z <= 311.42
-2.77x + 8.32y + -0.07z <= 164.4
-6.47x + -8.66y + 3.72z <= 717.49
-5.43x + -3.31y + 7.46z <= 376.86
6.43x + 7.18y + -8.68z <= 688.76
8.67x + 3.7y + -0.37z <= 892.11
-9.13x + 8.03y + -6.77z <= 645.15
3.99x + 2.77y + 6.07z <= 491.95
-5.85x + -7.54y + 4.35z <= 914.28
-4.6x + -2.62y + -2.5z <= 436.76
-9.66x + 7.15y + 1.96z <= 916.34
-8.26x + 7.52y + -2.61z <= 218.54
2.13x + -4.23y + 9.08z <= 395.75
-7.04x + -4.95y + 4.84z <= 950.41
1.68x + -8.71y + -7.8z <= 343.84
-5.37x + 5.24y + -0.1z <= 150.26
0.37x + 0.15y + -6.37z <= 396.61
7.53x + -1.04y + 2.14z <= 668.65
3.23x + -9.12y + -4.43z <= 596.98
8.08x + -6.3y + -0.76z <= 456.56
2.56x + 5.3y + 7.22z <= 481.05
3.11x + 3.89y + 2.47z <= 424.26
5.51x + 1.87y + 6.21z <= 173.77
-1.92x + 9.65y + 6.36z <= 425.56
6.31x + 6.02y + 5.9z <= 575.49
2.02x + -0.28y + -1.55z <= 806.16
-6.94x + -1.94y + -9.7z <= 719.75
-6.6x + 7.19y + -7.51z <= 200.02
-2.28x + 1.07y + 9.54z <= 435.19
6.27x + 1.57y + -7.11z <= 602.18
-5.07x + -5.2y + -3.05z <= 851.48
1.49x + -0.57y + -8.16z <= 230.49
6.28x + 7.08y + -7.91z <= 282.78
-9.86x + 4.79y + -7.92z <= 435.59
5.31x + 5.52y + -1.46z <= 790.14
-0.03x + -4.23y + 0.83z <= 660.2
0.74x + 2.5y + -1.13z <= 326.76
-0.46x + -3.29y + 1.84z <= 411.17
5.06x + 0.53y + -9.51z <= 657.77
-6.19x + 0.54y + -0.88z <= 534.01
7.09x + -8.69y + 9.74z <= 636.55
7.14x + -9.82y + 6.85z <= 229.65
-8.71x + -2.45y + -8.29z <= 763.02
-2.86x + -7.38y + -9.73z <= 515.24
1.85x + -5.97y + 4.76z <= 371.06
-4.49x + -4.87y + -5.03z <= 770.11
0.27x + -5.67y + -1.53z <= 939.31
6.01x + -7.05y + -8.95z <= 722.01
6.91x + -6.62y + 6.19z <= 342.94
2.62x + -0.91y + 2.48z <= 448.24
5.06x + -5.17y + 2.98z <= 441.59
2.04x + -4.94y + -6.69z <= 913.4
-8.84x + 1.53y + -8.46z <= 704.95
3.88x + -5.75y + 1.01z <= 784.59
4.98x + 7.03y + 4.45z <= 529.03
-8.92x + -5.73y + -7.3z <= 592.3
-9.77x + -3.56y + -9.83z <= 465.17
-6.08x + 6.69y + -1.01z <= 207.87
7.11x + -6.86y + 0.83z <= 946.99
-5.41x + 8.39y + -3.89z <= 258.43
-9.18x + -6.29y + 3.51z <= 299.75
7.23x + 5.42y + 0.21z <= 143.23
7.0x + 9.12y + 5.55z <= 926.24
7.41x + 2.96y + -6.87z <= 113.18
-5.77x + 7.7y + 1.81z <= 565.13
0.6x + -8.87y + -5.46z <= 285.21
-9.34x + 3.72y + -7.6z <= 129.23
0.56x + -0.96y + 1.75z <= 671.63
7.68x + 4.74y + 2.05z <= 800.93
6.32x + 1.28y + 8.68z <= 515.32
5.95x + 1.35y + -3.01z <= 484.73
7.62x + 9.33y + -0.23z <= 293.58
1.94x + 7.34y + -7.89z <= 213.92
9.4x + 6.97y + 9.36z <= 224.83
-2.17x + 1.55y + 8.58z <= 567.83
2.78x + -8.44y + 5.47z <= 952.79
-4.48x + 6.99y + 6.28z <= 912.09
2.44x + 2.82y + -4.62z <= 860.21
9.31x + 8.95y + -3.99z <= 429.57
-1.42x + 6.47y + -8.5z <= 168.49
3.1x + 7.2y + -5.98z <= 230.87
8.77x + 8.54y + -4.09z <= 284.5
-9.63x + -4.81y + -1.73z <= 538.11
8.86x + -5.95y + -3.84z <= 479.35
9.06x + -6.51y + 1.82z <= 374.52
-7.6x + 5.45y + 7.64z <= 354.16
-7.09x + -0.54y + -7.91z <= 602.58
-7.63x + -7.47y + -0.7z <= 680.12
-4.59x + -5.75y + 0.76z <= 628.77
0.88x + -2.61y + -0.28z <= 101.73
7.04x + -4.76y + -2.65z <= 138.49
-2.4x + 5.07y + 9.98z <= 405.82
-4.07x + -4.48y + -4.55z <= 462.02
-0.7x + -8.26y + -1.55z <= 291.55
-3.17x + 6.57y + -6.58z <= 854.3
0.92x + -9.51y + -1.64z <= 793.73
0.15x + -1.34y + 4.04z <= 108.37
-5.5x + 3.41y + 4.09z <= 457.33
-3.84x + -6.91y + -4.63z <= 657.8
9.27x + 5.96y + -9.84z <= 791.43
-5.26x + 5.95y + 5.35z <= 406.78
-4.69x + 7.18y + 3.63z <= 563.46
0.41x + -4.2y + -6.26z <= 969.79
6.72x + 3.88y + -9.31z <= 265.86
7.25x + 0.37y + -7.18z <= 703.9
0.98x + -8.74y + 8.89z <= 279.47
4.68x + 0.07y + -4.31z <= 691.2
-6.86x + -2.03y + -5.75z <= 670.34
-2.63x + 4.56y + -0.08z <= 215.44
-3.47x + -5.22y + 6.26z <= 839.4
-6.0x + 2.8y + -0.81z <= 597.98
2.11x + -6.83y + -4.22z <= 896.68
7.39x + 4.17y + 7.46z <= 251.51
3.53x + 6.28y + -0.15z <= 787.0
5.21x + 0.38y + -4.87z <= 261.0
-2.22x + 8.47y + -2.57z <= 723.47
-3.08x + -1.61y + -6.99z <= 288.65
9.08x + -9.98y + -6.9z <= 603.28
-0.76x + -9.29y + 7.92z <= 592.8
7.4x + 4.24y + -7.79z <= 775.55
-1.97x + -7.71y + -6.22z <= 215.05
-0.57x + -1.28y + -9.35z <= 977.04
0.1x + 0.51y + -6.0z <= 565.22
-5.39x + 1.87y + -2.99z <= 486.5
5.15x + -6.9y + -7.32z <= 223.28
2.15x + 1.01y + -1.12z <= 599.16
1.89x + 1.05y + 0.19z <= 477.22
5.6x + 7.36y + -8.72z <= 321.17
-1.9x + 3.94y + -4.42z <= 818.32
3.64x + 9.46y + 7.23z <= 619.84
-8.36x + -9.35y + -9.38z <= 834.68
0.21x + -1.31y + 9.43z <= 152.68
0.36x + 1.99y + 1.84z <= 433.13
-2.18x + -7.21y + 4.89z <= 841.6
7.42x + -6.38y + -0.56z <= 645.46
-2.92x + -3.48y + -3.88z <= 446.96
-6.95x + -1.04y + -7.63z <= 599.51
2.06x + -7.66y + 8.2z <= 674.76
8.34x + -8.74y + 2.9z <= 712.05
-0.78x + -8.66y + -1.52z <= 629.37
3.39x + 5.84y + 4.08z <= 178.25
9.11x + 3.52y + -5.4z <= 590.01
6.72x + 6.98y + -1.34z <= 674.02
1.14x + -1.09y + -8.63z <= 254.15
2.93x + -4.64y + -4.88z <= 654.65
8.59x + 1.15y + 3.7z <= 325.71
-2.29x + -8.05y + 9.35z <= 439.59
-1.67x + -8.84y + 0.59z <= 819.06
-5.01x + -3.93y + -9.82z <= 587.46
-5.48x + -3.33y + -1.12z <= 790.55
-4.28x + -5.96y + 9.31z <= 391.49
-6.16x + -8.08y + -0.8z <= 285.68
-6.81x + 8.33y + -0.19z <= 187.78
-3.0x + -1.0y + -5.47z <= 834.81
9.7x + 2.56y + 2.44z <= 206.75
-2.75x + 8.99y + 1.75z <= 112.22
-7.43x + -3.77y + -8.39z <= 193.23
-8.81x + 8.84y + 1.05z <= 361.55
5.52x + 8.33y + -4.63z <= 353.95
-9.14x + 3.24y + 9.84z <= 785.77
2.14x + -0.88y + -6.66z <= 994.81
9.48x + -2.85y + -5.53z <= 735.19
-3.54x + -5.16y + -0.28z <= 203.57
-0.33x + -5.5y + 7.88z <= 383.47
2.57x + -6.64y + -7.95z <= 545.51
-7.44x + 6.77y + 7.74z <= 879.43
-8.48x + -3.19y + -8.44z <= 862.18
-3.7x + -3.78y + -5.44z <= 975.4
5.27x + -4.14y + 7.08z <= 853.41
9.74x + -0.33y + 0.68z <= 477.46
-9.2x + -9.64y + 9.6z <= 126.65
-3.28x + 8.35y + 7.81z <= 996.02
4.18x + -3.53y + 8.59z <= 898.67
2.61x + -8.28y + 3.9z <= 160.38
4.44x + 0.21y + 9.09z <= 789.98
-8.01x + -4.37y + -8.44z <= 877.12
3.79x + -4.56y + -2.56z <= 887.07
-0.32x + 5.75y + 2.8z <= 105.27
-9.53x + -7.38y + 8.73z <= 388.94
4.11x + -6.27y + -1.45z <= 191.85
-2.92x + -0.58y + 3.62z <= 157.33
-4.23x + 0.57y + -7.95z <= 633.01
-2.92x + -6.37y + 2.07z <= 604.42
-4.28x + 8.42y + -2.87z <= 405.76
-1.92x + -4.57y + 2.25z <= 887.37
-4.77x + 2.82y + -5.75z <= 822.81
2.12x + -8.65y + -5.67z <= 140.74
7.71x + -5.91y + -0.94z <= 923.59
-3.26x + -9.9y + 6.26z <= 181.91
8.6x + 5.26y + -6.31z <= 479.35
-2.14x + 5.74y + 4.6z <= 977.16
9.83x + -0.03y + 8.94z <= 810.69
-1.02x + 3.06y + 4.45z <= 110.84
6.88x + -7.59y + -9.89z <= 583.72
-8.34x + 4.0y + 4.02z <= 196.95
-3.88x + -4.04y + -5.6z <= 955.14
2.42x + -1.89y + 6.54z <= 123.11
6.99x + -2.54y + -4.12z <= 519.71
-3.51x + 0.19y + 0.07z <= 583.94
8.9x + -4.5y + 6.6z <= 309.05
8.52x + 3.2y + -8.9z <= 962.74
-4.1x + -3.96y + -2.26z <= 250.76
9.29x + -0.41y + 6.81z <= 161.37
-2.64x + -6.08y + 7.71z <= 763.28
1.39x + 6.53y + -3.59z <= 537.09
-7.15x + 5.93y + -8.72z <= 640.42
7.54x + -3.56y + 7.34z <= 243.11
2.75x + 4.84y + -9.97z <= 755.97
-0.91x + -3.92y + -8.8z <= 428.76
-7.91x + -7.04y + 8.49z <= 183.44
0.34x + -9.42y + 3.35z <= 115.93
9.06x + -7.62y + -6.66z <= 261.46
3.54x + 2.44y + 4.01z <= 270.48
-4.08x + -0.91y + 9.29z <= 212.92
-5.52x + 3.01y + 9.44z <= 706.07
-6.18x + -4.2y + -4.67z <= 757.39
-6.13x + 6.1y + 0.51z <= 839.51
-4.14x + -1.33y + -2.1z <= 990.18
7.02x + 3.51y + 4.44z <= 932.81
4.16x + 5.97y + 0.23z <= 818.91
2.14x + -2.1y + -7.14z <= 754.79
4.96x + 4.25y + 3.2z <= 542.36
-9.28x + 2.45y + -1.78z <= 537.74
-4.87x + 2.58y + -6.99z <= 722.6
4.22x + 9.49y + -8.05z <= 475.4
-1.01x + 6.88y + -1.26z <= 835.5
1.47x + -5.26y + 7.2z <= 434.05
-8.75x + 8.38y + -4.15z <= 162.19
-0.47x + -0.86y + 0.11z <= 810.0
-2.35x + 3.19y + -4.33z <= 806.08
-5.1x + -0.66y + 2.96z <= 481.3
7.9x + 5.29y + -0.81z <= 135.78
5.2x + -4.5y + 9.8z <= 277.25
-5.14x + -2.74y + -0.59z <= 378.68
8.57x + -8.86y + 3.01z <= 709.5
-4.29x + -8.44y + 9.68z <= 210.61
1.63x + -3.86y + -3.79z <= 126.55
5.99x + 4.52y + -9.89z <= 291.65
7.77x + 8.45y + 4.72z <= 323.31
1.69x + -7.07y + 6.78z <= 352.03
-2.23x + -0.34y + -4.67z <= 687.58
-4.03x + 1.19y + -6.81z <= 749.24
6.82x + -0.91y + -1.8z <= 449.52
3.39x + -0.76y + 3.36z <= 739.54
8.62x + -2.62y + 8.43z <= 902.55
6.06x + 5.73y + -7.6z <= 292.98
4.27x + 1.55y + 1.35z <= 737.47
1.01x + -6.1y + 1.03z <= 147.89
-2.52x + -8.7y + 0.24z <= 913.46
7.8x + -9.86y + -0.45z <= 166.35
-7.54x + -7.96y + -0.9z <= 598.37
-6.86x + -7.31y + 5.41z <= 601.44
4.27x + -0.02y + 9.61z <= 552.93
-7.72x + 0.76y + 7.34z <= 433.91
-3.22x + 7.13y + -0.66z <= 574.07
5.78x + -2.1y + -7.06z <= 569.37
1.16x + 5.49y + -0.17z <= 596.27
7.11x + -3.05y + -8.13z <= 358.75
0.08x + 7.26y + 3.35z <= 780.01
-8.4x + -2.28y + -8.52z <= 987.77
-9.83x + -8.48y + 6.49z <= 378.7
6.54x + -8.57y + -0.29z <= 342.75
6.96x + -7.9y + 5.92z <= 934.85
-8.48x + -9.58y + 3.94z <= 395.14
-7.82x + 8.58y + 7.55z <= 895.01
8.23x + 5.71y + -1.39z <= 272.16
2.14x + -7.24y + 1.71z <= 277.33
5.91x + 5.08y + 4.62z <= 444.59
-7.07x + 6.46y + 9.18z <= 330.36
-1.92x + 3.69y + 1.94z <= 240.4
-7.19x + -2.47y + 1.6z <= 875.65
-9.0x + -7.29y + -9.37z <= 244.69
9.73x + 0.66y + -4.71z <= 632.55
3.71x + 9.88y + -4.88z <= 470.28
-7.19x + -0.14y + -8.96z <= 216.72
-3.91x + 4.13y + -7.07z <= 283.03
3.54x + -0.57y + -6.85z <= 711.34
3.6x + 6.27y + 6.24z <= 107.79
8.5x + 4.8y + -8.65z <= 850.47
-3.46x + 0.63y + -7.12z <= 966.52
6.24x + -5.38y + -6.76z <= 227.52
-3.61x + -6.19y + -5.49z <= 656.86
-8.45x + 1.01y + 4.9z <= 579.73
0.94x + -0.64y + 5.26z <= 856.04
-1.7x + 2.81y + -8.92z <= 214.19
-8.99x + 2.12y + -5.03z <= 119.21
-1.17x + -3.54y + -9.54z <= 249.15
5.72x + -4.05y + 3.89z <= 978.05
-5.93x + -1.21y + -3.86z <= 431.94
-4.75x + -5.24y + 5.92z <= 311.08
8.75x + 2.09y + -3.48z <= 758.84
-6.24x + -2.8y + 5.13z <= 495.61
4.84x + 0.31y + -6.47z <= 287.85
-0.93x + -5.87y + -5.21z <= 140.65
7.39x + -2.0y + -9.32z <= 918.34
-2.18x + 9.83y + -1.38z <= 841.77
-1.42x + 4.31y + -7.19z <= 763.09
-9.31x + 4.39y + -0.39z <= 201.13
-7.51x + -4.76y + 1.27z <= 628.3
1.35x + 1.85y + 9.56z <= 797.86
-6.42x + 0.3y + -2.62z <= 205.66
-5.57x + -8.22y + 9.11z <= 877.79
-7.47x + -6.37y + 7.46z <= 821.47
-1.29x + -2.54y + -4.83z <= 935.46
1.6x + 8.02y + 7.69z <= 580.78
4.19x + 6.15y + -1.9z <= 423.66
3.48x + 3.85y + -0.61z <= 990.71
1.8x + 2.46y + 6.58z <= 530.62
-0.32x + -1.68y + 5.12z <= 943.22
-4.94x + -7.94y + 1.53z <= 178.71
-7.34x + -6.54y + -4.0z <= 467.95
-5.03x + 2.88y + -8.22z <= 292.7
5.21x + 8.47y + -6.1z <= 117.86
2.41x + -8.82y + 0.5z <= 610.2
7.98x + 0.93y + 6.94z <= 835.38
-9.65x + 7.37y + -3.44z <= 160.42
-5.78x + -5.78y + 3.05z <= 340.11
1.53x + -9.88y + -3.06z <= 204.37
3.15x + 9.98y + 6.69z <= 550.87
5.72x + 4.68y + -7.65z <= 442.73
-8.16x + 5.74y + -1.87z <= 874.14
-1.7x + 3.78y + 4.07z <= 217.66
-6.06x + -5.1y + 0.25z <= 616.35
-2.16x + 9.94y + 4.75z <= 937.96
8.57x + -4.52y + -8.4z <= 973.21
2.63x + -1.92y + -4.74z <= 833.77
-0.85x + -1.24y + -1.93z <= 215.45
-1.42x + 2.4y + 2.16z <= 694.75
0.87x + -5.87y + -7.99z <= 718.14
-8.44x + 3.46y + -3.21z <= 932.48
-3.29x + -0.96y + -5.0z <= 268.94
-7.06x + -7.83y + 6.7z <= 209.09
-7.4x + -2.99y + -5.82z <= 987.43
5.69x + -9.62y + 1.6z <= 162.72
3.15x + 7.78y + -0.09z <= 448.7
8.87x + -2.65y + -6.48z <= 829.83
-3.31x + -6.2y + -7.26z <= 872.22
-3.19x + -4.74y + -0.68z <= 628.37
-4.08x + 8.19y + 4.02z <= 310.66
-0.48x + -2.21y + 0.16z <= 771.51
-1.58x + -0.48y + -9.27z <= 926.88
-5.9x + -5.13y + -3.14z <= 322.58
6.59x + -7.88y + -7.56z <= 473.13
5.12x + -4.51y + -2.63z <= 822.74
-6.31x + -4.99y + 6.86z <= 107.72
-5.11x + -0.26y + 0.55z <= 787.87
3.65x + -1.64y + -9.18z <= 823.32
-4.29x + -1.14y + 7.26z <= 980.1
8.34x + -1.63y + 4.84z <= 173.89
5.69x + 6.41y + -4.86z <= 955.63
0.48x + -0.57y + -4.15z <= 353.92
8.87x + -0.88y + -0.53z <= 676.17
6.02x + 3.76y + 2.72z <= 259.41
6.25x + -0.48y + 6.87z <= 252.47
5.86x + 3.75y + -3.02z <= 468.29
-0.93x + -8.91y + -4.94z <= 734.45
-3.61x + -1.27y + -5.98z <= 836.03
7.3x + 5.13y + 0.37z <= 118.76
6.14x + -8.25y + -3.51z <= 948.94
-9.27x + -5.06y + -4.44z <= 554.23
-3.08x + 4.89y + -0.21z <= 118.67
-8.91x + 1.09y + -0.33z <= 901.54
-2.85x + -5.37y + -2.34z <= 811.56
-7.41x + 0.41y + -5.86z <= 367.54
0.44x + 9.82y + 3.16z <= 328.15
6.34x + -8.93y + 3.54z <= 503.23
7.09x + -1.89y + -9.06z <= 673.12
4.36x + 9.33y + 6.01z <= 463.01
-1.23x + -4.05y + -9.38z <= 301.79
-5.23x + 7.46y + -3.92z <= 837.19
-4.4x + -6.18y + 9.58z <= 208.75
-0.87x + 4.27y + -0.32z <= 843.12
9.76x + 4.56y + -1.39z <= 845.24
4.36x + -2.07y + -9.18z <= 506.04
1.65x + 7.11y + -8.18z <= 100.66
-9.91x + -7.45y + 4.05z <= 119.17
6.17x + 3.15y + 9.57z <= 508.02
9.46x + 3.0y + -3.09z <= 620.0
7.75x + -5.41y + -4.69z <= 896.17
-4.86x + -3.59y + -1.3z <= 182.64
6.69x + 3.17y + -9.91z <= 660.5
4.98x + -8.42y + 3.88z <= 785.7
3.75x + -9.7y + 0.85z <= 836.2
4.28x + -1.7y + 1.2z <= 614.14
-2.1x + 5.59y + -4.57z <= 268.29
-4.71x + 0.02y + 2.44z <= 117.46
7.66x + -7.55y + -5.23z <= 809.58
0.88x + 9.87y + 1.3z <= 703.97
-6.28x + -9.23y + -3.49z <= 494.73
-2.21x + 8.12y + 0.67z <= 507.14
4.5x + 9.27y + 2.89z <= 139.7
-0.94x + -2.1y + -4.64z <= 567.77
-9.38x + 3.57y + 4.52z <= 701.5
8.64x + 2.92y + -5.01z <= 482.21
-7.31x + -8.07y + 2.57z <= 465.55
-2.74x + -4.35y + 7.2z <= 629.26
4.42x + -8.56y + 7.87z <= 715.62
-8.87x + 2.49y + -2.3z <= 935.71
-9.79x + -2.91y + 9.18z <= 662.37
8.84x + 4.08y + -4.79z <= 652.09
-8.95x + -3.7y + -5.94z <= 469.33
1.09x + -5.57y + -7.36z <= 297.36
0.07x + -2.13y + -0.98z <= 292.6
2.49x + 2.37y + 1.04z <= 252.31
-2.0x + -7.49y + -0.93z <= 794.27
4.42x + 7.34y + -7.91z <= 336.06
7.96x + 6.18y + -7.18z <= 221.07
2.91x + 8.48y + -4.85z <= 512.84
-0.25x + 5.39y + -7.25z <= 379.41
-4.94x + 4.95y + 8.34z <= 279.68
1.57x + -4.5y + 3.02z <= 193.94
-9.37x + 9.99y + 5.55z <= 277.77
-4.57x + 8.9y + -3.22z <= 880.38
6.1x + 5.62y + 9.68z <= 259.03
-2.55x + 8.15y + -3.6z <= 538.5
-9.09x + -1.5y + -8.51z <= 875.56
9.71x + 0.72y + -3.72z <= 757.54
5.48x + 5.67y + -0.66z <= 235.62
0.38x + 4.77y + -2.56z <= 186.2
1.16x + -4.93y + 6.13z <= 116.14
-0.53x + 7.02y + -9.19z <= 306.57
-0.74x + -0.72y + -6.35z <= 770.84
0.75x + -7.63y + -1.97z <= 102.56
0.37x + -5.17y + -6.86z <= 955.0
-7.28x + 8.28y + -5.46z <= 508.7
-0.19x + -2.9y + 0.03z <= 102.11
6.49x + 3.36y + -7.98z <= 132.39
0.63x + 0.81y + -6.99z <= 724.3
-8.51x + -8.11y + -8.43z <= 856.7
6.03x + -5.48y + 2.63z <= 166.55
-1.87x + 5.77y + -6.24z <= 654.69
-9.22x + 5.93y + -7.61z <= 342.89
2.75x + -5.83y + -1.97z <= 146.96
0.36x + -7.32y + -9.42z <= 824.91
6.75x + -2.85y + 2.31z <= 527.02
-5.78x + 4.28y + -7.4z <= 220.24
9.17x + -1.34y + 3.56z <= 353.38
8.9x + 3.65y + -8.31z <= 236.28
-0.4x + 6.74y + -8.19z <= 967.02
-0.55x + -4.71y + -0.18z <= 207.47
1.79x + 0.36y + -4.0z <= 924.39
4.2x + 0.1y + 4.89z <= 976.15
8.62x + 0.87y + 3.55z <= 667.48
1.77x + 1.58y + 8.44z <= 506.91
7.9x + 1.24y + -7.49z <= 731.62
0.27x + -9.73y + 7.88z <= 313.07
7.82x + -6.42y + 9.88z <= 502.09
7.61x + 0.86y + 5.46z <= 538.72
-1.3x + 5.54y + -2.36z <= 628.59
9.54x + -8.23y + 0.26z <= 885.26
8.04x + -8.42y + -9.51z <= 868.3
8.27x + 1.78y + 1.88z <= 406.92
-9.06x + 4.75y + -4.44z <= 949.44
-1.31x + 9.18y + -7.28z <= 276.71
0.6x + -6.88y + 1.7z <= 644.07
6.12x + -8.8y + -0.78z <= 616.51
-5.55x + -1.31y + -3.41z <= 607.93
9.31x + -1.29y + -8.77z <= 695.96
