max -7.92x + -0.77y + -8.39z
-2.47x + -3.41y + 4.93z <= 943.68
9.02x + -7.71y + -2.43z <= 102.5
-4.73x + -0.11y + -9.18z <= 284.41
-0.12x + -3.29y + -4.96z <= 244.74
2.9x + 5.3y + -7.2z <= 270.32
-0.12x + 8.31y + -1.97z <= 585.27
-6.7x + 9.47y + 6.22z <= 691.29
0.55x + 4.63y + -0.56z <= 282.22
9.36x + -8.64y + 2.66z <= 812.77
0.9x + 10.0y + 4.03z <= 237.33
3.13x + 9.44y + 7.16z <= 724.66
7.27x + -6.08y + 7.87z <= 901.62
5.9x + -0.6y + -9.43z <= 809.49
-3.16x + 4.08y + 9.53z <= 753.07
-3.41x + 6.32y + 9.92z <= 948.02
9.69x + -8.81y + 0.15z <= 991.5
-6.92x + -3.79y + -4.98z <= 428.45
-4.05x + 0.27y + -7.32z <= 366.97
-7.95x + -5.2y + -7.08z <= 642.03
-8.48x + -0.3y + 6.58z <= 955.77
-4.88x + -6.23y + -1.48z <= 377.3
8.07x + 3.05y + -1.49z <= 345.86
6.56x + -9.85y + -4.95z <= 591.43
-6.87x + -6.15y + -3.43z <= 914.33
0.82x + -8.17y + -2.05z <= 885.88
-1.92x + 0.91y + 5.51z <= 685.96
-9.73x + 4.68y + -3.45z <= 116.97
1.86x + 6.75y + 0.59z <= 131.37
-4.23x + -9.83y + 5.96z <= 199.99
-3.67x + -6.92y + -4.53z <= 715.58
0.61x + -1.22y + 7.47z <= 962.74
-8.94x + 7.05y + -1.4z <= 545.24
9.56x + 1.54y + 7.59z <= 386.23
-6.24x + -3.32y + -8.12z <= 352.25
9.07x + 9.43y + -7.08z <= 330.57
6.15x + 4.59y + 2.02z <= 211.03
7.52x + 5.72y + 2.85z <= 748.71
-3.9x + -4.12y + 3.58z <= 268.01
4.28x + -0.29y + -5.75z <= 621.76
-9.54x + -5.86y + 6.11z <= 593.0
7.33x + 7.41y + -8.42z <= 831.72
8.38x + 4.68y + -0.72z <= 543.44
-1.69x + -5.83y + 1.06z <= 252.03
-8.82x + 5.2y + -9.6z <= 399.83
-8.4x + -0.09y + 6.39z <= 669.89
-1.17x + 3.74y + -6.06z <= 898.98
-3.42x + -3.2y + 3.2z <= 409.85
-4.52x + 0.38y + -1.22z <= 535.15
-9.68x + -5.6y + -1.03z <= 491.73
1.92x + -3.11y + -6.06z <= 426.97
8.33x + -9.27y + 1.8z <= 835.4
4.77x + 5.69y + 3.77z <= 678.69
-3.2x + 5.0y + 2.56z <= 590.51
3.91x + 0.43y + 0.73z <= 827.61
8.83x + -7.67y + -0.28z <= 499.26
-9.46x + -6.69y + 4.6z <= 791.1
-9.89x + 8.78y + 9.77z <= 344.81
-2.29x + 6.59y + 6.42z <= 174.63
8.49x + 1.55y + -8.62z <= 681.12
-6.22x + -2.25y + -0.75z <= 304.84
4.16x + -3.97y + 5.22z <= 644.94
1.97x + 3.99y + -0.82z <= 194.64
-6.01x + 6.79y + -4.16z <= 639.17
1.18x + -9.46y + 3.84z <= 798.02
5.44x + -3.57y + -6.46z <= 398.44
2.75x + -0.05y + -7.84z <= 256.08
7.07x + -2.32y + -0.16z <= 340.51
5.32x + -5.63y + 1.06z <= 197.88
1.18x + -7.02y + 0.7z <= 658.69
8.45x + -4.38y + -5.61z <= 265.39
-9.23x + -4.95y + -4.6z <= 593.03
-1.21x + -0.39y + -8.66z <= 982.93
-0.02x + -0.81y + -3.17z <= 295.46
-8.03x + 3.21y + -0.64z <= 887.54
-2.29x + 4.68y + -3.12z <= 409.63
-3.88x + 3.5y + 1.14z <= 674.95
-3.58x + -3.36y + 4.38z <= 164.5
-9.12x + -1.14y + 3.85z <= 587.0
6.69x + 6.7y + -9.47z <= 919.18
-3.8x + -2.74y + -6.21z <= 294.84
7.73x + -3.31y + -4.79z <= 872.06
3.33x + -1.44y + 9.54z <= 575.46
-9.38x + -3.81y + 8.8z <= 977.7
-1.87x + 7.39y + 1.01z <= 310.47
-8.13x + 1.27y + -9.31z <= 882.37
-5.87x + 2.51y + -3.78z <= 256.77
-6.33x + 4.08y + 1.66z <= 315.94
4.66x + -0.55y + -1.6z <= 477.61
3.54x + -2.37y + -3.74z <= 191.31
-6.1x + -1.72y + -9.58z <= 718.6
9.47x + 3.88y + 7.68z <= 416.84
5.56x + -6.35y + 1.93z <= 233.95
4.13x + 4.65y + -2.03z <= 118.48
2.8x + 3.91y + -1.07z <= 257.18
2.65x + -9.69y + 2.87z <= 632.6
-1.53x + -1.82y + -9.91z <= 656.28
-2.45x + -2.93y + -3.32z <= 246.93
-6.79x + 7.99y + -7.32z <= 946.92
-8.2x + -6.33y + 0.41z <= 758.52
3.72x + -8.63y + 1.89z <= 128.26
0.84x + -7.82y + -3.08z <= 530.52
6.96x + 0.43y + 2.51z <= 469.78
0.68x + 6.36y + -1.32z <= 842.81
-9.85x + 2.16y + -5.43z <= 736.74
-8.16x + 9.83y + -5.75z <= 985.25
6.04x + 5.36y + -0.86z <= 670.82
-9.87x + -9.4y + -7.38z <= 249.29
-0.37x + -2.73y + 6.47z <= 326.16
1.79x + 7.9y + 4.77z <= 561.94
-6.58x + 5.98y + -8.44z <= 227.06
-8.43x + -3.44y + -6.87z <= 656.87
6.86x + -5.23y + -7.13z <= 915.37
-3.48x + 2.46y + 3.84z <= 161.81
8.01x + -8.25y + -3.35z <= 484.13
7.6x + 3.07y + 1.6z <= 312.57
1.62x + 8.25y + -3.64z <= 493.06
-3.13x + 0.19y + -9.63z <= 674.29
1.07x + 9.73y + -0.95z <= 353.54
3.16x + -5.24y + -9.3z <= 489.38
-7.93x + -4.2y + -4.94z <= 561.15
-6.81x + -9.47y + -3.04z <= 366.16
7.37x + 1.99y + -1.05z <= 863.17
-9.09x + 6.18y + 3.23z <= 632.19
-5.19x + 2.41y + 8.86z <= 745.19
2.69x + -3.35y + 3.02z <= 906.18
9.52x + 1.62y + 4.63z <= 461.42
-8.78x + -6.45y + -1.3z <= 603.9
0.63x + 8.67y + 7.36z <= 660.52
7.15x + 5.27y + -1.74z <= 549.42
-1.1x + 7.06y + -6.15z <= 767.71
5.62x + 7.47y + -0.44z <= 454.3
-6.51x + 3.67y + -6.27z <= 112.89
-6.51x + 8.11y + -6.21z <= 665.06
-6.87x + -7.56y + -3.33z <= 865.93
-1.41x + 4.66y + 3.4z <= 734.36
9.94x + 8.9y + 1.35z <= 562.74
-0.49x + 0.06y + 5.61z <= 355.04
-0.41x + 0.55y + -9.36z <= 692.4
6.23x + -6.42y + 6.25z <= 565.93
2.07x + -2.48y + 3.7z <= 377.96
2.21x + -5.94y + -0.11z <= 624.57
0.4x + -5.2y + -2.96z <= 742.84
7.65x + 2.72y + 6.56z <= 861.25
1.87x + -4.91y + -5.35z <= 751.91
-4.52x + -5.88y + -0.57z <= 627.04
-0.47x + 6.92y + -0.57z <= 267.51
7.94x + 8.29y + -3.86z <= 792.03
-3.34x + 8.86y + -9.21z <= 470.8
5.08x + 8.99y + -0.71z <= 476.59
-7.29x + 2.93y + 4.02z <= 374.89
-9.8x + 3.88y + -8.11z <= 475.72
-4.16x + -2.24y + -0.45z <= 651.21
9.75x + -6.0y + 6.41z <= 602.49
7.58x + 5.34y + 6.67z <= 624.65
-9.55x + 0.37y + 6.65z <= 172.69
7.6x + -1.52y + -3.33z <= 288.36
4.03x + 8.47y + 2.54z <= 973.86
-1.44x + -0.31y + -9.43z <= 258.0
1.15x + -7.72y + -2.96z <= 743.02
-3.89x + -8.12y + 0.8z <= 848.02
2.08x + -8.95y + -4.42z <= 601.14
-9.83x + -9.17y + 8.08z <= 457.92
7.43x + -3.73y + 3.2z <= 945.99
6.47x + 2.88y + 4.46z <= 297.41
3.08x + -0.11y + 4.36z <= 956.8
-6.45x + -1.36y + -0.48z <= 573.73
-3.09x + 3.9y + -7.68z <= 797.98
2.9x + 3.35y + 9.83z <= 184.67
-5.94x + 0.51y + 6.38z <= 812.75
-9.83x + 9.59y + 5.4z <= 541.51
4.61x + -2.93y + 2.6z <= 896.65
9.54x + 1.31y + 7.53z <= 666.9
-7.09x + -0.54y + -4.02z <= 358.12
-4.24x + -8.74y + 6.37z <= 152.84
9.05x + -0.86y + 4.93z <= 671.41
-4.58x + -1.55y + 3.16z <= 802.34
-5.06x + 6.66y + 2.13z <= 874.23
-1.31x + 5.39y + -1.35z <= 580.08
-9.2x + 8.71y + 6.02z <= 679.85
1.4x + 6.73y + 9.57z <= 110.29
9.33x + 0.48y + 2.61z <= 935.4
4.86x + 7.49y + 9.18z <= 718.46
6.5x + -9.68y + -2.87z <= 205.01
-7.95x + 2.91y + 7.99z <= 391.58
4.44x + -6.89y + -2.94z <= 211.32
-3.17x + 3.0y + 7.03z <= 218.62
-0.11x + 5.48y + 7.32z <= 130.09
8.4x + 1.94y + -0.91z <= 907.68
-8.1x + -4.68y + 5.76z <= 164.39
6.45x + 7.1y + 3.24z <= 212.62
-7.9x + -3.56y + 6.12z <= 830.11
-9.46x + 9.4y + -6.89z <= 869.34
4.17x + 6.47y + -4.84z <= 986.34
4.91x + -5.57y + -2.33z <= 371.5
9.56x + -8.01y + -5.58z <= 922.88
-4.31x + -3.47y + -4.16z <= 801.99
6.81x + 7.61y + -7.53z <= 929.72
9.56x + -3.96y + -1.81z <= 276.02
-5.64x + 9.09y + -1.29z <= 589.19
5.4x + 1.14y + 7.48z <= 531.01
-9.33x + 1.58y + -3.62z <= 774.76
7.43x + -1.52y + -9.45z <= 860.32
5.54x + 5.71y + 9.57z <= 630.05
1.73x + -5.32y + -6.86z <= 301.46
-2.88x + -4.0y + -7.41z <= 647.7
-1.37x + 1.1y + 6.51z <= 471.12
-5.39x + -1.54y + 1.75z <= 100.16
7.88x + 0.16y + 2.42z <= 870.79
7.47x + 8.46y + -0.49z <= 323.76
6.68x + 8.23y + -5.23z <= 125.42
-1.72x + -1.57y + -5.32z <= 796.96
5.05x + -9.62y + 6.0z <= 968.44
-3.64x + -7.53y + 8.85z <= 252.3
-0.47x + 3.69y + -9.52z <= 801.29
-7.55x + -1.11y + 1.18z <= 269.34
-6.43x + -9.45y + -2.93z <= 358.2
0.03x + -8.31y + 5.5z <= 637.42
0.3x + -8.51y + 2.73z <= 772.42
-8.07x + -7.74y + -5.64z <= 571.22
8.54x + -6.08y + 2.28z <= 322.35
-7.29x + -5.58y + -4.77z <= 247.12
-3.05x + -9.84y + -7.93z <= 443.9
-1.95x + 7.45y + 7.56z <= 763.74
-7.83x + 1.28y + 1.59z <= 184.87
-7.12x + -5.13y + -0.99z <= 602.58
-7.95x + 0.85y + -0.64z <= 885.37
-8.19x + 2.7y + 2.72z <= 139.2
-7.37x + 7.25y + 1.6z <= 227.0
0.25x + -4.42y + -7.86z <= 396.25
-4.58x + 7.02y + 3.04z <= 157.39
-9.54x + 4.97y + -3.9z <= 154.72
0.88x + -3.05y + 9.32z <= 608.6
-4.51x + -2.65y + 2.5z <= 242.67
9.06x + 3.71y + 2.98z <= 760.78
-7.12x + 2.72y + -5.46z <= 919.69
-9.65x + 8.39y + 8.29z <= 858.23
0.39x + 4.95y + -5.3z <= 822.45
7.69x + 8.39y + 0.07z <= 858.03
0.05x + -1.9y + 8.3z <= 435.14
2.85x + 1.39y + -6.78z <= 156.84
1.24x + 3.93y + 4.79z <= 211.13
-2.29x + -3.01y + 2.09z <= 957.46
-2.63x + 4.42y + -6.93z <= 608.67
-7.14x + 3.33y + -9.51z <= 387.6
-4.27x + -1.51y + 4.73z <= 578.02
-7.73x + 1.38y + 1.69z <= 849.18
-6.43x + -9.78y + 6.78z <= 897.84
-7.41x + -8.65y + 4.1z <= 734.62
9.1x + 4.95y + 1.27z <= 808.04
5.91x + -3.92y + 5.87z <= 390.51
2.99x + 0.23y + -5.99z <= 426.44
-5.98x + -9.38y + 4.53z <= 370.32
-4.95x + -5.45y + -8.27z <= 603.85
-9.96x + 4.13y + -1.66z <= 703.9
9.28x + 4.47y + 6.59z <= 171.03
-2.14x + -6.99y + 5.86z <= 929.87
-1.26x + -2.88y + -6.2z <= 870.41
-9.88x + 0.23y + -8.78z <= 549.41
-5.15x + -5.86y + 1.38z <= 667.45
6.72x + -8.92y + 0.51z <= 809.18
7.35x + -8.36y + -2.29z <= 213.88
-0.87x + -9.92y + -6.33z <= 579.98
-4.99x + -9.39y + 7.87z <= 721.46
-3.49x + 8.03y + -6.58z <= 340.03
-6.11x + 3.22y + -6.66z <= 250.13
-0.69x + -7.57y + -2.82z <= 361.47
7.06x + -3.3y + 4.14z <= 911.3
9.47x + -2.99y + 1.93z <= 313.57
3.52x + -2.12y + -8.01z <= 596.54
-4.25x + 5.51y + 8.51z <= 987.1
-5.1x + 7.86y + -6.25z <= 846.75
4.44x + 0.29y + 9.01z <= 138.23
-7.46x + -6.33y + -5.34z <= 293.72
9.87x + 9.32y + 3.19z <= 989.03
-6.25x + -7.36y + 7.23z <= 645.55
-4.92x + -6.51y + 2.99z <= 765.13
-4.13x + -2.31y + 5.27z <= 165.04
4.07x + 3.07y + 1.46z <= 211.71
1.62x + 8.17y + -6.42z <= 742.69
-8.21x + 3.9y + -3.28z <= 719.05
4.21x + -5.41y + 4.26z <= 824.69
-8.89x + -9.56y + 7.27z <= 244.32
5.13x + -7.37y + 9.83z <= 297.41
4.62x + 7.58y + -3.88z <= 569.43
-0.49x + -5.05y + 5.04z <= 294.33
3.76x + -4.86y + -3.98z <= 651.33
-9.06x + 2.23y + 7.52z <= 256.11
5.79x + -3.75y + 1.86z <= 811.58
3.05x + 0.48y + -1.16z <= 576.6
-6.01x + 8.41y + -5.63z <= 798.58
1.2x + 1.05y + -1.12z <= 861.12
-5.02x + -9.27y + 1.13z <= 943.01
1.82x + 8.16y + 6.75z <= 668.1
-5.51x + 3.35y + -6.19z <= 834.92
-2.73x + 1.71y + -9.22z <= 141.66
-4.43x + -1.76y + -2.96z <= 598.37
-8.21x + -2.86y + -7.87z <= 158.14
-6.26x + 0.41y + 3.62z <= 661.27
5.95x + -3.53y + -2.1z <= 762.6
-7.03x + 1.99y + -4.27z <= 283.98
0.35x + 5.47y + -1.97z <= 170.12
-4.23x + 9.4y + -9.9z <= 190.45
-8.11x + -7.23y + -8.72z <= 512.99
9.07x + 6.41y + 0.32z <= 585.82
-2.74x + -7.17y + -3.09z <= 291.13
-3.39x + -7.39y + 5.92z <= 647.02
2.82x + -4.03y + -5.08z <= 714.07
8.54x + -8.87y + -5.96z <= 340.8
4.11x + -0.5y + -1.48z <= 785.85
-2.86x + 7.33y + 5.0z <= 845.14
8.79x + 2.46y + -6.07z <= 760.52
5.16x + -9.05y + 6.78z <= 669.36
-7.64x + -2.85y + -7.74z <= 759.02
5.98x + -9.64y + -3.2z <= 715.83
6.62x + 5.64y + -5.01z <= 191.02
3.61x + -6.06y + 5.04z <= 717.99
-5.66x + 0.7y + -5.94z <= 135.68
-1.32x + -8.28y + -9.51z <= 757.75
8.22x + -7.36y + -4.23z <= 760.62
-2.3x + 7.0y + 0.65z <= 589.61
-1.48x + 4.9y + -4.97z <= 469.89
-8.82x + -3.27y + 4.81z <= 304.64
4.26x + -5.65y + 4.35z <= 247.76
0.25x + -3.05y + -2.71z <= 517.26
3.25x + 6.45y + -9.22z <= 393.56
-2.78x + -0.93y + -0.81z <= 428.24
-6.32x + 7.55y + -4.51z <= 284.33
-7.15x + -0.31y + 7.54z <= 354.35
-8.58x + 0.43y + 7.5z <= 811.95
-1.91x + -0.67y + -4.6z <= 287.13
1.67x + -0.46y + 3.34z <= 333.48
3.48x + -2.25y + -8.1z <= 977.1
1.85x + -7.34y + -6.44z <= 134.7
-3.75x + 8.28y + 3.88z <= 532.4
-6.72x + 9.24y + 8.26z <= 912.46
-0.07x + -0.65y + -1.05z <= 502.84
8.87x + -6.04y + 4.39z <= 626.68
-1.95x + -6.09y + -3.77z <= 578.5
-9.19x + 2.41y + 0.57z <= 345.71
0.71x + -4.55y + -0.64z <= 734.14
-6.37x + 9.24y + -0.08z <= 711.96
-8.18x + -8.14y + -7.9z <= 283.87
5.81x + -1.97y + -0.92z <= 770.27
-2.44x + -3.23y + -9.71z <= 278.45
-5.73x + 4.97y + 5.45z <= 659.03
-5.06x + 0.29y + 0.09z <= 157.07
-4.56x + -4.24y + 4.63z <= 309.12
-6.91x + -7.74y + 5.94z <= 775.97
-4.27x + -1.6y + 0.83z <= 618.69
-7.54x + 6.27y + -4.72z <= 500.42
4.82x + -7.08y + 0.78z <= 100.89
9.71x + 8.16y + 7.69z <= 551.6
7.39x + -7.98y + 1.44z <= 916.86
6.57x + 1.02y + 2.62z <= 905.11
-0.69x + -7.5y + -6.08z <= 719.84
7.76x + 9.76y + 9.91z <= 656.08
1.0x + 3.93y + -4.36z <= 336.53
-6.52x + -0.55y + 6.28z <= 227.79
-1.86x + -3.63y + 5.13z <= 330.96
-1.64x + 7.48y + 7.89z <= 100.81
-2.54x + -7.82y + -4.16z <= 470.69
-8.99x + -4.5y + -3.98z <= 858.17
-8.39x + 0.08y + 4.67z <= 899.78
-4.24x + 3.4y + 4.77z <= 947.46
5.98x + -5.32y + 2.8z <= 949.59
7.25x + 6.82y + -9.73z <= 664.22
6.02x + -5.82y + 8.7z <= 436.26
-8.25x + 1.96y + -6.02z <= 310.68
1.93x + -1.88y + -7.83z <= 283.75
-7.69x + 9.57y + 9.76z <= 632.39
-5.85x + -0.74y + -5.0z <= 176.16
7.76x + 3.34y + 4.33z <= 605.63
0.69x + 7.16y + -4.94z <= 155.33
9.69x + 1.65y + 5.81z <= 107.8
-9.95x + -5.29y + -8.15z <= 872.22
7.7x + -7.9y + -6.79z <= 969.93
-6.38x + -2.03y + -1.74z <= 151.07
9.54x + -5.12y + 5.44z <= 192.7
-1.58x + -9.21y + 8.85z <= 364.33
-9.03x + -3.37y + 6.72z <= 111.62
-3.07x + -0.9y + -7.92z <= 908.55
-5.4x + 4.82y + -8.92z <= 459.69
-8.36x + 6.59y + -5.4z <= 619.07
6.71x + -3.38y + -0.88z <= 290.86
9.19x + 9.43y + -8.97z <= 725.89
-5.74x + -6.0y + -9.18z <= 306.26
-5.06x + -0.19y + 0.57z <= 380.35
-6.2x + 7.17y + 7.34z <= 863.19
2.89x + 2.92y + 8.36z <= 817.22
0.97x + -7.88y + 9.38z <= 947.55
-5.57x + 6.92y + -5.8z <= 570.63
9.29x + -7.55y + 0.51z <= 427.06
-3.84x + 5.12y + -1.81z <= 929.1
7.1x + 8.57y + -9.87z <= 483.72
4.13x + -2.71y + 3.94z <= 450.69
9.12x + 9.13y + -0.51z <= 813.43
-7.9x + 8.75y + -3.87z <= 276.67
-6.64x + -4.11y + -9.21z <= 189.98
-0.19x + 0.61y + 3.24z <= 480.25
3.45x + -5.94y + 2.1z <= 118.39
8.66x + -6.14y + 4.12z <= 718.9
-3.28x + -5.13y + -4.58z <= 704.29
7.31x + 5.04y + 4.74z <= 563.43
9.2x + -3.04y + 3.9z <= 660.85
-9.04x + 7.87y + 2.61z <= 821.04
-6.94x + -5.91y + 1.12z <= 906.39
0.72x + -5.56y + -5.61z <= 730.02
-4.75x + 5.72y + 2.25z <= 361.73
1.92x + 3.39y + 0.23z <= 890.65
9.73x + 7.38y + -7.62z <= 325.25
7.33x + 5.98y + 4.53z <= 513.08
-9.74x + 4.94y + 8.69z <= 409.35
-7.46x + 2.13y + -5.4z <= 282.74
-5.15x + -9.56y + -4.69z <= 664.24
4.82x + -3.01y + 1.79z <= 663.39
9.04x + -7.0y + 4.97z <= 932.09
6.81x + 7.75y + 2.25z <= 928.38
7.24x + 6.6y + 6.39z <= 137.37
1.14x + -6.3y + 9.58z <= 290.28
0.89x + 5.91y + 6.27z <= 429.02
-7.31x + -4.07y + -1.51z <= 257.39
2.7x + -2.63y + -0.15z <= 764.17
7.45x + -5.96y + -7.38z <= 700.36
-5.82x + -7.6y + -6.75z <= 317.1
-9.16x + -3.16y + 2.65z <= 171.67
-5.68x + 5.6y + -1.54z <= 466.06
-4.98x + -9.04y + 4.73z <= 985.56
-7.02x + 8.44y + -8.87z <= 573.67
-8.16x + -1.46y + -7.17z <= 709.46
2.87x + 4.93y + -0.09z <= 308.23
-3.19x + 4.36y + 5.31z <= 846.02
6.31x + 1.92y + -0.03z <= 215.18
-3.36x + -7.74y + -1.85z <= 838.02
-6.46x + -8.43y + 3.71z <= 676.97
3.52x + -7.5y + -5.66z <= 418.17
4.95x + 0.59y + 0.26z <= 271.72
5.03x + 0.78y + 7.66z <= 305.27
8.86x + -3.93y + 8.11z <= 814.06
-7.09x + 2.11y + -3.49z <= 528.44
4.27x + 8.75y + -9.13z <= 139.18
-7.52x + -8.09y + 2.69z <= 368.29
-7.81x + 1.2y + -4.24z <= 625.41
4.94x + -1.68y + 7.31z <= 258.57
8.6x + 8.21y + -5.04z <= 133.32
-3.95x + -1.0y + -2.52z <= 733.45
3.74x + -3.39y + -2.55z <= 302.72
7.21x + -4.52y + 0.44z <= 627.13
-3.76x + 4.29y + 6.36z <= 940.44
-6.89x + -6.68y + 5.38z <= 755.03
-8.69x + -3.52y + 3.55z <= 989.72
-8.71x + 4.64y + -5.64z <= 850.23
-5.22x + -7.02y + 5.39z <= 608.88
5.43x + 7.85y + 4.07z <= 345.78
-7.2x + -9.49y + 1.85z <= 382.48
9.96x + 6.87y + -8.04z <= 187.65
4.63x + -8.68y + -3.99z <= 413.68
4.58x + -1.15y + -1.9z <= 392.28
0.49x + -8.04y + 9.93z <= 456.87
3.08x + -2.62y + 2.87z <= 865.09
5.49x + 4.72y + -5.0z <= 926.79
4.48x + -7.73y + 7.71z <= 558.72
2.87x + 5.65y + -8.24z <= 654.92
-6.6x + -7.05y + 4.6z <= 694.87
6.74x + -1.18y + -7.1z <= 923.98
-2.64x + 0.6y + -1.05z <= 423.28
-2.63x + 1.3y + 6.58z <= 836.48
-6.48x + 9.08y + 7.01z <= 601.93
4.27x + -8.19y + -2.34z <= 369.11
-6.38x + -6.29y + -2.54z <= 636.98
-8.18x + 0.31y + 2.76z <= 535.41
-6.09x + -7.58y + -6.91z <= 837.56
9.33x + 0.7y + -1.31z <= 695.72
-1.93x + -5.13y + -6.1z <= 997.89
0.01x + -9.31y + -2.94z <= 309.51
6.01x + -5.87y + 1.12z <= 825.2
0.21x + -2.48y + 7.43z <= 389.29
-2.42x + -7.67y + 3.03z <= 344.38
1.06x + -8.34y + -3.42z <= 278.23
2.8x + 1.25y + 3.11z <= 205.84
6.24x + -1.92y + -6.08z <= 541.78
1.76x + -3.23y + 1.68z <= 893.49
-9.48x + -7.65y + 3.36z <= 260.75
-5.88x + -1.69y + -9.72z <= 827.64
-5.27x + -9.82y + 8.12z <= 173.29
-0.32x + 2.75y + -9.3z <= 546.51
-9.88x + -9.9y + 2.2z <= 182.52
8.28x + 3.97y + -5.91z <= 792.09
-8.84x + 5.16y + 5.23z <= 248.41
4.85x + -7.86y + 0.27z <= 702.68
8.47x + 6.68y + 3.1z <= 327.1
-9.88x + -6.13y + -0.9z <= 328.44
-7.75x + 0.12y + -6.75z <= 689.82
5.44x + 7.41y + 2.94z <= 313.69
7.65x + 9.51y + -1.61z <= 511.24
-7.23x + -1.02y + -9.39z <= 372.2
-5.38x + 5.21y + 5.51z <= 720.07
-2.43x + 4.64y + -9.62z <= 657.68
-9.09x + 4.94y + -1.11z <= 284.56
4.99x + -0.64y + -7.81z <= 708.05
-1.55x + -9.13y + -5.38z <= 353.98
-1.22x + -4.31y + 3.03z <= 203.28
3.46x + -7.11y + -6.53z <= 313.53
2.6x + 7.81y + -0.55z <= 887.95
2.15x + -3.34y + -9.01z <= 841.93
-3.28x + 4.52y + -8.03z <= 785.53
-0.99x + 1.91y + -9.64z <= 822.06
5.89x + -8.5y + 3.08z <= 417.8
-8.29x + 4.93y + 0.38z <= 115.0
9.08x + -0.82y + -3.95z <= 478.26
-0.73x + 6.9y + 5.06z <= 966.78
1.28x + 9.18y + 0.55z <= 634.42
9.01x + -0.73y + -4.02z <= 361.06
-6.76x + -0.86y + -7.62z <= 885.92
-0.25x + 5.43y + 0.82z <= 930.87
-6.53x + 6.84y + 1.14z <= 580.38
4.57x + 8.99y + -1.0z <= 684.15
-0.11x + 8.59y + -3.08z <= 320.37
0.77x + -6.98y + -3.07z <= 926.98
5.15x + 9.37y + -8.26z <= 675.81
7.14x + -9.02y + 3.89z <= 392.73
4.75x + -9.99y + 7.48z <= 271.78
-5.1x + -2.63y + 6.62z <= 530.52
4.52x + -5.44y + -1.52z <= 783.06
3.52x + 5.58y + 6.57z <= 725.68
-6.88x + -4.54y + -6.07z <= 572.96
3.87x + 8.96y + -7.64z <= 994.96
-6.2x + -2.43y + 8.15z <= 863.8
-9.25x + -5.97y + 4.94z <= 624.01
-8.02x + 5.47y + 5.1z <= 807.94
-0.38x + -9.48y + -8.38z <= 450.68
4.29x + -9.61y + 2.24z <= 428.99
-0.88x + -3.63y + -2.3z <= 851.64
9.85x + -7.55y + 6.39z <= 286.91
-2.82x + 1.28y + -4.97z <= 987.54
-7.83x + 8.75y + -4.26z <= 694.73
5.12x + -0.57y + -5.29z <= 651.55
1.46x + 3.47y + -1.76z <= 418.71
-9.94x + -9.89y + -8.21z <= 757.36
4.0x + 3.6y + -0.39z <= 880.57
7.85x + 2.11y + -1.78z <= 811.85
9.68x + -3.82y + -6.67z <= 998.76
6.19x + -5.12y + 9.7z <= 258.1
-9.13x + -2.99y + 6.38z <= 960.1
9.44x + 9.47y + 8.93z <= 530.09
-0.82x + 6.43y + 0.83z <= 274.74
-6.45x + -8.64y + -5.3z <= 659.77
-7.25x + -5.57y + -3.38z <= 116.82
-1.33x + -5.65y + -6.09z <= 271.5
7.49x + -3.02y + -8.49z <= 196.25
-0.48x + 6.66y + 5.55z <= 820.19
-4.92x + -2.37y + -2.45z <= 519.64
7.62x + -6.8y + -2.88z <= 409.54
-4.12x + 1.99y + -4.55z <= 615.44
-1.06x + 6.87y + -5.99z <= 486.86
-6.4x + -0.89y + 2.49z <= 224.47
-7.71x + -9.71y + -2.33z <= 265.72
-9.9x + 9.82y + -7.61z <= 317.72
-5.37x + 4.37y + -9.17z <= 344.4
-1.4x + 9.76y + 5.75z <= 342.76
0.11x + -4.3y + 3.33z <= 882.23
2.45x + -4.45y + 7.91z <= 499.68
8.96x + 1.17y + -4.37z <= 977.16
6.5x + 6.96y + 2.52z <= 249.31
-1.89x + 0.37y + 3.92z <= 166.63
-2.46x + -1.38y + -6.37z <= 715.58
7.24x + 8.37y + 3.27z <= 166.52
-0.26x + -4.76y + -0.08z <= 896.04
4.91x + -5.45y + 8.81z <= 369.29
3.26x + 3.2y + 9.87z <= 707.21
-6.65x + 8.7y + 9.26z <= 505.46
-9.26x + -4.56y + -4.55z <= 315.45
-2.71x + -0.61y + -2.2z <= 301.18
0.9x + -6.42y + 5.17z <= 505.05
7.3x + -4.96y + -6.7z <= 162.67
-6.47x + 2.16y + 0.64z <= 538.15
8.01x + 3.9y + 2.24z <= 967.75
7.86x + -6.31y + 6.24z <= 991.51
-1.51x + -6.59y + 3.27z <= 451.47
-3.14x + -5.29y + -7.88z <= 656.95
-5.63x + -1.24y + 0.48z <= 178.9
-7.95x + -2.76y + -5.84z <= 920.01
-4.09x + 0.49y + 2.44z <= 299.25
6.54x + 2.32y + 4.63z <= 294.1
9.46x + 3.6y + -0.48z <= 407.15
-6.42x + -0.68y + -5.49z <= 440.65
0.37x + 1.81y + -6.69z <= 374.21
8.59x + 3.03y + 7.69z <= 504.75
-7.58x + -1.99y + 9.44z <= 873.21
-8.81x + -1.72y + -5.02z <= 302.69
-9.52x + -7.53y + 1.32z <= 447.74
0.69x + -0.71y + -2.3z <= 983.33
-1.79x + -2.85y + 8.82z <= 344.54
-2.33x + -3.24y + -7.81z <= 217.91
8.18x + -4.87y + -8.23z <= 279.62
