max -6.2x + -9.19y + 2.76z
8.02x + 3.69y + 7.21z <= 397.41
-4.22x + 2.28y + 2.63z <= 173.56
1.93x + 2.64y + 6.39z <= 476.1
7.48x + -5.32y + -9.7z <= 757.93
0.29x + -0.08y + 8.53z <= 604.34
-8.16x + -8.33y + 0.47z <= 668.54
-3.17x + -8.3y + -7.06z <= 908.47
-0.64x + 7.18y + 7.43z <= 333.0
0.55x + -4.37y + -0.22z <= 239.71
-5.32x + 5.13y + -2.75z <= 288.51
-9.16x + 5.75y + -6.41z <= 485.82
1.88x + -4.94y + 2.38z <= 232.1
0.38x + 4.83y + -1.4z <= 234.24
4.68x + 5.85y + 0.94z <= 873.17
-7.14x + 8.17y + -6.55z <= 979.26
7.47x + 2.44y + 0.55z <= 958.74
3.68x + -5.74y + -9.26z <= 987.43
-8.06x + -4.79y + -3.36z <= 973.12
5.25x + -7.36y + 1.59z <= 190.47
-3.51x + -3.42y + -5.59z <= 875.6
-3.69x + 2.3y + 3.01z <= 768.9
2.9x + -5.54y + -7.26z <= 282.08
9.28x + 6.85y + 6.5z <= 105.75
-6.67x + 4.29y + -5.42z <= 939.78
-6.75x + -7.95y + 3.0z <= 199.21
-3.46x + -7.32y + -2.75z <= 143.35
8.37x + -5.76y + -8.18z <= 443.0
-0.49x + 3.97y + 8.13z <= 820.94
-6.66x + -3.19y + -8.01z <= 811.18
-4.64x + -7.18y + -1.64z <= 733.1
3.59x + -4.64y + -8.74z <= 260.85
2.97x + 5.0y + -9.87z <= 930.5
9.49x + -3.64y + 3.86z <= 412.74
-8.33x + 6.21y + 9.35z <= 810.29
-2.62x + 6.99y + -3.64z <= 610.38
-7.46x + 3.93y + -1.8z <= 189.99
9.4x + -7.82y + 8.14z <= 247.68
-3.65x + -0.22y + -4.39z <= 122.75
-7.56x + -8.38y + -3.2z <= 796.99
-0.02x + 7.47y + 1.98z <= 112.51
-0.48x + 3.17y + -8.06z <= 536.61
-1.54x + 1.6y + 8.4z <= 759.5
6.61x + 2.1y + -0.5z <= 122.49
3.76x + -4.8y + 9.81z <= 159.56
-3.83x + 8.65y + -5.78z <= 759.71
-5.54x + -0.33y + 7.23z <= 792.43
-2.99x + -3.03y + -3.03z <= 118.76
4.21x + 7.0y + 1.22z <= 676.66
4.18x + 3.82y + -1.34z <= 505.45
9.89x + 8.15y + -6.61z <= 980.32
-8.15x + 8.2y + -5.6z <= 238.89
4.42x + 5.74y + 2.76z <= 534.26
8.04x + 9.14y + 8.41z <= 410.21
4.4x + 1.28y + 7.61z <= 490.49
7.67x + 4.74y + -1.82z <= 157.24
-4.78x + 0.88y + 2.16z <= 161.33
-2.3x + -7.91y + 1.3z <= 750.48
6.19x + -9.93y + -0.02z <= 183.32
4.74x + 4.85y + 0.33z <= 631.13
-1.94x + -6.57y + 4.83z <= 885.68
-5.37x + -4.91y + -1.93z <= 512.22
-9.18x + 2.0y + -5.97z <= 276.72
-4.09x + -3.91y + -4.44z <= 699.63
-2.78x + 7.49y + -2.59z <= 310.9
9.67x + -7.28y + 8.44z <= 141.1
-0.07x + -9.72y + -1.59z <= 893.98
1.71x + 3.53y + -1.23z <= 409.13
-9.12x + -8.16y + -7.42z <= 262.3
-1.77x + 1.35y + -7.12z <= 351.81
-4.2x + -3.94y + 1.25z <= 857.01
-8.84x + 7.31y + 7.76z <= 694.61
0.4x + 7.8y + 7.03z <= 715.2
9.15x + -3.6y + -4.13z <= 827.26
1.79x + 4.19y + -6.61z <= 413.11
6.59x + -8.46y + 0.46z <= 627.71
5.72x + 4.54y + -5.52z <= 325.45
-6.93x + -4.5y + 6.03z <= 845.33
-3.4x + -7.84y + 6.81z <= 655.09
9.18x + -0.04y + 3.13z <= 779.14
-0.21x + -7.64y + 1.68z <= 247.18
2.72x + -5.16y + -0.14z <= 710.88
-9.25x + 1.11y + -3.84z <= 735.57
3.39x + -2.41y + -3.83z <= 758.76
-9.37x + -4.82y + 6.55z <= 523.04
9.19x + -2.89y + -6.91z <= 409.37
-2.47x + 4.24y + -5.3z <= 970.22
1.2x + 7.46y + -3.16z <= 132.97
-0.03x + -9.45y + 3.06z <= 276.3
2.1x + -3.35y + -5.75z <= 579.19
-6.48x + 9.39y + -3.78z <= 435.72
9.15x + -8.74y + -2.33z <= 773.0
3.17x + -0.63y + -7.84z <= 500.18
-9.74x + 9.32y + 3.4z <= 434.18
9.77x + -9.44y + 7.86z <= 110.68
-5.8x + 2.41y + -0.45z <= 199.68
-8.34x + -3.2y + 1.77z <= 304.47
1.13x + 1.96y + -8.24z <= 293.78
-4.17x + 3.22y + -8.24z <= 947.85
0.93x + -1.38y + 2.24z <= 203.61
0.33x + 8.33y + -6.24z <= 690.05
-6.32x + 3.35y + -5.7z <= 618.95
8.9x + 8.11y + -7.24z <= 686.51
4.5x + 9.11y + 7.65z <= 880.72
3.84x + 4.18y + 6.55z <= 938.48
-6.19x + 7.94y + -0.82z <= 254.39
5.49x + -9.5y + 5.72z <= 835.75
7.14x + -2.9y + 7.68z <= 943.54
1.76x + 3.14y + -8.4z <= 980.54
3.12x + -1.02y + 8.96z <= 608.08
-3.14x + 3.79y + -8.55z <= 424.81
-4.09x + -6.25y + -5.76z <= 500.7
-7.09x + 6.41y + -7.73z <= 971.66
-8.12x + 4.13y + 7.4z <= 690.48
5.0x + 2.28y + -7.08z <= 486.76
8.12x + -5.83y + 5.9z <= 944.77
6.22x + 0.94y + -0.55z <= 893.73
-8.06x + 9.41y + 1.31z <= 289.33
-2.95x + -4.03y + 1.15z <= 690.87
1.79x + -6.05y + -4.92z <= 640.18
-6.66x + 3.91y + 7.41z <= 763.4
6.87x + -7.86y + -9.52z <= 789.37
-9.09x + -9.2y + -9.3z <= 776.11
-5.26x + -9.07y + 5.44z <= 498.34
3.96x + 1.86y + 5.16z <= 369.38
-5.46x + 5.31y + -1.6z <= 314.17
-6.88x + -3.82y + -3.57z <= 554.33
2.31x + 9.96y + 1.35z <= 630.7
8.2x + -9.04y + -2.69z <= 617.18
3.62x + -0.46y + -0.1z <= 676.92
-7.62x + 9.51y + 5.55z <= 184.83
9.23x + 7.87y + 9.0z <= 640.42
7.1x + -1.79y + 1.77z <= 851.12
8.5x + -8.62y + -4.81z <= 413.23
-2.18x + 2.41y + 7.16z <= 997.69
-7.43x + 1.67y + 2.35z <= 940.75
-0.96x + -4.15y + 7.19z <= 815.44
-2.95x + -8.24y + 6.19z <= 344.54
-2.11x + 6.43y + 9.64z <= 620.06
-1.08x + 7.82y + -6.84z <= 914.73
6.82x + 2.95y + -0.45z <= 916.65
9.36x + -5.78y + -5.81z <= 500.55
9.28x + 5.12y + -7.15z <= 959.98
-5.0x + -5.37y + -4.98z <= 566.87
6.21x + -5.14y + -9.88z <= 404.78
1.02x + 3.09y + -5.91z <= 215.65
-3.96x + -3.32y + 2.27z <= 631.91
-9.74x + 3.8y + -6.15z <= 506.96
-4.63x + 8.93y + -9.17z <= 700.11
-6.86x + -0.57y + -7.57z <= 948.05
2.25x + 3.21y + 7.79z <= 460.06
-4.76x + -3.36y + 6.65z <= 936.47
-6.92x + -3.18y + -8.17z <= 774.08
9.03x + -1.06y + -9.21z <= 272.84
7.59x + -7.89y + 4.02z <= 406.77
1.02x + 1.78y + 5.7z <= 712.16
1.83x + 3.17y + 7.74z <= 675.4
-2.64x + -6.96y + -2.11z <= 790.33
8.14x + -3.0y + 2.63z <= 186.59
-1.07x + 2.35y + -4.39z <= 587.72
-9.18x + 8.06y + 4.92z <= 953.27
6.75x + 8.74y + -5.76z <= 462.14
8.78x + 0.01y + 3.17z <= 277.45
-6.0x + 4.46y + -9.72z <= 814.18
5.99x + -5.08y + -1.34z <= 465.57
-2.9x + -1.53y + -8.1z <= 400.41
-7.33x + -6.59y + -2.83z <= 121.58
5.71x + -9.38y + -2.57z <= 623.97
2.62x + -4.69y + -3.31z <= 744.33
-8.98x + -7.82y + -0.78z <= 504.57
-0.68x + -1.42y + -9.73z <= 781.84
4.97x + -9.45y + 9.58z <= 790.38
-4.86x + 6.35y + -3.08z <= 867.93
9.71x + -6.38y + 2.74z <= 332.65
9.07x + -3.92y + 5.86z <= 491.46
2.38x + -0.44y + -2.76z <= 786.85
-6.17x + 1.05y + 3.31z <= 801.85
-9.98x + 3.54y + 6.01z <= 103.26
-9.63x + -1.74y + 6.38z <= 777.23
-7.06x + 4.58y + 8.34z <= 363.78
8.73x + 3.58y + 2.54z <= 471.42
5.9x + 6.1y + -2.5z <= 559.69
8.62x + -4.28y + 4.82z <= 111.91
-0.48x + -0.67y + -5.94z <= 586.86
-8.8x + 0.39y + -0.18z <= 531.35
-4.84x + 5.46y + 3.08z <= 309.9
1.8x + -2.84y + -9.17z <= 815.19
-2.42x + 6.29y + 8.1z <= 790.34
-5.89x + -7.68y + 5.89z <= 664.03
6.16x + -8.71y + 8.13z <= 102.18
8.25x + 1.61y + -5.09z <= 584.76
3.24x + -2.31y + 4.05z <= 577.47
3.89x + -4.77y + -7.94z <= 471.48
8.79x + 5.02y + 5.7z <= 777.53
-1.58x + 1.36y + 0.85z <= 599.74
-0.86x + 3.91y + -8.69z <= 194.34
-7.58x + 8.38y + 6.16z <= 742.97
2.84x + 8.9y + -8.9z <= 315.74
-5.72x + -1.75y + -8.04z <= 684.74
-6.42x + -5.06y + 2.76z <= 248.64
-1.33x + -3.11y + 4.63z <= 326.23
2.43x + -2.93y + 9.59z <= 362.61
0.25x + 6.0y + 7.05z <= 144.89
6.57x + -2.3y + 0.08z <= 947.29
-0.89x + -7.19y + 5.23z <= 395.76
0.01x + -7.84y + -6.93z <= 755.37
-4.11x + -8.36y + 2.69z <= 634.95
-4.46x + -9.24y + 7.25z <= 341.29
-6.51x + -3.09y + 6.08z <= 467.43
6.46x + 6.48y + 5.93z <= 286.25
-1.87x + 3.24y + -8.18z <= 624.97
-9.33x + -5.14y + -8.21z <= 929.49
1.4x + 7.19y + 3.99z <= 407.76
-9.44x + 6.33y + -0.94z <= 179.47
8.03x + 7.55y + 3.4z <= 166.29
6.98x + 9.37y + 0.71z <= 239.08
-3.26x + -0.38y + -7.04z <= 926.71
9.25x + -4.04y + -7.5z <= 668.12
-0.17x + -9.2y + 6.1z <= 932.24
2.16x + 4.0y + 3.94z <= 213.69
-0.05x + -0.37y + -2.76z <= 705.15
-9.13x + -4.51y + 1.99z <= 527.87
-8.76x + 0.79y + 6.5z <= 111.85
-9.66x + 8.56y + 7.23z <= 333.58
8.31x + 8.25y + 8.53z <= 309.6
-0.23x + 7.73y + -1.06z <= 694.42
-2.96x + -9.22y + 7.43z <= 657.2
-6.61x + -7.6y + 6.05z <= 695.9
8.58x + 7.48y + 8.85z <= 532.96
-8.54x + 0.18y + -7.3z <= 456.51
-4.28x + -6.42y + -9.5z <= 821.93
7.5x + 9.01y + -3.6z <= 272.38
-3.47x + 5.98y + 3.27z <= 278.76
-0.68x + 0.38y + -1.8z <= 314.74
-1.19x + 5.4y + -0.96z <= 788.28
2.39x + 8.99y + -1.91z <= 408.93
-7.04x + -5.48y + -1.04z <= 393.23
0.77x + 9.23y + 2.27z <= 488.43
8.62x + -4.12y + -7.31z <= 485.32
2.68x + -3.07y + 9.32z <= 545.54
7.15x + 0.9y + 4.81z <= 442.02
0.05x + -8.34y + 1.39z <= 274.56
-2.51x + 7.66y + -4.39z <= 188.7
9.68x + -5.32y + -0.27z <= 845.31
9.82x + -6.98y + 9.43z <= 495.08
4.53x + -3.65y + -7.28z <= 525.3
3.97x + 7.22y + -1.31z <= 196.05
7.71x + 3.08y + -3.89z <= 745.39
8.19x + -3.59y + 0.1z <= 847.21
-5.26x + -9.5y + 6.94z <= 950.84
1.73x + 9.65y + -5.08z <= 280.37
-4.18x + 0.55y + -8.87z <= 133.26
5.27x + 8.27y + -7.34z <= 327.13
-0.21x + -5.22y + 2.57z <= 970.02
-7.49x + -2.71y + -4.36z <= 557.8
8.13x + 2.78y + 4.36z <= 718.07
-8.35x + -4.26y + 7.42z <= 527.24
-1.26x + 1.78y + 2.01z <= 109.34
7.03x + 5.37y + 0.51z <= 809.67
5.5x + 8.12y + -3.26z <= 593.0
-0.47x + 1.18y + 4.37z <= 894.22
5.22x + -7.53y + -9.82z <= 291.91
-2.68x + 1.81y + 9.65z <= 503.23
3.24x + 6.92y + 6.54z <= 475.75
-0.36x + -4.16y + -7.94z <= 780.54
4.24x + -5.6y + 0.34z <= 429.15
-8.53x + -1.85y + 5.51z <= 961.89
4.43x + 5.56y + -7.63z <= 743.14
-1.31x + 7.43y + 2.32z <= 498.25
-4.92x + 8.9y + 1.31z <= 746.52
-9.74x + 0.2y + 6.31z <= 963.47
7.09x + 3.41y + 4.15z <= 243.39
-3.08x + 7.33y + 9.74z <= 322.3
3.63x + -3.11y + -9.53z <= 538.34
1.17x + 7.85y + 4.35z <= 485.77
4.24x + -0.26y + 4.82z <= 375.91
-5.41x + 6.03y + 7.49z <= 324.05
5.05x + 0.73y + 3.86z <= 460.82
-6.29x + -2.21y + 4.36z <= 649.3
4.18x + -7.06y + 6.08z <= 311.33
-0.66x + 9.01y + 3.77z <= 350.68
5.23x + -6.92y + 2.3z <= 217.22
2.6x + 3.35y + 8.44z <= 877.12
1.4x + 2.14y + 2.59z <= 989.69
7.55x + -8.86y + -1.58z <= 722.61
-0.61x + 7.97y + -0.33z <= 690.63
6.37x + 0.88y + -2.87z <= 805.14
-6.9x + 4.37y + -4.96z <= 891.44
-9.16x + 8.74y + 0.38z <= 753.89
8.93x + -7.75y + -3.64z <= 230.22
-4.83x + 2.0y + 9.43z <= 169.76
3.32x + 6.72y + -9.35z <= 346.96
8.15x + 2.31y + 5.07z <= 487.96
-3.89x + -4.08y + 3.15z <= 122.33
-9.46x + 7.22y + 3.98z <= 438.07
-0.74x + -1.6y + 5.06z <= 814.94
3.37x + 1.46y + 9.91z <= 786.43
-2.9x + -3.72y + -8.65z <= 980.53
-3.42x + -1.57y + 1.77z <= 566.7
2.39x + 9.82y + -5.63z <= 932.75
4.82x + -2.85y + 7.35z <= 768.72
-8.12x + 0.6y + -6.27z <= 388.95
8.9x + 9.4y + -1.1z <= 427.38
0.04x + -7.3y + 1.35z <= 106.5
-0.74x + -5.68y + -6.52z <= 771.68
-7.26x + 9.31y + -3.76z <= 792.85
9.56x + 8.26y + -2.1z <= 359.41
-0.89x + 1.92y + 8.26z <= 530.29
-7.79x + 3.06y + -4.04z <= 164.04
-3.89x + 3.33y + 5.07z <= 908.7
-6.18x + 7.35y + 1.42z <= 171.23
1.05x + 7.37y + 1.82z <= 257.79
3.2x + 0.64y + -6.25z <= 100.82
8.67x + -7.17y + 7.34z <= 800.01
-0.05x + 8.75y + -9.01z <= 783.95
9.6x + -2.7y + -6.43z <= 803.12
-1.71x + 0.57y + -1.71z <= 430.91
-9.18x + -0.39y + -8.31z <= 482.11
3.84x + -0.33y + -5.78z <= 731.53
-1.36x + 6.68y + -9.57z <= 224.57
8.21x + -3.14y + 4.03z <= 612.95
-2.77x + -4.7y + -4.83z <= 765.12
1.48x + -1.48y + -0.79z <= 533.14
-4.12x + -7.75y + -1.87z <= 120.69
3.1x + 9.93y + -0.45z <= 432.24
-0.02x + 5.46y + 5.84z <= 918.22
6.63x + -7.99y + 6.32z <= 498.14
3.95x + -5.03y + 7.21z <= 753.98
-4.85x + -6.1y + -7.72z <= 714.69
0.35x + -2.47y + -3.79z <= 281.86
6.77x + 0.63y + -7.61z <= 128.0
-8.84x + 5.65y + 9.19z <= 289.18
-7.18x + 7.41y + -9.66z <= 856.23
-3.38x + -0.14y + -3.74z <= 193.03
7.86x + -3.36y + -6.57z <= 815.03
7.16x + 3.28y + 9.12z <= 894.14
-0.45x + 0.68y + -6.09z <= 618.21
-6.2x + -9.45y + -9.71z <= 370.0
9.42x + 0.29y + 5.19z <= 342.86
-6.46x + -0.36y + 2.88z <= 489.71
9.16x + -4.04y + -5.78z <= 945.78
7.44x + 0.37y + -3.51z <= 412.9
-7.03x + 6.88y + 5.69z <= 417.83
-5.49x + -6.83y + -3.89z <= 168.65
-5.64x + 0.69y + 5.75z <= 632.59
1.48x + 6.82y + 4.81z <= 465.51
6.87x + -2.29y + -7.41z <= 844.14
-2.24x + -7.17y + 8.18z <= 377.17
-6.27x + -5.04y + -7.24z <= 722.72
0.54x + 1.87y + 6.53z <= 516.67
-1.6x + 0.11y + 8.26z <= 808.98
3.93x + 5.88y + 6.67z <= 503.2
2.67x + 7.89y + -0.03z <= 291.39
-8.05x + -1.99y + -4.74z <= 305.65
2.95x + -7.61y + 2.76z <= 790.79
-5.15x + 3.74y + -3.46z <= 936.02
7.35x + -5.65y + -8.39z <= 210.45
1.73x + 1.89y + 1.46z <= 564.37
-1.48x + -8.19y + -0.71z <= 357.19
-0.56x + 5.04y + -9.26z <= 500.5
5.72x + 0.84y + 2.6z <= 934.89
-0.62x + 4.25y + 5.92z <= 991.58
6.16x + 0.4y + 0.02z <= 178.89
-8.04x + -8.17y + -0.24z <= 227.67
-4.76x + 9.55y + 0.26z <= 847.25
-1.21x + 0.88y + 6.44z <= 247.39
9.88x + 7.06y + -3.22z <= 780.17
-6.09x + 2.64y + -0.44z <= 116.82
2.44x + 6.36y + 8.24z <= 372.78
4.55x + -5.7y + 0.58z <= 105.12
-6.24x + -1.8y + -0.92z <= 586.37
-0.48x + 3.92y + -5.05z <= 681.41
6.32x + -2.05y + -0.71z <= 868.15
5.86x + -7.36y + 4.51z <= 602.51
5.59x + -6.56y + 2.44z <= 267.33
-7.76x + -2.67y + -5.6z <= 356.75
2.01x + 9.89y + -4.05z <= 351.71
-0.31x + -4.11y + 2.16z <= 205.88
5.29x + 6.58y + 3.55z <= 410.12
5.05x + 5.56y + 8.91z <= 170.11
9.1x + -1.85y + -7.41z <= 312.68
9.84x + -4.87y + -5.0z <= 541.79
5.69x + -7.8y + 2.96z <= 847.29
-3.07x + -5.89y + 6.48z <= 272.44
2.5x + -4.41y + -7.65z <= 710.43
1.25x + -2.82y + -0.64z <= 106.5
5.39x + 8.61y + -5.65z <= 298.54
-9.63x + 8.52y + -2.91z <= 776.17
8.09x + 4.61y + 6.28z <= 128.89
9.33x + 7.36y + 0.02z <= 901.23
4.44x + 0.85y + 1.09z <= 913.17
2.29x + 2.97y + 6.27z <= 415.36
0.46x + 1.27y + 9.57z <= 829.69
-3.25x + -9.44y + 7.38z <= 226.67
0.05x + -9.06y + 6.26z <= 312.75
-8.78x + 8.36y + 6.56z <= 571.35
6.14x + -4.7y + 0.51z <= 907.55
4.44x + 9.36y + -9.67z <= 747.76
-4.8x + -9.88y + 9.98z <= 207.65
3.37x + -6.86y + 4.04z <= 108.82
9.33x + -5.98y + -7.81z <= 789.76
-1.06x + -9.42y + 2.82z <= 864.38
6.72x + -3.66y + -3.75z <= 839.19
1.71x + -0.05y + -8.55z <= 655.5
-0.3x + -9.66y + 7.9z <= 126.06
-2.32x + 7.64y + -0.61z <= 168.28
8.79x + -3.76y + 9.71z <= 870.89
-6.56x + 5.25y + -8.96z <= 325.94
9.31x + 8.73y + -7.42z <= 928.08
-6.96x + 8.47y + -0.11z <= 213.54
-0.41x + -6.48y + 5.54z <= 692.18
-4.22x + -4.9y + -9.28z <= 316.6
7.01x + -9.44y + 0.32z <= 355.61
-1.89x + 4.24y + -7.63z <= 814.9
9.42x + 9.1y + -9.4z <= 419.19
-5.55x + 2.45y + -3.98z <= 448.32
4.73x + 4.34y + -7.13z <= 869.32
1.32x + -8.31y + 2.79z <= 347.65
-2.21x + 2.67y + -7.14z <= 312.19
-7.02x + 5.02y + 6.73z <= 314.81
-5.72x + -8.47y + -3.29z <= 636.79
-5.92x + -6.52y + 9.91z <= 729.62
-3.81x + 0.11y + -1.24z <= 393.69
-0.57x + -6.72y + 0.67z <= 669.46
-9.33x + -8.57y + -9.26z <= 973.73
-5.74x + -4.98y + 5.75z <= 262.5
-2.11x + 2.66y + 8.5z <= 101.12
-5.37x + 2.07y + -8.7z <= 474.62
-8.97x + -5.02y + 8.98z <= 701.96
-3.12x + 2.82y + -6.81z <= 788.46
-0.18x + 3.5y + -5.61z <= 918.46
8.67x + -8.99y + 2.46z <= 759.74
-8.04x + -5.52y + 0.03z <= 983.16
4.39x + -8.82y + 4.71z <= 215.49
-6.91x + -3.18y + 3.77z <= 544.29
-1.14x + 9.22y + -4.77z <= 321.95
0.45x + 9.63y + -9.17z <= 929.34
-7.33x + -1.26y + -1.52z <= 478.13
-8.31x + 2.54y + -8.35z <= 731.12
9.12x + 9.04y + 4.32z <= 430.09
2.73x + -5.99y + 1.0z <= 546.76
5.9x + -1.86y + 8.66z <= 458.07
0.71x + -6.25y + -7.82z <= 567.28
-1.92x + 4.66y + -4.53z <= 599.75
3.21x + -6.77y + -8.4z <= 670.8
1.63x + -6.51y + 7.47z <= 273.97
7.23x + -1.11y + 8.9z <= 492.93
0.38x + 4.65y + 7.02z <= 666.85
7.18x + 4.79y + 6.58z <= 433.28
-7.1x + -2.46y + -3.64z <= 700.82
6.95x + -5.47y + -2.96z <= 118.61
6.93x + 5.22y + 7.13z <= 520.86
0.54x + -0.15y + 9.86z <= 680.74
2.84x + -1.83y + -1.14z <= 701.28
-7.31x + -4.51y + 8.26z <= 452.86
-1.27x + 1.65y + -3.17z <= 994.64
-8.29x + -3.37y + -0.82z <= 180.36
-1.46x + 4.4y + 0.61z <= 466.49
-4.71x + 2.91y + -4.73z <= 129.14
9.99x + -1.61y + -7.23z <= 556.98
3.56x + 6.43y + -0.75z <= 372.98
-8.52x + 9.52y + -9.59z <= 485.91
-1.87x + -9.47y + 2.72z <= 414.59
-7.94x + 7.82y + -5.86z <= 195.21
9.97x + 7.33y + -5.36z <= 221.78
-9.66x + 0.99y + -0.15z <= 443.73
-8.19x + 9.81y + 1.08z <= 807.33
4.22x + -2.85y + 0.63z <= 318.42
2.65x + 1.36y + -7.24z <= 282.16
0.72x + 2.9y + 4.56z <= 748.51
-6.88x + 1.8y + -6.89z <= 317.81
-8.26x + 2.94y + -4.73z <= 798.18
0.52x + 0.64y + -9.54z <= 789.8
-2.73x + -3.38y + 0.14z <= 676.49
-9.9x + -4.84y + 2.56z <= 110.14
2.15x + 0.6y + -2.5z <= 953.97
-1.73x + 9.2y + -2.0z <= 632.29
5.65x + 8.88y + -3.32z <= 819.88
-2.19x + 7.09y + 5.92z <= 307.08
6.3x + -7.14y + -3.16z <= 713.21
3.64x + 1.05y + -1.49z <= 189.74
-2.26x + 2.24y + -2.84z <= 147.27
-3.87x + 1.8y + 2.84z <= 288.77
7.77x + 4.97y + 9.56z <= 290.75
-0.42x + 4.9y + 5.58z <= 150.14
-8.72x + -1.01y + -2.56z <= 318.4
1.25x + 9.69y + -6.13z <= 368.47
-5.81x + -1.63y + 3.28z <= 715.71
7.44x + 5.48y + -0.51z <= 429.65
4.17x + 3.85y + 9.6z <= 237.25
9.63x + 2.03y + -5.58z <= 918.08
3.8x + 7.75y + -8.9z <= 880.38
-5.65x + 9.48y + 0.03z <= 601.36
0.99x + -8.91y + -5.44z <= 377.57
-6.3x + -5.22y + -4.76z <= 108.95
-8.0x + -4.17y + -8.85z <= 431.45
-1.62x + -1.71y + -9.19z <= 227.29
-9.2x + -3.61y + 2.01z <= 168.23
-9.16x + 9.35y + -1.46z <= 583.3
-6.56x + 7.74y + -3.2z <= 656.07
-9.06x + 1.1y + 1.44z <= 524.85
6.88x + 2.84y + 1.97z <= 443.18
-9.94x + -4.19y + 3.35z <= 261.29
-6.8x + -8.38y + -2.55z <= 677.74
0.85x + 9.75y + 4.42z <= 790.18
3.5x + 0.24y + -3.78z <= 449.63
6.32x + 1.33y + -1.01z <= 786.64
-7.23x + 2.06y + 7.6z <= 125.76
9.92x + -3.49y + 3.84z <= 805.22
-3.35x + -4.62y + -1.75z <= 893.43
-5.55x + 4.98y + 7.13z <= 961.07
0.59x + -6.18y + 2.52z <= 345.09
3.33x + -0.69y + -2.73z <= 114.5
4.74x + -7.31y + -5.12z <= 889.7
3.19x + 1.43y + -4.85z <= 186.1
1.13x + 5.94y + 9.32z <= 244.03
-6.23x + 4.26y + -4.49z <= 626.12
1.19x + 8.65y + -8.47z <= 798.5
-0.79x + -6.83y + 7.5z <= 615.45
5.23x + 9.06y + 0.21z <= 727.85
-9.29x + 0.37y + -6.43z <= 463.95
-4.52x + -9.51y + -6.63z <= 685.3
8.39x + 2.07y + 1.95z <= 163.32
6.14x + -1.8y + -5.48z <= 839.28
-1.05x + -7.16y + 7.81z <= 779.66
-8.8x + -8.77y + 2.58z <= 867.71
-9.09x + -0.11y + 2.92z <= 187.71
4.08x + -8.71y + -4.52z <= 740.95
-6.19x + 0.37y + 6.96z <= 916.07
5.74x + -6.2y + 7.46z <= 214.82
6.19x + 1.55y + -0.49z <= 631.21
-7.86x + -6.48y + -2.99z <= 213.6
-4.91x + -8.47y + -8.97z <= 886.61
3.52x + -9.01y + -2.33z <= 762.78
-0.78x + -5.88y + -6.29z <= 704.77
-7.27x + -4.44y + -9.46z <= 893.04
5.57x + 5.88y + 3.14z <= 303.51
7.89x + -5.19y + 4.8z <= 835.17
8.43x + 6.18y + -0.45z <= 264.56
-0.28x + 8.48y + 4.48z <= 728.27
2.62x + -5.32y + -4.8z <= 873.03
6.9x + 6.17y + -3.82z <= 468.43
-0.32x + -0.88y + 9.12z <= 419.51
-0.16x + -4.0y + 2.83z <= 580.45
-9.89x + 5.51y + -9.58z <= 456.02
-6.43x + -7.75y + 1.33z <= 262.92
1.51x + -5.75y + -8.04z <= 256.04
2.98x + -4.04y + 7.84z <= 651.5
-5.94x + -5.61y + 6.92z <= 775.07
2.09x + -6.12y + -4.68z <= 372.9
-1.59x + 6.69y + -6.27z <= 513.12
-3.3x + -9.08y + 7.53z <= 942.16
-1.93x + -2.73y + 7.9z <= 879.19
0.39x + 4.87y + -7.49z <= 141.96
-6.05x + 8.57y + 6.68z <= 420.1
6.88x + -4.0y + -1.86z <= 560.67
-2.49x + 2.28y + -6.29z <= 166.71
5.98x + -9.55y + -2.35z <= 556.55
8.36x + 2.59y + 8.35z <= 740.13
6.85x + 4.38y + 3.27z <= 306.09
-7.51x + -9.82y + -4.95z <= 990.96
8.32x + 3.1y + 8.39z <= 594.88
-9.64x + 6.23y + -3.45z <= 739.2
7.84x + -6.82y + 6.85z <= 330.91
-9.06x + -7.96y + 2.51z <= 890.81
1.46x + -8.95y + 0.81z <= 941.83
-6.4x + 8.5y + 4.99z <= 712.63
-2.34x + 2.87y + -8.06z <= 918.41
-2.48x + 5.15y + 6.34z <= 582.36
6.29x + 0.68y + 4.45z <= 508.66
3.15x + 0.97y + -2.62z <= 465.46
4.2x + 6.63y + 2.23z <= 364.14
8.84x + 2.26y + -9.77z <= 482.3
-9.58x + -8.46y + 4.13z <= 562.63
-0.91x + -0.27y + 8.05z <= 107.46
6.67x + 5.87y + -5.79z <= 135.51
0.22x + 8.51y + 7.04z <= 568.96
9.49x + 4.44y + 1.75z <= 567.33
-0.15x + -1.73y + 9.39z <= 601.07
-9.21x + 8.46y + -5.43z <= 762.35
7.77x + 8.52y + -6.06z <= 150.67
8.8x + 6.1y + 1.41z <= 894.18
-9.18x + 9.0y + -8.93z <= 535.08
6.22x + 8.56y + 7.02z <= 871.51
-5.87x + -8.24y + 5.38z <= 497.51
0.95x + -0.93y + -4.66z <= 976.08
-1.43x + 7.18y + 6.44z <= 858.25
3.9x + -9.43y + 6.19z <= 630.2
2.46x + -5.51y + 5.18z <= 794.59
-5.86x + -2.44y + 7.07z <= 447.62
-0.21x + 1.81y + -8.79z <= 194.49
-4.38x + -0.36y + -2.93z <= 373.22
-8.66x + -8.24y + 6.68z <= 265.23
0.62x + -7.28y + -3.59z <= 537.95
-1.14x + -7.13y + -6.59z <= 720.77
