max -8.87x + -2.53y + 1.18z
4.12x + -7.55y + 2.47z <= 422.86
-8.04x + 6.55y + -6.06z <= 911.19
5.16x + -8.56y + -5.84z <= 363.29
-8.7x + -8.53y + 3.87z <= 107.53
-4.43x + 3.17y + 9.43z <= 217.91
-4.78x + -6.99y + 1.05z <= 957.3
5.65x + -5.85y + -1.38z <= 658.31
5.84x + -9.15y + 4.81z <= 803.85
1.45x + 4.17y + -2.2z <= 888.72
5.05x + -4.96y + 8.16z <= 421.05
-3.03x + -5.91y + -4.72z <= 163.96
5.42x + -3.89y + -3.0z <= 302.68
-0.72x + -2.49y + 9.65z <= 520.53
8.15x + 2.72y + -0.85z <= 385.22
-2.22x + 8.43y + -3.73z <= 901.85
3.36x + -0.59y + -7.44z <= 648.7
7.71x + 1.18y + 2.28z <= 570.18
-7.41x + -9.52y + 4.83z <= 864.18
-0.97x + 8.01y + -2.0z <= 996.51
-0.6x + 4.45y + -8.41z <= 583.75
-2.45x + 3.42y + -4.18z <= 698.65
7.4x + -9.25y + 0.86z <= 853.45
0.12x + -2.96y + -5.68z <= 303.02
2.9x + -5.69y + -3.08z <= 209.56
-8.32x + -3.5y + 9.02z <= 118.98
4.42x + -6.83y + -5.65z <= 369.22
-2.32x + 2.3y + 8.03z <= 267.23
-7.25x + -0.04y + -3.53z <= 585.23
-9.84x + -3.09y + -5.79z <= 963.87
-0.14x + 4.61y + -6.39z <= 813.94
-9.56x + 9.39y + 9.82z <= 796.48
4.78x + -4.94y + -4.0z <= 957.02
-2.69x + 8.1y + -0.54z <= 812.58
2.1x + -0.37y + 9.67z <= 486.43
4.5x + 0.99y + -0.16z <= 862.63
-2.67x + 7.29y + -0.67z <= 428.71
-6.79x + -6.53y + -4.21z <= 596.39
4.18x + 0.3y + -3.33z <= 161.09
-3.29x + -0.38y + -7.08z <= 865.36
2.37x + -9.15y + -1.98z <= 274.37
8.86x + 0.86y + 2.88z <= 377.13
5.02x + -1.55y + -2.24z <= 255.74
0.34x + -6.4y + 0.93z <= 228.65
-8.39x + 9.33y + 2.14z <= 187.31
0.67x + -1.19y + 8.07z <= 110.45
-4.83x + -5.65y + -1.11z <= 770.85
-2.07x + -7.06y + -2.72z <= 977.71
6.01x + 8.41y + 5.79z <= 166.78
-4.19x + 6.72y + -8.81z <= 147.85
0.06x + -1.3y + 7.73z <= 534.63
9.02x + -6.98y + 3.47z <= 632.14
7.73x + -7.84y + 9.59z <= 467.05
1.23x + 2.25y + 6.64z <= 956.13
2.48x + -4.68y + -1.57z <= 723.56
-0.03x + -3.41y + 9.83z <= 420.91
-1.45x + -3.39y + 6.41z <= 806.69
-9.49x + 3.39y + -8.33z <= 466.55
-3.09x + 2.09y + -3.25z <= 970.33
-9.47x + 7.07y + -5.14z <= 693.84
-0.69x + -2.95y + 1.01z <= 529.86
0.38x + -5.22y + 9.4z <= 223.02
-9.38x + 9.08y + 7.96z <= 586.22
-2.62x + -9.99y + 9.27z <= 264.56
5.36x + 8.83y + -8.22z <= 663.43
1.31x + -8.17y + 8.27z <= 483.01
9.2x + -0.52y + 5.1z <= 583.01
-7.33x + 2.15y + 0.9z <= 443.32
7.39x + -1.09y + -5.19z <= 230.92
-1.79x + 8.47y + 1.44z <= 444.73
-1.29x + 0.35y + 7.55z <= 194.5
5.51x + -9.01y + 9.59z <= 447.94
-0.92x + -2.29y + 1.23z <= 490.99
-0.61x + 6.51y + 0.38z <= 110.4
-3.06x + -8.74y + 4.25z <= 684.72
-7.27x + 4.6y + -0.81z <= 126.93
4.38x + -0.83y + 0.01z <= 457.45
-2.15x + -9.82y + -8.69z <= 293.6
4.8x + 1.04y + 8.32z <= 972.5
-6.66x + -0.42y + 9.93z <= 304.89
-6.31x + -2.22y + 9.64z <= 724.98
-3.85x + -0.26y + -7.28z <= 579.39
3.4x + -3.58y + -9.13z <= 810.88
4.01x + -1.79y + -1.67z <= 606.56
8.59x + 4.18y + 9.4z <= 892.81
-4.77x + 3.24y + -7.87z <= 724.99
-2.29x + -6.5y + -6.52z <= 255.11
9.82x + 0.95y + 4.9z <= 601.66
2.44x + -7.41y + -4.69z <= 339.57
-7.54x + -2.3y + -4.79z <= 967.3
8.56x + -8.08y + -9.42z <= 552.09
6.79x + 9.35y + 6.82z <= 812.24
-3.59x + -5.46y + -0.07z <= 387.73
-7.63x + -4.0y + -0.84z <= 437.21
-8.48x + -7.6y + 5.85z <= 460.4
5.91x + -8.19y + 7.66z <= 652.68
5.32x + 0.47y + -1.46z <= 142.15
-7.71x + -4.39y + 2.17z <= 697.21
-8.7x + 5.19y + 7.9z <= 337.38
-4.61x + -6.09y + 0.52z <= 473.31
-3.01x + 9.99y + -9.2z <= 315.84
8.98x + 5.76y + -7.41z <= 586.15
2.09x + -5.32y + 5.27z <= 396.12
8.63x + -2.37y + -5.3z <= 166.5
-3.34x + -1.79y + 8.76z <= 755.83
8.45x + -2.74y + 5.58z <= 639.59
-3.19x + 5.85y + 5.74z <= 755.92
-3.32x + -2.27y + -4.01z <= 635.31
-7.48x + -8.45y + 7.04z <= 665.72
-7.11x + 6.26y + 0.3z <= 546.36
-8.13x + 2.62y + -5.79z <= 598.74
-7.37x + -5.01y + 1.39z <= 246.79
0.32x + -4.96y + -7.52z <= 746.7
6.58x + -4.19y + 1.08z <= 458.01
7.18x + 4.06y + -0.09z <= 337.86
2.78x + -4.19y + 8.68z <= 883.81
-8.21x + -2.39y + -9.82z <= 967.44
0.05x + -0.16y + -3.8z <= 747.48
1.36x + 2.53y + 5.99z <= 332.98
8.26x + 0.97y + -0.27z <= 521.05
-6.24x + -6.42y + -8.95z <= 920.97
-7.12x + 4.16y + -2.15z <= 677.48
8.84x + -1.4y + 2.52z <= 182.47
2.58x + -4.89y + 4.59z <= 501.12
-6.97x + -5.04y + 5.1z <= 337.33
-1.18x + 4.78y + 5.1z <= 376.55
4.54x + -4.51y + -4.86z <= 499.23
9.38x + 1.16y + 2.95z <= 950.44
4.69x + -7.3y + -7.26z <= 288.9
6.02x + -6.68y + -4.29z <= 810.68
5.76x + -1.84y + 3.61z <= 112.88
8.98x + -5.11y + 8.62z <= 930.23
7.22x + 4.76y + -9.97z <= 601.98
-9.41x + -8.15y + 2.7z <= 832.73
-8.68x + -7.93y + -8.29z <= 509.66
5.49x + 3.35y + 2.78z <= 507.0
-6.5x + 1.86y + 1.3z <= 330.53
0.43x + -7.61y + 3.53z <= 216.72
7.22x + -9.71y + 9.91z <= 197.36
5.39x + -5.76y + -7.45z <= 941.12
-4.37x + -4.56y + 5.14z <= 308.15
4.53x + 2.14y + -8.35z <= 638.34
-1.88x + 6.05y + 4.66z <= 752.57
4.14x + 6.98y + 8.39z <= 846.56
6.64x + -9.97y + -7.28z <= 294.47
-7.31x + -7.76y + -5.42z <= 687.13
0.27x + -9.0y + 0.72z <= 321.38
-1.07x + 7.79y + -3.55z <= 943.85
-8.59x + 0.19y + 2.08z <= 496.44
-1.55x + 4.11y + 3.24z <= 921.64
-3.9x + -1.83y + -9.23z <= 747.65
-5.87x + 1.85y + 0.79z <= 891.91
-3.49x + -8.0y + 7.58z <= 283.81
-6.6x + 3.06y + -2.77z <= 841.71
7.86x + -5.68y + 8.61z <= 356.01
-3.19x + 0.52y + -8.1z <= 398.08
7.48x + 5.84y + 5.5z <= 329.41
-1.69x + -2.21y + 2.11z <= 382.41
-9.01x + 6.57y + -1.14z <= 256.34
-3.36x + -3.6y + 3.23z <= 488.71
9.54x + 1.75y + 9.32z <= 994.61
-6.39x + 9.24y + -3.25z <= 613.96
0.81x + -2.87y + 7.68z <= 404.78
9.03x + 5.17y + -5.08z <= 586.66
7.9x + -8.7y + 5.57z <= 535.51
-8.3x + 3.93y + -2.25z <= 432.95
-7.92x + 0.51y + -6.32z <= 933.1
7.27x + 4.97y + -9.25z <= 607.13
5.24x + 2.67y + 1.3z <= 253.54
-2.89x + -6.94y + -7.06z <= 188.02
1.35x + 5.7y + -6.97z <= 194.96
-2.38x + 3.22y + -0.76z <= 764.89
-6.2x + -2.26y + -6.42z <= 402.95
-5.5x + -5.14y + 1.74z <= 319.93
-4.7x + -0.44y + 0.3z <= 645.69
7.38x + 8.17y + 1.24z <= 313.58
-5.21x + -5.89y + 7.4z <= 668.41
8.97x + 7.83y + 9.57z <= 411.83
-2.38x + 9.92y + 2.63z <= 646.22
3.12x + -7.27y + -1.0z <= 308.34
6.99x + 5.11y + -5.89z <= 634.7
4.5x + 7.96y + -2.21z <= 539.57
-1.84x + -2.75y + 6.5z <= 493.84
2.54x + 1.33y + -6.95z <= 487.09
-4.45x + -7.61y + 6.44z <= 666.21
8.43x + -4.81y + -0.91z <= 563.7
-8.05x + 3.19y + -1.66z <= 588.18
1.77x + -2.47y + 7.92z <= 969.29
-5.94x + -6.56y + 6.52z <= 855.13
2.27x + -7.54y + 5.82z <= 359.09
-8.02x + 3.0y + -6.07z <= 518.4
-9.5x + -4.08y + 8.58z <= 896.01
-3.0x + -8.9y + -3.0z <= 564.89
-0.92x + 1.89y + -2.33z <= 320.74
2.6x + 2.42y + 1.27z <= 489.5
-6.99x + -4.93y + -7.68z <= 472.03
5.46x + 7.87y + 6.16z <= 173.15
3.97x + -3.39y + -5.2z <= 209.38
3.07x + 4.35y + -7.22z <= 853.69
-3.87x + 1.81y + 9.88z <= 894.77
-0.17x + 8.06y + 3.64z <= 336.48
-0.36x + 0.05y + -2.54z <= 239.78
8.52x + 6.3y + -7.8z <= 241.41
7.39x + -6.28y + -2.05z <= 256.93
-7.8x + 7.05y + 2.05z <= 550.58
9.48x + -0.59y + 7.65z <= 789.42
2.66x + 7.58y + -8.45z <= 920.4
4.48x + -1.43y + -7.67z <= 326.35
7.38x + 7.47y + 1.5z <= 415.34
-9.39x + -3.96y + 4.56z <= 109.9
4.36x + 5.06y + -4.03z <= 517.74
0.6x + -1.69y + 5.22z <= 572.98
1.57x + 9.13y + -5.74z <= 173.36
1.31x + -8.64y + 4.82z <= 301.54
-3.67x + -2.14y + -8.89z <= 558.85
0.52x + 7.57y + 9.7z <= 327.94
5.92x + 2.17y + -9.28z <= 747.34
-2.08x + 6.93y + -8.65z <= 110.68
2.53x + 8.53y + -6.08z <= 552.0
-9.61x + -3.71y + -7.67z <= 512.87
-4.62x + -2.23y + 9.48z <= 660.64
8.94x + 7.24y + 1.54z <= 741.78
3.29x + 8.4y + -6.89z <= 514.93
2.45x + -1.92y + 6.85z <= 373.1
-4.23x + 1.76y + 5.84z <= 253.27
3.15x + -3.39y + 3.76z <= 507.6
1.14x + -6.89y + -9.59z <= 784.17
7.16x + 3.71y + -5.01z <= 443.17
-4.18x + 0.86y + 9.01z <= 406.35
-5.11x + -6.27y + -1.4z <= 114.02
-7.99x + -1.18y + -9.44z <= 459.52
-4.82x + 7.29y + 5.97z <= 652.19
-4.97x + 3.57y + -2.64z <= 165.65
8.43x + 1.31y + 8.24z <= 701.63
7.39x + -3.79y + 5.57z <= 166.42
3.64x + 1.48y + 9.26z <= 731.76
9.79x + -8.56y + 1.18z <= 120.22
-1.63x + 6.48y + -9.33z <= 512.98
-2.92x + 5.16y + 9.39z <= 688.6
-6.04x + -0.7y + 3.91z <= 248.06
-7.58x + 7.38y + 0.46z <= 369.84
1.13x + -0.65y + 4.89z <= 460.83
5.56x + 6.35y + -8.78z <= 666.36
-3.47x + 8.11y + 5.2z <= 533.62
0.07x + 1.31y + 8.54z <= 249.71
2.28x + -5.73y + 9.43z <= 946.49
-8.04x + 2.52y + 6.01z <= 950.59
4.9x + -9.26y + 6.36z <= 273.28
-1.12x + -1.39y + -8.49z <= 806.79
8.01x + 2.96y + 7.34z <= 545.66
-3.12x + 5.13y + -6.32z <= 822.62
9.52x + 7.98y + -5.08z <= 627.4
2.82x + 8.92y + -2.87z <= 629.8
1.5x + 2.72y + -6.81z <= 539.78
8.82x + -8.17y + -6.65z <= 800.01
0.94x + -7.7y + -4.1z <= 834.37
6.13x + 6.36y + 0.79z <= 276.88
6.69x + -6.58y + -7.73z <= 884.42
-5.18x + -0.61y + -4.2z <= 840.31
-7.59x + -3.43y + 8.84z <= 873.35
7.86x + -3.28y + -1.79z <= 324.13
8.06x + -8.44y + 7.4z <= 703.64
4.06x + -4.6y + 7.75z <= 946.95
2.08x + -1.87y + 3.93z <= 572.99
1.38x + -6.59y + 4.56z <= 793.29
0.48x + -9.31y + 5.31z <= 405.71
5.61x + -3.43y + -0.34z <= 473.97
-3.12x + -2.08y + -2.51z <= 446.87
-7.74x + 0.24y + 4.09z <= 984.45
4.68x + -1.23y + 2.06z <= 493.44
-6.09x + 1.95y + -9.17z <= 706.11
-3.59x + -9.55y + -0.98z <= 997.24
1.34x + -3.37y + -8.23z <= 824.52
6.2x + 2.79y + 0.21z <= 879.21
-8.05x + -7.0y + 6.58z <= 948.26
-3.82x + 5.81y + 1.53z <= 457.61
-2.43x + 0.36y + 0.45z <= 242.61
7.2x + -9.09y + -0.57z <= 633.99
-4.73x + 5.54y + -5.09z <= 703.52
2.83x + 5.49y + -0.87z <= 733.86
3.13x + -8.12y + 6.66z <= 109.8
-6.74x + 9.99y + -5.49z <= 608.19
6.38x + 3.98y + 4.1z <= 384.84
-2.06x + 4.99y + -2.93z <= 362.15
3.4x + -0.2y + -0.37z <= 999.65
-5.28x + -0.48y + -8.32z <= 443.28
3.9x + -4.96y + 6.2z <= 967.63
-3.01x + 5.06y + -7.83z <= 336.18
-5.54x + 0.33y + 9.45z <= 733.47
-1.23x + -5.75y + 5.98z <= 820.58
-2.39x + -6.1y + -7.22z <= 603.6
-6.24x + -3.97y + 6.34z <= 201.77
-8.71x + 7.4y + 2.2z <= 664.62
4.82x + -4.63y + -4.37z <= 430.51
-3.67x + -5.17y + -1.5z <= 370.27
-3.48x + -9.7y + 9.93z <= 589.47
-6.2x + -2.98y + -8.88z <= 522.15
3.21x + -0.96y + 4.02z <= 175.23
9.7x + -3.26y + 2.49z <= 193.99
8.75x + -4.32y + -3.6z <= 718.57
2.13x + 5.16y + -9.55z <= 379.48
-3.79x + -1.86y + -1.39z <= 379.25
-3.83x + -4.5y + -0.03z <= 697.01
-7.19x + -6.48y + 6.45z <= 701.34
5.78x + -0.8y + -0.09z <= 891.03
1.91x + 0.22y + 0.55z <= 436.72
-3.06x + 2.55y + -7.93z <= 641.38
6.06x + 3.25y + 3.96z <= 643.9
6.83x + 6.5y + 5.44z <= 578.9
-2.04x + -4.59y + -0.77z <= 420.88
-5.62x + -2.25y + 2.11z <= 389.72
-9.54x + 1.03y + -8.65z <= 665.6
0.61x + 4.31y + 9.66z <= 947.58
-4.97x + -6.8y + -7.62z <= 917.62
5.58x + 6.57y + 0.88z <= 386.49
4.66x + 7.84y + -5.94z <= 278.48
-9.94x + 7.68y + 1.04z <= 899.29
-8.74x + 7.97y + -7.95z <= 458.17
-7.88x + 4.12y + -3.47z <= 357.24
1.56x + -2.34y + -8.82z <= 720.29
-7.32x + -1.48y + -5.53z <= 586.59
-3.18x + 7.44y + 8.39z <= 530.71
3.82x + 6.0y + -0.12z <= 970.36
-2.37x + -4.87y + -2.35z <= 312.31
-1.84x + 5.13y + -2.05z <= 382.79
-0.18x + 4.92y + 5.68z <= 404.95
4.3x + 0.9y + -1.61z <= 239.21
-3.99x + -5.93y + -10.0z <= 240.99
1.82x + -9.48y + 9.02z <= 994.91
2.08x + 5.96y + -8.68z <= 878.29
0.64x + 0.22y + -4.83z <= 169.92
-2.86x + -0.76y + -1.74z <= 908.98
-3.99x + -3.99y + -1.65z <= 455.12
-5.64x + 2.41y + 3.19z <= 679.72
2.66x + 6.83y + 3.25z <= 512.82
7.11x + 5.25y + -0.92z <= 714.15
-7.11x + -1.46y + -2.71z <= 945.74
-5.63x + -8.93y + 7.2z <= 630.01
4.64x + 6.37y + -5.6z <= 516.76
5.34x + 6.69y + 7.08z <= 637.49
3.63x + -7.06y + 0.66z <= 786.55
8.79x + -2.24y + -4.32z <= 813.74
6.27x + 6.4y + -8.07z <= 780.7
6.06x + -4.39y + 5.61z <= 834.75
5.7x + -1.16y + 2.76z <= 491.67
-2.92x + 6.34y + 0.91z <= 938.69
-0.53x + 8.29y + -0.39z <= 603.93
5.1x + -9.69y + 6.19z <= 202.75
-6.54x + 3.62y + 3.78z <= 664.79
9.43x + -9.74y + 2.81z <= 917.96
-8.14x + 1.59y + -9.37z <= 350.01
-3.95x + -7.31y + -6.37z <= 638.16
8.14x + -0.78y + -4.52z <= 932.86
6.6x + -0.99y + 7.7z <= 468.75
-3.14x + -2.92y + 5.03z <= 892.05
6.41x + 3.61y + 2.7z <= 296.33
-2.39x + 8.22y + -3.8z <= 750.39
1.77x + -0.64y + 0.36z <= 307.05
1.62x + 9.38y + 8.23z <= 259.81
-3.43x + 6.84y + -8.03z <= 196.17
-0.45x + -1.34y + 6.39z <= 791.07
-7.77x + -2.55y + -5.6z <= 180.37
6.01x + -2.63y + 7.65z <= 218.44
-1.11x + 5.3y + 2.65z <= 252.09
4.23x + 2.29y + 0.34z <= 666.08
-5.11x + -2.82y + 8.11z <= 686.66
-0.74x + -8.24y + 0.44z <= 159.63
6.54x + -3.7y + -5.7z <= 210.83
8.14x + -6.25y + 8.23z <= 457.37
-1.6x + -5.92y + -6.57z <= 722.91
-5.41x + 8.58y + 2.47z <= 882.55
-2.72x + 6.05y + -7.41z <= 817.29
-4.21x + 6.62y + 2.48z <= 892.27
-4.8x + 5.56y + 9.63z <= 978.29
1.81x + -3.69y + -4.96z <= 770.4
-7.09x + -8.4y + -5.28z <= 944.29
1.46x + -5.94y + 8.61z <= 775.89
-5.53x + -2.15y + 3.67z <= 190.46
-6.4x + 9.93y + 6.11z <= 517.37
-8.66x + -8.46y + -5.67z <= 791.67
6.19x + 7.94y + 7.08z <= 970.77
4.27x + 0.95y + -4.49z <= 497.77
-2.64x + 3.65y + 9.26z <= 450.11
-6.19x + -6.9y + -1.28z <= 915.78
4.11x + 1.24y + 5.2z <= 957.01
3.66x + 7.07y + 2.88z <= 749.74
2.94x + -7.79y + 9.87z <= 332.09
-4.44x + -6.44y + -2.94z <= 671.36
4.48x + 1.88y + -1.45z <= 471.52
5.42x + 3.84y + 2.28z <= 694.58
-5.38x + 7.75y + -5.47z <= 776.27
0.31x + 6.57y + -3.9z <= 366.31
-4.02x + -0.52y + -4.15z <= 638.18
8.26x + -5.79y + 4.79z <= 595.73
-4.69x + -2.08y + -0.85z <= 685.48
-1.49x + -3.36y + 1.12z <= 650.03
2.99x + 1.54y + -9.05z <= 191.45
-1.44x + -4.44y + -4.77z <= 981.86
-0.83x + 5.81y + -9.67z <= 470.29
1.53x + 2.23y + 4.64z <= 539.44
-9.2x + -0.52y + -8.95z <= 296.61
0.35x + 4.21y + 0.81z <= 671.71
-2.36x + -5.47y + -3.19z <= 334.74
2.93x + -4.53y + -2.52z <= 545.32
-3.48x + -9.66y + 8.13z <= 931.09
-1.67x + 5.73y + -3.4z <= 180.94
6.84x + 4.89y + 9.99z <= 125.09
-7.4x + -6.42y + 8.55z <= 707.43
-8.83x + 5.08y + 6.92z <= 718.35
-1.03x + 0.48y + -3.06z <= 852.98
3.68x + -3.19y + -1.33z <= 980.5
-3.62x + 3.26y + 0.82z <= 866.09
-2.12x + -8.32y + 8.06z <= 189.49
7.4x + 6.49y + -1.7z <= 895.35
5.53x + -3.01y + 4.88z <= 698.11
2.03x + 7.4y + -4.63z <= 231.19
-4.76x + 7.13y + 4.13z <= 825.39
-5.6x + 4.3y + 7.72z <= 273.28
-9.56x + 0.47y + 2.52z <= 510.11
0.98x + 4.59y + 3.78z <= 647.0
-6.91x + -1.78y + -7.66z <= 333.09
1.66x + 2.51y + 2.7z <= 690.95
6.94x + 1.62y + 1.18z <= 363.72
0.79x + 1.29y + 7.31z <= 545.96
1.94x + 7.7y + 4.44z <= 513.21
-1.83x + -0.82y + 4.53z <= 203.38
2.93x + -5.53y + -6.9z <= 233.63
9.84x + -8.74y + 4.11z <= 575.37
-6.47x + -7.39y + -1.38z <= 847.07
1.21x + -1.32y + 7.22z <= 107.47
6.11x + -6.11y + 4.54z <= 622.22
-5.02x + -3.16y + 3.58z <= 606.35
6.37x + -9.74y + -0.99z <= 358.65
7.22x + 2.36y + -4.62z <= 401.65
-4.83x + 8.65y + 6.53z <= 844.04
-7.8x + -5.77y + -9.61z <= 589.06
-5.72x + -6.21y + 2.57z <= 202.24
-9.14x + 9.1y + -7.38z <= 718.18
-9.07x + -2.01y + -0.43z <= 542.65
-7.47x + -7.85y + 8.15z <= 622.17
3.24x + -9.48y + -0.17z <= 777.12
-4.84x + 0.54y + -7.58z <= 972.93
-8.04x + 1.16y + 0.98z <= 381.97
-6.34x + -1.29y + 9.4z <= 457.4
4.23x + -6.23y + -0.88z <= 958.99
5.81x + 0.86y + -6.13z <= 775.9
8.13x + 9.5y + -3.28z <= 940.94
-2.32x + 6.97y + 8.34z <= 112.82
-4.97x + -3.4y + 5.24z <= 518.84
6.59x + 0.09y + -1.54z <= 795.32
5.8x + 4.36y + 1.73z <= 949.47
-0.29x + 7.1y + 0.91z <= 561.48
5.78x + -3.5y + 9.91z <= 953.49
7.01x + 8.11y + -0.16z <= 526.66
4.79x + -9.1y + 9.93z <= 998.91
-1.99x + -4.35y + 4.48z <= 766.06
-7.7x + 5.17y + -2.58z <= 375.37
-6.1x + 1.61y + -4.86z <= 878.66
5.98x + -7.06y + -7.16z <= 497.57
9.39x + 2.62y + -8.37z <= 293.36
7.54x + 4.46y + -6.73z <= 176.65
-1.54x + -5.56y + -9.37z <= 826.65
6.63x + 6.34y + -4.32z <= 363.08
6.55x + 9.21y + -5.27z <= 203.37
5.0x + -3.01y + 2.19z <= 815.52
-3.67x + 6.36y + -2.03z <= 139.34
8.33x + -1.47y + 8.02z <= 625.16
-6.21x + -6.14y + 4.75z <= 695.42
5.34x + 6.06y + -1.13z <= 109.97
8.2x + 9.54y + -4.32z <= 257.78
9.95x + -3.33y + 9.47z <= 832.96
-9.31x + -6.29y + 4.47z <= 904.38
-2.28x + 6.16y + -8.62z <= 333.46
9.99x + 1.68y + -6.69z <= 457.4
0.51x + -1.16y + 7.18z <= 212.39
0.24x + 0.57y + -3.32z <= 491.25
-8.82x + -2.4y + -6.39z <= 737.45
0.45x + -7.31y + 3.7z <= 502.5
9.29x + -6.27y + 9.92z <= 271.24
0.54x + 9.36y + 3.49z <= 257.06
3.88x + 7.42y + 1.05z <= 289.97
-8.52x + 4.7y + -5.63z <= 409.44
-1.07x + -9.23y + -6.49z <= 609.19
-5.74x + 5.89y + -8.15z <= 268.87
-2.71x + -9.06y + 3.83z <= 158.23
-2.59x + 1.88y + 5.82z <= 312.17
1.6x + 0.03y + -7.56z <= 409.13
0.31x + 9.0y + -2.05z <= 686.63
1.98x + -6.61y + 3.18z <= 445.46
8.73x + 5.66y + 3.07z <= 883.73
9.48x + -4.21y + -4.6z <= 979.08
4.8x + 9.06y + -3.14z <= 131.74
-7.4x + 9.95y + 2.48z <= 662.62
-8.21x + -7.32y + -7.64z <= 204.67
-6.08x + 7.26y + 4.39z <= 234.63
3.38x + 9.33y + 2.65z <= 254.14
-1.66x + -6.23y + -2.19z <= 469.84
-9.41x + -4.5y + 0.12z <= 401.44
-2.66x + 1.88y + -7.41z <= 897.99
-7.76x + 0.8y + 1.97z <= 112.6
-6.5x + 0.73y + -7.68z <= 184.93
-7.14x + 5.24y + 0.19z <= 725.34
-2.56x + 6.02y + -7.96z <= 465.7
1.1x + 0.89y + 4.12z <= 640.77
9.14x + -5.31y + -2.01z <= 436.57
8.64x + -8.62y + 5.79z <= 533.78
-1.86x + 1.55y + -6.41z <= 103.78
2.2x + 2.53y + -3.82z <= 517.08
2.83x + 9.91y + 9.19z <= 282.5
8.42x + -2.17y + -4.33z <= 288.59
-7.34x + 5.43y + 7.67z <= 504.03
9.13x + 6.19y + -9.28z <= 414.62
3.21x + 6.37y + 9.28z <= 662.81
-9.84x + -1.49y + -4.79z <= 328.92
2.8x + 5.86y + 7.8z <= 310.8
-1.55x + -1.37y + -9.17z <= 378.13
-4.8x + 2.96y + 0.78z <= 655.17
-9.34x + -3.59y + -9.46z <= 258.93
6.24x + 3.41y + -7.93z <= 986.03
-0.8x + -2.59y + -9.13z <= 123.77
5.01x + -7.69y + -6.67z <= 434.49
-7.57x + -8.12y + 1.11z <= 308.69
-3.16x + 4.26y + -9.73z <= 396.23
-1.15x + 5.1y + -1.97z <= 891.11
-2.07x + 3.17y + -3.95z <= 702.67
-6.16x + 4.9y + 5.55z <= 705.47
8.76x + 2.19y + 3.2z <= 817.17
-0.85x + 2.31y + 4.34z <= 101.39
6.23x + -0.32y + -3.15z <= 308.96
6.4x + -0.2y + -0.92z <= 412.89
9.44x + 8.36y + -7.44z <= 693.06
-4.09x + -1.06y + -1.33z <= 246.49
5.23x + -0.67y + -2.77z <= 643.5
6.9x + -9.35y + 8.26z <= 288.71
-1.39x + -5.0y + 1.56z <= 332.37
-2.31x + -4.43y + -9.01z <= 438.64
-1.75x + 5.44y + -8.14z <= 196.33
0.4x + -8.78y + -3.6z <= 178.81
5.67x + -8.94y + -0.47z <= 201.06
-6.51x + -2.92y + -0.93z <= 615.13
7.54x + 3.1y + 5.06z <= 507.07
8.78x + 0.25y + -0.41z <= 175.73
-3.74x + 0.21y + 8.85z <= 739.15
-8.95x + -9.94y + 8.55z <= 425.25
-10.0x + 8.04y + 3.61z <= 604.49
9.65x + -7.53y + 1.85z <= 280.45
-9.18x + -6.27y + 6.15z <= 303.97
-4.74x + -9.7y + -5.15z <= 736.03
7.8x + 7.87y + 8.2z <= 270.55
4.06x + 2.58y + -2.61z <= 753.18
-7.08x + -9.17y + -0.28z <= 199.6
2.44x + 3.72y + -1.91z <= 947.58
-3.01x + -1.95y + 9.8z <= 541.22
-9.99x + -8.36y + -9.57z <= 762.87
1.72x + 2.58y + -8.82z <= 188.93
6.28x + -1.44y + 2.73z <= 704.77
-4.87x + -8.75y + -8.49z <= 378.74
5.21x + -5.13y + -7.92z <= 698.64
-4.89x + 9.03y + -2.5z <= 488.57
-6.49x + -6.35y + -6.38z <= 505.58
-2.19x + 7.98y + 5.28z <= 999.82
0.25x + -3.6y + -3.98z <= 760.44
-5.87x + 5.8y + 3.15z <= 164.11
-6.58x + -4.6y + -5.72z <= 787.23
-5.12x + -7.72y + 4.93z <= 333.62
3.46x + -3.81y + 7.29z <= 393.04
-0.92x + 5.87y + 3.47z <= 291.61
-5.42x + 6.65y + 9.83z <= 969.83
-9.63x + 1.32y + -9.62z <= 246.84
-2.41x + 4.0y + 5.16z <= 473.04
-2.24x + -7.86y + 2.71z <= 711.46
-1.79x + 4.54y + -6.28z <= 443.03
-5.08x + 3.35y + -9.9z <= 652.93
-2.95x + 9.56y + 3.41z <= 103.98
-8.93x + 0.54y + -7.25z <= 270.85
-3.96x + -5.89y + -8.35z <= 682.17
1.47x + -2.29y + -6.65z <= 399.22
7.62x + -6.09y + 4.17z <= 373.94
-0.49x + 7.06y + 0.2z <= 960.6
1.04x + 0.23y + 5.14z <= 427.38
8.74x + 0.36y + -9.2z <= 252.19
4.81x + 3.43y + -1.16z <= 900.45
-8.81x + 6.15y + 0.65z <= 406.23
4.24x + -0.02y + -9.68z <= 935.41
2.69x + -2.08y + -0.9z <= 984.42
-4.1x + -7.51y + -8.31z <= 977.66
8.64x + -9.14y + 0.82z <= 140.87
0.46x + -6.26y + 6.24z <= 870.43
-6.44x + -0.35y + -6.24z <= 768.99
-9.52x + 8.7y + -1.24z <= 361.2
-5.71x + -6.23y + 7.92z <= 894.41
8.76x + 2.57y + 9.8z <= 217.68
5.33x + 8.1y + 2.91z <= 838.47
7.26x + -9.37y + 9.57z <= 189.13
-8.35x + -7.59y + -0.4z <= 154.82
