max 0.77x + -8.0y + 2.98z
-1.96x + 3.68y + -4.35z <= 754.26
-6.05x + -5.59y + -3.18z <= 434.33
-1.48x + -1.6y + -8.55z <= 618.06
5.99x + 1.86y + 6.93z <= 680.34
1.64x + -7.8y + 5.39z <= 471.51
2.07x + 7.95y + 6.82z <= 565.54
-0.41x + 1.05y + 1.19z <= 934.09
1.38x + 3.12y + -4.73z <= 438.16
-4.42x + -9.93y + 4.42z <= 426.5
-3.97x + 0.61y + -0.23z <= 614.37
-8.21x + -7.51y + -7.04z <= 763.3
-2.3x + 7.01y + -6.57z <= 373.55
1.7x + -3.23y + -4.46z <= 290.34
-6.08x + -5.61y + 2.4z <= 190.05
-2.07x + -8.59y + -5.12z <= 771.39
-9.27x + 7.37y + -7.12z <= 187.53
-2.17x + 3.13y + 0.01z <= 134.44
5.4x + -6.48y + -1.33z <= 973.74
9.15x + 4.8y + 5.27z <= 463.02
-1.44x + -9.39y + 5.18z <= 849.2
-6.86x + -3.85y + -7.22z <= 238.57
-6.36x + -7.95y + 1.15z <= 415.44
-1.32x + 7.07y + 1.57z <= 878.12
-8.58x + -4.57y + -9.39z <= 573.65
-3.46x + -2.74y + 6.44z <= 627.06
-4.34x + 6.04y + -1.58z <= 791.77
7.24x + -6.36y + 7.7z <= 734.03
6.8x + 9.66y + -9.34z <= 196.95
4.56x + 7.31y + 4.01z <= 430.91
0.9x + 5.8y + 9.52z <= 154.94
5.84x + -8.43y + -6.41z <= 996.96
-7.51x + -0.5y + -2.78z <= 905.41
-7.19x + 5.26y + 1.62z <= 152.87
-7.76x + 5.38y + 2.36z <= 436.71
-7.15x + -3.19y + -3.34z <= 420.37
8.61x + 8.41y + 5.81z <= 481.43
1.32x + 3.02y + 1.26z <= 992.37
-9.44x + 1.45y + 5.42z <= 639.98
3.02x + -8.83y + -7.78z <= 888.84
4.65x + -0.67y + -2.94z <= 176.56
9.82x + -8.61y + -9.81z <= 205.13
-7.18x + 5.27y + -6.3z <= 855.66
-0.08x + -0.21y + 0.64z <= 193.29
-7.34x + -2.54y + -6.6z <= 596.97
-1.56x + 7.9y + -9.71z <= 727.33
-9.02x + -1.68y + -4.92z <= 503.09
5.28x + 1.08y + -8.67z <= 747.61
1.36x + 4.0y + -7.57z <= 212.41
3.18x + 0.83y + -6.89z <= 527.79
-6.5x + 6.25y + -0.84z <= 876.6
-9.7x + 4.18y + 8.39z <= 133.54
-3.68x + -6.35y + -5.21z <= 697.01
-7.67x + -7.3y + 4.4z <= 540.2
-6.77x + -2.09y + 9.53z <= 729.19
3.96x + 7.82y + 3.46z <= 271.97
-8.39x + 9.83y + 1.21z <= 947.18
-9.14x + -4.17y + 0.07z <= 551.46
5.04x + 3.15y + 8.39z <= 376.94
-1.11x + 2.68y + 2.81z <= 952.25
-8.32x + -1.69y + 1.05z <= 332.46
9.78x + 8.16y + -4.17z <= 195.94
-3.33x + -1.44y + -5.18z <= 215.37
-7.76x + -7.03y + -5.96z <= 885.13
5.02x + 1.16y + 6.65z <= 890.01
4.81x + -9.79y + 3.37z <= 384.32
2.07x + -2.51y + -6.53z <= 732.28
-2.24x + 4.29y + -9.14z <= 258.05
-5.71x + -5.89y + -4.8z <= 396.59
5.13x + 4.73y + -2.4z <= 494.94
-7.44x + 2.81y + 5.36z <= 578.84
-9.55x + 5.22y + -5.11z <= 759.15
3.71x + -6.02y + -4.92z <= 214.68
9.1x + 8.02y + 2.81z <= 647.71
-6.2x + 8.37y + -7.02z <= 985.95
-6.39x + 6.83y + 8.49z <= 491.71
0.84x + 8.06y + 8.18z <= 844.35
-8.96x + -5.01y + 0.53z <= 505.17
-5.21x + 1.72y + -4.38z <= 161.98
-5.08x + -6.21y + 1.06z <= 113.47
4.93x + 9.07y + -4.54z <= 313.07
8.9x + 0.42y + 2.14z <= 278.66
9.24x + -1.97y + 7.81z <= 360.5
3.77x + 9.96y + -2.69z <= 199.18
1.94x + 2.13y + -6.61z <= 996.7
-7.38x + 4.05y + 1.39z <= 464.85
2.34x + -2.87y + -5.2z <= 964.38
0.61x + 5.57y + -6.46z <= 857.96
-1.12x + -5.61y + 1.41z <= 131.28
6.03x + 1.05y + -8.67z <= 526.53
-7.22x + 7.64y + 5.87z <= 957.57
-5.88x + 0.53y + 6.15z <= 814.76
-2.73x + -8.75y + 0.54z <= 713.02
-7.69x + 1.0y + 7.33z <= 479.8
9.61x + 0.15y + -7.32z <= 541.87
5.14x + 8.62y + 5.47z <= 293.52
-2.69x + -6.14y + -8.38z <= 582.52
-8.96x + -6.34y + -3.26z <= 157.25
-8.43x + -8.82y + -7.51z <= 837.39
3.32x + 0.36y + -1.45z <= 869.88
3.03x + 2.34y + -4.72z <= 391.38
7.46x + 5.53y + -2.18z <= 976.62
2.58x + -0.3y + -7.29z <= 555.84
6.36x + 2.79y + 7.57z <= 531.88
8.63x + 8.8y + -9.2z <= 305.47
-0.62x + -3.94y + -5.49z <= 430.72
8.82x + 1.66y + -3.1z <= 206.32
5.28x + -6.87y + -4.85z <= 726.24
2.26x + 7.23y + 1.69z <= 115.82
-7.41x + -0.18y + -9.15z <= 893.76
9.52x + -3.76y + -4.33z <= 992.75
-3.69x + -8.53y + 2.65z <= 965.89
4.69x + 0.99y + -3.25z <= 985.91
1.61x + 4.31y + 8.25z <= 347.04
-1.87x + -6.83y + 6.37z <= 204.54
-6.31x + 7.78y + -5.86z <= 797.52
0.16x + 4.42y + -5.0z <= 835.96
1.96x + 2.14y + 9.19z <= 471.53
7.57x + 7.72y + 7.81z <= 473.39
1.48x + -2.57y + -3.02z <= 571.73
-5.83x + 8.78y + 7.16z <= 320.96
6.87x + -7.41y + -6.47z <= 513.12
8.35x + 1.54y + 7.8z <= 432.39
-2.86x + 1.66y + 1.19z <= 863.82
-0.18x + 8.67y + 1.91z <= 175.08
7.58x + -7.44y + 4.06z <= 912.7
-8.55x + -4.96y + 6.15z <= 925.08
0.01x + 2.32y + 2.73z <= 591.1
2.39x + -3.66y + 9.69z <= 426.78
-0.2x + -4.2y + -3.6z <= 392.98
-5.55x + -9.67y + -0.63z <= 207.03
3.32x + 8.5y + 2.98z <= 420.64
-5.73x + 3.47y + 8.61z <= 504.98
5.54x + -4.91y + 9.26z <= 270.98
1.34x + -6.27y + -7.17z <= 539.26
-5.8x + -6.86y + -4.17z <= 255.32
-6.5x + -2.66y + -5.47z <= 152.24
7.53x + -3.05y + 5.29z <= 983.72
1.88x + 4.71y + 2.11z <= 809.89
-5.73x + -8.77y + 2.45z <= 966.79
-7.49x + -9.71y + 0.74z <= 599.85
-2.11x + -1.0y + 1.2z <= 610.9
-0.83x + 4.29y + -2.48z <= 861.96
6.54x + -8.74y + -3.93z <= 743.79
-8.61x + 8.11y + 4.86z <= 880.61
8.46x + 9.98y + 6.03z <= 609.82
-4.87x + -5.15y + 4.41z <= 411.27
-8.51x + 1.79y + -4.67z <= 615.31
-9.92x + 7.75y + 8.9z <= 843.86
3.52x + -5.48y + -7.49z <= 535.78
0.23x + 0.85y + 1.53z <= 256.69
9.9x + 0.64y + 3.47z <= 691.86
7.02x + 1.23y + 9.03z <= 757.44
4.56x + -1.44y + 1.52z <= 127.0
-5.72x + -0.49y + 0.67z <= 487.87
-6.9x + -3.66y + 5.73z <= 525.79
3.67x + 4.08y + 3.79z <= 101.94
-8.19x + 4.16y + -1.93z <= 754.5
4.52x + -1.55y + 8.56z <= 828.67
-4.61x + -5.28y + -0.81z <= 129.66
-5.87x + 1.33y + 3.03z <= 597.29
-9.69x + 9.27y + -7.33z <= 417.88
-0.2x + -6.3y + -2.26z <= 954.95
0.41x + -8.36y + 3.65z <= 611.17
2.19x + 9.81y + -5.86z <= 454.68
-8.84x + 0.78y + -5.27z <= 807.62
-0.78x + 9.17y + 0.92z <= 867.28
7.0x + 2.95y + -5.52z <= 485.32
-7.41x + -3.99y + -1.74z <= 140.48
2.15x + -3.49y + 2.46z <= 706.53
-6.3x + -1.67y + 9.96z <= 674.88
-3.32x + 1.91y + 6.97z <= 225.02
3.37x + 6.2y + 8.69z <= 700.28
-1.06x + -4.1y + -2.23z <= 336.28
-0.85x + -3.19y + -1.21z <= 604.92
-5.43x + -5.39y + -1.12z <= 259.29
-0.75x + -4.51y + -8.29z <= 993.86
-2.67x + -4.68y + -1.62z <= 761.65
6.68x + -9.68y + 7.23z <= 538.44
-9.6x + -8.19y + 8.37z <= 244.27
-3.56x + 1.18y + -1.01z <= 706.36
3.47x + 8.66y + -1.05z <= 155.81
-5.3x + 3.92y + -6.62z <= 534.01
1.46x + 6.44y + -3.57z <= 153.93
-8.47x + 0.79y + 6.87z <= 922.64
1.68x + 9.1y + 8.03z <= 459.17
-0.31x + 0.21y + -1.72z <= 256.89
1.09x + -3.25y + -5.29z <= 347.06
-2.37x + -2.81y + 0.08z <= 705.47
-5.01x + 6.27y + 3.08z <= 680.76
2.33x + 7.68y + 1.94z <= 710.94
8.91x + 8.17y + 6.28z <= 711.82
-6.47x + -6.52y + 6.66z <= 665.31
-5.61x + -10.0y + 3.42z <= 643.44
-1.99x + 4.69y + -5.97z <= 866.88
-7.57x + 4.82y + 6.97z <= 362.47
7.9x + 5.24y + -5.42z <= 712.81
0.96x + -1.0y + -0.27z <= 553.81
3.54x + -2.21y + -8.02z <= 496.8
6.17x + 2.14y + -4.57z <= 296.74
5.86x + 8.76y + 8.49z <= 647.64
-5.41x + 6.34y + -9.3z <= 483.31
3.62x + -0.37y + 4.07z <= 125.68
-5.13x + -3.94y + -1.1z <= 557.93
4.53x + 4.34y + 7.8z <= 805.55
8.79x + -8.46y + 3.21z <= 214.42
8.25x + -2.47y + 3.78z <= 908.91
-0.98x + 4.42y + -9.58z <= 350.75
5.35x + 7.07y + 4.64z <= 420.75
-0.18x + -2.84y + 0.9z <= 702.44
-7.32x + -7.88y + 0.74z <= 929.57
-0.96x + -8.62y + 1.5z <= 522.42
-2.29x + 7.13y + -8.65z <= 924.44
-1.92x + 1.9y + 4.25z <= 281.61
0.39x + 4.58y + 5.61z <= 333.4
3.57x + 4.99y + 9.74z <= 832.64
3.46x + 5.82y + 8.26z <= 997.66
3.93x + -0.27y + -9.79z <= 582.88
-0.46x + -4.69y + 2.38z <= 713.73
-3.8x + 0.42y + -6.03z <= 980.73
7.24x + 2.9y + -4.55z <= 606.69
-5.47x + -9.09y + 0.86z <= 326.05
-8.62x + -4.32y + 7.43z <= 930.98
-9.69x + 7.19y + 7.85z <= 616.88
-2.19x + -8.65y + -7.04z <= 295.87
-4.83x + -7.25y + 0.35z <= 479.19
6.43x + 3.07y + 0.26z <= 367.81
-9.18x + 5.87y + -7.11z <= 846.33
-6.39x + -8.39y + -4.2z <= 681.27
9.86x + 5.77y + -7.39z <= 788.69
6.79x + -2.07y + 4.22z <= 394.27
-4.14x + -4.51y + -5.76z <= 934.81
-0.78x + 0.9y + 1.8z <= 643.39
1.93x + 2.66y + 6.4z <= 323.47
7.82x + -1.0y + -8.86z <= 658.78
-4.75x + 1.99y + -2.9z <= 593.09
-2.32x + 2.24y + -1.66z <= 277.6
8.02x + 7.05y + 8.22z <= 299.04
9.15x + -0.86y + -4.54z <= 145.61
8.09x + 5.77y + -7.67z <= 209.73
9.32x + 1.58y + -1.49z <= 566.77
3.31x + 8.76y + -1.34z <= 261.64
-5.18x + 4.52y + 8.56z <= 886.22
-5.23x + -3.57y + -8.87z <= 157.87
-0.88x + 3.3y + -1.33z <= 832.22
-7.94x + -9.73y + -4.44z <= 206.14
-0.2x + 0.13y + -8.28z <= 530.92
9.91x + 3.41y + -9.58z <= 402.99
-1.51x + 5.29y + -1.0z <= 752.5
-3.47x + 5.53y + -3.37z <= 136.27
-7.68x + 3.72y + -5.25z <= 675.89
6.21x + 6.85y + -9.78z <= 379.21
-0.05x + -5.74y + -3.58z <= 918.24
0.99x + -8.95y + 3.16z <= 512.56
-2.88x + -1.94y + 8.58z <= 435.95
1.85x + -7.01y + 2.3z <= 509.7
-5.43x + -8.12y + 8.25z <= 342.34
1.84x + 9.73y + -6.84z <= 525.01
-9.81x + 3.27y + -4.65z <= 249.44
-8.27x + 9.82y + -1.93z <= 697.95
1.93x + 5.4y + -1.42z <= 186.64
2.17x + 3.27y + -1.63z <= 912.06
-4.33x + -2.91y + 8.71z <= 437.28
-6.2x + -8.97y + -3.62z <= 993.89
7.16x + -4.51y + 0.65z <= 956.84
1.78x + 7.04y + 4.83z <= 188.22
5.22x + -1.16y + -3.79z <= 861.89
-4.28x + -7.85y + 7.92z <= 768.77
-5.48x + -7.87y + 0.66z <= 712.69
4.4x + 8.1y + -6.8z <= 490.25
0.12x + 2.98y + -5.9z <= 419.22
-2.32x + -0.09y + 4.17z <= 538.76
7.47x + -3.23y + -1.82z <= 792.89
3.47x + 1.97y + 4.61z <= 572.28
2.41x + 8.35y + 4.24z <= 797.44
-9.8x + -0.4y + 3.76z <= 688.05
7.53x + -2.0y + 4.09z <= 622.23
2.22x + 3.23y + -8.74z <= 797.61
-9.42x + -7.36y + -0.78z <= 203.48
-6.77x + 0.18y + -5.31z <= 302.65
-0.25x + -6.62y + -9.27z <= 255.78
-0.9x + -5.01y + -9.96z <= 512.93
9.92x + -6.33y + 0.25z <= 812.91
8.88x + -3.12y + -5.04z <= 836.4
1.76x + 1.07y + -7.55z <= 310.62
-4.95x + 8.42y + -7.3z <= 711.74
-9.03x + 6.64y + 7.21z <= 720.1
-9.57x + 1.65y + 5.02z <= 323.95
2.13x + 2.52y + 8.22z <= 533.83
-9.54x + 5.28y + 3.38z <= 810.42
-6.83x + -8.84y + 1.89z <= 526.64
-8.2x + -4.29y + 3.31z <= 424.5
-6.54x + 4.67y + -0.32z <= 216.65
-5.24x + 1.16y + 7.6z <= 734.31
-4.69x + 9.88y + -8.93z <= 863.25
0.71x + -5.95y + -8.91z <= 417.48
3.67x + 9.94y + -6.69z <= 898.92
5.01x + -4.7y + 9.23z <= 827.89
-1.99x + -3.69y + -2.19z <= 109.57
-5.38x + 7.4y + 0.8z <= 517.1
-9.02x + -1.22y + 6.63z <= 898.16
7.11x + 2.84y + -6.14z <= 814.19
-0.7x + -8.6y + 3.48z <= 642.48
-5.86x + -6.58y + 8.6z <= 744.99
8.65x + 2.91y + -1.18z <= 643.86
4.79x + -4.25y + 9.2z <= 141.61
1.44x + 0.43y + -7.18z <= 852.04
-4.58x + 6.59y + -2.33z <= 322.83
1.91x + 3.51y + 7.79z <= 668.98
8.93x + 9.78y + -4.93z <= 369.58
7.99x + 8.23y + 8.93z <= 147.08
0.84x + 6.15y + 0.42z <= 835.61
-9.11x + -4.52y + 9.57z <= 889.12
6.48x + 7.09y + -2.42z <= 356.62
8.24x + 6.4y + -4.96z <= 351.87
-0.85x + 6.79y + 8.37z <= 958.58
6.68x + 7.79y + -3.05z <= 980.73
9.29x + 2.7y + 2.33z <= 102.79
8.79x + -1.86y + -7.29z <= 539.91
6.42x + -9.51y + 0.77z <= 804.31
4.81x + 7.23y + 9.46z <= 523.15
-7.53x + 7.91y + -5.91z <= 688.25
4.75x + 6.62y + -5.44z <= 383.08
7.89x + 0.73y + -3.36z <= 171.63
0.98x + -0.51y + -9.48z <= 569.75
-9.9x + -0.44y + 5.46z <= 303.34
-9.72x + 1.95y + -4.93z <= 316.48
-8.26x + -1.19y + 3.69z <= 862.54
-7.37x + -7.23y + -8.68z <= 975.82
-5.16x + -0.71y + -8.79z <= 463.91
-8.45x + 2.07y + -3.18z <= 295.14
7.12x + -5.88y + -9.2z <= 396.68
-5.89x + 5.27y + 9.8z <= 942.81
0.22x + 7.67y + 4.15z <= 942.5
7.62x + -9.54y + -1.38z <= 996.91
-6.16x + -1.04y + 6.13z <= 693.95
-5.24x + 9.13y + -2.51z <= 595.53
-5.2x + 5.01y + -4.81z <= 599.96
2.15x + 9.31y + 6.58z <= 125.07
9.19x + 0.32y + 8.21z <= 728.3
4.58x + -4.63y + -6.72z <= 570.88
-1.62x + 1.95y + 1.62z <= 184.22
9.96x + 7.7y + 8.74z <= 431.51
-3.53x + 1.23y + -9.85z <= 140.8
-4.45x + 7.95y + 3.18z <= 717.63
0.98x + -4.66y + 6.54z <= 140.78
5.05x + 8.77y + -1.4z <= 301.91
-6.39x + 4.44y + -9.24z <= 765.83
-7.73x + -8.72y + -9.18z <= 199.93
-1.63x + -5.23y + -5.34z <= 505.33
-8.15x + 0.67y + 0.32z <= 692.41
5.09x + 2.21y + 0.03z <= 299.15
-8.1x + -0.19y + 1.61z <= 347.09
7.16x + 5.58y + -5.13z <= 883.34
-9.1x + -6.43y + 3.54z <= 297.27
2.91x + -3.03y + -3.41z <= 230.65
-4.2x + -9.92y + 2.52z <= 399.16
-4.59x + 5.91y + 8.52z <= 414.5
3.04x + 6.75y + -3.37z <= 201.66
-6.53x + 6.36y + 5.23z <= 493.76
-5.79x + 1.69y + 2.29z <= 151.84
-2.23x + -5.49y + 7.49z <= 505.69
8.73x + -0.66y + 4.87z <= 802.41
-1.01x + -3.59y + -2.78z <= 226.94
9.26x + -3.97y + 2.95z <= 505.54
-3.21x + 4.72y + -1.4z <= 397.75
6.85x + 4.0y + -6.89z <= 365.18
9.1x + -1.48y + 2.48z <= 862.69
6.5x + 9.17y + -7.83z <= 296.98
-9.75x + -6.0y + -8.39z <= 750.77
0.9x + -3.09y + -3.69z <= 870.34
-1.24x + 7.47y + -1.54z <= 552.08
4.82x + -2.17y + -2.13z <= 198.7
-5.96x + 1.17y + -5.25z <= 626.46
-7.62x + -9.61y + -9.29z <= 606.64
3.82x + -9.26y + 3.74z <= 707.62
-0.06x + 9.32y + -2.36z <= 888.84
8.42x + 3.82y + -2.95z <= 540.02
-2.75x + 6.46y + 8.35z <= 206.57
10.0x + -3.43y + -4.25z <= 652.7
9.5x + -4.51y + -4.83z <= 557.7
6.07x + 6.66y + 9.28z <= 672.52
-1.38x + -7.32y + 1.54z <= 705.06
-3.81x + 3.07y + -5.41z <= 860.43
7.83x + -8.29y + 4.54z <= 455.91
1.46x + -4.3y + -0.08z <= 983.05
-3.4x + -5.51y + -2.49z <= 266.81
-6.21x + 2.62y + -2.26z <= 695.6
4.97x + 3.01y + -9.68z <= 604.1
-8.02x + -1.05y + 5.23z <= 358.47
-5.6x + 4.14y + 3.34z <= 826.69
4.93x + 6.05y + 5.46z <= 102.14
0.6x + -4.11y + -3.47z <= 138.44
-7.83x + 0.61y + 7.82z <= 589.6
-8.54x + -5.91y + 6.53z <= 963.69
3.5x + 9.98y + 1.33z <= 135.9
5.32x + 4.46y + -2.97z <= 630.28
2.42x + -4.29y + 5.04z <= 961.78
-6.22x + 6.72y + 0.59z <= 742.21
5.34x + -2.58y + 9.68z <= 628.97
-2.56x + 6.3y + -8.9z <= 110.07
-7.23x + 6.37y + 7.65z <= 574.15
0.55x + -0.04y + 4.42z <= 774.1
4.38x + -2.91y + -8.63z <= 497.2
1.27x + 9.22y + 0.78z <= 577.55
-5.66x + -6.1y + -8.42z <= 441.05
-5.41x + 7.33y + 0.61z <= 765.67
4.83x + -8.94y + 7.17z <= 185.76
5.05x + -6.74y + 7.38z <= 475.85
-3.29x + 0.82y + -2.19z <= 597.51
-9.71x + 3.21y + 7.3z <= 696.55
-0.63x + 5.18y + 0.79z <= 563.72
6.34x + -8.22y + 6.52z <= 290.3
-8.43x + 1.02y + 3.01z <= 586.12
6.83x + -0.4y + -3.93z <= 947.37
2.13x + -5.72y + -7.26z <= 644.13
9.56x + 7.22y + 2.96z <= 355.26
7.33x + 6.32y + 8.42z <= 612.08
-9.33x + 5.08y + -4.12z <= 823.55
8.97x + -6.94y + -4.08z <= 575.6
-5.28x + -5.91y + 3.1z <= 345.48
-7.46x + -8.19y + -2.36z <= 714.29
5.23x + -0.19y + 5.37z <= 507.65
6.35x + -0.71y + -1.6z <= 213.46
-9.12x + -0.91y + 9.1z <= 208.19
-3.64x + -9.11y + 5.78z <= 271.9
-7.93x + -0.03y + -2.27z <= 788.26
8.28x + -2.97y + 4.53z <= 521.49
-2.31x + -8.37y + -3.37z <= 340.22
-8.32x + 9.13y + 6.36z <= 461.33
3.06x + -1.18y + -6.56z <= 349.48
-1.4x + -2.61y + 5.37z <= 169.37
6.21x + -1.05y + 1.9z <= 127.06
1.91x + -2.79y + -3.18z <= 829.93
4.45x + -1.79y + 2.59z <= 754.86
-9.75x + 6.94y + 2.92z <= 494.99
9.43x + 8.03y + -2.94z <= 558.55
-7.04x + -9.02y + -3.25z <= 930.13
2.32x + -3.43y + -0.69z <= 883.17
1.96x + -1.86y + -2.58z <= 729.26
8.75x + -2.62y + -9.36z <= 681.0
-9.43x + 7.58y + -8.93z <= 177.98
-5.95x + 0.88y + 5.27z <= 794.45
-4.21x + 8.03y + 6.5z <= 338.01
-5.81x + -9.68y + -6.86z <= 638.46
4.73x + -0.05y + -4.13z <= 503.5
8.47x + -5.32y + -1.27z <= 616.6
4.32x + 2.24y + 1.69z <= 612.96
-2.27x + 7.34y + -0.51z <= 809.95
6.89x + 7.74y + -6.04z <= 970.75
1.56x + -3.6y + -5.4z <= 958.69
7.52x + -5.27y + -0.98z <= 754.72
7.67x + 1.12y + -2.77z <= 796.74
-9.61x + 1.15y + -8.21z <= 479.59
-0.68x + -6.75y + 5.56z <= 328.83
-7.55x + 6.63y + -2.97z <= 839.23
-9.11x + 1.36y + -6.98z <= 662.7
-9.15x + -9.52y + -1.47z <= 328.3
-2.33x + 4.07y + 1.57z <= 162.59
-2.43x + -4.05y + -6.1z <= 826.79
-1.5x + 7.74y + 9.75z <= 999.71
9.46x + -8.03y + 9.91z <= 541.69
3.5x + -9.56y + 0.6z <= 215.8
-3.3x + -8.54y + -0.09z <= 611.26
-7.12x + -9.63y + -3.51z <= 203.44
-0.98x + -1.5y + -7.73z <= 919.98
-5.78x + -6.56y + 8.68z <= 356.78
7.9x + 4.59y + 9.92z <= 354.06
8.08x + 8.22y + 9.11z <= 565.04
3.23x + -0.38y + 6.26z <= 913.67
-0.18x + 0.78y + 9.01z <= 678.6
2.53x + 0.05y + 2.64z <= 166.56
-8.3x + -1.12y + 5.87z <= 619.41
2.27x + 2.94y + 9.53z <= 406.56
1.96x + -9.99y + -0.76z <= 355.66
4.42x + -0.09y + -8.81z <= 797.69
4.05x + 6.31y + -6.7z <= 432.76
-5.7x + -4.75y + -9.11z <= 289.11
7.84x + 8.48y + -8.74z <= 938.35
7.29x + -8.75y + 0.41z <= 861.6
7.47x + 5.65y + 9.07z <= 332.52
6.39x + 4.23y + -9.43z <= 431.72
-0.78x + 3.16y + -5.46z <= 624.11
9.98x + 8.32y + -9.76z <= 634.64
1.1x + 8.98y + -3.22z <= 396.28
-9.93x + -1.28y + 9.43z <= 713.16
6.65x + 7.54y + 6.0z <= 767.31
-0.28x + 7.96y + -6.13z <= 321.61
1.6x + 0.91y + -0.76z <= 577.45
0.4x + 8.8y + 6.8z <= 697.57
-0.54x + -8.52y + 1.64z <= 603.12
-7.43x + -4.13y + 4.39z <= 668.45
6.82x + 6.59y + 7.27z <= 412.53
9.49x + 0.5y + -3.42z <= 366.64
7.71x + -2.18y + -7.99z <= 247.55
5.73x + 7.86y + 9.02z <= 729.57
4.39x + -0.1y + 6.28z <= 639.14
-3.22x + -0.81y + -4.4z <= 550.85
-8.89x + -5.17y + -8.72z <= 291.0
5.22x + 9.1y + 5.31z <= 638.41
-7.82x + 7.17y + 2.99z <= 768.76
4.17x + -4.09y + 7.19z <= 771.48
-4.88x + 4.64y + 3.8z <= 950.0
4.02x + -0.39y + -0.7z <= 751.49
7.48x + -8.73y + 7.18z <= 195.47
2.44x + 5.3y + 0.42z <= 956.28
-3.39x + -0.98y + -5.37z <= 501.76
-7.31x + 5.46y + -6.92z <= 170.78
8.99x + -0.45y + 2.75z <= 598.04
-7.45x + -1.76y + 9.91z <= 164.62
4.82x + -8.03y + -0.68z <= 694.71
-0.27x + 6.69y + -2.09z <= 977.33
4.51x + 4.84y + -5.54z <= 766.75
1.18x + 6.88y + -4.36z <= 502.92
-7.0x + -3.88y + 0.79z <= 931.17
-0.79x + 0.77y + -8.67z <= 234.45
-4.08x + 7.06y + 2.92z <= 150.28
-8.47x + 4.42y + 7.87z <= 173.21
7.69x + 5.47y + -6.92z <= 296.6
4.45x + 6.63y + -3.7z <= 613.93
5.41x + -5.34y + -8.91z <= 198.41
7.34x + 5.13y + -2.3z <= 531.63
-4.33x + -2.77y + -9.58z <= 811.63
9.81x + -4.48y + 4.81z <= 553.12
-0.66x + -8.98y + -0.7z <= 439.76
2.35x + 2.33y + 8.05z <= 867.34
-6.07x + -0.86y + 7.37z <= 349.56
-9.17x + -2.9y + 3.93z <= 645.47
3.81x + -6.55y + -9.44z <= 927.68
5.82x + 2.63y + 6.71z <= 923.61
-5.27x + 0.03y + -0.42z <= 877.23
-2.53x + 7.75y + 0.72z <= 900.74
9.3x + -5.43y + 6.57z <= 117.86
3.28x + -5.92y + 9.78z <= 587.45
1.82x + -2.26y + -0.86z <= 760.66
7.57x + 5.34y + -8.92z <= 730.68
-5.89x + 7.66y + -7.9z <= 783.71
1.66x + -3.29y + 6.92z <= 904.74
0.38x + -3.4y + 4.87z <= 658.53
-2.86x + -4.6y + -8.52z <= 643.67
-1.87x + -2.26y + -6.67z <= 949.99
5.28x + -2.68y + 9.22z <= 665.78
-7.04x + -2.7y + -9.4z <= 913.64
4.08x + -8.93y + -3.71z <= 100.3
9.52x + 0.51y + 4.31z <= 702.13
-5.26x + 0.32y + 6.79z <= 551.77
1.34x + -6.62y + -6.91z <= 117.39
-9.84x + 1.57y + 0.04z <= 292.27
-1.17x + -4.89y + -1.51z <= 449.59
-7.86x + 5.85y + 7.8z <= 742.43
-5.64x + -1.47y + 9.79z <= 987.87
-1.36x + -8.54y + 4.55z <= 336.82
5.34x + -6.6y + 1.84z <= 198.24
-8.59x + 2.24y + 1.17z <= 981.81
-3.09x + -5.94y + 9.72z <= 686.29
-3.93x + -8.87y + 5.71z <= 947.3
8.82x + -8.65y + -4.6z <= 333.5
-8.25x + 7.99y + -3.74z <= 412.09
-3.4x + 3.94y + 5.74z <= 603.5
1.44x + 4.59y + 1.9z <= 969.14
5.33x + -6.63y + 6.42z <= 708.63
-8.17x + 5.81y + -3.91z <= 538.72
-6.65x + 4.26y + 9.79z <= 968.65
-9.35x + -4.44y + -0.82z <= 139.91
9.9x + -7.69y + 2.89z <= 928.28
-9.94x + -0.63y + -9.4z <= 452.44
5.51x + -0.33y + 8.14z <= 509.83
2.89x + 6.87y + -7.35z <= 632.29
9.06x + 0.25y + -3.27z <= 934.92
-4.98x + 4.82y + 0.21z <= 232.24
2.75x + -3.45y + -8.1z <= 131.62
0.65x + -4.57y + 8.54z <= 516.73
-5.23x + -9.16y + -3.0z <= 199.29
-8.5x + -5.87y + 8.9z <= 929.62
3.54x + -8.99y + 8.44z <= 505.43
1.44x + -0.96y + 2.89z <= 228.4
-1.29x + 4.41y + -3.09z <= 120.34
-3.26x + -0.08y + 0.74z <= 733.43
-7.06x + 2.69y + -4.35z <= 512.42
8.69x + -9.38y + 1.57z <= 637.47
0.19x + -9.32y + 9.43z <= 353.59
9.11x + 7.46y + 8.4z <= 226.29
-6.82x + -1.16y + -4.93z <= 155.18
7.4x + -9.44y + 0.09z <= 594.74
5.51x + -5.41y + 0.32z <= 458.6
4.31x + 8.98y + -2.78z <= 291.03
-7.84x + -6.91y + 0.96z <= 962.62
3.69x + 0.34y + 2.56z <= 994.1
-7.15x + 9.38y + 4.65z <= 829.09
-9.36x + -4.94y + 1.27z <= 755.65
5.3x + -6.85y + 9.87z <= 639.84
-9.86x + 5.03y + 3.04z <= 255.37
-4.27x + -1.41y + 8.36z <= 801.43
-4.17x + -7.56y + 8.86z <= 882.54
0.23x + -4.56y + -8.69z <= 675.58
