max 7.72x + -4.04y + 3.37z
-3.55x + -1.94y + 4.72z <= 931.96
-2.05x + 6.73y + -1.71z <= 745.37
-3.74x + 4.22y + 2.01z <= 527.92
2.42x + -1.7y + 1.57z <= 653.58
0.7x + -4.7y + 9.3z <= 155.61
6.65x + 8.28y + 5.81z <= 528.18
8.48x + 3.06y + -3.6z <= 225.43
-9.58x + 2.93y + 1.75z <= 734.86
-2.2x + 7.77y + -2.17z <= 921.92
8.05x + 8.91y + 3.38z <= 280.64
-7.62x + 5.5y + 0.64z <= 485.31
-5.26x + 2.33y + 2.38z <= 454.27
5.95x + 7.91y + -3.92z <= 236.45
1.61x + -6.35y + 7.85z <= 806.42
3.66x + 1.49y + -8.64z <= 331.22
-7.57x + 9.85y + -8.33z <= 729.84
7.22x + 2.78y + -7.79z <= 144.26
-2.91x + 0.69y + 0.73z <= 275.31
2.59x + -2.69y + 8.67z <= 392.91
0.89x + 7.74y + -1.11z <= 421.76
-6.52x + 1.15y + 5.0z <= 581.57
7.12x + 7.25y + -4.55z <= 262.68
-4.96x + 9.03y + -6.43z <= 292.98
-8.45x + -2.6y + 3.09z <= 739.03
-4.22x + -1.18y + 1.42z <= 158.93
-5.42x + 4.19y + 0.33z <= 630.93
5.23x + 4.33y + 4.02z <= 963.06
-0.16x + 3.9y + -2.81z <= 571.78
0.34x + 2.77y + -0.38z <= 120.2
9.62x + -3.75y + 5.25z <= 170.62
-5.05x + 8.09y + -9.92z <= 640.08
-7.01x + 0.63y + 5.79z <= 746.01
0.33x + 1.26y + 4.61z <= 148.11
4.22x + -0.01y + -8.63z <= 373.93
8.42x + 2.04y + -3.57z <= 434.11
-1.26x + 2.78y + 0.13z <= 653.5
-1.05x + 1.19y + -8.47z <= 722.38
-2.46x + 9.85y + -5.58z <= 889.9
-2.82x + -0.41y + -0.85z <= 118.71
5.32x + 2.16y + 4.74z <= 162.01
7.51x + 4.08y + 9.29z <= 191.58
6.62x + -4.34y + -9.08z <= 180.13
-0.89x + 6.84y + 6.77z <= 729.51
-4.41x + -0.94y + -9.53z <= 890.88
3.27x + -1.38y + -5.19z <= 922.77
8.27x + -7.15y + 2.05z <= 914.13
-6.49x + -4.94y + 7.24z <= 431.77
-8.08x + 9.47y + 8.13z <= 215.02
9.95x + 2.62y + -1.08z <= 920.37
0.71x + 9.57y + 2.44z <= 827.58
9.83x + -7.64y + 0.47z <= 291.41
6.25x + -7.57y + -9.21z <= 790.49
-8.16x + -3.66y + 1.43z <= 401.16
-5.64x + 2.62y + 8.98z <= 185.86
0.02x + -2.16y + 0.14z <= 578.03
-3.57x + -8.44y + -0.14z <= 234.77
2.92x + -0.76y + 2.99z <= 390.32
-1.56x + -8.15y + -6.21z <= 944.8
2.87x + 2.94y + 5.71z <= 157.06
-4.9x + -7.12y + -2.78z <= 111.76
-0.17x + 9.29y + -8.95z <= 883.89
3.57x + -7.97y + 2.93z <= 420.81
-0.76x + -7.73y + 3.67z <= 653.16
-1.11x + 9.85y + -8.17z <= 411.18
1.44x + 1.71y + -8.98z <= 879.46
5.48x + 0.46y + -3.17z <= 245.44
7.47x + 4.74y + -4.45z <= 642.26
8.42x + -9.13y + 7.37z <= 842.56
-0.54x + -8.06y + -5.91z <= 912.31
3.86x + 6.43y + 4.7z <= 721.11
7.28x + -2.67y + -1.33z <= 683.52
-1.43x + 2.54y + -6.05z <= 472.49
-2.45x + -8.62y + 8.32z <= 754.68
-1.61x + 2.48y + 4.67z <= 970.49
9.01x + 6.1y + -1.57z <= 116.42
-6.05x + 9.1y + 6.34z <= 470.14
-2.3x + -0.86y + 8.76z <= 172.19
2.25x + 1.33y + -2.51z <= 285.01
-7.68x + 3.3y + -8.12z <= 296.64
-2.6x + 4.05y + -9.07z <= 220.25
-1.32x + -2.78y + 6.42z <= 802.34
6.26x + 2.4y + 1.27z <= 211.49
5.53x + 8.87y + -2.43z <= 650.5
4.63x + -7.79y + -0.25z <= 566.7
-3.92x + 0.61y + 8.43z <= 418.8
1.16x + -7.66y + -4.46z <= 887.73
3.78x + -4.23y + -7.43z <= 503.14
0.08x + 0.96y + 4.99z <= 861.89
5.34x + -4.19y + 7.0z <= 914.3
-7.89x + 9.19y + 4.25z <= 814.98
2.81x + -8.54y + -7.39z <= 147.87
-9.71x + 2.36y + -9.02z <= 524.8
-5.22x + 4.48y + -6.59z <= 889.42
-5.11x + -5.54y + 2.92z <= 444.74
-5.71x + 2.87y + 8.42z <= 448.96
-6.2x + -9.42y + -1.42z <= 781.25
-1.06x + -4.7y + -6.66z <= 102.23
-7.5x + -6.68y + 4.32z <= 434.68
6.53x + 7.2y + -0.01z <= 299.55
7.24x + -7.88y + 1.29z <= 569.3
-7.88x + 7.27y + 6.78z <= 419.25
-6.73x + 3.7y + 3.72z <= 510.74
-2.02x + 5.03y + 9.14z <= 343.67
9.75x + -1.04y + 8.68z <= 329.35
-0.19x + 7.34y + 1.93z <= 542.03
8.91x + 3.45y + 6.91z <= 596.43
-6.52x + 5.18y + -4.61z <= 469.47
8.11x + 6.91y + 0.33z <= 997.29
5.01x + 8.03y + 1.38z <= 660.94
6.5x + 9.13y + 4.37z <= 792.24
-1.32x + -9.38y + 7.54z <= 923.63
-2.64x + -4.81y + 7.88z <= 504.51
-7.58x + 0.42y + -0.17z <= 796.66
-3.08x + 0.12y + -3.02z <= 740.58
-3.3x + 3.66y + 6.45z <= 480.17
2.56x + 9.63y + 3.01z <= 196.05
-8.5x + -8.68y + 5.7z <= 213.78
-8.78x + -9.76y + 0.99z <= 525.82
-4.88x + 5.79y + 9.8z <= 469.49
3.75x + -8.33y + 8.89z <= 998.71
7.45x + 0.32y + 2.7z <= 126.3
-2.55x + -4.25y + 8.54z <= 851.17
1.89x + 6.04y + -4.21z <= 685.75
-9.62x + -6.22y + -7.68z <= 987.59
-7.61x + 2.2y + -0.57z <= 676.08
-3.12x + -0.48y + -3.43z <= 461.88
-3.94x + -6.67y + 2.32z <= 560.05
-1.29x + -4.23y + 7.67z <= 844.25
-7.55x + -1.23y + -5.57z <= 177.19
-7.14x + -5.89y + 1.3z <= 187.34
-1.92x + 7.32y + 0.54z <= 847.15
-5.26x + 2.07y + 4.3z <= 296.4
-1.84x + 1.29y + -0.1z <= 798.29
8.56x + -6.72y + -3.4z <= 597.21
-9.04x + 3.83y + -3.89z <= 783.85
8.15x + 8.11y + 6.5z <= 853.85
2.47x + -3.55y + 6.6z <= 514.52
0.29x + -1.71y + -7.62z <= 527.83
-1.52x + -3.28y + -3.32z <= 993.57
5.23x + 6.8y + 6.72z <= 741.22
2.49x + -8.69y + 2.34z <= 368.31
9.77x + -0.45y + -1.53z <= 199.46
2.64x + -8.21y + -5.56z <= 461.6
-4.44x + 0.17y + 9.66z <= 384.49
-7.8x + -4.39y + 5.09z <= 994.19
1.42x + 0.8y + 1.46z <= 230.6
-9.74x + -2.81y + 2.78z <= 752.76
-9.54x + 2.13y + -1.17z <= 701.44
-7.26x + 0.1y + 0.14z <= 796.2
-0.93x + 9.84y + 4.63z <= 461.68
-1.19x + 0.57y + -6.94z <= 681.61
4.97x + 2.32y + 6.68z <= 954.23
4.65x + 9.97y + 0.89z <= 586.39
-5.48x + 9.21y + -6.37z <= 775.69
8.65x + -4.26y + 0.42z <= 441.16
-8.42x + 6.65y + -4.57z <= 151.44
0.14x + -7.48y + 4.43z <= 600.69
-9.15x + 0.74y + 0.29z <= 517.21
-3.43x + -2.59y + 2.25z <= 545.55
-9.47x + 8.62y + 2.5z <= 952.73
1.51x + -2.89y + -5.84z <= 886.07
-6.95x + -3.76y + -4.98z <= 113.0
-8.93x + -9.31y + 0.44z <= 607.34
-1.3x + 9.96y + 7.04z <= 623.43
0.85x + 4.09y + -2.74z <= 809.56
-1.98x + 6.79y + 1.69z <= 304.96
2.76x + 5.23y + 8.62z <= 189.28
8.43x + 1.01y + 4.13z <= 665.9
-3.07x + -5.5y + -4.63z <= 628.05
-1.91x + 8.02y + -1.17z <= 322.77
-8.6x + 3.35y + -3.13z <= 494.84
-9.86x + 3.53y + -1.99z <= 814.19
-7.83x + -8.78y + -8.82z <= 656.18
-2.35x + -9.36y + -0.69z <= 372.55
0.12x + -7.37y + -5.49z <= 497.96
7.72x + -0.7y + 8.69z <= 214.51
5.24x + 1.45y + 4.73z <= 583.76
7.87x + 3.56y + 6.3z <= 845.37
3.29x + -1.43y + -6.72z <= 530.62
4.29x + 1.84y + 5.07z <= 427.93
0.85x + 5.92y + -9.68z <= 892.84
-3.04x + -9.42y + 1.15z <= 279.02
7.9x + -5.48y + -8.74z <= 456.47
9.08x + -3.12y + -3.88z <= 374.63
-4.59x + -2.61y + -6.7z <= 686.96
-3.1x + 9.18y + 2.12z <= 747.82
-0.01x + -1.37y + 2.63z <= 862.67
-1.84x + -2.89y + -5.32z <= 777.01
-8.18x + -2.92y + 3.42z <= 461.69
9.15x + -5.98y + 9.67z <= 994.28
-0.68x + 3.16y + -3.73z <= 900.81
1.15x + 1.89y + -6.27z <= 338.45
1.52x + 9.13y + 4.15z <= 869.75
2.67x + 4.67y + -5.98z <= 277.45
-3.9x + -2.6y + 7.77z <= 901.78
9.7x + 6.37y + 5.74z <= 344.18
9.9x + 3.08y + -4.96z <= 109.35
8.94x + -8.27y + 2.05z <= 896.14
-0.1x + 2.29y + -6.56z <= 305.49
-3.62x + -8.74y + 0.05z <= 386.27
-0.53x + -8.35y + 7.34z <= 995.15
-9.39x + -5.08y + 0.39z <= 639.8
8.95x + 5.52y + 8.9z <= 750.04
-3.51x + -6.56y + -7.73z <= 880.33
3.29x + 5.64y + 2.0z <= 883.42
-7.12x + 9.56y + 4.22z <= 805.33
6.98x + 0.13y + 9.23z <= 516.79
8.61x + 8.3y + 7.49z <= 335.28
-7.7x + 3.53y + 8.44z <= 432.1
-5.57x + -4.02y + -3.38z <= 296.27
0.89x + 7.78y + -5.83z <= 755.26
-3.59x + 7.71y + 6.5z <= 403.97
-6.51x + 5.5y + -8.19z <= 116.47
-7.32x + -9.65y + 5.57z <= 570.4
-4.54x + 2.62y + -2.09z <= 365.31
6.9x + 2.81y + 6.94z <= 186.21
9.82x + 7.08y + -9.73z <= 695.77
2.5x + -8.3y + -8.09z <= 596.24
-6.99x + 9.35y + 1.37z <= 762.89
-2.24x + 7.37y + -1.0z <= 895.72
5.93x + -4.46y + 3.36z <= 458.85
-1.35x + -8.85y + 2.11z <= 528.54
-7.41x + 3.15y + 9.96z <= 248.85
-2.43x + 5.21y + -3.88z <= 479.86
2.97x + -3.77y + 2.57z <= 997.63
-9.06x + 9.51y + -2.82z <= 718.41
-0.89x + -7.96y + 5.41z <= 380.51
6.54x + 2.83y + -0.93z <= 107.29
6.18x + -2.16y + -4.02z <= 105.1
5.23x + 6.86y + -5.76z <= 673.27
1.31x + -0.82y + -2.93z <= 314.07
7.45x + 5.18y + -5.5z <= 501.63
5.16x + 5.71y + -6.45z <= 199.69
-5.57x + 4.46y + -1.55z <= 930.73
1.16x + -4.93y + -3.94z <= 790.49
-1.92x + 9.74y + 5.89z <= 667.1
1.76x + 1.39y + 1.43z <= 120.99
-3.39x + 1.41y + -8.67z <= 246.12
-8.22x + -3.88y + -9.53z <= 428.4
2.72x + -3.02y + -3.44z <= 989.95
-9.62x + -0.45y + 0.11z <= 954.0
1.95x + -2.42y + 2.64z <= 188.62
-0.71x + -7.61y + 6.94z <= 640.75
4.72x + -2.93y + 1.73z <= 856.66
2.46x + 0.77y + 4.96z <= 389.56
5.61x + 6.22y + -9.99z <= 794.46
-3.47x + 2.94y + 6.29z <= 886.79
-1.88x + 0.94y + -5.41z <= 284.41
6.29x + -9.35y + -7.68z <= 299.49
4.61x + -2.95y + 0.05z <= 195.18
1.4x + -8.54y + -2.92z <= 567.46
3.61x + 5.03y + -1.91z <= 866.67
-5.27x + 3.98y + 6.73z <= 748.53
5.72x + 6.62y + 0.27z <= 506.5
2.52x + 0.06y + 3.69z <= 367.53
3.61x + -4.47y + -3.41z <= 923.43
1.1x + 8.19y + 5.87z <= 204.66
3.29x + 8.49y + -9.63z <= 516.15
1.8x + -0.5y + 0.3z <= 259.57
4.52x + -8.44y + -2.16z <= 819.49
-3.77x + -1.46y + -4.08z <= 105.63
4.08x + -8.57y + 2.77z <= 972.08
2.16x + -7.54y + -0.75z <= 775.89
-8.54x + 1.79y + -9.03z <= 531.26
-7.89x + -3.48y + -6.58z <= 628.88
7.26x + -2.36y + -9.49z <= 203.34
-6.21x + -7.7y + 7.71z <= 754.04
8.01x + -7.01y + 4.87z <= 351.98
-1.8x + -6.67y + 1.85z <= 622.18
8.53x + -9.99y + -7.05z <= 215.2
6.78x + 4.69y + -2.14z <= 761.63
-4.76x + 6.41y + -1.3z <= 772.08
7.38x + -9.0y + 1.05z <= 333.42
-5.99x + 8.79y + 7.21z <= 694.94
7.91x + -5.79y + -3.4z <= 101.76
-1.79x + -0.83y + 6.19z <= 442.98
8.33x + -2.0y + -0.34z <= 468.3
-0.25x + 7.83y + -1.65z <= 230.79
-3.15x + 4.56y + 3.4z <= 371.03
-5.04x + 6.46y + 3.51z <= 824.74
7.73x + -7.25y + -6.98z <= 907.07
-4.08x + -4.69y + 4.23z <= 549.91
-7.91x + -8.73y + 5.54z <= 661.96
-9.65x + 2.6y + 1.62z <= 676.78
0.63x + -3.29y + -4.7z <= 485.12
-6.36x + 6.03y + -8.5z <= 921.11
-1.34x + 7.71y + 7.53z <= 794.21
2.34x + 1.03y + 7.6z <= 208.8
8.43x + -0.56y + 3.59z <= 779.55
-8.71x + 2.52y + 3.14z <= 467.74
-8.69x + 4.22y + 8.08z <= 872.71
-5.75x + 0.69y + 7.27z <= 214.61
-1.4x + -6.89y + 4.01z <= 206.52
-2.32x + 7.04y + 9.83z <= 953.14
2.52x + 8.55y + -6.78z <= 806.92
-4.84x + 7.5y + 3.19z <= 200.52
9.18x + -3.67y + 0.36z <= 797.26
9.52x + 5.98y + 4.39z <= 905.87
9.24x + -5.31y + 4.54z <= 180.94
0.34x + 3.54y + 1.54z <= 517.33
-1.39x + 8.59y + -6.26z <= 457.11
-0.54x + 9.74y + -6.66z <= 661.88
-8.67x + 7.64y + 8.79z <= 903.45
1.05x + -5.31y + 2.96z <= 714.84
6.5x + 8.56y + -1.7z <= 613.78
-5.77x + -1.75y + -8.83z <= 727.1
8.95x + 3.63y + -3.43z <= 778.69
4.13x + 6.1y + 1.12z <= 380.28
-0.71x + 2.81y + 2.07z <= 240.02
-4.89x + 9.94y + -4.15z <= 687.49
2.18x + -2.98y + -6.08z <= 942.63
7.73x + 3.57y + -0.61z <= 353.21
8.35x + 8.13y + -7.44z <= 299.95
-5.45x + 6.64y + 2.42z <= 943.85
-2.91x + 8.3y + 9.1z <= 845.12
-0.71x + 9.27y + -6.7z <= 934.18
-5.45x + 2.53y + -4.13z <= 889.75
-8.93x + -7.48y + 8.96z <= 292.38
3.93x + -7.22y + 7.21z <= 921.95
-1.92x + 7.64y + -1.16z <= 490.5
-6.43x + 9.42y + 4.34z <= 883.5
5.8x + 5.07y + 1.3z <= 832.58
-6.82x + 8.25y + -6.67z <= 896.64
-3.69x + 4.92y + 5.71z <= 261.91
0.54x + 1.89y + 2.58z <= 337.69
-9.28x + 0.57y + 0.37z <= 819.22
6.48x + -7.5y + 0.19z <= 934.14
-2.66x + 1.04y + -1.99z <= 939.93
-7.33x + 1.49y + -5.31z <= 533.57
4.77x + 1.27y + 6.91z <= 806.25
0.62x + 7.49y + 7.02z <= 512.67
-6.59x + 2.11y + -2.88z <= 806.9
6.14x + 0.52y + -4.76z <= 572.45
5.25x + 3.29y + -0.08z <= 866.23
-2.21x + 0.76y + -1.14z <= 841.63
-4.58x + -2.3y + 8.67z <= 528.14
4.37x + -9.13y + -5.11z <= 438.97
-4.39x + -8.8y + -0.8z <= 216.28
-2.07x + -0.87y + 7.55z <= 700.98
-8.71x + -6.04y + -8.7z <= 671.92
5.59x + 9.75y + 9.8z <= 101.23
5.22x + 6.41y + 3.73z <= 884.94
9.87x + 4.04y + 9.66z <= 895.68
8.07x + 3.71y + 8.61z <= 281.54
5.14x + -0.37y + 0.08z <= 104.41
-2.92x + -4.1y + 6.49z <= 486.66
2.49x + 2.39y + 8.91z <= 795.89
-2.4x + 1.24y + 4.85z <= 797.07
4.25x + -3.8y + 3.53z <= 138.53
7.24x + -2.56y + -8.64z <= 320.74
-0.36x + 4.65y + -7.16z <= 618.58
3.81x + -3.8y + 9.41z <= 618.08
-7.66x + 4.62y + 7.15z <= 595.15
-9.69x + -1.22y + -9.03z <= 881.98
-8.72x + 8.89y + 0.15z <= 692.42
9.97x + 3.03y + -1.91z <= 766.33
5.28x + 6.36y + 9.51z <= 647.48
7.55x + -9.47y + 4.12z <= 599.94
3.62x + 1.35y + 6.84z <= 409.67
6.97x + -5.53y + 4.8z <= 620.6
8.05x + -8.67y + 8.27z <= 580.17
2.55x + 6.27y + 1.47z <= 721.68
1.3x + -9.37y + -9.0z <= 313.14
0.31x + -4.58y + -7.33z <= 346.33
0.42x + -2.42y + -0.36z <= 385.81
2.48x + -3.68y + 4.04z <= 264.53
-6.76x + 4.24y + 5.52z <= 444.9
-5.95x + 5.44y + -6.6z <= 819.71
0.86x + 9.48y + -6.64z <= 949.46
-5.15x + -9.97y + -8.57z <= 714.87
7.13x + 1.52y + -4.69z <= 573.8
-6.27x + -3.22y + -7.33z <= 488.79
-2.25x + -5.13y + 5.9z <= 116.82
8.15x + -9.14y + 6.6z <= 945.7
3.84x + -7.77y + -3.12z <= 493.12
-7.45x + -2.41y + 6.14z <= 326.81
-1.46x + 6.68y + 1.88z <= 850.91
-4.66x + -6.68y + -3.56z <= 169.31
-5.93x + 8.71y + 9.84z <= 568.71
1.65x + 2.01y + 6.48z <= 404.34
2.34x + -1.77y + -6.0z <= 183.72
3.49x + 7.46y + 1.17z <= 414.46
-1.87x + -3.2y + 9.36z <= 512.66
4.27x + 3.11y + 5.48z <= 863.89
7.2x + 3.13y + -7.78z <= 590.35
2.83x + -6.6y + -9.23z <= 351.4
-9.78x + 5.99y + -4.55z <= 914.36
-5.81x + 7.29y + 6.53z <= 129.17
-1.34x + 0.86y + 6.35z <= 893.39
-8.12x + 4.84y + -5.47z <= 232.06
9.73x + 8.44y + 1.4z <= 511.3
-5.05x + -6.2y + 1.87z <= 181.37
5.97x + -0.59y + -9.44z <= 637.5
4.77x + 7.16y + -4.38z <= 537.13
7.16x + -2.52y + 6.68z <= 500.22
-9.65x + 1.23y + 4.29z <= 916.85
-3.52x + 0.05y + -8.48z <= 775.81
6.32x + -9.54y + 3.68z <= 681.23
-5.74x + 5.8y + 6.71z <= 514.93
1.23x + -0.97y + 7.14z <= 388.32
2.65x + 2.62y + 1.37z <= 563.94
2.32x + -1.41y + 8.23z <= 693.58
6.71x + 8.66y + -6.73z <= 862.51
8.45x + 4.67y + 2.27z <= 132.96
-6.22x + 7.1y + 7.44z <= 799.81
-5.8x + -3.22y + -7.16z <= 476.57
-2.8x + 3.79y + 9.35z <= 237.23
2.86x + -7.16y + 3.0z <= 460.91
-6.91x + 2.42y + 3.91z <= 899.14
-4.84x + 9.69y + -1.38z <= 443.26
-8.66x + 2.33y + 2.47z <= 340.98
-8.28x + 5.44y + -3.14z <= 119.62
8.27x + -7.1y + 5.11z <= 581.76
-8.58x + -2.84y + 9.44z <= 505.73
-7.76x + 2.91y + -5.06z <= 394.98
-3.52x + -0.87y + 0.91z <= 108.36
-1.94x + -2.51y + -5.54z <= 208.96
-9.07x + 2.25y + 3.62z <= 961.51
3.07x + -9.94y + 7.53z <= 260.29
5.56x + 0.79y + 0.49z <= 133.07
-5.08x + -5.42y + -5.26z <= 286.01
-0.16x + -1.6y + 5.72z <= 861.07
-8.49x + 0.27y + 0.63z <= 303.98
9.54x + -6.83y + -3.61z <= 587.39
2.45x + -7.88y + 4.93z <= 296.21
7.69x + 5.69y + -1.3z <= 718.99
-2.47x + -1.18y + -9.1z <= 646.97
6.42x + -1.4y + 0.51z <= 757.53
4.8x + -2.31y + 6.44z <= 111.77
-9.11x + 8.58y + 0.71z <= 894.22
-5.11x + 5.55y + 4.94z <= 682.18
8.7x + 3.74y + 3.66z <= 228.2
-4.3x + -1.39y + 5.54z <= 103.78
-1.53x + -0.17y + 1.08z <= 311.3
2.52x + -1.58y + 2.67z <= 466.68
-7.69x + -7.54y + 9.86z <= 940.72
-0.37x + 6.83y + -2.59z <= 395.67
-6.89x + 1.33y + 7.96z <= 594.55
-9.56x + -8.75y + 7.65z <= 910.46
2.19x + -4.43y + -9.86z <= 991.23
-5.61x + 0.76y + -9.33z <= 803.37
-1.74x + 4.37y + -1.08z <= 829.87
9.08x + 0.37y + 2.56z <= 840.77
8.1x + 8.19y + 8.73z <= 629.81
0.84x + -0.64y + -5.62z <= 334.34
4.3x + -3.01y + -0.6z <= 168.81
6.31x + -7.18y + -3.58z <= 667.4
2.26x + 6.44y + -3.64z <= 321.66
7.06x + -9.24y + 2.97z <= 701.14
-3.35x + 1.51y + -0.55z <= 373.06
1.97x + -4.15y + -3.07z <= 597.78
5.87x + 9.0y + 6.39z <= 186.79
-6.93x + -1.55y + -3.79z <= 708.15
5.46x + 5.44y + -4.11z <= 493.73
-6.9x + -1.8y + 3.2z <= 877.27
-6.75x + -0.35y + 2.4z <= 304.65
2.46x + -6.28y + -8.71z <= 155.36
-6.95x + 2.85y + 7.76z <= 231.17
0.7x + 8.86y + -5.25z <= 241.99
-8.0x + -0.64y + -0.62z <= 968.24
9.43x + -5.3y + 9.9z <= 731.78
7.08x + -5.13y + -4.53z <= 967.36
-7.81x + 0.05y + 5.95z <= 766.23
-3.99x + 9.93y + 4.21z <= 701.89
-9.02x + 2.88y + -8.51z <= 215.31
0.52x + -1.73y + 8.25z <= 124.28
3.38x + -4.18y + 0.97z <= 492.56
-2.43x + 3.24y + -2.78z <= 387.68
1.59x + 0.73y + 3.39z <= 878.47
1.29x + -4.53y + -1.36z <= 320.7
-1.02x + 2.42y + 2.94z <= 665.46
8.15x + -8.42y + 3.05z <= 983.53
-5.23x + -2.96y + -5.86z <= 723.94
-9.73x + 7.72y + 9.1z <= 765.1
4.61x + -4.79y + -9.5z <= 197.56
9.91x + 5.91y + -9.72z <= 262.25
9.48x + 2.78y + 0.66z <= 412.59
-6.34x + 1.14y + -6.25z <= 987.6
-6.39x + -1.67y + 2.83z <= 395.05
7.59x + 4.2y + 4.49z <= 957.78
-2.99x + -4.13y + -7.78z <= 132.69
-6.1x + -2.73y + 4.06z <= 366.28
-5.52x + -1.8y + -5.46z <= 317.18
7.41x + -4.27y + -3.87z <= 737.78
-4.6x + -5.8y + 9.06z <= 502.7
-3.53x + -6.02y + 6.92z <= 203.32
0.17x + 8.3y + -1.31z <= 741.21
8.94x + -0.11y + -8.43z <= 607.4
-2.36x + 3.46y + 9.81z <= 506.66
-9.26x + 8.13y + -9.56z <= 558.67
9.22x + 6.18y + -7.61z <= 561.01
8.09x + -4.89y + -1.96z <= 771.52
3.62x + -1.74y + -4.07z <= 219.74
-8.54x + -2.73y + -9.99z <= 985.24
4.95x + -4.19y + -2.45z <= 158.22
-5.34x + -8.59y + 7.39z <= 377.74
-6.8x + 8.98y + -9.79z <= 658.94
2.31x + 5.69y + -3.26z <= 379.18
-9.77x + 3.37y + -7.74z <= 403.16
2.16x + 4.61y + -0.87z <= 287.58
4.96x + 2.44y + 0.12z <= 431.47
-8.78x + 0.52y + -9.0z <= 763.18
-8.87x + -4.57y + -9.33z <= 673.51
-2.82x + 9.26y + 2.45z <= 355.35
0.71x + 3.2y + 5.4z <= 405.59
-3.76x + 7.4y + -8.29z <= 431.1
-0.73x + -8.61y + -8.5z <= 810.57
-6.35x + -9.03y + -1.92z <= 119.65
-5.29x + 1.21y + 2.97z <= 825.5
-7.3x + -7.5y + -8.93z <= 334.47
-5.87x + 6.06y + 0.36z <= 525.93
-7.95x + 7.21y + -8.03z <= 421.38
-7.43x + -2.28y + 4.28z <= 526.93
-3.16x + -6.48y + 2.45z <= 149.26
-1.96x + 0.78y + 6.13z <= 380.7
5.95x + -7.87y + -5.33z <= 665.05
3.09x + -3.88y + 5.52z <= 857.98
-4.22x + 0.99y + -5.82z <= 207.95
-8.56x + -6.91y + -0.74z <= 323.86
0.04x + -8.61y + -5.36z <= 214.17
7.2x + 6.36y + -6.57z <= 605.88
-2.09x + 0.99y + -0.26z <= 390.39
1.38x + -4.99y + -2.92z <= 438.15
6.23x + -6.53y + 1.53z <= 370.67
-3.23x + -5.96y + 7.94z <= 616.2
6.91x + 4.53y + 2.75z <= 832.4
-5.68x + 9.04y + 8.05z <= 171.46
7.56x + -4.02y + 1.63z <= 521.08
-6.54x + 3.65y + 4.24z <= 104.32
-7.67x + -3.89y + -8.74z <= 804.93
4.84x + -1.93y + 2.33z <= 905.06
6.16x + 1.73y + 6.72z <= 397.0
5.57x + 4.52y + 5.63z <= 247.54
4.25x + -9.07y + -0.65z <= 905.09
-2.79x + 9.04y + 7.76z <= 330.87
3.96x + -6.37y + -1.96z <= 651.18
-3.13x + 6.43y + 9.42z <= 676.42
-8.87x + 6.61y + 8.89z <= 552.16
4.24x + -5.61y + -6.57z <= 927.28
2.1x + -6.06y + 3.96z <= 912.5
7.13x + 8.08y + -8.4z <= 728.54
9.78x + 9.23y + -5.47z <= 208.41
3.55x + -5.69y + -0.57z <= 568.3
9.84x + -6.1y + -3.05z <= 365.66
-7.82x + 3.85y + 2.25z <= 981.83
-7.58x + 3.39y + -9.28z <= 611.55
6.33x + -8.45y + 2.13z <= 673.32
-4.7x + -0.55y + 0.74z <= 143.67
6.19x + -1.61y + 9.17z <= 745.08
8.03x + 8.14y + 9.61z <= 752.66
-4.47x + -2.36y + 4.42z <= 607.0
-6.51x + -1.24y + -6.73z <= 315.5
8.83x + 7.9y + -0.53z <= 486.01
-1.44x + -3.88y + 8.06z <= 818.86
0.56x + -0.4y + -3.0z <= 918.63
-6.45x + -1.75y + -7.11z <= 540.53
5.36x + 8.0y + -7.26z <= 238.81
-6.93x + -7.08y + -4.7z <= 271.79
3.76x + 0.85y + 0.61z <= 956.88
8.23x + 3.13y + -8.37z <= 510.6
3.34x + -8.18y + -2.74z <= 602.97
4.66x + 6.99y + -4.0z <= 100.19
4.0x + -9.72y + -6.3z <= 314.44
2.64x + 5.31y + 8.22z <= 626.54
-2.01x + -4.93y + 7.66z <= 256.85
3.36x + -8.56y + 1.2z <= 971.66
5.68x + -4.21y + 7.74z <= 254.99
-1.51x + -6.77y + -5.94z <= 528.52
0.25x + 3.89y + -7.66z <= 403.86
-8.2x + -2.77y + -9.57z <= 602.57
8.52x + 1.75y + 2.03z <= 700.38
8.49x + -7.56y + 6.29z <= 286.74
-9.38x + 8.06y + 3.78z <= 748.84
-9.77x + -6.01y + -2.64z <= 469.57
-3.69x + 2.84y + -6.89z <= 853.64
6.9x + -6.4y + -7.75z <= 742.78
3.54x + 9.91y + 4.53z <= 772.02
-1.68x + 0.05y + -4.03z <= 450.83
-3.94x + 2.6y + -5.9z <= 826.31
-0.4x + 9.72y + -4.96z <= 477.02
5.0x + -8.57y + -9.96z <= 201.74
7.89x + -6.23y + 3.01z <= 816.59
-1.52x + -3.13y + -3.76z <= 996.51
5.74x + -2.83y + -6.55z <= 955.09
-6.06x + 6.31y + 6.96z <= 791.26
4.62x + 0.49y + -6.47z <= 691.51
4.07x + -1.47y + 6.88z <= 593.97
3.71x + -6.84y + -8.86z <= 674.4
-0.26x + 7.97y + 4.6z <= 694.66
-5.76x + -4.13y + -9.78z <= 122.69
3.09x + -4.97y + 4.06z <= 232.43
7.41x + -4.82y + 0.81z <= 386.53
-3.25x + 0.7y + -9.85z <= 220.47
-6.8x + -2.22y + 5.28z <= 142.09
