max 5.36x + 8.96y + 6.0z
4.05x + 3.14y + -7.78z <= 752.24
2.99x + -0.21y + -1.82z <= 641.56
3.35x + -4.28y + 4.41z <= 469.99
3.09x + -7.12y + -0.66z <= 339.49
5.49x + -8.13y + 5.1z <= 137.97
-4.28x + 7.84y + 2.12z <= 101.03
6.79x + -4.91y + -5.81z <= 428.53
-3.78x + -3.63y + 1.0z <= 637.95
-8.7x + 5.92y + -7.6z <= 359.05
-9.9x + -4.33y + 1.56z <= 805.58
4.18x + 9.9y + 3.88z <= 771.62
-2.22x + 2.59y + 1.45z <= 419.99
3.56x + 4.26y + 3.4z <= 230.49
-1.74x + 5.64y + -5.92z <= 931.82
-8.49x + 7.28y + -7.48z <= 494.67
5.29x + -7.63y + 8.27z <= 829.59
-4.46x + 3.8y + -1.5z <= 730.76
-4.53x + -7.24y + -5.49z <= 240.49
-4.03x + 5.01y + -9.41z <= 193.27
6.32x + -8.75y + -7.3z <= 118.89
6.49x + 2.2y + -0.99z <= 914.78
3.34x + 8.56y + -1.77z <= 951.89
9.49x + -3.35y + -3.19z <= 856.6
-5.89x + 6.79y + -3.92z <= 633.45
5.71x + -4.41y + -5.09z <= 816.41
-5.8x + 1.63y + 1.44z <= 406.39
4.0x + -3.91y + 3.79z <= 849.5
-2.58x + 6.1y + -9.39z <= 596.17
0.03x + -4.62y + 2.08z <= 342.17
-9.55x + -4.64y + -5.11z <= 331.39
0.77x + -1.03y + -9.28z <= 800.08
5.25x + 3.4y + -6.08z <= 585.79
-3.11x + -9.34y + 1.18z <= 383.14
5.34x + 9.38y + -2.9z <= 643.98
9.12x + -8.89y + -8.01z <= 782.72
-2.76x + 2.8y + -4.49z <= 245.19
9.59x + 3.14y + 1.92z <= 957.33
-2.12x + -1.25y + -2.5z <= 331.89
-4.67x + -1.18y + 0.81z <= 797.02
-1.93x + -9.3y + -7.22z <= 879.33
2.8x + -3.01y + 7.16z <= 681.17
-7.24x + -8.42y + 0.74z <= 576.05
8.3x + 1.53y + 4.1z <= 627.47
8.93x + -6.74y + 7.06z <= 249.1
-1.71x + -9.56y + -9.93z <= 792.69
7.69x + -7.67y + 3.98z <= 589.1
5.19x + 1.03y + 8.62z <= 439.85
-7.21x + -7.43y + 2.74z <= 491.36
-1.3x + -8.61y + -4.08z <= 358.95
-5.98x + -0.13y + 2.48z <= 214.15
3.71x + 6.08y + 9.61z <= 513.67
-4.38x + -7.89y + -4.73z <= 282.22
8.71x + -5.06y + -9.1z <= 895.28
-6.14x + -6.66y + 4.49z <= 946.78
9.47x + 6.31y + -6.64z <= 124.03
6.59x + 2.11y + -8.27z <= 679.62
1.86x + -8.79y + 5.08z <= 293.7
-9.22x + 6.71y + -2.94z <= 875.14
-5.38x + -6.34y + 2.81z <= 846.88
7.01x + -8.39y + 8.39z <= 490.98
-1.05x + 3.26y + -8.33z <= 658.88
1.54x + 0.74y + 5.07z <= 518.31
0.48x + 9.57y + -1.65z <= 423.45
-6.74x + 8.03y + -6.42z <= 533.37
-3.01x + 5.22y + -7.39z <= 307.97
-0.69x + 5.41y + 1.45z <= 911.26
1.49x + -6.07y + -6.36z <= 270.27
-5.49x + 9.79y + 3.27z <= 326.3
5.23x + 8.87y + 8.75z <= 888.82
6.51x + 0.47y + 9.23z <= 725.95
6.43x + 1.62y + 2.31z <= 126.76
9.75x + 5.88y + 3.87z <= 617.22
-1.5x + -7.4y + 9.93z <= 197.6
0.57x + 9.79y + 7.44z <= 915.33
0.67x + -5.19y + -2.85z <= 745.67
-1.22x + -8.31y + 8.1z <= 893.11
9.67x + -1.32y + 0.08z <= 840.4
-9.14x + 0.19y + -1.59z <= 907.82
-9.21x + 6.8y + 7.39z <= 391.1
4.52x + -8.38y + -6.06z <= 942.88
0.47x + -5.38y + -1.03z <= 427.98
-7.81x + 4.11y + -3.1z <= 150.93
4.67x + 2.48y + -2.98z <= 135.2
-5.47x + 5.62y + 0.19z <= 405.19
2.77x + -7.18y + 7.46z <= 150.8
8.07x + 9.44y + 3.27z <= 678.38
8.64x + 4.8y + -3.75z <= 577.77
7.41x + 1.31y + 2.16z <= 590.42
8.35x + -0.07y + -9.35z <= 943.33
-2.27x + 4.81y + -1.63z <= 817.27
9.11x + 4.61y + -8.87z <= 497.38
4.27x + 1.9y + 4.49z <= 347.38
9.17x + -8.83y + 0.06z <= 695.44
5.45x + -5.34y + 1.64z <= 656.71
2.17x + 8.77y + -9.97z <= 157.77
-2.6x + 6.64y + 8.74z <= 873.76
-2.97x + 6.94y + -7.69z <= 523.07
4.92x + 9.01y + 9.06z <= 731.09
1.45x + 7.1y + 2.02z <= 622.45
1.02x + 0.99y + -3.26z <= 114.28
2.26x + -8.27y + 5.31z <= 247.92
-1.61x + -0.43y + 6.78z <= 833.48
5.07x + 0.29y + 6.51z <= 901.14
-3.93x + 5.66y + -4.03z <= 862.68
-8.32x + 2.26y + -5.46z <= 661.89
2.85x + 9.6y + 7.34z <= 513.61
-4.11x + 0.47y + 4.32z <= 245.71
-9.77x + 1.72y + -4.97z <= 180.35
9.94x + -9.79y + 9.03z <= 655.31
5.59x + 8.47y + -1.2z <= 496.32
-4.98x + -6.01y + -2.89z <= 317.34
1.23x + 2.01y + 3.91z <= 955.04
2.37x + -5.85y + -6.19z <= 253.93
-4.38x + 3.41y + -9.8z <= 872.34
2.83x + -9.35y + 6.53z <= 560.24
-5.11x + -7.47y + 4.3z <= 865.67
-4.58x + -2.44y + 8.37z <= 546.08
8.72x + 3.38y + -6.33z <= 110.7
-3.77x + -9.09y + 3.68z <= 763.18
7.87x + -5.23y + 9.02z <= 289.03
0.58x + 2.14y + -6.08z <= 881.86
-4.96x + 7.66y + 2.55z <= 339.17
-6.8x + -4.29y + 5.24z <= 375.27
-4.79x + -4.42y + -2.45z <= 647.71
6.25x + -1.62y + 2.21z <= 408.23
4.67x + -8.68y + -7.39z <= 378.43
8.49x + -2.04y + 6.6z <= 371.81
4.22x + 0.51y + -2.28z <= 379.22
1.17x + -3.43y + 3.9z <= 897.41
8.29x + -9.83y + -7.22z <= 886.89
-3.98x + 2.7y + -7.12z <= 758.52
-3.31x + 4.58y + 6.92z <= 348.37
6.68x + -7.1y + 2.67z <= 157.21
9.21x + -9.6y + 3.54z <= 297.73
9.33x + 5.21y + 0.34z <= 412.81
-3.89x + 3.97y + 1.96z <= 978.44
6.4x + -1.12y + 5.8z <= 580.86
8.64x + -8.64y + -8.85z <= 258.71
-3.28x + -3.19y + 6.98z <= 281.42
9.02x + -6.85y + 9.36z <= 342.91
5.49x + 5.91y + -9.35z <= 114.64
-7.33x + -3.32y + -8.24z <= 855.16
-4.85x + 9.74y + -2.01z <= 795.89
7.42x + -0.04y + -8.82z <= 190.76
9.81x + 2.22y + -9.42z <= 680.1
5.54x + 3.68y + 7.03z <= 964.19
-3.29x + -6.16y + -0.49z <= 897.05
4.37x + 4.54y + 4.98z <= 808.44
2.18x + -3.68y + -1.62z <= 109.09
2.18x + 1.26y + 4.66z <= 132.09
-8.81x + -9.85y + 9.63z <= 495.33
-3.9x + 1.6y + -5.65z <= 570.08
8.35x + 5.59y + 8.63z <= 500.25
5.54x + 6.83y + -1.14z <= 342.12
6.1x + -3.06y + 1.55z <= 403.14
6.58x + 6.59y + 9.21z <= 738.14
-9.98x + -6.65y + -3.04z <= 589.71
-3.06x + 6.68y + -8.92z <= 400.33
7.1x + 1.74y + 3.07z <= 796.28
6.22x + 2.69y + -9.11z <= 712.0
8.55x + 4.12y + -5.18z <= 557.79
0.07x + 0.12y + -5.02z <= 682.15
9.06x + -2.31y + 4.25z <= 484.17
8.08x + -2.23y + -8.04z <= 586.69
-7.3x + 5.95y + 2.21z <= 985.84
-2.87x + -5.44y + -4.29z <= 119.59
9.31x + 9.36y + -8.08z <= 960.29
-6.51x + 4.27y + -0.11z <= 965.4
1.97x + -4.66y + 1.86z <= 394.99
-4.8x + -8.57y + 3.7z <= 794.13
2.53x + -6.0y + 1.06z <= 789.15
-1.23x + -8.59y + 9.8z <= 766.43
-2.29x + -8.64y + -0.63z <= 425.95
7.94x + -5.89y + -2.24z <= 146.17
-2.41x + 3.03y + -0.66z <= 142.09
8.86x + -3.27y + 2.69z <= 545.33
8.03x + -3.88y + -3.91z <= 957.81
-6.8x + 9.55y + -3.22z <= 750.02
-5.85x + -2.44y + 3.42z <= 286.32
1.81x + 2.77y + 8.96z <= 256.23
-5.44x + -3.87y + -7.59z <= 335.47
5.14x + -2.16y + -8.85z <= 850.72
-0.69x + -2.92y + 1.09z <= 187.95
-6.86x + 6.96y + -4.11z <= 174.11
2.67x + -6.76y + 8.52z <= 541.8
-6.75x + -9.26y + 8.21z <= 192.15
9.47x + 3.4y + -3.26z <= 823.64
3.79x + 8.78y + -5.99z <= 522.36
-1.98x + 0.12y + -3.29z <= 674.4
-2.53x + 5.9y + -1.27z <= 598.13
4.08x + -7.93y + -7.38z <= 606.32
-4.87x + 2.35y + 2.8z <= 779.64
-2.91x + -3.22y + -4.26z <= 626.55
-4.86x + -5.61y + 9.27z <= 879.21
-3.99x + -1.28y + -4.38z <= 263.97
2.14x + -2.12y + 9.42z <= 205.49
6.99x + 1.1y + 2.49z <= 799.9
-0.25x + 9.73y + -9.17z <= 659.76
8.4x + 0.02y + -9.85z <= 574.26
-6.91x + -8.82y + 2.74z <= 929.74
6.83x + 4.94y + -0.58z <= 978.24
6.53x + 9.06y + 8.95z <= 843.94
-4.22x + -0.55y + -1.87z <= 216.86
3.83x + 6.62y + -8.72z <= 264.29
-5.37x + 3.81y + 7.14z <= 464.4
4.89x + 9.86y + 6.81z <= 251.1
-4.55x + 3.13y + -6.0z <= 699.82
9.99x + 2.55y + 1.55z <= 487.37
-2.57x + -5.43y + 3.32z <= 395.44
-6.02x + -8.02y + -0.7z <= 266.91
-9.25x + -2.3y + -9.06z <= 152.05
2.23x + 7.12y + 0.02z <= 284.95
-5.85x + 0.49y + 0.53z <= 523.21
1.85x + 2.97y + 1.04z <= 236.03
-2.37x + 9.68y + -2.14z <= 312.06
5.21x + -9.24y + 4.92z <= 451.04
-6.89x + -5.09y + -1.78z <= 967.59
-3.27x + 8.86y + 7.1z <= 391.79
-6.14x + 5.56y + -4.79z <= 766.54
9.2x + 5.71y + 4.91z <= 576.9
4.26x + -4.71y + -2.8z <= 754.14
4.49x + -1.77y + -0.11z <= 546.52
7.01x + 8.95y + -4.59z <= 732.97
5.23x + 5.83y + -1.77z <= 360.08
7.15x + 9.19y + -9.7z <= 673.64
-3.3x + -9.81y + -4.85z <= 831.27
-8.99x + 0.12y + -1.22z <= 791.53
-6.02x + -8.62y + -6.84z <= 321.51
8.59x + -2.95y + 4.05z <= 168.64
-5.29x + 1.71y + -2.35z <= 977.06
-0.2x + 3.51y + 5.26z <= 679.43
4.12x + -9.11y + -5.11z <= 830.9
-2.48x + -6.52y + 0.66z <= 296.77
-4.34x + -1.4y + -5.04z <= 516.34
7.89x + 6.19y + -0.06z <= 966.29
0.56x + -5.16y + -4.06z <= 644.7
5.57x + 3.94y + 4.75z <= 573.62
-3.94x + -3.1y + -4.07z <= 571.19
-4.82x + -8.79y + -9.14z <= 731.69
4.61x + -6.84y + -2.2z <= 322.81
6.98x + -9.05y + 0.36z <= 957.5
-9.33x + -9.39y + 0.72z <= 190.28
-1.98x + 7.26y + 9.28z <= 358.61
1.48x + -8.14y + 6.03z <= 287.88
-8.21x + -0.85y + 6.61z <= 238.32
7.6x + 2.42y + -7.65z <= 498.54
-2.74x + 3.52y + -6.4z <= 516.38
-4.07x + 8.86y + 1.02z <= 161.88
-7.69x + -5.53y + 8.01z <= 170.25
-0.74x + -6.51y + -9.93z <= 947.13
1.26x + -5.15y + -0.59z <= 407.3
4.34x + -6.88y + -4.8z <= 706.71
8.31x + -3.83y + 4.03z <= 464.93
0.13x + -0.24y + -8.36z <= 505.99
-4.7x + 0.55y + -7.19z <= 524.45
9.82x + -5.32y + -4.84z <= 477.97
3.42x + -7.04y + -6.97z <= 194.0
1.79x + -5.51y + 8.49z <= 504.38
-2.1x + 0.49y + -1.59z <= 575.37
9.26x + 3.22y + -6.4z <= 537.65
-8.42x + -7.4y + -7.59z <= 852.56
-4.8x + -9.27y + -1.45z <= 647.7
-6.6x + 6.97y + 0.33z <= 378.8
-7.33x + -4.2y + 4.32z <= 939.15
7.92x + 9.56y + -6.29z <= 489.84
-5.94x + 5.16y + 5.94z <= 332.69
-9.56x + -1.8y + 6.86z <= 602.3
-9.33x + 5.19y + 3.83z <= 350.64
-8.28x + 8.88y + 9.15z <= 509.42
-6.62x + -7.65y + -6.61z <= 943.24
-0.67x + -2.99y + 3.79z <= 792.99
3.41x + 4.51y + -1.41z <= 552.25
-6.03x + -3.55y + 7.84z <= 250.64
3.81x + -2.36y + 5.0z <= 440.3
-4.97x + -1.42y + 7.59z <= 971.81
2.78x + 9.7y + 2.97z <= 226.25
2.49x + -6.29y + 9.51z <= 342.49
9.6x + -0.02y + -1.81z <= 742.67
1.04x + 1.41y + 0.05z <= 752.5
4.37x + 7.6y + 1.98z <= 779.87
9.97x + -4.0y + -3.65z <= 423.05
2.8x + 6.42y + 3.77z <= 533.66
-7.31x + -4.26y + 4.9z <= 468.95
2.17x + -1.53y + -2.05z <= 430.49
2.2x + -4.76y + 1.5z <= 604.47
-9.62x + 2.74y + 0.98z <= 194.93
6.01x + -8.59y + 5.96z <= 144.83
7.9x + 6.29y + 8.72z <= 757.16
-2.88x + -3.04y + 4.11z <= 685.93
-8.22x + 7.1y + -9.1z <= 571.11
-3.62x + 2.17y + -7.43z <= 446.09
-2.36x + -2.24y + 5.78z <= 161.54
-3.37x + 5.85y + -4.92z <= 140.71
8.55x + 3.2y + -3.56z <= 415.32
1.88x + -4.89y + 6.74z <= 556.58
2.56x + -0.97y + 8.58z <= 987.17
0.4x + 6.24y + 2.17z <= 217.8
3.38x + -0.76y + -2.71z <= 324.25
-4.4x + 0.97y + 8.35z <= 704.94
-0.34x + 3.93y + -1.53z <= 234.23
8.72x + 2.35y + 8.4z <= 253.33
4.01x + -5.69y + -4.41z <= 559.75
0.54x + -5.29y + 6.87z <= 307.37
-1.51x + 3.58y + -5.05z <= 294.72
-7.7x + -0.97y + -9.65z <= 949.86
-5.8x + 7.79y + 3.77z <= 470.36
4.73x + 0.99y + -0.07z <= 969.37
-0.82x + 2.04y + 2.59z <= 697.7
-7.14x + -2.88y + 0.91z <= 654.28
1.28x + 6.94y + 9.05z <= 650.61
-6.71x + 5.32y + -2.23z <= 252.39
7.8x + 6.89y + 6.0z <= 832.49
-0.53x + 1.81y + 2.35z <= 648.98
6.43x + 1.47y + -4.56z <= 103.05
3.77x + -5.63y + 2.94z <= 497.19
9.1x + -8.52y + 9.57z <= 623.83
-3.76x + -2.94y + -6.28z <= 260.28
8.04x + 0.24y + 2.45z <= 586.42
-5.21x + 8.94y + 6.76z <= 698.39
-5.98x + 9.47y + 8.46z <= 929.08
6.11x + 7.9y + -5.42z <= 699.36
0.74x + -9.36y + -0.67z <= 700.91
-7.11x + 6.08y + -7.97z <= 742.86
6.21x + 7.4y + 2.91z <= 667.36
7.06x + -2.71y + 5.53z <= 365.38
8.34x + -4.91y + -8.72z <= 164.99
-0.85x + -7.52y + 3.75z <= 401.67
6.35x + 5.49y + 2.0z <= 101.6
-8.92x + 2.64y + -2.66z <= 282.82
9.64x + 7.81y + -5.05z <= 737.84
3.28x + 8.5y + -2.37z <= 540.9
-8.2x + 6.06y + -5.12z <= 154.66
-0.2x + -7.59y + 6.82z <= 172.27
-0.41x + -8.91y + -2.76z <= 945.4
6.17x + -9.42y + 8.83z <= 725.31
-0.9x + -5.76y + -4.71z <= 481.81
-5.66x + -7.64y + -7.83z <= 549.09
-5.18x + -4.24y + 1.52z <= 831.09
6.41x + 4.67y + -0.66z <= 786.22
-4.25x + 5.77y + -6.51z <= 595.73
3.78x + 3.45y + 2.25z <= 919.54
2.24x + 0.58y + 9.02z <= 260.73
2.22x + -3.58y + -4.28z <= 827.54
-9.28x + 9.14y + 1.91z <= 419.72
-4.93x + 7.71y + 2.56z <= 680.27
5.12x + -8.94y + -1.96z <= 278.19
-3.65x + 3.37y + 0.08z <= 453.39
6.15x + -6.33y + 6.66z <= 240.8
6.51x + 7.38y + 8.54z <= 156.05
-3.82x + -5.23y + 2.91z <= 165.97
9.61x + -0.05y + -1.2z <= 679.19
10.0x + 2.78y + 1.75z <= 858.76
-7.33x + -4.78y + -1.51z <= 386.74
1.34x + -5.86y + -8.93z <= 635.3
-1.97x + -5.84y + -3.87z <= 432.5
-8.36x + -0.78y + -2.84z <= 820.59
-7.92x + -4.55y + 0.92z <= 540.19
-3.32x + -8.45y + 2.52z <= 195.5
-0.8x + -2.31y + -4.29z <= 476.78
8.48x + 1.08y + 4.48z <= 303.28
-5.79x + 5.59y + 1.33z <= 905.63
-3.72x + -5.2y + 1.81z <= 543.93
-1.14x + 5.38y + -2.56z <= 197.04
-5.04x + 8.72y + -9.81z <= 665.97
2.03x + 3.3y + 7.62z <= 107.4
-0.19x + -1.5y + 1.28z <= 602.89
-0.91x + -7.21y + 9.41z <= 445.85
4.95x + 6.81y + -1.22z <= 874.49
-8.12x + -9.48y + -6.49z <= 714.97
4.98x + 3.32y + 6.61z <= 944.08
-2.22x + -6.71y + 5.59z <= 462.33
-2.01x + 0.17y + 3.32z <= 509.75
-4.24x + 3.4y + -6.48z <= 254.8
1.58x + -9.05y + 7.01z <= 422.85
-2.49x + -2.19y + 6.37z <= 910.14
-4.23x + 0.14y + -1.73z <= 553.43
-1.39x + -5.41y + -0.35z <= 820.88
4.98x + -5.69y + 0.51z <= 633.59
2.36x + 0.38y + -8.49z <= 187.85
3.61x + -0.23y + 0.26z <= 554.18
-4.92x + 7.73y + -7.41z <= 297.55
5.63x + -5.25y + -8.81z <= 823.98
3.37x + -2.21y + -1.97z <= 996.7
-7.56x + 2.92y + -3.94z <= 116.77
6.03x + 2.82y + 3.11z <= 284.34
9.35x + -9.79y + -3.35z <= 586.9
-2.62x + -5.99y + -4.21z <= 668.96
-6.4x + -3.41y + -7.92z <= 334.35
5.25x + 4.22y + 7.27z <= 978.76
-3.5x + 0.04y + -0.63z <= 900.23
-6.69x + 3.85y + -7.2z <= 258.6
5.84x + 2.53y + -4.11z <= 503.52
6.43x + 1.14y + 1.74z <= 651.98
9.91x + -4.37y + -6.44z <= 398.83
-1.03x + 6.8y + 2.93z <= 827.31
0.66x + -3.8y + -5.98z <= 265.72
-3.76x + -5.81y + 6.35z <= 243.74
-7.73x + 7.47y + 1.19z <= 303.85
7.03x + 4.33y + -9.07z <= 522.68
6.23x + 8.85y + -3.45z <= 385.55
-9.14x + -4.89y + -4.74z <= 878.78
-1.11x + 8.32y + 8.64z <= 981.95
-5.89x + 7.89y + 3.08z <= 278.51
8.45x + 2.04y + -8.42z <= 842.41
-6.88x + 4.69y + -9.72z <= 699.67
9.54x + 2.01y + 9.22z <= 266.66
-8.07x + 9.41y + 2.42z <= 228.83
4.56x + 4.08y + 4.75z <= 799.94
0.78x + 2.33y + 8.0z <= 397.76
1.8x + 6.15y + 4.77z <= 449.05
5.67x + -4.07y + 1.09z <= 660.12
3.24x + 5.3y + -3.29z <= 155.67
-3.44x + -3.6y + -4.65z <= 681.73
-4.88x + -0.49y + -4.05z <= 560.57
8.78x + 2.33y + 4.82z <= 930.09
3.11x + 2.37y + 8.21z <= 228.68
3.76x + -1.68y + 2.34z <= 319.46
0.6x + 6.56y + -0.03z <= 252.14
-1.37x + -7.06y + -9.24z <= 434.07
-6.15x + -8.6y + -9.17z <= 203.75
-9.04x + -4.68y + -3.69z <= 371.91
-0.44x + -4.52y + 5.95z <= 297.61
2.36x + -6.97y + 4.18z <= 876.06
6.76x + -5.39y + 0.3z <= 413.25
-3.09x + -8.98y + -2.67z <= 821.4
7.49x + 5.88y + 5.69z <= 509.14
3.78x + -8.95y + 4.44z <= 674.34
7.75x + 3.03y + 6.08z <= 345.32
1.86x + 9.86y + 0.98z <= 370.79
9.88x + 5.28y + -3.86z <= 507.85
-8.67x + 2.49y + 0.99z <= 614.32
-3.32x + 8.17y + -1.03z <= 871.51
1.73x + 6.02y + -3.42z <= 966.43
-5.43x + 7.39y + 7.08z <= 905.42
0.62x + 1.67y + 4.76z <= 165.56
-0.49x + 6.81y + -0.06z <= 367.93
4.13x + 0.38y + -4.2z <= 300.16
8.68x + 9.25y + -7.85z <= 757.5
0.46x + -6.63y + 2.86z <= 346.91
6.47x + -4.8y + 7.67z <= 544.62
-5.88x + 0.53y + -3.69z <= 642.9
-8.16x + -6.28y + -3.84z <= 455.9
-6.27x + 7.9y + 2.96z <= 844.72
4.38x + 9.36y + -0.66z <= 112.78
-3.66x + -7.34y + -8.56z <= 269.7
1.68x + 8.42y + 1.08z <= 517.73
-7.0x + -2.01y + 7.5z <= 420.78
-5.94x + -0.79y + 1.24z <= 336.55
-2.6x + -2.42y + 5.9z <= 205.76
7.76x + -3.12y + 8.7z <= 987.3
6.62x + -7.45y + -0.18z <= 506.86
-9.12x + 1.02y + 0.47z <= 680.31
-9.63x + 2.66y + 4.57z <= 519.83
-0.17x + 1.17y + -6.48z <= 207.06
-4.25x + 3.23y + 4.93z <= 294.94
2.46x + 8.73y + 6.81z <= 761.69
-1.17x + -6.82y + 1.79z <= 888.19
-3.16x + 1.91y + 3.28z <= 395.49
4.4x + -3.75y + -0.9z <= 165.09
-0.7x + -6.65y + 6.21z <= 798.24
-6.18x + -8.84y + -3.29z <= 624.66
9.98x + -8.81y + 8.04z <= 737.82
4.25x + -9.62y + 6.92z <= 630.09
-1.49x + 4.16y + 9.25z <= 163.45
-3.53x + 4.3y + -0.89z <= 811.28
-2.19x + -0.89y + -1.1z <= 978.31
-4.25x + 7.66y + 1.12z <= 800.96
-1.85x + 0.19y + 6.75z <= 967.73
-5.83x + -6.12y + -3.11z <= 875.42
4.72x + -9.5y + 8.36z <= 635.13
-3.92x + -8.81y + 7.62z <= 530.98
-3.86x + 3.01y + 1.08z <= 351.04
-4.24x + 3.73y + 4.32z <= 286.32
-4.66x + 8.77y + -7.97z <= 454.35
3.08x + 7.37y + -5.39z <= 296.17
6.39x + -9.04y + 1.96z <= 441.72
3.97x + -3.5y + -1.3z <= 289.18
1.68x + 5.9y + -0.26z <= 953.66
-8.03x + -5.19y + -3.79z <= 643.85
2.15x + -3.6y + -5.14z <= 688.83
-6.41x + -6.35y + 2.81z <= 573.47
-6.13x + 7.73y + 5.7z <= 707.35
-4.96x + 7.42y + 9.17z <= 361.43
2.47x + -9.37y + 5.69z <= 923.84
-4.54x + 9.28y + 6.39z <= 972.5
-5.62x + -7.39y + -7.47z <= 142.23
0.93x + 7.86y + 7.48z <= 907.96
-0.78x + -0.48y + -3.23z <= 387.19
-1.62x + -4.81y + 4.14z <= 295.2
3.88x + -9.23y + 3.44z <= 678.68
6.58x + -9.65y + -1.8z <= 432.8
5.73x + -9.32y + -6.37z <= 515.3
9.68x + -2.59y + -9.89z <= 434.65
-9.87x + -4.44y + -9.95z <= 690.31
-9.52x + -4.19y + 4.94z <= 570.26
9.81x + -6.52y + 0.74z <= 262.78
7.31x + 6.93y + -8.89z <= 408.56
-4.18x + -9.07y + -0.36z <= 460.72
-6.43x + 5.42y + -0.09z <= 651.41
7.42x + 4.12y + -9.14z <= 135.16
-4.64x + 7.58y + 3.51z <= 214.43
-5.04x + -5.37y + -2.71z <= 425.61
-3.33x + -4.9y + 7.51z <= 808.3
9.14x + -3.49y + 1.71z <= 362.47
-0.61x + 4.81y + -0.94z <= 497.31
1.95x + -0.22y + -2.42z <= 674.69
-1.18x + 1.38y + 2.49z <= 518.25
4.91x + -7.89y + 5.63z <= 544.88
-1.55x + 0.55y + -7.92z <= 694.04
9.78x + -4.25y + -4.67z <= 357.3
-7.85x + -0.5y + 5.31z <= 228.36
-7.38x + 7.51y + -4.35z <= 167.6
-1.45x + -8.95y + 5.83z <= 978.35
-8.55x + -8.88y + 7.61z <= 544.61
4.22x + -6.06y + -2.23z <= 179.53
-1.78x + 2.44y + -5.35z <= 963.81
-0.04x + 8.98y + -6.62z <= 693.61
-9.94x + -5.44y + 4.75z <= 667.23
-4.95x + 0.24y + -3.35z <= 346.0
-9.83x + -8.6y + -1.64z <= 143.01
1.68x + 1.96y + -6.43z <= 500.15
-6.1x + -0.04y + -3.86z <= 469.26
0.08x + 3.88y + -4.58z <= 615.26
7.4x + 7.81y + 9.02z <= 318.79
6.99x + 5.78y + 4.07z <= 370.45
0.64x + -8.97y + 7.19z <= 168.69
1.52x + -7.35y + -1.48z <= 795.54
4.6x + -4.62y + 4.71z <= 177.12
-1.64x + 1.55y + -2.65z <= 613.81
0.78x + 5.08y + -9.45z <= 988.75
0.98x + 4.32y + 3.16z <= 232.41
-1.96x + -1.49y + -8.76z <= 814.41
7.34x + 8.25y + -6.12z <= 759.47
-9.69x + 9.52y + -6.96z <= 175.26
2.74x + -3.74y + -6.93z <= 282.43
-1.95x + -3.84y + -6.73z <= 275.73
-0.13x + 6.11y + 1.99z <= 130.06
6.2x + -6.27y + 2.76z <= 567.5
2.51x + 2.49y + -8.25z <= 900.55
-4.77x + -9.87y + -5.32z <= 160.17
-7.24x + 3.99y + -7.36z <= 236.31
-0.43x + -8.25y + -5.33z <= 725.88
-7.36x + -6.4y + -7.99z <= 729.63
9.41x + -0.79y + -1.41z <= 467.18
-0.19x + -2.92y + -0.61z <= 618.28
4.39x + 0.71y + -7.13z <= 900.88
5.99x + 1.54y + 3.79z <= 782.68
2.46x + -3.02y + -0.63z <= 782.43
5.77x + -3.13y + 5.42z <= 992.81
-8.71x + 6.41y + 0.12z <= 721.34
-6.27x + -7.72y + -5.26z <= 923.26
-3.53x + -8.72y + 3.59z <= 246.46
-6.06x + -5.88y + 2.21z <= 828.33
-0.15x + -7.94y + 5.38z <= 862.58
-2.51x + -0.83y + -5.92z <= 130.13
9.1x + -5.8y + 4.34z <= 716.34
-9.23x + -8.92y + -3.21z <= 348.22
7.47x + -6.46y + -3.02z <= 493.22
7.46x + 6.1y + -5.25z <= 588.91
-9.33x + 2.47y + -5.12z <= 408.38
-6.59x + 8.46y + 3.14z <= 382.27
-5.91x + -2.21y + -6.35z <= 217.84
-6.51x + 8.17y + 1.95z <= 619.39
-2.52x + 3.02y + -1.05z <= 935.39
3.54x + -7.15y + -5.7z <= 373.04
-1.5x + -0.29y + -2.35z <= 435.69
-6.72x + -2.65y + -9.81z <= 397.95
5.97x + 5.83y + -7.61z <= 136.92
1.86x + -5.83y + -4.44z <= 132.16
0.59x + -0.08y + -6.96z <= 457.57
-9.26x + 6.23y + -9.16z <= 598.31
-4.27x + -1.53y + 7.0z <= 938.28
-7.86x + 4.94y + 3.82z <= 271.6
4.74x + -1.02y + 6.19z <= 261.03
-3.05x + -1.59y + -9.59z <= 187.52
-2.07x + 0.45y + -8.14z <= 501.66
5.26x + -7.97y + 2.04z <= 666.63
-3.94x + -1.29y + -0.8z <= 895.97
-8.37x + -1.49y + 3.68z <= 523.75
3.7x + 7.05y + 0.74z <= 152.28
-2.93x + 1.34y + -5.15z <= 667.11
-4.21x + -1.24y + -5.07z <= 356.51
-9.07x + 7.1y + -9.56z <= 134.42
-8.53x + -8.69y + 9.91z <= 120.17
-7.38x + 3.85y + 6.62z <= 199.29
-0.34x + -9.98y + -0.4z <= 516.08
5.51x + -3.43y + -1.84z <= 335.66
-6.46x + 4.22y + 7.35z <= 709.25
-7.55x + 0.56y + -6.73z <= 452.13
-0.29x + -6.65y + 5.2z <= 550.73
-1.93x + -2.94y + 4.34z <= 825.98
6.16x + 5.06y + 4.15z <= 452.95
-1.27x + 2.32y + -0.8z <= 684.46
6.89x + -8.42y + -6.93z <= 971.27
