max 4.55x + -7.4y + -9.62z
-8.57x + -2.7y + 5.41z <= 401.03
1.68x + -2.0y + -9.29z <= 433.47
-7.07x + -1.58y + -0.47z <= 303.61
8.89x + -0.21y + 7.5z <= 527.75
8.53x + -0.19y + -1.4z <= 981.15
-5.62x + 6.73y + 6.68z <= 448.23
-4.67x + -5.53y + 3.56z <= 632.54
-5.37x + 3.79y + -7.01z <= 681.46
-8.78x + -0.6y + 5.33z <= 654.87
4.99x + -7.03y + -4.9z <= 922.73
5.83x + 0.74y + -1.74z <= 927.6
-3.08x + 8.21y + 5.06z <= 626.97
-0.26x + -2.0y + -4.01z <= 785.03
-8.71x + -0.33y + 7.39z <= 982.54
-2.66x + -5.75y + -6.15z <= 326.9
7.8x + -8.31y + 3.39z <= 785.64
-7.86x + -4.24y + -5.85z <= 736.43
-6.29x + -9.07y + -7.32z <= 939.26
8.72x + -2.0y + 3.2z <= 609.06
-5.17x + -1.58y + -7.31z <= 484.61
-2.39x + -2.68y + -9.21z <= 797.75
-2.83x + -8.7y + -5.16z <= 787.8
1.73x + 7.92y + -1.64z <= 523.91
-1.52x + -7.04y + -4.35z <= 400.09
-5.8x + -4.59y + -3.48z <= 574.63
-6.16x + 8.02y + -2.47z <= 439.65
6.77x + 6.97y + -0.65z <= 222.85
-2.41x + -1.47y + -0.09z <= 814.47
9.43x + 1.83y + -7.44z <= 711.91
-3.54x + 0.11y + 1.61z <= 387.22
-6.77x + -9.91y + -8.12z <= 264.75
9.52x + -1.1y + -8.81z <= 827.62
9.2x + 0.29y + 1.53z <= 175.02
-5.82x + 9.05y + -9.11z <= 265.39
5.33x + 7.1y + 4.81z <= 882.64
-7.77x + -3.74y + 3.74z <= 460.93
5.72x + -6.38y + 6.12z <= 448.73
-0.11x + 0.37y + -8.73z <= 971.19
-9.55x + 4.19y + -3.78z <= 340.19
-8.65x + 0.68y + 2.25z <= 775.91
-5.59x + 5.75y + 7.29z <= 817.87
-4.25x + 1.17y + -0.83z <= 324.65
2.25x + -3.16y + 7.34z <= 703.54
0.25x + -7.13y + -2.2z <= 896.67
6.72x + -2.3y + 5.47z <= 659.87
5.86x + 9.47y + -6.27z <= 390.08
3.56x + 4.52y + -0.26z <= 329.65
-5.45x + 8.63y + 7.58z <= 181.5
-4.89x + 7.96y + 0.11z <= 749.36
3.39x + 4.64y + -9.23z <= 702.26
2.42x + -7.14y + -0.08z <= 733.98
0.73x + -3.78y + -9.3z <= 353.85
-9.45x + 8.48y + -7.97z <= 655.86
-5.77x + -4.25y + -1.99z <= 191.21
-4.96x + 0.37y + -1.05z <= 628.42
6.9x + -8.75y + -9.5z <= 173.55
-7.55x + 2.92y + 6.64z <= 325.66
-7.34x + -7.56y + -4.94z <= 514.25
-7.05x + -9.64y + -1.7z <= 680.18
-8.65x + -0.2y + -0.77z <= 919.3
2.53x + 6.94y + 7.1z <= 531.41
-2.67x + 8.97y + -4.05z <= 128.6
2.56x + 9.39y + 1.09z <= 404.41
6.17x + 6.36y + -0.67z <= 322.98
-8.17x + -3.96y + 2.93z <= 978.69
6.45x + 5.99y + -4.52z <= 410.41
4.18x + -0.94y + 6.82z <= 111.04
6.5x + -0.27y + -5.11z <= 374.91
5.11x + 7.98y + -6.15z <= 616.88
-1.3x + -5.5y + -1.25z <= 437.62
7.74x + -4.71y + -4.11z <= 254.86
0.89x + -2.5y + -9.8z <= 127.23
-8.54x + 7.55y + -8.93z <= 228.48
3.56x + -7.09y + -5.21z <= 506.98
6.04x + 5.42y + 8.44z <= 597.5
6.42x + 9.27y + -8.71z <= 969.3
-0.75x + 6.29y + -6.41z <= 436.2
6.0x + -9.34y + 3.02z <= 197.5
4.76x + 4.49y + 5.93z <= 700.75
-7.17x + 6.98y + -3.08z <= 712.57
-1.82x + -9.44y + 4.06z <= 210.18
-3.31x + 4.55y + -6.98z <= 573.73
3.14x + 2.95y + -7.94z <= 324.29
-3.63x + 6.85y + -7.84z <= 893.87
-5.21x + -2.81y + -3.15z <= 508.71
6.97x + -0.2y + 1.47z <= 409.86
8.46x + 4.69y + -2.89z <= 339.38
-7.42x + 6.5y + -6.08z <= 866.52
1.21x + 5.69y + -2.33z <= 614.19
-6.12x + 9.47y + -4.29z <= 407.34
3.79x + -8.82y + -3.5z <= 912.06
-4.96x + 7.75y + 6.36z <= 148.76
-7.97x + 8.31y + -8.1z <= 782.15
5.64x + -5.19y + -1.57z <= 166.7
4.92x + -4.81y + 6.07z <= 467.13
9.6x + 9.25y + 3.95z <= 687.48
3.65x + -4.79y + -3.49z <= 930.99
-0.2x + -1.97y + 1.57z <= 360.39
0.8x + 3.6y + 4.55z <= 590.55
4.34x + 9.63y + 8.33z <= 120.63
-6.62x + -8.52y + 7.02z <= 799.7
5.06x + 5.48y + -9.74z <= 571.38
-1.18x + 5.96y + 9.82z <= 728.35
-1.27x + 4.51y + -9.61z <= 467.4
-7.23x + 6.47y + -2.26z <= 573.41
-3.71x + -7.89y + -2.63z <= 848.36
1.18x + -9.66y + 1.31z <= 938.59
5.95x + 5.08y + -6.34z <= 784.61
-9.06x + -5.92y + -4.5z <= 302.31
4.03x + -4.79y + -7.84z <= 440.34
2.37x + -9.82y + 9.98z <= 390.25
4.05x + -5.68y + 7.74z <= 384.61
3.05x + 6.98y + 7.15z <= 578.45
7.83x + -4.35y + -8.15z <= 786.7
0.52x + 5.43y + 1.74z <= 470.68
-1.78x + -2.5y + 6.59z <= 403.77
4.99x + -9.42y + -3.01z <= 468.79
4.0x + 1.15y + -8.94z <= 393.61
8.35x + 4.78y + -0.46z <= 127.2
3.85x + 2.25y + -0.27z <= 526.36
6.56x + -4.44y + 0.28z <= 894.53
-4.18x + -1.93y + 3.55z <= 870.08
6.66x + 3.81y + 0.26z <= 497.25
-4.86x + -7.17y + -2.23z <= 576.37
9.5x + -5.96y + -0.39z <= 192.65
3.0x + 1.49y + 0.42z <= 754.64
-2.4x + 6.69y + 3.01z <= 675.3
-6.49x + -1.05y + -7.98z <= 843.14
8.4x + -5.83y + -8.45z <= 286.64
-6.43x + 6.98y + -8.23z <= 954.49
0.85x + -2.51y + -1.14z <= 791.65
2.88x + -8.56y + 7.19z <= 343.96
-8.22x + 0.02y + 4.84z <= 740.48
0.29x + 1.88y + 0.89z <= 407.79
-3.66x + 9.4y + -1.83z <= 251.65
-8.86x + -1.85y + 4.97z <= 461.38
-1.76x + 9.42y + 2.35z <= 606.11
2.47x + 6.03y + 0.17z <= 350.12
-8.62x + 4.05y + 0.14z <= 726.11
0.58x + -8.35y + -2.12z <= 353.67
-1.96x + -0.65y + 4.12z <= 198.54
8.05x + -1.79y + -5.0z <= 944.15
9.62x + 8.78y + 4.27z <= 864.14
5.07x + 0.56y + -4.19z <= 305.24
1.77x + -9.79y + 5.38z <= 771.41
9.61x + -1.15y + 8.69z <= 824.68
8.69x + 0.57y + 2.49z <= 873.45
1.48x + -0.85y + 2.38z <= 354.93
7.78x + 3.82y + -5.96z <= 497.19
8.35x + 9.21y + 9.93z <= 543.16
-3.47x + -0.65y + 2.41z <= 515.0
-5.75x + -2.31y + -6.51z <= 909.44
6.52x + -8.25y + -8.29z <= 380.76
-3.84x + 3.9y + 4.22z <= 810.54
-6.87x + 6.15y + 1.86z <= 921.73
4.29x + 4.71y + 2.89z <= 637.61
-9.94x + 6.76y + -0.77z <= 528.46
-2.69x + -0.7y + -8.93z <= 974.33
0.81x + 6.55y + 5.25z <= 364.69
1.14x + -9.45y + -5.0z <= 794.75
-2.21x + 5.99y + 1.24z <= 606.24
-2.99x + -8.35y + -2.91z <= 421.4
-6.45x + 0.54y + 1.63z <= 535.78
-2.07x + 7.17y + -9.05z <= 827.14
5.75x + -8.53y + 6.52z <= 427.51
3.52x + -1.9y + -4.46z <= 826.52
-8.47x + -2.04y + -8.86z <= 818.96
3.65x + -9.25y + -7.66z <= 831.51
7.61x + -1.96y + 0.02z <= 537.21
-8.27x + 2.24y + -3.22z <= 204.73
-3.38x + 8.99y + -4.03z <= 974.08
6.2x + -9.08y + -2.04z <= 929.16
3.44x + -9.17y + -6.41z <= 784.92
-6.87x + 3.55y + 5.82z <= 471.12
-1.97x + 4.67y + 9.05z <= 892.3
9.58x + 9.18y + 2.15z <= 251.91
-6.79x + -5.33y + 0.93z <= 571.76
-7.04x + 6.8y + 9.95z <= 657.87
-8.88x + -8.18y + -5.19z <= 847.09
5.13x + -1.31y + -7.23z <= 604.62
3.08x + 7.95y + -7.38z <= 137.51
0.06x + 1.1y + 5.2z <= 879.53
-0.18x + -0.55y + -1.11z <= 769.72
-5.6x + -0.78y + -9.3z <= 461.02
-3.51x + 9.56y + 9.68z <= 973.25
2.7x + 9.17y + -0.25z <= 784.53
3.69x + 6.43y + -0.42z <= 229.56
2.71x + -9.97y + 0.21z <= 268.22
-8.07x + -9.68y + -1.47z <= 855.79
-0.58x + 4.76y + -0.59z <= 741.76
7.02x + 9.04y + 0.02z <= 102.63
-9.14x + 6.44y + 0.17z <= 905.25
6.63x + -4.85y + 4.88z <= 432.12
-8.12x + -8.65y + 5.13z <= 895.28
-1.87x + -3.51y + 4.63z <= 408.98
-5.43x + -0.27y + 6.96z <= 837.19
-6.53x + -7.07y + -8.58z <= 646.93
5.65x + 5.27y + 9.01z <= 772.06
-7.82x + 2.78y + -3.84z <= 789.52
4.02x + -6.22y + -6.73z <= 200.07
8.92x + 4.75y + 6.41z <= 869.79
-4.16x + 3.33y + -1.89z <= 215.46
0.88x + 6.74y + 1.29z <= 397.1
-5.0x + -8.59y + 9.83z <= 203.6
6.78x + -0.25y + 0.23z <= 361.11
-3.97x + 1.16y + -1.26z <= 663.34
9.14x + -7.41y + 1.27z <= 132.72
-9.35x + -2.37y + -1.48z <= 634.91
-8.84x + 7.28y + 1.18z <= 645.37
-4.24x + 9.55y + 0.49z <= 812.85
5.16x + 0.79y + -2.89z <= 942.43
0.76x + -9.46y + -5.16z <= 162.84
-5.82x + -4.63y + 4.66z <= 611.04
-0.4x + 9.16y + 7.35z <= 437.44
-3.23x + 8.29y + 9.6z <= 989.46
-5.12x + 9.32y + 1.29z <= 846.23
-6.03x + 6.89y + 9.43z <= 825.97
-3.1x + -4.62y + 3.16z <= 537.39
7.77x + -3.58y + -4.23z <= 353.56
-6.96x + 9.95y + -7.94z <= 569.92
-0.16x + -5.56y + 9.08z <= 138.98
3.31x + -4.15y + 0.24z <= 370.19
0.59x + 3.24y + 0.51z <= 572.47
6.43x + 1.59y + 3.91z <= 791.29
4.79x + 0.87y + -8.72z <= 957.31
9.8x + 9.03y + -8.18z <= 227.1
-8.01x + -8.1y + -9.53z <= 426.13
5.65x + -4.89y + -1.65z <= 738.4
2.97x + -0.36y + -6.73z <= 511.07
2.61x + 7.61y + -3.73z <= 740.26
-7.27x + -3.4y + 9.02z <= 946.94
-7.84x + 3.93y + -6.27z <= 499.89
4.74x + -5.26y + -4.08z <= 558.64
3.38x + 6.26y + 2.27z <= 703.02
6.55x + -4.18y + -6.52z <= 226.25
-1.09x + 0.78y + -0.15z <= 132.04
-3.12x + 9.23y + -3.21z <= 122.91
5.73x + 8.81y + 0.71z <= 559.42
7.6x + 4.07y + 7.45z <= 255.08
-4.17x + -5.3y + 2.85z <= 718.76
-0.22x + -4.3y + -7.25z <= 357.62
8.95x + -9.68y + -1.02z <= 780.54
8.74x + 5.12y + 5.83z <= 205.66
-7.12x + -4.74y + -3.29z <= 782.53
4.92x + 9.16y + 5.71z <= 116.51
9.27x + -0.59y + 9.69z <= 760.94
-2.38x + -9.97y + -6.77z <= 843.97
-1.57x + -0.32y + -4.42z <= 484.5
1.36x + 7.4y + -3.76z <= 200.26
7.46x + 8.76y + -5.98z <= 526.78
8.85x + -5.17y + 3.36z <= 552.82
-7.16x + 0.65y + 0.88z <= 228.74
-0.89x + -8.24y + -6.41z <= 589.52
7.2x + -7.29y + 4.93z <= 395.55
1.49x + -0.56y + 3.97z <= 127.62
6.48x + -8.39y + -8.73z <= 949.61
-2.56x + -4.13y + -9.53z <= 389.91
-9.39x + -6.15y + -9.32z <= 986.51
2.94x + -5.1y + -8.35z <= 961.2
5.92x + -8.6y + -6.63z <= 783.65
9.64x + 4.33y + -9.03z <= 979.61
2.15x + 0.81y + 5.99z <= 678.22
-1.85x + 8.8y + -6.25z <= 275.42
-3.66x + 4.47y + -2.66z <= 640.55
3.61x + 1.19y + -3.86z <= 585.61
-3.35x + 1.69y + -6.88z <= 867.42
2.92x + 0.95y + -0.98z <= 792.13
5.04x + -5.12y + -5.38z <= 203.44
7.34x + 4.44y + 8.81z <= 527.78
-2.59x + -8.08y + -5.56z <= 646.29
-8.37x + 1.7y + 5.81z <= 131.33
8.57x + -3.45y + -9.2z <= 402.23
-5.26x + 0.44y + -8.26z <= 194.74
6.42x + -1.37y + 1.03z <= 330.87
-4.72x + 4.37y + -2.52z <= 944.96
-2.93x + 4.12y + 4.99z <= 950.24
-7.17x + 7.14y + -3.72z <= 856.83
3.35x + 6.42y + -8.56z <= 424.75
-5.74x + 2.74y + -0.33z <= 313.37
6.18x + -8.06y + 5.38z <= 729.92
1.87x + 8.92y + 7.09z <= 221.43
2.7x + -3.14y + -0.96z <= 671.6
-1.56x + 7.12y + -9.43z <= 473.68
-5.39x + 0.43y + 5.59z <= 199.22
-9.52x + 0.41y + 7.83z <= 780.05
2.67x + -0.99y + 2.85z <= 722.29
1.95x + 3.27y + -6.93z <= 386.47
-2.51x + 9.04y + -8.94z <= 388.4
7.91x + 3.92y + 9.43z <= 886.4
-5.81x + 0.88y + -2.91z <= 790.2
9.03x + 5.67y + 4.67z <= 175.35
6.13x + -1.04y + -5.16z <= 397.46
9.27x + -6.47y + -3.88z <= 773.59
-5.58x + -0.25y + 8.07z <= 145.08
-9.98x + -6.08y + 8.72z <= 397.26
-8.66x + 8.15y + -0.02z <= 657.9
5.49x + 1.49y + 8.16z <= 798.67
3.1x + 8.83y + 8.49z <= 147.77
3.59x + -3.62y + 9.04z <= 906.88
-6.41x + -1.7y + -8.82z <= 513.45
-9.28x + 9.7y + -7.24z <= 908.56
-3.74x + -6.7y + -9.1z <= 759.57
8.03x + 1.9y + 4.13z <= 595.37
-0.16x + 2.45y + 1.73z <= 721.13
-9.22x + 7.36y + 4.74z <= 856.47
-7.59x + -1.49y + 5.12z <= 247.6
5.43x + -8.43y + -6.46z <= 857.55
-7.18x + 6.52y + 7.93z <= 801.51
-3.5x + -6.44y + -6.67z <= 614.11
-6.81x + -7.67y + -0.67z <= 970.09
-2.46x + -7.39y + -5.46z <= 171.63
6.45x + -4.85y + -0.22z <= 896.77
-0.83x + 7.81y + -7.36z <= 616.15
1.74x + -9.95y + 0.52z <= 581.88
-2.9x + 5.03y + 0.44z <= 431.54
-0.98x + -4.44y + -5.51z <= 268.95
-5.21x + -5.85y + -6.88z <= 215.64
-9.61x + -0.08y + 9.68z <= 981.81
-8.28x + 0.03y + -8.68z <= 692.23
-8.15x + -7.99y + 2.29z <= 598.61
2.53x + 4.49y + 2.74z <= 882.99
-7.64x + 4.27y + -2.39z <= 562.18
2.8x + 1.55y + 3.63z <= 731.11
-5.57x + -3.91y + -7.46z <= 906.69
-6.24x + -2.19y + -2.72z <= 256.03
-2.03x + -7.24y + 1.78z <= 539.56
3.47x + 6.45y + -3.96z <= 476.52
1.28x + -9.51y + 3.97z <= 496.67
-2.25x + -1.72y + 1.35z <= 913.69
-7.01x + -5.83y + 4.03z <= 993.93
-1.31x + 5.67y + -6.49z <= 550.01
-7.13x + -2.48y + 7.35z <= 250.57
0.18x + -3.04y + 0.03z <= 475.11
5.87x + -2.04y + -5.85z <= 354.44
-2.88x + 5.83y + 2.64z <= 741.51
-5.84x + -0.5y + 0.8z <= 481.08
-5.94x + 0.15y + -3.51z <= 681.92
-8.79x + -0.78y + 5.58z <= 624.88
8.08x + 4.41y + 0.21z <= 804.65
9.42x + -9.16y + -7.22z <= 737.49
7.39x + -3.4y + -9.11z <= 137.0
5.03x + -5.9y + -1.58z <= 219.21
0.07x + 5.57y + -5.13z <= 822.58
-5.42x + -1.01y + -4.7z <= 226.96
-6.51x + -7.53y + 5.5z <= 589.73
-0.28x + -4.16y + -6.43z <= 827.69
-8.22x + -3.85y + -3.03z <= 449.4
6.02x + -3.73y + 0.33z <= 756.16
4.75x + -6.02y + -0.9z <= 655.06
9.6x + 9.27y + 3.86z <= 499.76
6.77x + 9.96y + -8.81z <= 276.06
5.48x + 2.79y + 1.55z <= 213.99
-0.14x + 7.22y + -7.82z <= 698.27
5.77x + -5.03y + -4.73z <= 682.33
6.4x + -6.15y + 9.04z <= 230.62
9.73x + -3.55y + -7.24z <= 578.5
-6.37x + -1.32y + 9.29z <= 275.34
2.82x + 1.85y + -6.99z <= 256.4
-9.63x + 6.4y + 8.36z <= 762.07
1.51x + -3.69y + 5.29z <= 590.55
4.7x + -7.08y + 3.23z <= 554.6
-2.54x + -9.78y + 0.56z <= 613.82
2.85x + 7.93y + -8.72z <= 849.13
2.75x + 7.74y + 1.85z <= 777.0
-2.29x + 9.13y + -6.02z <= 995.7
9.38x + -9.51y + 8.57z <= 348.02
6.31x + -7.22y + -4.69z <= 864.2
4.18x + -9.71y + 3.85z <= 665.92
-2.92x + 5.91y + -2.0z <= 666.97
10.0x + 0.34y + -6.92z <= 927.51
2.32x + 6.83y + -1.29z <= 219.71
-4.72x + 6.17y + 1.49z <= 628.75
5.25x + 2.85y + 8.24z <= 669.45
6.78x + 4.47y + -2.18z <= 928.63
9.5x + -8.44y + -6.89z <= 705.72
-2.49x + -0.04y + -5.3z <= 966.49
-5.21x + 1.12y + 5.58z <= 303.48
-9.72x + -9.19y + 6.84z <= 883.23
-2.74x + 9.73y + -5.83z <= 173.59
-9.65x + 8.77y + -7.4z <= 871.02
4.45x + 1.01y + 0.54z <= 950.6
-9.86x + 7.86y + -8.87z <= 425.9
-0.47x + -9.8y + 4.62z <= 395.15
-7.0x + 3.49y + 1.21z <= 230.22
-8.68x + 5.18y + -0.24z <= 902.16
-1.64x + -9.94y + 7.81z <= 993.79
-3.48x + 8.65y + 1.57z <= 491.1
9.14x + -9.4y + 6.26z <= 172.9
7.26x + -9.05y + -7.1z <= 406.24
-8.67x + -8.38y + 0.44z <= 659.17
-8.03x + -8.48y + -5.67z <= 732.92
0.72x + 3.51y + -8.16z <= 968.38
-7.81x + -5.67y + -5.46z <= 404.83
2.19x + 6.67y + -9.99z <= 758.49
-2.56x + -3.59y + -9.65z <= 968.2
2.7x + 0.5y + -1.37z <= 176.94
3.79x + 7.18y + -5.47z <= 214.04
4.16x + 4.07y + -5.18z <= 495.69
8.82x + -6.91y + -5.48z <= 896.89
-2.66x + -7.95y + 5.5z <= 369.84
5.67x + -2.75y + -2.65z <= 768.36
-9.8x + -6.06y + 5.13z <= 308.57
1.64x + 0.69y + -1.49z <= 751.24
-2.56x + -9.43y + -3.69z <= 320.25
-8.81x + -9.07y + 0.9z <= 792.8
-6.78x + 0.96y + 8.23z <= 550.23
-8.0x + 4.71y + 8.99z <= 297.62
0.15x + 3.16y + 9.45z <= 959.15
-0.94x + 8.19y + 2.38z <= 275.24
-8.76x + -4.22y + -9.13z <= 512.8
-2.42x + -6.11y + 1.16z <= 471.39
2.51x + -1.65y + -9.51z <= 279.69
6.0x + 6.03y + 7.32z <= 672.39
8.9x + -4.48y + 5.65z <= 333.58
-2.16x + 5.4y + 2.95z <= 900.61
8.29x + -2.87y + -1.73z <= 466.07
-5.83x + 2.08y + -0.18z <= 549.21
2.89x + 1.1y + -6.84z <= 832.97
-8.98x + -5.32y + -0.1z <= 336.4
2.75x + 6.26y + -7.31z <= 635.74
-2.07x + 8.21y + -8.22z <= 213.66
-8.25x + -3.12y + 7.82z <= 878.91
-5.09x + -3.04y + -4.99z <= 616.29
-0.67x + 7.77y + -1.05z <= 536.69
-8.2x + 9.41y + -3.49z <= 107.98
-2.55x + -5.93y + 1.25z <= 930.25
4.39x + -9.61y + -9.85z <= 887.89
-7.72x + 6.01y + -5.08z <= 970.07
9.19x + 8.55y + 1.78z <= 976.49
8.43x + -5.32y + -5.66z <= 560.87
4.63x + -7.58y + -6.85z <= 683.95
-8.27x + 8.9y + -6.55z <= 247.45
2.12x + 3.4y + 0.58z <= 728.71
-7.61x + 8.87y + -3.99z <= 654.97
-3.47x + 8.51y + 1.61z <= 483.7
8.54x + -9.99y + -9.78z <= 859.39
-5.18x + 4.81y + -1.49z <= 801.33
0.18x + -0.24y + 7.75z <= 344.93
-1.57x + 5.72y + -7.62z <= 161.86
8.63x + 5.19y + 5.75z <= 311.52
8.08x + -9.75y + -9.53z <= 670.86
-8.19x + 9.7y + -4.76z <= 504.32
-1.88x + 1.98y + -0.89z <= 695.12
0.13x + -0.39y + 6.01z <= 861.69
0.66x + 6.35y + -4.73z <= 239.0
-1.17x + 3.52y + -2.17z <= 653.9
-4.05x + 7.63y + -4.7z <= 776.05
9.61x + -5.6y + -4.92z <= 583.78
-5.23x + 8.96y + -7.42z <= 567.08
-7.1x + -8.31y + 6.3z <= 730.07
9.22x + -1.04y + -6.13z <= 335.36
-9.03x + -7.24y + -8.07z <= 952.77
6.45x + 2.15y + 4.77z <= 566.34
3.91x + -4.69y + 9.62z <= 890.26
-2.76x + 6.33y + 8.75z <= 213.75
3.56x + 3.68y + -7.63z <= 809.97
4.36x + -0.66y + -0.35z <= 253.94
9.29x + 4.59y + 1.45z <= 906.75
-4.43x + 2.59y + 9.36z <= 380.92
9.33x + 2.78y + 0.37z <= 198.51
-2.13x + -6.11y + -5.02z <= 551.81
-5.65x + 2.59y + -3.73z <= 933.54
1.8x + 7.87y + -2.85z <= 269.84
6.21x + -3.24y + 7.81z <= 695.04
-1.57x + -3.48y + 7.67z <= 519.47
-2.94x + -8.87y + 3.76z <= 500.97
0.11x + 1.6y + 4.94z <= 626.44
-7.72x + -9.62y + 1.16z <= 880.07
7.58x + -5.23y + -8.82z <= 907.31
1.98x + 7.93y + -9.4z <= 155.97
9.21x + 3.09y + -0.99z <= 565.41
-8.86x + -4.62y + 2.78z <= 114.64
-5.45x + 9.86y + -4.2z <= 598.64
-9.45x + 7.13y + -5.16z <= 258.98
-6.78x + -6.94y + -2.03z <= 609.91
-5.48x + 6.18y + -1.77z <= 980.8
7.02x + -3.25y + 0.31z <= 612.95
-2.0x + 4.09y + 7.37z <= 996.65
7.95x + 5.39y + -8.44z <= 156.83
1.65x + -5.02y + -4.05z <= 112.82
1.8x + -9.15y + 8.07z <= 614.18
9.69x + -8.27y + 8.94z <= 190.14
6.3x + 3.18y + -9.28z <= 492.5
9.17x + -3.55y + 4.45z <= 368.89
6.39x + -1.76y + 8.02z <= 789.67
-1.6x + -1.88y + 8.51z <= 663.5
-7.04x + 7.68y + 8.28z <= 908.78
-0.1x + 3.61y + -7.24z <= 265.33
-1.16x + 2.87y + -8.49z <= 814.15
-5.51x + -3.01y + -7.41z <= 645.15
-1.84x + -4.97y + -1.92z <= 848.54
-2.02x + 4.83y + -2.87z <= 385.46
3.47x + 4.6y + 3.44z <= 924.97
5.22x + 3.28y + -4.28z <= 315.7
-0.21x + -9.98y + -7.47z <= 625.7
-1.94x + 7.19y + 2.85z <= 253.12
4.98x + 9.96y + -1.31z <= 424.53
1.15x + -1.97y + -8.65z <= 127.96
-7.84x + 9.43y + 3.31z <= 165.16
7.16x + -0.6y + 3.25z <= 602.15
-9.51x + -3.3y + 9.85z <= 473.82
7.86x + -6.2y + 3.85z <= 826.33
-8.02x + -1.11y + 1.9z <= 951.88
-5.65x + 2.29y + 9.88z <= 889.48
-6.61x + -1.28y + 5.88z <= 454.38
-2.89x + -4.24y + -3.22z <= 895.65
9.43x + -3.18y + -6.33z <= 911.24
-2.0x + 8.36y + 7.7z <= 628.41
7.94x + 6.95y + 5.07z <= 322.23
-7.29x + -9.89y + -5.79z <= 374.85
-7.57x + -5.81y + 5.51z <= 841.05
-9.73x + 0.19y + -3.61z <= 924.05
8.35x + -5.02y + 1.95z <= 937.83
2.8x + -8.46y + -5.4z <= 210.93
-5.35x + 3.28y + -4.83z <= 537.79
-3.67x + -8.29y + 1.31z <= 755.75
2.67x + -6.32y + -9.56z <= 220.9
-4.9x + 6.93y + 8.71z <= 649.66
4.23x + 7.85y + -4.39z <= 602.96
-7.43x + 7.57y + 2.14z <= 990.92
-1.5x + -1.85y + -0.47z <= 133.48
1.31x + -1.17y + -6.36z <= 159.77
1.32x + 3.35y + 3.17z <= 714.62
2.12x + -2.96y + -1.73z <= 483.8
8.37x + 3.13y + 4.73z <= 555.78
5.44x + -2.23y + 5.62z <= 331.72
-1.04x + 7.86y + 9.46z <= 178.33
-1.56x + 5.1y + -2.42z <= 672.4
4.95x + 6.24y + -1.2z <= 123.78
-7.98x + -1.52y + 0.21z <= 663.33
1.28x + -7.04y + -8.66z <= 652.78
-1.12x + 5.42y + -4.15z <= 313.34
9.69x + -0.2y + 3.0z <= 548.11
-8.24x + 8.25y + 9.06z <= 247.23
1.26x + 4.45y + -8.9z <= 848.66
3.19x + 8.05y + -9.55z <= 318.63
0.04x + -6.0y + -3.45z <= 955.0
-5.04x + 1.16y + -0.59z <= 345.84
-1.89x + 4.43y + 4.48z <= 815.59
-3.22x + 1.61y + -4.5z <= 260.2
-4.46x + -1.0y + -9.25z <= 441.67
-0.7x + 4.25y + -3.92z <= 178.31
2.8x + -2.83y + -8.28z <= 201.45
7.8x + 8.6y + 1.07z <= 837.33
-2.59x + 8.77y + 5.8z <= 917.31
-6.88x + 6.16y + 9.99z <= 895.16
6.78x + 5.65y + -7.61z <= 982.87
8.69x + 0.76y + 0.92z <= 766.23
9.94x + -8.46y + -0.83z <= 633.29
-2.3x + -1.0y + -1.23z <= 943.33
-2.05x + -5.56y + 5.69z <= 885.68
1.38x + 9.09y + 8.28z <= 488.37
-2.47x + 4.94y + 1.47z <= 763.82
8.31x + -2.94y + -4.2z <= 348.03
3.02x + -3.5y + 0.73z <= 983.11
5.48x + 4.26y + 0.03z <= 902.07
7.09x + 1.22y + 1.88z <= 145.72
-5.45x + -1.67y + -6.6z <= 492.76
-8.65x + 1.95y + -5.16z <= 271.19
9.34x + -4.45y + -1.41z <= 907.16
-0.53x + -0.02y + 4.56z <= 443.6
7.05x + 6.05y + -3.64z <= 397.3
-7.26x + 6.86y + 2.84z <= 817.89
-9.59x + 7.99y + 4.15z <= 298.04
4.1x + 8.44y + 8.04z <= 369.97
-1.24x + -8.24y + -1.01z <= 777.52
-0.48x + 1.98y + -4.67z <= 399.62
1.35x + -9.7y + -3.63z <= 897.67
8.0x + 5.64y + 3.6z <= 431.93
8.4x + 2.49y + -8.32z <= 649.3
6.42x + 9.48y + -2.26z <= 975.53
-7.42x + 6.91y + -6.12z <= 328.02
-9.07x + 6.16y + 6.67z <= 459.85
-5.87x + -4.25y + 8.41z <= 634.33
-8.8x + -0.98y + 7.82z <= 865.58
4.23x + 6.78y + -0.75z <= 972.55
-6.09x + 7.36y + -2.64z <= 851.35
0.35x + 1.31y + -2.36z <= 222.34
2.75x + -0.78y + 6.73z <= 304.79
-7.85x + -3.76y + -3.63z <= 491.66
-6.61x + -9.8y + -8.37z <= 656.42
1.99x + 5.09y + -2.54z <= 790.68
-5.6x + 9.02y + 2.12z <= 927.05
-8.78x + -6.28y + -2.63z <= 273.36
-4.95x + -5.99y + -8.53z <= 352.34
-1.82x + -1.68y + 3.58z <= 383.0
7.81x + -9.45y + -1.53z <= 691.82
-1.53x + -3.56y + 9.15z <= 817.32
2.07x + -9.99y + -0.11z <= 959.23
6.79x + 7.57y + 3.44z <= 387.92
4.76x + -1.12y + -2.84z <= 322.55
8.62x + 1.77y + -7.16z <= 501.86
3.09x + -3.28y + 6.15z <= 507.0
-8.46x + -1.64y + -9.53z <= 997.61
