#result not equal
# convex result: (15.38232,17.87768) os tool result: None
max 71x + 43y
42.063520238644315x + 97.8009901455813y <= 84834
-81.18332100503159x + 93.24364728169527y <= 12632
-31.09492731489314x + -70.1422031547638y <= 84566
-97.42252498790273x + 26.92462197974865y <= 56114
4.684550886859512x + 37.96011232726727y <= 85249
21.15764169208525x + -60.294030288735435y <= 99432
-16.82023349027648x + -49.50405139203718y <= 13110
-15.271513012447159x + 80.49143507800801y <= 35547
19.734636357841424x + 51.25093259673656y <= 41036
-69.46359726687274x + -50.3096571378977y <= 87465
-35.855918124220494x + 94.52251138618797y <= 39844
35.97431827366768x + 8.20288785305803y <= 61447
75.31153850220488x + -99.55084204818152y <= 33816
71.96487146034559x + 62.49747097703522y <= 75255
55.0474887692385x + 32.97157368029431y <= 29880
-22.255695439412122x + -14.417183008849491y <= 93089
-12.141387479499983x + 87.88907378833954y <= 93055
-36.238549056159265x + 52.53905015230015y <= 39849
-88.9421539611587x + 36.34146711127096y <= 97007
-32.531267459151294x + 53.376039646937244y <= 85419
-8.854305624988584x + 64.02592311413326y <= 94182
-73.93771141822029x + -59.0593645160765y <= 13824
-43.069675960980526x + 59.57450659321114y <= 68413
23.620349969305735x + -37.98125469037126y <= 49753
-64.37247895217295x + 88.84028554157754y <= 36718
-90.52367308004348x + 51.68522864542632y <= 81758
76.8831738175804x + 61.39951111738583y <= 84377
-0.1634806231420498x + 67.81632173217506y <= 48545
-89.84855702911388x + -39.55237998006509y <= 95212
-23.855427884118313x + 2.0510704684782297y <= 72006
-10.778163164190332x + -21.40776076361857y <= 11595
95.33878613155375x + 13.65392681990636y <= 16444
-97.87892869833476x + -17.5873380654795y <= 68402
64.80836133531201x + 4.828010412511901y <= 12520
-30.205244152746985x + 39.84886959171635y <= 54853
-74.05202867972429x + -3.259576613805308y <= 57994
97.41670327408687x + -30.034074407147827y <= 66897
9.537935648962332x + 30.50123069907272y <= 24239
79.42555691737562x + -42.64292373980132y <= 60157
-40.427033864025354x + -61.522450263981334y <= 52351
39.479305143294795x + 96.64645815998838y <= 33267
91.8779890785921x + 81.33944134948453y <= 82798
64.56611845312474x + -83.45653538553333y <= 66211
-88.77497098578486x + 3.1596707417696592y <= 71904
-87.92573991622189x + -6.378297409705482y <= 83777
-45.676369515552516x + 96.61141319771141y <= 29837
52.60282178114204x + 88.82359688433169y <= 25160
-40.647301536872746x + 19.41394254880477y <= 6678
33.17729701624003x + -10.15826370441701y <= 52924
73.43747052406064x + -37.10652175862186y <= 45768
98.10970107614165x + -19.259691931262466y <= 68398
-57.83535808860647x + 12.237725175039984y <= 60180
46.90653400299482x + 68.6224094377232y <= 96461
-26.339240571260845x + -66.63018417772992y <= 95685
-30.067464290721645x + 82.6845246621819y <= 99156
27.13976423986466x + 99.11311688708562y <= 66632
67.55504079376959x + -95.88674232334513y <= 13759
-42.557111191543704x + -70.01308436727626y <= 21192
34.28887583422724x + 84.34305482424679y <= 64163
-18.5991202174705x + 87.39752835432591y <= 96000
-4.600876732208263x + 37.24722032249002y <= 70791
-29.993319747225613x + 31.83084499197156y <= 80061
17.636421731257727x + 10.445051622060149y <= 32442
43.78331023414762x + -87.55665865397218y <= 20781
85.15121181240676x + 52.91982091945292y <= 23798
17.181619354013037x + 58.460858144356365y <= 59493
-30.92155955140123x + 81.62054663255674y <= 80082
73.57975824088084x + 19.767294570139484y <= 50887
26.600330137533092x + -94.65043527445287y <= 33697
-37.83096515638924x + -18.385762710760133y <= 77661
93.31414035255531x + -84.469070237541y <= 38797
-52.966455183596835x + 31.69119791039992y <= 95672
-34.13945874179274x + 43.86735970011782y <= 97287
-81.15006360700956x + -30.621700357497517y <= 67380
89.11081868731739x + -72.84654084921402y <= 87736
-36.18647865964968x + -5.042265290149899y <= 20704
-39.3011186146909x + -41.09959959457545y <= 90006
-75.66134201054805x + 3.2775518236587686y <= 91689
70.88959221849424x + 11.408036540401952y <= 40182
23.17000698420763x + 60.587445748728044y <= 15405
-64.50573599456557x + -53.8113624329454y <= 60296
55.35279567409387x + 58.58188435556008y <= 35208
62.233292463944366x + 77.40384982900392y <= 24134
-26.434780503239026x + 13.720653779388499y <= 67300
-31.73457483018352x + -94.54194244573088y <= 68072
-63.66849035536537x + -60.213451840111354y <= 31619
42.651898883299x + -79.60111089431483y <= 36988
77.8585926191378x + 22.679136380059802y <= 81154
-92.65310660165704x + -96.43152141453434y <= 91279
82.84706423410245x + -80.32255230998274y <= 63597
-72.8179643706935x + -43.6499476459691y <= 87928
87.68428096829444x + -49.14229653324471y <= 62215
93.94982221091138x + 95.42776412893275y <= 53230
71.55716173553861x + 76.08304968498774y <= 50810
40.72820133696899x + 30.708499155560077y <= 81670
83.53625151418765x + -22.369444250237052y <= 58865
78.55413880517725x + 44.89923899446177y <= 86279
33.435479230443434x + 4.4191584325109545y <= 52982
-6.144735917089619x + -65.71340014767289y <= 92875
14.760173826014736x + -94.5618889830908y <= 99129
-6.118175001733263x + -40.7020089641543y <= 77231
-86.29674315759408x + 85.6355857121138y <= 50819
-20.201982045609995x + -51.34301201516165y <= 5927
-57.713048808670074x + 59.92044897403832y <= 63635
89.54549340885654x + -7.047263607013093y <= 85106
0.7000788733132453x + 82.18448187200602y <= 53688
41.81987850996774x + 53.365010703793104y <= 62475
-55.17338192973946x + 48.11521326707725y <= 87287
88.19953196114949x + -91.07430761720121y <= 32145
16.280112115375076x + -46.1417908931409y <= 25401
-5.855084423504195x + 73.3740062090528y <= 24373
-27.864209817605982x + 16.935683218806787y <= 30810
-45.043084502072794x + -79.86656126107188y <= 55257
64.25523640532296x + -30.05538315311918y <= 39323
-35.84395225115186x + -11.00776553026175y <= 35776
-5.445937271941048x + 26.323483964776685y <= 60503
95.39633960297508x + 93.50232865056424y <= 86526
28.170017692945436x + -76.37410287950652y <= 32213
-84.06670197099811x + -99.95199985596632y <= 42984
73.01788550134646x + 98.92959302132755y <= 58540
-89.48875708964441x + -27.001487758808665y <= 54637
34.28072549830955x + 93.18543884632157y <= 27448
-5.650558840322148x + -86.67095387273007y <= 57406
-9.165843715525952x + -82.28201644785216y <= 32613
-35.86826675644616x + -45.865463892038626y <= 46807
-32.247704369622525x + 5.296782285622555y <= 24861
76.63044808387349x + 46.696182103910786y <= 11336
-97.73892043852732x + -19.697077151084002y <= 43851
-50.42438689875095x + -93.2236744882524y <= 91271
-68.87163625813773x + -54.79939267612002y <= 63193
54.146015763988174x + -99.98987931334047y <= 50835
45.35203497568912x + -59.45602295988852y <= 52034
53.13274388855797x + 46.85714886030388y <= 63919
-88.57064908429504x + -19.944621700010472y <= 67416
-85.87769910876347x + 11.438742431505318y <= 10110
93.71113697661457x + -37.96345100310165y <= 5461
47.57673820753644x + 17.189117456423375y <= 82536
-8.524988324733982x + 11.213019142873094y <= 48126
23.65113351371795x + 99.35977938852088y <= 93592
-58.668784011065014x + -81.79820468343434y <= 1515
81.34407410817178x + -22.647650574377764y <= 50435
38.890161796534244x + -13.319605560311487y <= 42917
12.36971759600145x + -7.442997244987424y <= 11801
94.4905706840797x + -72.09314990264204y <= 66191
-86.8151014989982x + 15.860163720424893y <= 68038
-55.31368403454757x + -21.684391727350288y <= 28181
23.87452287832997x + -94.84793348591201y <= 24446
-18.060542923565762x + -89.63817032298486y <= 15209
-22.797009009359883x + 15.86929726798985y <= 29076
19.213954761189726x + -58.02623154123145y <= 45336
-90.12212028595235x + -98.94592552424584y <= 19119
-37.584932817802375x + -24.58160442206936y <= 50491
-96.9112572658935x + 98.97346299481592y <= 12246
62.04109677321418x + -93.24674606492032y <= 89702
4.4459102787294285x + -64.6131471382277y <= 22510
-95.9962034426831x + 56.72559618305283y <= 5465
-23.634455055396103x + -33.169057410615736y <= 63780
61.69665260368157x + 49.90937953192076y <= 65743
67.47732411110124x + -99.35633445242227y <= 80044
-71.45545811843294x + -85.22174309260132y <= 3480
-32.655251653074174x + -3.239218379674y <= 79701
88.52843035684629x + 91.99600822357874y <= 17607
31.876143549649413x + 1.2610889201441609y <= 81937
70.18635202817836x + 2.6330811631277697y <= 54721
69.64159550094968x + 3.8529241370002865y <= 34698
0.5190854220000034x + -80.16283148389209y <= 80994
-20.94003159760331x + -22.905849157166756y <= 79712
-52.871649645725974x + 24.393812479993443y <= 4674
-59.5599276735725x + -60.51419720854832y <= 49012
76.09517503423587x + -78.32504263479021y <= 52401
31.959034956362302x + -44.03654014917073y <= 84333
0.966099584157945x + -48.51478571815082y <= 67525
-10.943319765372067x + 26.03345402408776y <= 65024
-13.980534913797939x + -37.42097664733883y <= 16210
44.88410599021111x + -90.70145982339817y <= 39498
-84.91215049213889x + -27.441031074465712y <= 60387
67.32420376511263x + -11.070497067232594y <= 95325
-51.395347502523414x + -70.03110364288156y <= 83789
57.776258296758556x + 35.70196528155577y <= 39330
-83.50218313837503x + -49.88220793482168y <= 22372
18.017573807370212x + -84.84718918480114y <= 47429
-10.368538287320135x + -82.98124714878185y <= 56598
-48.50909568631159x + 50.75718061289331y <= 3688
-10.04980440237533x + -60.4186535042492y <= 94383
64.89701846053083x + 37.56871858764819y <= 91242
-13.171988517742435x + 92.7359216255135y <= 42142
19.013048466726886x + -60.838150072233724y <= 38987
-23.124246388390475x + 30.641211544995116y <= 8830
50.037410364017376x + 7.068521581145816y <= 83087
-21.682682559746098x + -36.84269181106421y <= 4238
21.760998019042077x + -72.61412267036818y <= 60696
-74.94344025344583x + 89.57925374376322y <= 82324
-58.63289324163319x + -98.96999564232713y <= 74840
-68.9560184246345x + -2.349553989236213y <= 7162
41.28573241049182x + -80.84641632887495y <= 99104
-11.827065594424838x + -59.63495421273968y <= 77133
92.44130586480085x + -46.86782044040534y <= 18028
26.72864421041406x + -27.549135874920424y <= 36194
-55.785381014682315x + -26.506958483136017y <= 91543
73.94659511193683x + 16.481748045912425y <= 69536
6.115976907403066x + -39.20910810779223y <= 20257
34.89290473049729x + -81.15873980833071y <= 89817
-97.35091473069322x + 42.051157736353105y <= 32775
-59.49728676465229x + -21.074449699098466y <= 13568
40.74150758382527x + -94.03627966054935y <= 1557
81.56875769232198x + 63.5630346437147y <= 63209
-45.60534846251021x + -2.724723384246758y <= 3046
0.2630277365776692x + 91.58865370967618y <= 36479
-72.64112849161359x + 61.2783394610741y <= 76474
-16.722813234451436x + -64.39525468349711y <= 57397
43.16124494491538x + 43.48467124085872y <= 81884
-58.02020798779915x + -7.276803104629636y <= 67395
5.237893749593226x + 93.12774871626053y <= 34096
-62.89699547334375x + 68.23784970649015y <= 24899
-68.75345947392108x + 34.192241573412616y <= 35368
-91.42956569518216x + -77.46062414918649y <= 78599
29.10571299915162x + -64.3894308562551y <= 68211
-66.8189624899428x + -42.30830619294339y <= 5835
-42.26190486556529x + 15.533508295297167y <= 44491
-34.339479263076456x + -41.44500028770519y <= 30230
14.822903710357267x + -77.53147161805971y <= 32499
53.930496153520835x + -47.19944500924515y <= 55908
32.2551165795621x + 41.63197067945322y <= 74375
-63.98996940986703x + 35.604760070421264y <= 79109
86.28365660512372x + 47.25983432752719y <= 52046
-63.54126021162294x + 24.65313934082147y <= 63599
61.69426354487368x + -88.28009634566274y <= 90574
74.79565379743858x + -89.95957099512961y <= 94134
-59.832249232084614x + -94.59321594233512y <= 24722
-40.95312684975014x + 25.15504806364457y <= 61488
-32.58017525661809x + -30.959802051682544y <= 77615
-77.75710365883106x + 6.983261291781375y <= 39833
85.33582347867045x + 84.00516655820178y <= 26384
42.327652297811625x + 69.31212315507832y <= 56661
-78.25075969871452x + -65.25695257278267y <= 84330
-91.32216228429446x + 3.308822160273067y <= 59436
18.51918167786546x + 2.6309705408298356y <= 39083
77.64752910907185x + 17.733573993251866y <= 75605
-79.24005804675747x + 81.3008823769195y <= 97041
62.73303207256322x + 63.092469218864466y <= 52726
-72.02638377619513x + 67.13460190499782y <= 18382
31.10161102261634x + 43.32107126726004y <= 34453
-85.96543721934285x + -33.51384244373968y <= 9934
-89.26317735880447x + 76.82721827686038y <= 99732
-54.85206424126221x + -96.44966733994389y <= 65889
-0.034275001244580494x + 33.73270255079942y <= 57300
-51.85487991702431x + -65.29046247627844y <= 25114
-55.1252496808545x + 93.84173924873971y <= 25274
-86.08476572412846x + 65.45252327022794y <= 82387
82.87339241328834x + 20.603906399696953y <= 88578
-30.54899655009578x + -4.31170616977019y <= 34262
72.30075160268461x + 22.970970534270464y <= 9188
6.416284296915336x + -34.251301671322636y <= 23465
52.384152801299365x + 96.57861217783676y <= 83771
17.333513564165216x + -84.55503095817012y <= 70006
29.133335733905596x + 92.973404067382y <= 40366
49.11611337373586x + -9.874456667254819y <= 23132
12.741702776236764x + 13.90288814880141y <= 58794
53.2855218513692x + 25.301341716046323y <= 13724
98.53149249468507x + 50.921714254597845y <= 94392
-22.500199601724532x + -67.21441163637346y <= 2793
53.123141257116714x + 23.0438403619645y <= 11595
-84.2184206764772x + 73.26418272916317y <= 75975
-80.25744336226784x + -57.078768869898425y <= 54475
28.340662275679932x + -15.349859824975965y <= 99577
55.751139675577065x + -35.37486082728738y <= 89995
20.818323321059594x + 76.28320507907057y <= 33420
7.892711168212244x + 86.14037269917395y <= 84186
-24.80668231713959x + -37.93059464958157y <= 86302
-3.574234039402313x + 11.696419895251836y <= 35026
-5.847842769073125x + 30.827249256984032y <= 34840
-25.60502088264009x + -4.984193765969479y <= 29088
25.543862708564575x + 15.728238602896383y <= 20333
-34.643556721663174x + 96.36741504268923y <= 69070
-6.08356882943157x + 95.19591078691838y <= 36038
-6.657065420070182x + 80.98848235638962y <= 51634
23.66046657835723x + -60.540890880746964y <= 4258
-77.47667129603693x + 40.248339704492906y <= 68522
-32.81049092246147x + 75.4777582781893y <= 62426
38.45370535864862x + 22.938607423262724y <= 50803
-16.943066907717295x + 27.433765073399158y <= 73393
43.17981155794152x + -33.16236918768681y <= 31783
-22.272391915602057x + -38.073032912353774y <= 18606
38.258849422432235x + -85.29122140978104y <= 93015
21.81010011312941x + -93.18866830740669y <= 11336
90.92708757315495x + 8.135417810871417y <= 14213
64.37252469323784x + -61.203083107675724y <= 61798
-0.008443137172747583x + 73.41004044647971y <= 19189
-85.3729034944154x + 56.93795919525647y <= 87865
14.266842820813181x + -73.4351533099272y <= 52258
43.17219835892209x + 17.810283761099896y <= 55527
-85.71764573900785x + -37.443593074375926y <= 94942
-11.652007306796591x + 30.510283568008816y <= 79005
44.41562551686687x + -44.71826921571049y <= 23280
-23.00618674089702x + 41.43460890422631y <= 28536
52.0095613067746x + 91.64614360037118y <= 85049
42.02933875616293x + -79.37707326739793y <= 10597
38.68655736734539x + 23.112311686972234y <= 20178
-20.816523992019526x + 77.72079394636708y <= 41778
-82.57212976532544x + -79.57617025074507y <= 32803
32.44991256354092x + 30.465108198648124y <= 59733
-57.327914042970775x + 80.11601674871577y <= 44041
-77.81156960492497x + 41.890837367078376y <= 41617
99.08227898940942x + -5.7746699954443415y <= 26008
-72.5848116615739x + 49.57934629057581y <= 6477
96.49699239771522x + 10.596409174208162y <= 2797
3.886736239984188x + 17.57945681965758y <= 45531
-56.33513110274444x + 53.0455625987982y <= 89682
-71.86644573922601x + -25.87483486625854y <= 55342
-18.089794098644305x + 54.35540456205251y <= 13955
-19.153024710056556x + -10.257638861616215y <= 91368
27.00270134184997x + -76.13451383794538y <= 53043
-93.7089914940549x + -79.14107594066633y <= 25823
-81.62517065819937x + -24.65922903362636y <= 72123
-63.391665563704926x + 20.728047343894602y <= 4079
-92.8034338791361x + 32.74710301752816y <= 22033
-72.36203278945672x + 66.34066736647864y <= 90593
-68.99307245139433x + 23.605263647841326y <= 89996
-81.27259696085278x + -33.63290510809436y <= 68424
-86.77159638415941x + 1.561152846067543y <= 70681
75.67659082543187x + 56.76348118415845y <= 17791
37.26278046852545x + 11.071577530012604y <= 2601
-66.55348760996176x + 8.466254884573331y <= 35909
-49.61947275905341x + -78.4049275228868y <= 19675
-47.02248248405931x + 55.27052425360739y <= 67952
-8.922382637343091x + -4.370793221578964y <= 70695
-20.348557294766437x + 13.668379898831873y <= 52816
95.26728507052283x + 54.02698354117169y <= 78628
69.42530262494009x + -52.010263654500946y <= 79049
38.507114179014394x + 13.085372276804591y <= 71013
48.97132337684937x + 74.68364998490924y <= 84580
8.822873190958248x + 98.14947966873169y <= 60635
34.372406195497405x + 47.28491719850322y <= 52692
-55.02128940453157x + -61.8485456176642y <= 17807
19.67304312410147x + -68.12073362692601y <= 44738
-19.220417006710022x + -8.685049743263633y <= 38167
43.826349766071445x + -59.98714564620236y <= 19394
-28.909149462096735x + 77.12917353649499y <= 95635
-86.96567833558828x + 93.86979844532036y <= 86466
-81.24785106886671x + 13.244550774853963y <= 73141
-12.58392933882206x + 12.222219142717123y <= 5922
6.163670917048108x + 26.00614193756006y <= 16324
-52.623867252046175x + 8.202446079761927y <= 26320
72.83563374236019x + 50.27551619858053y <= 30772
-55.67129848888088x + 30.73123810830495y <= 3342
6.12235604446623x + -36.58043891807201y <= 27749
-82.5863513139226x + -80.13031613789676y <= 94704
87.52213141017617x + -80.2473169875503y <= 15876
-10.983007866327938x + -23.07779004853036y <= 68101
-21.389541951645725x + 8.68992102830643y <= 91610
59.54487777893314x + -79.54688799347318y <= 13198
-89.62743175555015x + 60.580291159762y <= 9706
-90.21825051003229x + -70.74920427404714y <= 65232
35.32789764711279x + -79.00596059419237y <= 65954
-2.4645567038702296x + -61.86906866826936y <= 36728
98.51622181421735x + -41.736442442031006y <= 83329
-51.93297831671202x + 18.548328646910633y <= 7315
96.91509244863443x + -59.64964785021567y <= 89162
-49.26838817299524x + -43.84320581511945y <= 47990
-73.77842014813987x + -19.680513298501467y <= 61048
66.28339239105824x + 73.02309041872815y <= 22679
63.40620824619282x + 67.18764574676572y <= 43946
-85.04844097197899x + -68.80313962288668y <= 94221
33.48470001164205x + -91.64552405793339y <= 84236
-59.96980518115258x + -32.692201498058026y <= 75465
62.385273694527456x + 81.87118073585194y <= 66738
31.878276720979528x + -5.530785388254529y <= 29589
41.09638060852231x + -46.87157525662682y <= 11984
91.95606464160596x + 27.590409606144476y <= 45548
85.06927650332173x + -67.43176075098465y <= 90838
62.008425896661066x + 12.590148818878234y <= 76839
66.55062319621734x + 55.23360659011851y <= 98409
27.29608258852241x + 1.360145760632662y <= 78907
63.555468746531716x + 89.56124857800776y <= 69708
-51.88884131303648x + -81.46608558915631y <= 81353
72.01708033064085x + 42.73195550205088y <= 30139
4.518232156026542x + -23.697472436679917y <= 20737
-41.92788156113336x + 65.02327445760167y <= 35570
83.44229518036482x + 33.782011324153586y <= 50494
37.40199044673119x + 11.881167624280081y <= 66996
19.499267950055298x + -93.16755162189313y <= 85041
91.27244578848627x + 39.10811373270053y <= 45864
-97.80682027366944x + -48.37515232517242y <= 36136
7.904324655796287x + 48.96009631879741y <= 48224
81.53474928005579x + 47.40840128696874y <= 3957
-45.758454155039715x + 49.47930024662094y <= 55641
-78.71833691997077x + -81.85198815613222y <= 2671
-26.4590213270464x + 46.66141692274505y <= 15827
-11.639478604980937x + -20.752036070846884y <= 44353
-41.104459702360586x + 99.35749987595912y <= 1144
79.82295435641356x + -10.541115995416021y <= 67744
-69.70026399799838x + -47.71686869734582y <= 98871
-64.65416672670526x + -30.81686753244783y <= 99227
46.00834251750001x + -35.827965670419076y <= 25896
85.82141127361919x + -69.40091085610378y <= 8551
-13.45027674368042x + -73.38925174901101y <= 54527
41.37730047832861x + 65.40935121294888y <= 99935
-97.80772842926136x + -86.85568628951003y <= 42183
-0.14479363266318046x + -37.17004016687031y <= 83801
37.43019895810639x + -53.208799129632034y <= 35144
29.561249620295456x + 43.28903544749198y <= 17426
-33.58468652592832x + -95.23969846822928y <= 38999
-38.26352355966771x + 96.67677520174894y <= 23921
83.88461400280255x + 49.99442566169557y <= 57783
29.546468563879785x + -84.03916874620433y <= 23485
-41.468658982771785x + -89.93664943778586y <= -1994
-85.36340441281412x + 91.35892450079234y <= 9791
75.20174386438597x + -2.9151884606194045y <= 97718
16.005894041660866x + -52.471953834226206y <= 24140
-30.433514890012006x + -37.97573709842948y <= 74502
-8.211288297142147x + -93.52500453020045y <= 47618
60.90394467849018x + 76.67256459650073y <= 13691
-99.6047103181935x + -98.4582349585132y <= 16020
72.43259749878678x + -45.68861943719258y <= 11647
54.99832920516138x + -73.11110182575365y <= 79031
5.656758229371775x + -78.0568931765659y <= 49786
13.106085499632613x + 79.84624201410938y <= 51963
-12.734403392550277x + 0.8297593836974073y <= 88535
-64.68024353249325x + 52.847284739911544y <= 13754
-55.49250256812455x + -68.6938891442091y <= 45468
-52.25764013416163x + -37.45970621705217y <= 93032
23.93176291009948x + 34.42452945909258y <= 9692
87.70102210033372x + 53.460409877962576y <= 53721
-50.492879440050054x + -65.90232700535745y <= 23078
-13.36448563529602x + 9.990752925416118y <= 62542
3.420867952463169x + 41.07472775542391y <= 25604
19.45653119530091x + -71.85356100536072y <= 22863
75.66713045982544x + -68.26865410938171y <= 23662
-25.736225341539182x + 60.5573778040885y <= 5859
39.54327074737935x + -41.4941523808521y <= 99761
24.14113276833811x + -52.639588164373706y <= 82068
82.04126059228827x + -59.32670288406492y <= 96001
-39.96965615279979x + -66.798118854352y <= 9749
98.06448094921728x + 95.13921744007757y <= 35834
75.31170606177002x + -30.370833040822845y <= 53278
-96.8596866449972x + 53.74810677572199y <= 82868
-87.40938064258599x + -6.185039387055099y <= 81223
34.03726395314479x + -89.36533312424835y <= 22615
-33.72327942903944x + -93.20897455871054y <= 58811
-36.972729527366745x + 25.747487006310138y <= 26108
-9.130575156946264x + -30.384341403302358y <= 6716
-11.142521718850176x + 99.46649390028534y <= 36245
87.43388566624876x + -46.6523245078158y <= 34229
-15.710882378986838x + 67.82273448534383y <= 50143
-7.408211551902099x + 44.897754526100044y <= 81511
15.02533320898965x + -7.2185511941114555y <= 2205
-2.3209614739650277x + -65.39818660415737y <= 1207
-65.26027681996365x + 57.77429861510143y <= 38554
50.58064433789704x + 17.00316810618105y <= 56701
90.8777066239019x + 37.79679700341842y <= 91461
-43.2411811245957x + 78.50565359096646y <= 83656
-95.53054897471611x + -13.468684044745189y <= 30023
40.652132679460294x + -20.080384773378412y <= 95138
47.26811715716872x + 20.788644934113123y <= 50596
33.667767149646664x + 78.30707654764706y <= 66761
-80.66896624499695x + -85.17003759693766y <= 49401
-20.66355805995113x + -36.82087710413009y <= 32300
94.02107437670062x + 26.244661122145274y <= 16719
45.28916950714546x + -54.005077865501775y <= 66338
70.0854186985093x + 2.5490479851292207y <= 76536
-20.9917083130523x + -80.95303539977003y <= 85091
86.98580562214363x + -66.45836286854828y <= 24670
-40.747223736547625x + -80.2411282300078y <= 15771
-69.94570423559318x + -40.93490070650443y <= 23220
3.533095274303861x + -56.67925313408955y <= 2430
-68.4641847053558x + 49.61968541662122y <= 77519
-43.10159205032231x + -67.69916856800664y <= 24565
64.71088148141007x + 50.84960518398748y <= 2780
-98.67773542282528x + -92.43233672642728y <= 84582
-94.8262412410512x + -99.09582557770271y <= 33597
-23.783736522494507x + -43.293848782829784y <= 86696
-39.6424064098021x + -69.9299412819218y <= 95665
-23.671324955129776x + 56.42796606838766y <= 83356
49.25428838815978x + -75.46127210777065y <= 19371
-38.36713417167768x + -53.16508946081684y <= 59996
-11.881674790201856x + 8.7313346025351y <= 98612
-32.467826319700194x + 87.3728897894527y <= 81856
94.28217637675914x + -37.191482261630135y <= 77344
-27.048608879801208x + 38.57030230911741y <= 49492
-98.8756622533131x + 14.052077711426847y <= 97495
11.079716757239595x + 58.51488225547706y <= 3109
-25.54807418027822x + -96.2393840766661y <= 32511
37.58334961578274x + -75.07389572451169y <= 55393
-19.61904830842667x + -87.82495792562545y <= 44381
71.6100088740751x + -95.83581674857484y <= 19062
-60.05375968775064x + -98.82525528689467y <= 83194
-71.98996337716935x + -10.206681140331739y <= 96127
87.51418744782552x + 27.101823253008035y <= 90747
-77.564190754577x + 25.78653857098716y <= 6612
-57.41385729582995x + 76.8814287548563y <= 29864
-15.698987360262933x + 23.459003341336256y <= 5076
89.73945741201385x + 84.62277417892585y <= 20095
-79.23771788394644x + -3.206325275006506y <= 56777
-49.786361587531935x + 25.401113032471883y <= 25194
1.316030217363945x + -69.52961783996467y <= 2996
-78.46213035643706x + 76.08286052806298y <= 33209
-84.26549201678685x + -57.73023530827661y <= 32957
0.24411951838325763x + -46.98386832347274y <= 35250
-35.58299818835525x + 59.43514302852353y <= 25901
2.906459814909425x + 96.1741861593776y <= 94531
-10.40551246957078x + -82.84968914218149y <= 34579
-0.5227128397452816x + 26.873966026858724y <= 31137
92.86350099128646x + 92.31473885248027y <= 17878
-68.7288271671263x + 12.71011555307841y <= 94822
82.86839445249043x + -16.16795733457994y <= 64764
45.61231107810474x + -26.68710071707183y <= 11613
-19.348219103149475x + -45.6757568444542y <= 73346
-39.45684153007727x + 24.53989067264628y <= 46698
12.439821777864736x + -82.39102919454442y <= 37295
-97.50743405769096x + -11.04182950140084y <= 14877
40.42576858955266x + 49.94561389278556y <= 23442
-4.2499134041945865x + -14.44768747780833y <= 22200
-43.92223960070489x + -70.83307595750061y <= 4687
-78.98394628268343x + 50.91337788648187y <= 28654
-30.976636387220353x + -37.059016621629645y <= 31856
-46.681712025297514x + -47.466327033162734y <= 26826
-92.60701703286955x + -98.67407952131737y <= 2924
53.8551817952374x + 25.1313517946016y <= 76253
62.20893877474225x + -93.5010706099502y <= 93924
-67.10842428191583x + -93.71126318930511y <= 58440
45.493448386624806x + -69.11989958348565y <= 86217
0.45077123469685887x + 56.93480399180305y <= 48014
-61.503346030905234x + -63.34763190622981y <= 3111
-68.9747203012655x + 89.63879164169339y <= 16481
18.751383970398123x + 96.45888174444167y <= 7546
80.96151057156621x + -93.73762173463176y <= 3506
-92.64465752756654x + 77.07747328654534y <= 6581
-47.95230232467067x + 13.069197247183922y <= 95639
93.34164201079338x + -28.146960694019782y <= 67611
54.83899017138819x + 65.2185824880668y <= 78721
92.5722005643131x + 3.827124412352063y <= 10057
11.622953813930636x + -41.318562171206594y <= 83696
47.32138586846912x + -73.96788366303306y <= 60915
#-----------------program end-----------------
