#convex solver has no solution but os tool has
# convex result: None os tool result: (0.56844,10.91948)
max 1x + 1y
7.8225x + 8.0406y <= 910
-6.5315x + -4.3161y <= 546
-1.2596x + -4.9424y <= 992
-2.6143x + -9.4285y <= 411
7.8198x + -9.9791y <= 303
7.2838x + 6.527y <= 940
-5.7049x + 7.6828y <= 933
1.2311x + 5.2153y <= 137
-9.9394x + 6.8802y <= 245
-5.9016x + -5.132y <= 125
-1.9917x + 7.3747y <= 210
-2.4163x + 3.2639y <= 549
4.2603x + -2.9812y <= 254
-6.6718x + -1.2781y <= 486
6.2753x + 2.1306y <= 504
3.591x + -7.6558y <= 360
-6.1093x + -4.3733y <= 421
4.21x + -7.0564y <= 878
5.9032x + 1.4782y <= 179
-7.0796x + -3.7511y <= 101
7.3201x + 9.5838y <= 439
0.9344x + 0.3691y <= 777
3.7891x + 6.4448y <= 870
0.4032x + 0.9469y <= 415
-6.0363x + -3.0427y <= 230
-7.6617x + 5.7358y <= 936
4.9751x + -4.2218y <= 959
-8.9145x + -2.2311y <= 717
-8.3544x + 4.6506y <= 660
-1.2611x + -6.6633y <= 275
8.6145x + -5.4544y <= 768
4.686x + 4.416y <= 836
-3.8121x + 6.8341y <= 237
-0.9469x + 7.4963y <= 566
-8.0827x + 6.9523y <= 805
7.989x + 1.8808y <= 849
-5.1992x + -9.491y <= 622
1.7227x + -6.3576y <= 721
-4.7213x + -8.1101y <= 505
4.8503x + -5.867y <= 646
4.5537x + 8.8816y <= 647
3.3023x + -2.4665y <= 955
5.8338x + -5.4003y <= 196
2.4519x + 7.463y <= 449
7.1861x + -8.8002y <= 653
0.8328x + 1.3007y <= 922
6.8625x + 0.0343y <= 841
4.2326x + 1.2909y <= 600
4.117x + 8.4439y <= 361
4.598x + -0.2847y <= 300
5.1042x + 5.7114y <= 734
-1.4401x + 9.5119y <= 732
7.8457x + 4.4411y <= 992
-4.8776x + 6.5355y <= 742
-4.6983x + -5.0021y <= 367
-5.2954x + -0.0755y <= 314
9.1349x + 9.24y <= 673
-6.2781x + 0.4275y <= 922
2.215x + -1.3157y <= 690
3.4919x + -8.0334y <= 331
-4.4645x + 0.1225y <= 873
-7.8886x + -1.4894y <= 752
-8.1222x + 1.6642y <= 864
4.8275x + 9.5481y <= 819
-9.1045x + 1.6355y <= 541
0.5907x + -4.4567y <= 782
-7.3498x + -9.0913y <= 220
3.2584x + 8.5278y <= 843
0.6762x + 9.0719y <= 691
7.983x + 6.7644y <= 179
-9.4193x + 7.531y <= 380
-0.453x + 3.9184y <= 719
4.7767x + -3.2134y <= 856
4.0253x + 9.8968y <= 121
6.1973x + -3.5767y <= 947
-5.1637x + -7.3846y <= 152
1.8049x + 4.7288y <= 463
-3.8816x + 6.9323y <= 511
0.6063x + 9.3709y <= 794
-5.7945x + 3.5706y <= 285
0.0783x + 4.0075y <= 243
3.4061x + 0.9659y <= 220
-4.2632x + 2.925y <= 174
-7.8539x + -9.2328y <= 851
-2.4886x + -3.6061y <= 103
-9.0198x + 6.3183y <= 977
8.9084x + 3.3182y <= 335
-1.2257x + -0.7457y <= 758
-6.4278x + -1.8056y <= 344
-9.0695x + -5.8079y <= 364
2.113x + 7.1933y <= 560
6.3029x + 6.1866y <= 823
5.0444x + 8.5406y <= 182
6.0327x + -7.6786y <= 916
0.7236x + -7.6817y <= 542
-2.2829x + -7.6576y <= 655
-4.709x + -0.8729y <= 694
3.1641x + -4.4364y <= 377
9.7551x + -6.3371y <= 649
3.919x + 3.0758y <= 329
-2.1202x + 0.8898y <= 389
-9.3374x + 9.4117y <= 993
2.9568x + 2.1799y <= 845
2.3505x + 1.0082y <= 406
-1.6686x + -6.1314y <= 255
5.2622x + -8.0097y <= 520
-2.912x + -9.0063y <= 535
3.2502x + 4.9472y <= 778
6.514x + -5.9305y <= 830
8.6381x + -7.4926y <= 196
-8.9417x + 9.9983y <= 901
-4.8078x + -5.9472y <= 612
1.9133x + -6.4857y <= 732
8.3532x + 8.773y <= 502
-0.27x + 5.8018y <= 312
7.9603x + -7.3521y <= 143
-7.7569x + 8.7922y <= 112
-1.2236x + -2.5627y <= 944
-0.7223x + 8.4865y <= 318
8.149x + -9.4383y <= 774
8.7973x + -0.6526y <= 626
9.342x + 3.5048y <= 859
-3.8667x + -7.7947y <= 172
-8.2271x + 5.7063y <= 578
9.7439x + 5.6961y <= 547
-0.1025x + -6.9735y <= 925
8.3701x + -2.0599y <= 117
-7.6519x + 7.853y <= 504
0.2621x + 9.5064y <= 447
1.905x + 7.3867y <= 780
6.2358x + -2.0047y <= 745
1.7484x + -5.0727y <= 461
2.1871x + 7.6081y <= 849
-7.3652x + 9.7582y <= 704
-6.6088x + 7.487y <= 938
-4.131x + 5.3462y <= 974
-6.9503x + 3.2508y <= 809
8.0549x + 2.1371y <= 280
6.4562x + -0.8009y <= 406
3.0775x + 6.1488y <= 559
9.8754x + -9.5061y <= 547
2.3091x + -7.5922y <= 230
-3.6453x + 3.2198y <= 475
1.0303x + -9.9228y <= 786
1.0494x + 9.0683y <= 912
-0.9705x + 0.1116y <= 255
3.8231x + -2.3403y <= 132
7.2636x + -9.6764y <= 485
9.2074x + 6.5047y <= 331
6.4358x + 7.1528y <= 822
-7.3136x + 2.4652y <= 228
9.5689x + 2.9975y <= 672
-8.4203x + 3.8026y <= 612
-0.2917x + -5.6282y <= 871
-3.6617x + 2.476y <= 286
1.5692x + 2.2972y <= 264
-2.844x + -0.274y <= 895
-7.5348x + -6.3784y <= 984
9.7108x + -1.3522y <= 601
-8.7061x + -3.448y <= 790
2.4933x + 4.4662y <= 681
-8.2678x + 5.7116y <= 156
7.9027x + -3.0273y <= 997
-1.997x + 3.4921y <= 997
6.3191x + -2.0893y <= 908
-9.0652x + 8.123y <= 182
4.574x + 4.8992y <= 429
-0.0268x + -5.4377y <= 572
-0.7414x + -1.8061y <= 817
-6.109x + 7.5083y <= 448
0.9354x + -0.8733y <= 537
-7.8469x + -7.7672y <= 193
-7.7381x + 5.5685y <= 565
-9.277x + -2.6163y <= 125
-3.3351x + 7.1692y <= 850
3.1607x + -3.2759y <= 762
8.3694x + -7.0141y <= 198
-7.2258x + 9.319y <= 209
1.5416x + -8.4512y <= 899
6.8065x + 6.5785y <= 483
-6.0219x + 9.7417y <= 712
0.0122x + 9.3213y <= 646
-0.7358x + -6.5517y <= 686
-9.9566x + 6.592y <= 482
2.9728x + 9.379y <= 402
1.6465x + -8.2535y <= 202
-7.9127x + -4.7529y <= 851
4.3545x + -3.2793y <= 269
-1.0292x + 6.4616y <= 828
7.2152x + 0.4627y <= 829
-4.7861x + -6.3956y <= 122
8.3524x + -1.1197y <= 236
-4.792x + 1.4098y <= 809
-4.1458x + -5.5832y <= 179
7.1446x + -6.7561y <= 308
-4.1457x + 4.5968y <= 437
6.982x + 0.7578y <= 889
-6.9529x + 7.7802y <= 239
0.1485x + 5.1853y <= 423
-6.9308x + -2.2545y <= 540
9.1507x + 7.5616y <= 769
0.1704x + 1.1903y <= 396
-9.3613x + -2.8389y <= 589
0.9069x + -3.0528y <= 782
-1.7922x + 0.9282y <= 600
-4.2212x + 7.3462y <= 646
-8.3556x + -5.0988y <= 645
6.9813x + 0.6457y <= 355
2.9745x + -3.7044y <= 162
4.722x + -6.0847y <= 841
-8.9136x + -1.5608y <= 922
-5.3026x + -7.2243y <= 843
-8.1501x + -7.2998y <= 235
9.9675x + -9.2662y <= 993
0.0206x + -4.9977y <= 804
-0.5372x + -9.433y <= 827
7.9658x + 6.4823y <= 367
-4.122x + -4.389y <= 885
-6.7424x + -3.0223y <= 485
-5.425x + -1.5862y <= 641
-4.5163x + -6.4979y <= 503
-4.9464x + -0.801y <= 191
9.6677x + -9.9383y <= 223
-5.8608x + 1.9269y <= 495
-2.8849x + -2.2857y <= 808
2.1452x + -9.8611y <= 702
7.9517x + 5.453y <= 670
-5.1142x + -0.4613y <= 792
9.3933x + 3.8237y <= 357
6.1393x + -5.7551y <= 905
7.093x + 3.359y <= 897
4.9149x + -6.0401y <= 116
9.9164x + -0.7415y <= 345
-5.7482x + -4.6391y <= 426
-6.5284x + -2.0561y <= 250
-3.0615x + 6.285y <= 754
-1.3384x + -2.3903y <= 571
-5.633x + -5.5353y <= 395
-3.7591x + 3.0974y <= 801
-1.7172x + 1.817y <= 310
1.7329x + 6.0891y <= 668
0.4703x + -3.9526y <= 145
-7.9354x + -3.2085y <= 224
-3.4877x + -8.9581y <= 269
-9.5177x + 9.1357y <= 785
-1.8129x + 8.9452y <= 654
5.292x + -4.1662y <= 926
3.4849x + -0.5132y <= 873
-0.143x + -1.5974y <= 619
7.8162x + -7.8709y <= 884
6.2293x + -4.5518y <= 769
3.1383x + 7.2103y <= 562
-9.8396x + 9.7385y <= 233
-3.8733x + 2.4413y <= 685
-0.9846x + 9.5722y <= 666
3.9835x + 0.1942y <= 491
-3.9966x + 7.2196y <= 869
7.3216x + -3.8369y <= 592
7.3149x + 0.8032y <= 672
-3.108x + -6.7155y <= 843
0.8326x + -9.9201y <= 497
4.0868x + -9.2387y <= 703
2.4884x + -0.9419y <= 413
-5.4794x + 0.5683y <= 532
-3.7587x + -3.4146y <= 519
6.918x + 0.406y <= 193
8.0614x + -3.415y <= 803
-8.1914x + 5.184y <= 701
-8.8824x + -0.6315y <= 506
7.9592x + 0.3365y <= 628
6.662x + -5.4156y <= 141
-2.675x + 7.156y <= 986
-8.5041x + -4.0481y <= 975
3.7295x + 2.1007y <= 920
7.6746x + 0.1209y <= 970
2.1209x + -1.0945y <= 291
6.2031x + -1.0359y <= 539
-8.2086x + 5.1986y <= 491
-9.7776x + -3.2285y <= 825
0.2479x + -3.019y <= 957
-0.9244x + -5.2903y <= 657
-5.9882x + -0.6388y <= 404
7.246x + -5.259y <= 351
5.574x + -0.8661y <= 824
-6.5482x + 5.9659y <= 920
0.4943x + -7.3837y <= 725
3.2844x + 9.9872y <= 748
0.4297x + 6.6y <= 770
3.9614x + 4.4224y <= 588
7.7105x + 1.0546y <= 718
0.6135x + -4.6901y <= 824
3.9944x + -7.7229y <= 588
-6.2362x + -9.9379y <= 543
-6.6265x + -0.0567y <= 420
1.6401x + 8.1322y <= 822
-2.0789x + -0.5039y <= 383
8.2711x + 4.104y <= 144
2.9444x + -2.8147y <= 474
-1.6485x + 7.1801y <= 1000
-6.0427x + -9.7097y <= 690
-3.7784x + 3.7392y <= 925
-0.5283x + 7.899y <= 913
-2.445x + 6.8907y <= 772
9.4504x + 2.1307y <= 775
8.4093x + 1.806y <= 129
-7.3383x + 6.07y <= 120
-8.2101x + 7.4339y <= 280
-4.7276x + -0.7076y <= 605
7.3615x + -2.2729y <= 152
5.109x + -2.5922y <= 882
-8.3842x + 7.27y <= 518
-7.8767x + 0.526y <= 291
-8.2599x + 3.8892y <= 546
9.7525x + -4.6381y <= 406
9.4083x + -6.0931y <= 843
7.6124x + -6.4508y <= 273
-3.7726x + -6.8027y <= 997
-3.226x + 7.5217y <= 959
-9.7557x + -8.0264y <= 394
-3.4191x + 4.3759y <= 176
-5.9126x + -5.4886y <= 385
7.3355x + -9.9769y <= 707
-3.4681x + 8.7594y <= 748
1.5588x + -5.6996y <= 338
-0.4283x + 1.4678y <= 599
-6.3118x + 0.011y <= 238
6.5994x + -8.796y <= 446
-8.5503x + -1.0473y <= 756
-3.9926x + -4.0623y <= 283
-4.9161x + 3.1045y <= 673
6.4328x + 1.1854y <= 676
2.6107x + 6.0021y <= 303
-2.6633x + -1.1999y <= 479
4.7107x + 2.1812y <= 644
4.0197x + 2.8949y <= 900
1.1597x + 3.4138y <= 810
-9.3931x + 6.1912y <= 836
7.7979x + 4.8712y <= 988
6.7651x + -7.0363y <= 521
2.1775x + 8.8443y <= 553
-1.0696x + -3.9677y <= 351
1.856x + 6.3264y <= 822
-2.5643x + -3.2752y <= 175
-7.978x + 6.3938y <= 165
5.4518x + -5.697y <= 121
6.489x + 0.6769y <= 750
9.2928x + 3.9963y <= 957
3.7428x + 1.7837y <= 455
5.2948x + 7.048y <= 931
9.0229x + -5.3094y <= 478
0.4326x + 7.5819y <= 790
-2.6971x + -0.9396y <= 593
-9.5184x + 1.9517y <= 298
3.5632x + -1.2371y <= 649
-8.3151x + -7.6337y <= 536
-5.4755x + 3.0547y <= 619
9.1779x + 3.6655y <= 719
-5.6472x + -1.2702y <= 906
6.3783x + -2.5023y <= 863
-5.5799x + -1.5227y <= 611
4.9474x + 0.4231y <= 964
-6.2532x + 4.4911y <= 112
-2.9168x + -5.1247y <= 835
0.7408x + 5.1983y <= 652
-3.0942x + 1.5143y <= 579
4.0852x + 6.1974y <= 438
7.4315x + -3.5703y <= 242
5.5255x + 3.9626y <= 748
-9.1984x + 7.6104y <= 100
-8.6034x + -6.5203y <= 311
6.9737x + 1.6591y <= 569
-7.758x + 2.1376y <= 427
-8.7811x + -0.5336y <= 780
-8.141x + -4.393y <= 219
-5.1064x + -6.7963y <= 598
-5.1645x + 7.3581y <= 870
6.808x + 3.0185y <= 439
9.372x + 2.4886y <= 249
-4.1464x + 4.5095y <= 227
-1.2653x + -1.1737y <= 745
7.2855x + -9.9571y <= 658
4.7111x + 2.3626y <= 989
-1.5624x + -6.5826y <= 756
-3.2515x + -6.1783y <= 344
6.3128x + -1.6801y <= 885
5.1487x + -6.9944y <= 429
-9.9829x + -1.3283y <= 885
-3.6058x + -2.0027y <= 713
0.5477x + 6.8475y <= 422
-7.0772x + -2.4733y <= 930
-7.5995x + -6.6848y <= 628
-2.9224x + 0.1945y <= 898
0.8636x + -7.9568y <= 912
-0.4673x + -2.6102y <= 706
-0.1695x + -9.0059y <= 311
9.4347x + -6.3915y <= 838
9.6998x + -0.8783y <= 698
7.6951x + 1.2049y <= 879
4.073x + 0.0828y <= 762
4.4806x + 3.4897y <= 215
5.1069x + -4.7513y <= 315
-1.204x + 0.5424y <= 890
4.9454x + -2.9569y <= 412
8.241x + 5.8904y <= 791
2.4568x + 9.1323y <= 903
-2.4152x + 7.6649y <= 930
-0.5414x + -4.8296y <= 910
-8.7288x + -6.5272y <= 924
-5.0447x + -6.5215y <= 327
3.6489x + 0.712y <= 506
-5.9193x + 6.0201y <= 281
3.4415x + -4.8964y <= 166
-5.6495x + 4.4519y <= 123
0.478x + 3.1021y <= 629
5.0969x + -4.8664y <= 648
5.0481x + 1.6693y <= 176
2.3712x + 1.8334y <= 214
-6.1542x + -1.0379y <= 319
4.9708x + 8.5331y <= 639
8.2313x + 9.9477y <= 448
-3.0225x + 9.1718y <= 268
-1.0147x + -2.1961y <= 271
-6.82x + 8.651y <= 719
-6.5691x + -6.8515y <= 971
1.6602x + 4.9544y <= 515
7.3839x + -4.8886y <= 498
-4.7243x + -4.4818y <= 913
0.8848x + -3.602y <= 749
-8.3785x + 2.8219y <= 763
2.8403x + -0.5476y <= 425
1.9777x + -1.3969y <= 515
-9.6907x + 3.3679y <= 448
2.6928x + -4.5139y <= 733
-5.5892x + 5.9857y <= 582
9.224x + 4.3248y <= 897
4.3292x + 1.7218y <= 986
7.6338x + 5.897y <= 335
-9.8574x + -9.8025y <= 481
2.2959x + 4.0697y <= 682
5.2272x + 6.6452y <= 186
7.2749x + 0.4737y <= 196
-3.4163x + 1.6778y <= 645
-0.1784x + 3.8689y <= 623
-6.4648x + 1.5827y <= 810
-0.858x + -7.7374y <= 186
-5.7873x + 8.7389y <= 287
9.65x + 3.5433y <= 135
1.0053x + -5.3983y <= 587
2.1857x + 0.5276y <= 635
-2.98x + 6.5243y <= 558
-1.5761x + 4.7689y <= 403
3.2246x + -7.5227y <= 504
-8.3295x + -8.4606y <= 953
-7.2885x + -7.8462y <= 451
-0.6051x + -9.5942y <= 268
-2.6352x + 6.4953y <= 524
-5.5112x + -6.3341y <= 209
-0.4753x + 3.4612y <= 488
-1.097x + 9.343y <= 816
3.8198x + 6.3038y <= 643
1.2232x + -7.9172y <= 821
-1.9116x + -6.4098y <= 241
-6.849x + -6.222y <= 986
-4.9536x + 3.5791y <= 381
-7.0466x + -9.9547y <= 824
9.2941x + 2.9818y <= 100
-9.8722x + 5.6359y <= 769
-4.3649x + 0.0548y <= 993
7.8881x + -9.5832y <= 724
-5.6539x + 0.8607y <= 733
4.5125x + -4.0191y <= 312
-9.3999x + 7.6062y <= 331
-4.808x + 0.8416y <= 151
9.7809x + 1.3445y <= 588
-4.7588x + 2.3709y <= 992
6.3023x + 2.1415y <= 453
9.6356x + -4.2321y <= 633
-9.4579x + -1.8601y <= 792
-9.708x + -7.1862y <= 412
8.465x + 0.4169y <= 561
-4.236x + -4.9289y <= 366
-7.432x + -4.5454y <= 683
1.2955x + 6.9963y <= 273
9.9341x + -0.7803y <= 605
1.3158x + 0.2674y <= 797
5.6376x + -7.4018y <= 409
-0.2274x + 1.5995y <= 479
-3.3641x + -1.3493y <= 895
-0.9434x + -8.2238y <= 113
2.066x + 5.9875y <= 360
3.7955x + -9.7776y <= 230
-6.1373x + 4.841y <= 466
8.3774x + 1.0148y <= 556
0.1754x + -9.2686y <= 988
-4.2084x + 1.3341y <= 721
6.6054x + -9.373y <= 613
-1.9847x + -3.3406y <= 465
5.7542x + -9.2931y <= 228
3.4768x + -6.29y <= 154
3.6557x + -3.6778y <= 457
5.3498x + 5.4936y <= 824
-9.2293x + 6.9465y <= 715
-1.2846x + 8.2721y <= 877
5.4812x + 4.773y <= 776
-1.6884x + -7.452y <= 342
8.5671x + -7.0213y <= 398
4.0536x + -3.1767y <= 207
-0.6904x + -0.6163y <= 307
-8.5329x + 1.4047y <= 549
0.7514x + -2.7151y <= 929
8.4231x + 2.4141y <= 853
7.8679x + 8.9613y <= 201
-9.6017x + -5.114y <= 240
9.7212x + -7.3449y <= 214
3.8106x + 5.3457y <= 105
-6.3485x + 3.4532y <= 134
-8.6158x + 5.7332y <= 237
-2.1306x + -2.3692y <= 955
-9.0527x + 6.9758y <= 247
5.7518x + 0.727y <= 885
4.2727x + -4.5364y <= 272
2.442x + -7.8459y <= 807
-8.2912x + 1.4562y <= 581
-1.784x + 3.3796y <= 629
7.1849x + -7.6532y <= 337
-2.0486x + 0.4566y <= 963
-9.7891x + 6.6419y <= 297
0.2748x + 1.9614y <= 982
8.7946x + 0.6691y <= 364
-5.5289x + 2.8557y <= 633
7.8837x + -1.6811y <= 231
-5.6375x + 7.2722y <= 606
-5.1291x + 4.7394y <= 656
8.6318x + 8.7284y <= 711
-8.6087x + -8.0771y <= 560
7.4819x + 7.2471y <= 539
6.8423x + 9.3795y <= 158
-8.4674x + 3.8742y <= 139
-4.7453x + -1.9941y <= 343
-2.8806x + -1.2335y <= 377
-3.028x + 8.2556y <= 520
7.6791x + 2.8488y <= 796
-0.4941x + -0.9165y <= 965
-2.8207x + -2.7281y <= 670
-2.3532x + 3.5359y <= 268
2.6364x + -7.8236y <= 563
-4.1253x + -1.7052y <= 188
9.5056x + -9.0424y <= 515
7.5806x + -8.2009y <= 702
-8.5246x + 6.7521y <= 536
-4.2571x + 1.9848y <= 166
1.8343x + 2.6833y <= 386
2.1329x + -7.9888y <= 543
3.4914x + -4.7208y <= 199
4.3567x + 1.3915y <= 110
1.7807x + 9.2615y <= 385
4.9973x + 9.0307y <= 215
0.0744x + -1.6875y <= 360
0.8231x + -1.1949y <= 306
-1.3576x + -3.1945y <= 561
1.3205x + 3.0752y <= 928
-2.0245x + 6.9391y <= 946
0.4392x + 6.2422y <= 245
0.5902x + -9.2009y <= 857
8.2031x + 2.6448y <= 783
2.0474x + 4.5625y <= 220
-2.3591x + -6.7768y <= 888
-6.1001x + 7.3782y <= 469
5.6841x + 3.5011y <= 366
-3.6137x + -1.346y <= 735
8.1838x + -0.2585y <= 508
-5.6273x + 4.4406y <= 418
5.3461x + -7.6468y <= 537
-5.7941x + 8.2975y <= 279
7.6352x + 5.0366y <= 864
-8.865x + 7.0304y <= 577
-8.4904x + -9.1178y <= 491
-8.7271x + -5.9634y <= 531
-9.0828x + 0.2817y <= 675
-2.5838x + 0.4017y <= 376
-5.2322x + 6.8692y <= 508
-1.0409x + 7.0383y <= 204
2.6857x + 7.2497y <= 271
5.8591x + 3.0736y <= 834
5.4915x + 5.9684y <= 395
-8.6568x + 5.0475y <= 624
-5.5664x + -3.4946y <= 260
-5.6288x + 6.2412y <= 935
-2.1987x + 9.1075y <= 862
3.6921x + -3.4368y <= 902
5.548x + -5.0769y <= 964
-7.9507x + -5.0435y <= 726
-6.6319x + 4.283y <= 610
-8.8974x + 5.3657y <= 772
-7.8503x + -7.9617y <= 387
9.131x + 0.8703y <= 871
-8.2028x + 3.4272y <= 569
-3.1985x + 2.7094y <= 775
-7.0153x + 0.2233y <= 246
6.0826x + -7.7876y <= 385
0.3072x + 8.1388y <= 215
6.6948x + 0.7605y <= 786
4.0428x + 3.5672y <= 697
1.8018x + 2.6181y <= 616
6.1766x + -3.7555y <= 907
1.5145x + 5.9036y <= 995
-9.1772x + 0.1927y <= 271
-2.4494x + 4.429y <= 790
6.5555x + -9.7386y <= 937
-4.2439x + 5.8719y <= 620
2.3811x + -8.4314y <= 882
0.536x + 5.0232y <= 669
0.9122x + 4.8787y <= 728
9.0644x + -6.674y <= 109
0.443x + 8.4356y <= 106
0.1052x + -6.1868y <= 791
7.6738x + 7.3513y <= 701
-4.7566x + 7.8125y <= 151
-6.6214x + 7.9376y <= 499
0.6772x + -7.1015y <= 963
-3.6282x + -4.7291y <= 636
-1.9191x + -8.0711y <= 281
-3.665x + -9.6293y <= 996
-8.8131x + 1.8296y <= 514
-7.0334x + 6.3348y <= 562
-4.3403x + -7.1928y <= 877
1.889x + -2.9275y <= 849
5.0814x + 0.865y <= 586
-4.3394x + 7.9764y <= 382
1.0344x + -6.5472y <= 315
-0.1325x + 5.3869y <= 342
-4.8746x + 7.7256y <= 538
-2.4833x + 2.4315y <= 961
0.6439x + 4.1662y <= 123
5.2528x + 1.1435y <= 507
-5.4205x + 2.5142y <= 819
-9.3542x + 7.1487y <= 769
-1.3834x + -8.5255y <= 987
-3.9708x + 2.3996y <= 850
6.2174x + 6.9602y <= 264
-4.223x + -2.5072y <= 353
-1.3338x + -3.7925y <= 152
-4.8021x + -7.3304y <= 813
9.3267x + 5.192y <= 798
-7.9029x + 9.9623y <= 360
-3.9992x + 0.2794y <= 141
-7.5458x + -2.9828y <= 416
5.8046x + -2.1926y <= 361
-1.7485x + 7.1717y <= 880
-2.7738x + -4.5182y <= 124
8.5992x + 8.8178y <= 218
-7.0527x + -9.1772y <= 862
-5.2008x + -9.425y <= 756
1.1145x + -4.3437y <= 538
4.5696x + -6.8561y <= 889
4.4962x + 2.116y <= 391
-5.019x + 3.9826y <= 660
2.3016x + 0.3983y <= 520
-0.6493x + -6.0965y <= 327
-0.5223x + -1.9704y <= 543
4.1388x + 9.8319y <= 811
-3.754x + 0.9734y <= 921
8.7862x + 7.6431y <= 691
9.9426x + 5.7255y <= 267
-2.892x + -6.5527y <= 537
5.1259x + 8.1546y <= 121
-9.0472x + -0.2097y <= 527
0.0404x + 8.2974y <= 575
2.2842x + 4.0116y <= 727
1.9943x + -0.412y <= 639
1.0945x + 4.2088y <= 834
-6.7762x + -7.0785y <= 543
8.2499x + 6.2445y <= 617
-6.0092x + -9.9749y <= 771
-6.325x + 3.7466y <= 661
7.5062x + 8.5143y <= 270
-9.2311x + 5.3346y <= 716
5.0728x + 1.9841y <= 902
7.615x + 7.3216y <= 281
3.5914x + 4.9243y <= 482
8.4854x + -7.5295y <= 591
-6.8563x + -4.667y <= 912
-5.0418x + -8.307y <= 542
-4.3256x + 2.7581y <= 181
6.9467x + -0.3509y <= 220
1.3234x + -6.1104y <= 490
0.033x + 0.7269y <= 191
2.3023x + -9.5797y <= 351
3.2235x + -6.6457y <= 833
8.5474x + -0.6282y <= 438
-8.8127x + 4.0365y <= 637
2.6924x + -2.2536y <= 146
-9.798x + 8.3868y <= 887
-0.2337x + -4.4186y <= 924
4.2588x + -9.4905y <= 949
0.3322x + 6.2201y <= 475
1.7478x + 0.8845y <= 639
-0.3765x + 0.2823y <= 940
2.9563x + 4.6854y <= 616
-8.2981x + 9.3099y <= 496
2.4578x + 2.9142y <= 206
-3.6602x + 5.2894y <= 842
6.6246x + -2.9315y <= 447
-6.0697x + -8.6636y <= 356
4.0136x + -6.5035y <= 978
2.4316x + 9.7851y <= 212
-5.06x + 7.9149y <= 105
8.998x + -8.0171y <= 804
-0.6047x + -5.4591y <= 873
-1.3764x + 3.4339y <= 635
-5.2801x + -8.6696y <= 625
3.7003x + -5.8961y <= 397
1.2573x + 3.304y <= 446
6.4394x + -6.8232y <= 102
-5.2123x + -7.4671y <= 697
8.7587x + 7.2007y <= 506
3.1895x + 4.585y <= 562
3.9409x + -5.5309y <= 332
3.9506x + 1.2648y <= 945
8.4511x + -1.7332y <= 396
-7.7072x + 1.1602y <= 583
-4.254x + -8.6911y <= 841
-7.5543x + -2.7255y <= 200
-3.8668x + -3.2115y <= 890
-6.8166x + -2.2151y <= 691
-9.7236x + 3.9974y <= 780
6.0219x + -7.3219y <= 107
-1.5218x + -8.3128y <= 264
-3.3809x + 1.9497y <= 140
2.9483x + 4.0485y <= 655
-7.2695x + 2.531y <= 218
1.6019x + -5.3358y <= 227
1.6257x + 6.4095y <= 470
2.3656x + 2.7068y <= 187
-5.9018x + 3.5881y <= 646
5.2682x + -0.2412y <= 605
8.9476x + -8.0398y <= 248
-7.1639x + -6.4609y <= 459
-1.8279x + 8.9233y <= 631
5.9355x + -2.1022y <= 992
-2.1468x + -5.5696y <= 728
5.1548x + 1.2351y <= 842
4.9261x + 5.7678y <= 186
-2.7436x + -8.6775y <= 806
-2.4589x + -2.9944y <= 467
0.9713x + -1.0965y <= 520
-0.6996x + 6.431y <= 917
-5.7087x + 7.2266y <= 860
-9.0412x + -1.1901y <= 752
0.3985x + 5.2588y <= 481
3.9339x + 9.7951y <= 893
-4.4006x + 0.0183y <= 586
8.6495x + 5.753y <= 235
-2.3953x + 7.3174y <= 140
-4.7879x + -2.5502y <= 287
-6.6662x + 6.8232y <= 665
7.1898x + 3.0796y <= 391
-4.608x + -9.4453y <= 851
-3.0334x + -6.6685y <= 204
-5.3103x + -0.6203y <= 867
3.7407x + 0.549y <= 774
6.0112x + -8.8509y <= 854
9.8418x + 2.5122y <= 649
-6.7495x + 2.9084y <= 336
-9.9769x + 0.5089y <= 803
5.3599x + 1.4248y <= 643
-6.5408x + 6.1429y <= 137
-3.2805x + 8.7991y <= 903
-7.5895x + 5.2342y <= 688
-6.6441x + 2.32y <= 769
3.8497x + 1.7358y <= 598
6.9658x + 4.0559y <= 620
2.7892x + -3.9325y <= 382
7.5092x + -2.2484y <= 261
8.7426x + -8.5031y <= 499
-6.1787x + 5.8337y <= 385
-6.7262x + 8.2092y <= 844
0.9432x + 6.4209y <= 363
1.4677x + -0.8615y <= 741
5.149x + 7.8152y <= 799
-6.2578x + -5.2799y <= 445
-9.1883x + -2.3742y <= 544
-0.6216x + 8.3813y <= 723
-6.3374x + -4.8442y <= 720
-9.9124x + -2.1642y <= 519
0.2272x + -0.6456y <= 379
6.3267x + -3.57y <= 397
2.3566x + 3.527y <= 261
7.2786x + 9.8993y <= 850
6.733x + 2.2608y <= 227
7.2024x + -4.1203y <= 754
6.7051x + 3.1055y <= 804
-0.3661x + -9.0779y <= 600
-1.1297x + 6.1153y <= 460
9.9088x + -3.9181y <= 207
-0.9422x + -5.0344y <= 302
6.8755x + -7.1287y <= 804
-8.5965x + -1.2767y <= 197
-9.6976x + 6.9836y <= 366
4.8544x + -6.3075y <= 762
3.6364x + -0.4663y <= 887
-4.9871x + 1.7015y <= 458
4.3899x + 6.2561y <= 716
6.3872x + 2.1595y <= 865
5.6975x + -2.2817y <= 871
-2.4561x + 8.1867y <= 580
-7.2688x + 1.0883y <= 315
